path,artifact_type,owner_lane,producer,known_consumers,referenced_by_scripts,referenced_by_docs,referenced_by_workflows,referenced_by_validators,latest_modified_date,tracked_in_git,classification,recommended_action,delete_risk,notes
output/latest/all_candidates_latest.csv,csv,daily_production,scripts/build_daily_candidate_model_layer.py,.github/workflows/daily_full_pipeline.yml;.github/workflows/event_catalyst_update.yml;.github/workflows/warrant_flow.yml;.github/workflows/weekly_theme_review.yml;config/repo_file_lifecycle_inventory.csv;config/report_artifact_lineage.csv;config/runtime_file_lineage_contract.csv;docs/latest/daily_theme_leadership_latest.md;docs/latest/raw_data_fetch_status_latest.csv;output/latest/candidate_repeat_appearance_validation_latest.json;output/latest/candidate_repeat_appearance_validation_latest.md;output/latest/daily_theme_leadership_latest.md;...(+8),scripts/backfill_tdcc_history.py;scripts/build_daily_candidate_model_layer.py;scripts/check_raw_data_health.py;scripts/validate_daily_candidate_model_layer.py,docs/latest/daily_theme_leadership_latest.md;docs/latest/raw_data_fetch_status_latest.csv;output/latest/candidate_repeat_appearance_validation_latest.json;output/latest/candidate_repeat_appearance_validation_latest.md;output/latest/daily_theme_leadership_latest.md;output/latest/raw_data_fetch_status_latest.csv;output/latest/report_manifest_latest.json;output/latest/revenue_industry_applicability_latest.md;output/latest/warrant_flow_merge_latest.md,.github/workflows/daily_full_pipeline.yml;.github/workflows/event_catalyst_update.yml;.github/workflows/warrant_flow.yml;.github/workflows/weekly_theme_review.yml,scripts/validate_daily_candidate_model_layer.py,2026-06-20,true,validator_necessary,keep,high,classification_only_no_move_no_delete
output/latest/all_candidates_latest.md,md,daily_production,unknown,.github/workflows/warrant_flow.yml,,,.github/workflows/warrant_flow.yml,,2026-06-19,true,pipeline_necessary,keep,high,classification_only_no_move_no_delete
output/latest/approved_operation_patterns_latest.csv,csv,research_backtest,scripts/build_daily_volume_breakout_operation_section.py,.github/workflows/daily_full_pipeline.yml;.github/workflows/research_backtest_pipeline.yml;config/repo_file_lifecycle_inventory.csv;config/report_artifact_lineage.csv;config/runtime_file_lineage_contract.csv;docs/specs/daily_volume_breakout_operation_section_contract.md;scripts/build_daily_volume_breakout_operation_section.py;scripts/validate_daily_volume_breakout_operation_section.py;scripts/validate_repo_semantic_integrity.py,scripts/build_daily_volume_breakout_operation_section.py;scripts/validate_daily_volume_breakout_operation_section.py;scripts/validate_repo_semantic_integrity.py,docs/specs/daily_volume_breakout_operation_section_contract.md,.github/workflows/daily_full_pipeline.yml;.github/workflows/research_backtest_pipeline.yml,scripts/validate_daily_volume_breakout_operation_section.py;scripts/validate_repo_semantic_integrity.py,2026-06-19,true,belongs_to_other_lane,review,high,classification_only_no_move_no_delete;owner_outside_daily_production_no_cross_lane_action
output/latest/approved_operation_patterns_latest.md,md,research_backtest,unknown,.github/workflows/research_backtest_pipeline.yml,,,.github/workflows/research_backtest_pipeline.yml,,2026-06-19,true,belongs_to_other_lane,review,high,classification_only_no_move_no_delete;owner_outside_daily_production_no_cross_lane_action
output/latest/astrology_read_protocol_latest.md,md,daily_production,unknown,docs/history/reports/20260527_READ_ME_FIRST_DAILY_REPORT.txt;docs/history/reports/20260528_READ_ME_FIRST_DAILY_REPORT.txt;docs/history/reports/20260529_READ_ME_FIRST_DAILY_REPORT.txt;docs/history/reports/20260530_READ_ME_FIRST_DAILY_REPORT.txt;docs/history/reports/20260601_READ_ME_FIRST_DAILY_REPORT.txt;docs/history/reports/20260602_READ_ME_FIRST_DAILY_REPORT.txt;docs/history/reports/20260605_READ_ME_FIRST_DAILY_REPORT.txt;docs/history/reports/20260612_READ_ME_FIRST_DAILY_REPORT.txt;docs/latest/READ_ME_FIRST_DAILY_REPORT.txt;docs/latest/READ_ME_FIRST_DAILY_REPORT_20260618.txt;docs/latest/READ_ME_FIRST_DAILY_REPORT_INDEX.json;docs/latest/READ_ME_FIRST_DAILY_REPORT_INDEX.txt;...(+4),,docs/history/reports/20260527_READ_ME_FIRST_DAILY_REPORT.txt;docs/history/reports/20260528_READ_ME_FIRST_DAILY_REPORT.txt;docs/history/reports/20260529_READ_ME_FIRST_DAILY_REPORT.txt;docs/history/reports/20260530_READ_ME_FIRST_DAILY_REPORT.txt;docs/history/reports/20260601_READ_ME_FIRST_DAILY_REPORT.txt;docs/history/reports/20260602_READ_ME_FIRST_DAILY_REPORT.txt;docs/history/reports/20260605_READ_ME_FIRST_DAILY_REPORT.txt;docs/history/reports/20260612_READ_ME_FIRST_DAILY_REPORT.txt;docs/latest/READ_ME_FIRST_DAILY_REPORT.txt;docs/latest/READ_ME_FIRST_DAILY_REPORT_20260618.txt;docs/latest/READ_ME_FIRST_DAILY_REPORT_INDEX.json;docs/latest/READ_ME_FIRST_DAILY_REPORT_INDEX.txt;output/latest/READ_ME_FIRST_DAILY_REPORT.txt;output/latest/READ_ME_FIRST_DAILY_REPORT_20260618.txt;output/latest/READ_ME_FIRST_DAILY_REPORT_INDEX.json;output/latest/READ_ME_FIRST_DAILY_REPORT_INDEX.txt,,,2026-05-28,true,docs_raw_link_necessary,keep,high,classification_only_no_move_no_delete
output/latest/breakout_latest.csv,csv,daily_production,unknown,,,,,,2026-06-19,true,unknown,unknown,unknown,classification_only_no_move_no_delete;no_rg_or_lineage_consumer_found
output/latest/calendar_data_source_status_latest.md,md,daily_production,unknown,.github/workflows/daily_full_pipeline.yml;.github/workflows/event_catalyst_update.yml;.github/workflows/weekly_theme_review.yml;docs/event_calendar_data_layer.md;docs/history/reports/20260525_READ_ME_FIRST_DAILY_REPORT.txt;docs/history/reports/20260526_READ_ME_FIRST_DAILY_REPORT.txt;docs/history/reports/20260527_READ_ME_FIRST_DAILY_REPORT.txt;docs/history/reports/20260528_READ_ME_FIRST_DAILY_REPORT.txt;docs/history/reports/20260529_READ_ME_FIRST_DAILY_REPORT.txt;docs/history/reports/20260530_READ_ME_FIRST_DAILY_REPORT.txt;docs/history/reports/20260601_READ_ME_FIRST_DAILY_REPORT.txt;docs/history/reports/20260602_READ_ME_FIRST_DAILY_REPORT.txt;...(+13),,docs/event_calendar_data_layer.md;docs/history/reports/20260525_READ_ME_FIRST_DAILY_REPORT.txt;docs/history/reports/20260526_READ_ME_FIRST_DAILY_REPORT.txt;docs/history/reports/20260527_READ_ME_FIRST_DAILY_REPORT.txt;docs/history/reports/20260528_READ_ME_FIRST_DAILY_REPORT.txt;docs/history/reports/20260529_READ_ME_FIRST_DAILY_REPORT.txt;docs/history/reports/20260530_READ_ME_FIRST_DAILY_REPORT.txt;docs/history/reports/20260601_READ_ME_FIRST_DAILY_REPORT.txt;docs/history/reports/20260602_READ_ME_FIRST_DAILY_REPORT.txt;docs/history/reports/20260605_READ_ME_FIRST_DAILY_REPORT.txt;docs/history/reports/20260612_READ_ME_FIRST_DAILY_REPORT.txt;docs/latest/READ_ME_FIRST_DAILY_REPORT.txt;docs/latest/READ_ME_FIRST_DAILY_REPORT_20260618.txt;docs/latest/chatgpt_daily_report_packet_latest.txt;docs/latest/event_calendar_validation_latest.json;output/latest/CHATGPT_DAILY_REPORT_PACKET.txt;output/latest/READ_ME_FIRST_DAILY_REPORT.txt;output/latest/READ_ME_FIRST_DAILY_REPORT_20260618.txt;output/latest/chatgpt_daily_report_packet_latest.txt;output/latest/chatgpt_daily_report_packet_manifest.json;output/latest/event_calendar_validation_latest.json;output/latest/report_publish_check_latest.json,.github/workflows/daily_full_pipeline.yml;.github/workflows/event_catalyst_update.yml;.github/workflows/weekly_theme_review.yml,,2026-06-20,true,packet_manifest_necessary,keep,high,classification_only_no_move_no_delete
output/latest/candidate_repeat_appearance_latest.csv,csv,daily_production,unknown,docs/history/reports/20260525_READ_ME_FIRST_DAILY_REPORT.txt;docs/history/reports/20260526_READ_ME_FIRST_DAILY_REPORT.txt;docs/history/reports/20260527_READ_ME_FIRST_DAILY_REPORT.txt;docs/history/reports/20260528_READ_ME_FIRST_DAILY_REPORT.txt;docs/history/reports/20260529_READ_ME_FIRST_DAILY_REPORT.txt;docs/history/reports/20260530_READ_ME_FIRST_DAILY_REPORT.txt;docs/history/reports/20260601_READ_ME_FIRST_DAILY_REPORT.txt;docs/history/reports/20260602_READ_ME_FIRST_DAILY_REPORT.txt;docs/history/reports/20260605_READ_ME_FIRST_DAILY_REPORT.txt;docs/history/reports/20260612_READ_ME_FIRST_DAILY_REPORT.txt;docs/latest/CHATGPT_INDICATOR_USAGE_GUIDE.txt;docs/latest/READ_ME_FIRST_DAILY_REPORT.txt;...(+17),scripts/build_chatgpt_indicator_usage_guide.py;scripts/check_raw_data_health.py,docs/history/reports/20260525_READ_ME_FIRST_DAILY_REPORT.txt;docs/history/reports/20260526_READ_ME_FIRST_DAILY_REPORT.txt;docs/history/reports/20260527_READ_ME_FIRST_DAILY_REPORT.txt;docs/history/reports/20260528_READ_ME_FIRST_DAILY_REPORT.txt;docs/history/reports/20260529_READ_ME_FIRST_DAILY_REPORT.txt;docs/history/reports/20260530_READ_ME_FIRST_DAILY_REPORT.txt;docs/history/reports/20260601_READ_ME_FIRST_DAILY_REPORT.txt;docs/history/reports/20260602_READ_ME_FIRST_DAILY_REPORT.txt;docs/history/reports/20260605_READ_ME_FIRST_DAILY_REPORT.txt;docs/history/reports/20260612_READ_ME_FIRST_DAILY_REPORT.txt;docs/latest/CHATGPT_INDICATOR_USAGE_GUIDE.txt;docs/latest/READ_ME_FIRST_DAILY_REPORT.txt;docs/latest/READ_ME_FIRST_DAILY_REPORT_20260618.txt;docs/latest/chatgpt_daily_report_packet_latest.txt;docs/latest/chatgpt_indicator_usage_guide_latest.md;docs/latest/raw_data_fetch_status_latest.csv;output/latest/CHATGPT_DAILY_REPORT_PACKET.txt;output/latest/CHATGPT_INDICATOR_USAGE_GUIDE.txt;output/latest/READ_ME_FIRST_DAILY_REPORT.txt;output/latest/READ_ME_FIRST_DAILY_REPORT_20260618.txt;output/latest/candidate_repeat_appearance_validation_latest.json;output/latest/candidate_repeat_appearance_validation_latest.md;output/latest/chatgpt_daily_report_packet_latest.txt;output/latest/chatgpt_daily_report_packet_manifest.json;output/latest/chatgpt_indicator_usage_guide_latest.md;output/latest/raw_data_fetch_status_latest.csv;output/latest/report_publish_check_latest.json,,,2026-06-19,true,packet_manifest_necessary,keep,high,classification_only_no_move_no_delete
output/latest/candidate_repeat_appearance_latest.md,md,daily_production,unknown,docs/history/reports/20260525_READ_ME_FIRST_DAILY_REPORT.txt;docs/history/reports/20260526_READ_ME_FIRST_DAILY_REPORT.txt;docs/history/reports/20260527_READ_ME_FIRST_DAILY_REPORT.txt;docs/history/reports/20260528_READ_ME_FIRST_DAILY_REPORT.txt;docs/history/reports/20260529_READ_ME_FIRST_DAILY_REPORT.txt;docs/history/reports/20260530_READ_ME_FIRST_DAILY_REPORT.txt;docs/history/reports/20260601_READ_ME_FIRST_DAILY_REPORT.txt;docs/history/reports/20260602_READ_ME_FIRST_DAILY_REPORT.txt;docs/history/reports/20260605_READ_ME_FIRST_DAILY_REPORT.txt;docs/history/reports/20260612_READ_ME_FIRST_DAILY_REPORT.txt;docs/latest/READ_ME_FIRST_DAILY_REPORT.txt;docs/latest/READ_ME_FIRST_DAILY_REPORT_20260618.txt;...(+9),,docs/history/reports/20260525_READ_ME_FIRST_DAILY_REPORT.txt;docs/history/reports/20260526_READ_ME_FIRST_DAILY_REPORT.txt;docs/history/reports/20260527_READ_ME_FIRST_DAILY_REPORT.txt;docs/history/reports/20260528_READ_ME_FIRST_DAILY_REPORT.txt;docs/history/reports/20260529_READ_ME_FIRST_DAILY_REPORT.txt;docs/history/reports/20260530_READ_ME_FIRST_DAILY_REPORT.txt;docs/history/reports/20260601_READ_ME_FIRST_DAILY_REPORT.txt;docs/history/reports/20260602_READ_ME_FIRST_DAILY_REPORT.txt;docs/history/reports/20260605_READ_ME_FIRST_DAILY_REPORT.txt;docs/history/reports/20260612_READ_ME_FIRST_DAILY_REPORT.txt;docs/latest/READ_ME_FIRST_DAILY_REPORT.txt;docs/latest/READ_ME_FIRST_DAILY_REPORT_20260618.txt;docs/latest/chatgpt_daily_report_packet_latest.txt;output/latest/CHATGPT_DAILY_REPORT_PACKET.txt;output/latest/READ_ME_FIRST_DAILY_REPORT.txt;output/latest/READ_ME_FIRST_DAILY_REPORT_20260618.txt;output/latest/candidate_repeat_appearance_validation_latest.json;output/latest/candidate_repeat_appearance_validation_latest.md;output/latest/chatgpt_daily_report_packet_latest.txt;output/latest/chatgpt_daily_report_packet_manifest.json;output/latest/report_publish_check_latest.json,,,2026-06-19,true,packet_manifest_necessary,keep,high,classification_only_no_move_no_delete
output/latest/candidate_repeat_appearance_validation_latest.md,md,daily_production,unknown,,,,,,2026-06-19,true,diagnostic_stale_candidate,candidate_for_future_cleanup,medium,classification_only_no_move_no_delete;no_rg_or_lineage_consumer_found
