path,type,owner,status,called_by_workflow,imported_by,tested_by,documented_by,writes_artifact,reads_artifact,keep_reason,delete_reason,removal_risk
.github/workflows/current_holdings_pattern.yml,workflow,current_holdings,active,,,,,,,current holdings workflow boundary,,medium
.github/workflows/daily_full_pipeline.yml,workflow,daily_production,active,,,,docs/APPS_SCRIPT_WORKFLOW_TRIGGER.md;docs/pdf_production_inventory.md;docs/repo_production_inventory.md;rules/rules_index_latest.md,,,daily production workflow boundary,,high
.github/workflows/debug_tpex_fetch.yml,workflow,diagnostics,manual_diagnostic,,,,,,,diagnostics workflow boundary,,low
.github/workflows/diagnose_stock_selection.yml,workflow,diagnostics,manual_diagnostic,,,,,,,diagnostics workflow boundary,,low
.github/workflows/event_catalyst_update.yml,workflow,catalyst_event,active,,,,docs/APPS_SCRIPT_WORKFLOW_TRIGGER.md,,,catalyst event workflow boundary,,medium
.github/workflows/individual_stock_data_refresh.yml,workflow,individual_stock,active,,,,docs/APPS_SCRIPT_WORKFLOW_TRIGGER.md;docs/pdf_production_inventory.md;docs/repo_production_inventory.md,,,individual stock workflow boundary,,medium
.github/workflows/individual_stock_report.yml,workflow,individual_stock,active,,,,docs/pdf_production_inventory.md;docs/repo_production_inventory.md,,,individual stock workflow boundary,,medium
.github/workflows/official_price_backfill.yml,workflow,official_price_data,active,,,,,,,official price data workflow boundary,,high
.github/workflows/official_price_fetch.yml,workflow,official_price_data,active,,,,,,,official price data workflow boundary,,high
.github/workflows/pages.yml,workflow,repo_infrastructure,active,,,,docs/pdf_production_inventory.md,,,repo infrastructure workflow boundary,,high
.github/workflows/repair_daily_price_range.yml,workflow,official_price_data,active,,,,,,,official price data workflow boundary,,high
.github/workflows/repair_one_daily_price.yml,workflow,official_price_data,active,,,,,,,official price data workflow boundary,,high
.github/workflows/research_backtest_pipeline.yml,workflow,research_backtest,active,,,,docs/APPS_SCRIPT_WORKFLOW_TRIGGER.md;docs/pdf_production_inventory.md;docs/repo_production_inventory.md;docs/thread_templates/research_backtest.md;rules/rules_index_latest.md,,,research backtest workflow boundary,,medium
.github/workflows/signal_performance_tracker.yml,workflow,research_backtest,active,,,,,,,research backtest workflow boundary,,medium
.github/workflows/tdcc_history_backfill.yml,workflow,tdcc_weekly,active,,,,docs/repo_production_inventory.md;rules/rules_index_latest.md,,,tdcc weekly workflow boundary,,medium
.github/workflows/tdcc_weekly.yml,workflow,tdcc_weekly,active,,,,docs/pdf_production_inventory.md;docs/repo_production_inventory.md,,,tdcc weekly workflow boundary,,medium
.github/workflows/test_tdcc_trend.yml,workflow,diagnostics,manual_diagnostic,,,,,,,diagnostics workflow boundary,,low
.github/workflows/warrant_flow.yml,workflow,warrant,active,,,,docs/repo_production_inventory.md,,,warrant workflow boundary,,high
.github/workflows/weekly_theme_review.yml,workflow,catalyst_event,active,,,,docs/APPS_SCRIPT_WORKFLOW_TRIGGER.md,,,catalyst event workflow boundary,,medium
AGENTS.md,guidance_doc,repo_infrastructure,active,,,,AGENTS.md;docs/repo_production_inventory.md,,,active project guidance checked for executable command references,,none
README.md,guidance_doc,repo_infrastructure,active,,,,README.md;docs/repo_production_inventory.md,,,active project guidance checked for executable command references,,none
backfill_official_daily_price.py,python,official_price_data,active,.github/workflows/official_price_backfill.yml,,,,,,official price data script: backfill_official_daily_price,,high
build_all_candidates_latest.py,python,daily_production,active,.github/workflows/daily_full_pipeline.yml,tests/test_all_candidates_date_capping.py,tests/test_all_candidates_date_capping.py,,,,daily production script: build_all_candidates_latest,,high
build_chatgpt_daily_report_packet.py,python,repo_infrastructure,active,.github/workflows/daily_full_pipeline.yml,,tests/test_chatgpt_side_pdf_contract.py;tests/test_daily_production_boundaries.py;tests/test_daily_volume_breakout_operation_section.py;tests/test_repo_code_isolation_policy.py,,output/latest/chatgpt_daily_report_packet_latest.txt,output/latest/daily_candidate_model_signals_for_report_latest.csv;scripts/run_chatgpt_daily_report_entrypoint.py,repository infrastructure script: build_chatgpt_daily_report_packet,,high
