event_date,event_end_date,stock_id,stock_name,market,event_type,event_name,event_status,event_confidence,catalyst_tags,source,source_url,days_to_event,proximity_bucket,expected_impact,notes,last_updated
20260311,20260311,6928,攸泰科技,TWSE,shareholder_meeting,股東會日期,confirmed,high,shareholder_meeting_calendar,TWSE OpenAPI dividend distribution shareholder meeting date,https://openapi.twse.com.tw/v1/opendata/t187ap45_L,-111,past,calendar_event_not_standalone_catalyst,"股東會日期欄位來自 TWSE OpenAPI t187ap45_L。This is a governance calendar reminder, not a standalone recommendation catalyst.",2026-06-30 14:37:38 Asia/Taipei
20260508,20260508,2836,高雄銀甲特,TWSE,shareholder_meeting,股東會日期,confirmed,high,shareholder_meeting_calendar,TWSE OpenAPI dividend distribution shareholder meeting date,https://openapi.twse.com.tw/v1/opendata/t187ap45_L,-53,past,calendar_event_not_standalone_catalyst,"股東會日期欄位來自 TWSE OpenAPI t187ap45_L。This is a governance calendar reminder, not a standalone recommendation catalyst.",2026-06-30 14:37:38 Asia/Taipei
20260511,20260511,2597,潤弘,TWSE,shareholder_meeting,股東會日期,confirmed,high,shareholder_meeting_calendar,TWSE OpenAPI dividend distribution shareholder meeting date,https://openapi.twse.com.tw/v1/opendata/t187ap45_L,-50,past,calendar_event_not_standalone_catalyst,"股東會日期欄位來自 TWSE OpenAPI t187ap45_L。This is a governance calendar reminder, not a standalone recommendation catalyst.",2026-06-30 14:37:38 Asia/Taipei
20260512,20260512,1459,聯發,TWSE,shareholder_meeting,股東會日期,confirmed,high,shareholder_meeting_calendar,TWSE OpenAPI dividend distribution shareholder meeting date,https://openapi.twse.com.tw/v1/opendata/t187ap45_L,-49,past,calendar_event_not_standalone_catalyst,"股東會日期欄位來自 TWSE OpenAPI t187ap45_L。This is a governance calendar reminder, not a standalone recommendation catalyst.",2026-06-30 14:37:38 Asia/Taipei
20260512,20260512,1720,生達,TWSE,shareholder_meeting,股東會日期,confirmed,high,shareholder_meeting_calendar,TWSE OpenAPI dividend distribution shareholder meeting date,https://openapi.twse.com.tw/v1/opendata/t187ap45_L,-49,past,calendar_event_not_standalone_catalyst,"股東會日期欄位來自 TWSE OpenAPI t187ap45_L。This is a governance calendar reminder, not a standalone recommendation catalyst.",2026-06-30 14:37:38 Asia/Taipei
20260512,20260512,3024,憶聲,TWSE,shareholder_meeting,股東會日期,confirmed,high,shareholder_meeting_calendar,TWSE OpenAPI dividend distribution shareholder meeting date,https://openapi.twse.com.tw/v1/opendata/t187ap45_L,-49,past,calendar_event_not_standalone_catalyst,"股東會日期欄位來自 TWSE OpenAPI t187ap45_L。This is a governance calendar reminder, not a standalone recommendation catalyst.",2026-06-30 14:37:38 Asia/Taipei
20260514,20260514,6225,天瀚,TWSE,shareholder_meeting,股東會日期,confirmed,high,shareholder_meeting_calendar,TWSE OpenAPI dividend distribution shareholder meeting date,https://openapi.twse.com.tw/v1/opendata/t187ap45_L,-47,past,calendar_event_not_standalone_catalyst,"股東會日期欄位來自 TWSE OpenAPI t187ap45_L。This is a governance calendar reminder, not a standalone recommendation catalyst.",2026-06-30 14:37:38 Asia/Taipei
20260514,20260514,8033,雷虎,TWSE,shareholder_meeting,股東會日期,confirmed,high,shareholder_meeting_calendar,TWSE OpenAPI dividend distribution shareholder meeting date,https://openapi.twse.com.tw/v1/opendata/t187ap45_L,-47,past,calendar_event_not_standalone_catalyst,"股東會日期欄位來自 TWSE OpenAPI t187ap45_L。This is a governance calendar reminder, not a standalone recommendation catalyst.",2026-06-30 14:37:38 Asia/Taipei
20260514,20260514,8101,華冠,TWSE,shareholder_meeting,股東會日期,confirmed,high,shareholder_meeting_calendar,TWSE OpenAPI dividend distribution shareholder meeting date,https://openapi.twse.com.tw/v1/opendata/t187ap45_L,-47,past,calendar_event_not_standalone_catalyst,"股東會日期欄位來自 TWSE OpenAPI t187ap45_L。This is a governance calendar reminder, not a standalone recommendation catalyst.",2026-06-30 14:37:38 Asia/Taipei
20260515,20260515,6550,北極星藥業-KY,TWSE,shareholder_meeting,股東會日期,confirmed,high,shareholder_meeting_calendar,TWSE OpenAPI dividend distribution shareholder meeting date,https://openapi.twse.com.tw/v1/opendata/t187ap45_L,-46,past,calendar_event_not_standalone_catalyst,"股東會日期欄位來自 TWSE OpenAPI t187ap45_L。This is a governance calendar reminder, not a standalone recommendation catalyst.",2026-06-30 14:37:38 Asia/Taipei
20260515,20260515,8463,潤泰材,TWSE,shareholder_meeting,股東會日期,confirmed,high,shareholder_meeting_calendar,TWSE OpenAPI dividend distribution shareholder meeting date,https://openapi.twse.com.tw/v1/opendata/t187ap45_L,-46,past,calendar_event_not_standalone_catalyst,"股東會日期欄位來自 TWSE OpenAPI t187ap45_L。This is a governance calendar reminder, not a standalone recommendation catalyst.",2026-06-30 14:37:38 Asia/Taipei
20260518,20260518,2642,宅配通,TWSE,shareholder_meeting,股東會日期,confirmed,high,shareholder_meeting_calendar,TWSE OpenAPI dividend distribution shareholder meeting date,https://openapi.twse.com.tw/v1/opendata/t187ap45_L,-43,past,calendar_event_not_standalone_catalyst,"股東會日期欄位來自 TWSE OpenAPI t187ap45_L。This is a governance calendar reminder, not a standalone recommendation catalyst.",2026-06-30 14:37:38 Asia/Taipei
20260518,20260518,9940,信義,TWSE,shareholder_meeting,股東會日期,confirmed,high,shareholder_meeting_calendar,TWSE OpenAPI dividend distribution shareholder meeting date,https://openapi.twse.com.tw/v1/opendata/t187ap45_L,-43,past,calendar_event_not_standalone_catalyst,"股東會日期欄位來自 TWSE OpenAPI t187ap45_L。This is a governance calendar reminder, not a standalone recommendation catalyst.",2026-06-30 14:37:38 Asia/Taipei
20260519,20260519,1710,東聯,TWSE,shareholder_meeting,股東會日期,confirmed,high,shareholder_meeting_calendar,TWSE OpenAPI dividend distribution shareholder meeting date,https://openapi.twse.com.tw/v1/opendata/t187ap45_L,-42,past,calendar_event_not_standalone_catalyst,"股東會日期欄位來自 TWSE OpenAPI t187ap45_L。This is a governance calendar reminder, not a standalone recommendation catalyst.",2026-06-30 14:37:38 Asia/Taipei
