date,stock_id,stock_name,market,open,high,low,close,volume,trading_value,source
20250327,006201,元大富櫃50,TPEx,21.15,21.15,20.9,20.99,60000,1260350,TPEX_OTC_QUOTES_NO1430_JSON
20250327,00858,永豐美國500大,TPEx,31.09,31.14,31.08,31.13,417000,12970870,TPEX_OTC_QUOTES_NO1430_JSON
20250327,00877,復華中國5G,TPEx,13.01,13.1,12.86,12.98,1168000,15142780,TPEX_OTC_QUOTES_NO1430_JSON
20250327,00886,永豐美國科技,TPEx,33.98,34.02,33.96,34.02,37000,1256720,TPEX_OTC_QUOTES_NO1430_JSON
20250327,00887,永豐中國科技50大,TPEx,8.69,8.77,8.64,8.67,9412000,81758500,TPEX_OTC_QUOTES_NO1430_JSON
20250327,00888,永豐台灣ESG,TPEx,15.9,15.9,15.81,15.83,995000,15752700,TPEX_OTC_QUOTES_NO1430_JSON
20250327,00928,中信上櫃ESG 30,TPEx,15.87,15.87,15.76,15.77,463000,7319450,TPEX_OTC_QUOTES_NO1430_JSON
20250327,00955,中信日本商社,TPEx,10.01,10.06,9.98,10.04,3031000,30405710,TPEX_OTC_QUOTES_NO1430_JSON
20250327,020001,富邦存股雙十N,TPEx,12.43,12.43,12.43,12.43,1000,12430,TPEX_OTC_QUOTES_NO1430_JSON
20250327,020023,元大櫃買半導體N,TPEx,5.5,5.51,5.49,5.49,37000,203460,TPEX_OTC_QUOTES_NO1430_JSON
20250327,020025,統一亞洲半導體N,TPEx,10.1,10.1,10.1,10.1,1000,10100,TPEX_OTC_QUOTES_NO1430_JSON
20250327,020027,元大上櫃ESG成長N,TPEx,5.31,5.31,5.3,5.3,40000,212200,TPEX_OTC_QUOTES_NO1430_JSON
20250327,020033,統一恒生科期N,TPEx,4.61,4.7,4.57,4.66,38000,176340,TPEX_OTC_QUOTES_NO1430_JSON
20250327,020040,元大上櫃ESG龍頭N,TPEx,5.08,5.08,5.08,5.08,10000,50800,TPEX_OTC_QUOTES_NO1430_JSON
20250327,020041,兆豐半導體氣候N,TPEx,5.12,5.12,5.11,5.11,15000,76750,TPEX_OTC_QUOTES_NO1430_JSON
20250327,1240,茂生農經,TPEx,58.9,59.0,58.5,58.7,43000,2531600,TPEX_OTC_QUOTES_NO1430_JSON
20250327,1259,安心,TPEx,63.3,63.3,63.3,63.3,4000,253200,TPEX_OTC_QUOTES_NO1430_JSON
20250327,1264,德麥,TPEx,313.0,313.0,312.0,312.5,10000,3126500,TPEX_OTC_QUOTES_NO1430_JSON
20250327,1268,漢來美食,TPEx,152.0,152.0,152.0,152.0,3000,456000,TPEX_OTC_QUOTES_NO1430_JSON
20250327,1294,漢田生技,TPEx,94.7,96.1,93.7,95.2,52000,4931600,TPEX_OTC_QUOTES_NO1430_JSON
20250327,1336,台翰,TPEx,26.5,27.15,25.8,25.8,1411000,37460550,TPEX_OTC_QUOTES_NO1430_JSON
20250327,1565,精華,TPEx,196.5,197.5,196.0,197.0,58000,11402500,TPEX_OTC_QUOTES_NO1430_JSON
20250327,1569,濱川,TPEx,77.2,79.8,76.8,79.8,9206000,720996900,TPEX_OTC_QUOTES_NO1430_JSON
20250327,1570,力肯,TPEx,27.65,28.45,27.65,28.4,59000,1653300,TPEX_OTC_QUOTES_NO1430_JSON
20250327,1580,新麥,TPEx,153.0,153.0,151.5,151.5,38000,5767000,TPEX_OTC_QUOTES_NO1430_JSON
20250327,1584,精剛,TPEx,30.05,31.4,29.95,30.5,9239000,282187550,TPEX_OTC_QUOTES_NO1430_JSON
20250327,1586,和勤,TPEx,30.5,30.5,30.0,30.15,59000,1779150,TPEX_OTC_QUOTES_NO1430_JSON
20250327,1591,駿吉-KY,TPEx,47.65,49.75,47.5,49.6,125000,6144150,TPEX_OTC_QUOTES_NO1430_JSON
20250327,1593,祺驊,TPEx,38.45,38.45,37.4,38.15,11000,416750,TPEX_OTC_QUOTES_NO1430_JSON
20250327,1595,川寶,TPEx,44.5,44.55,44.1,44.2,126000,5573700,TPEX_OTC_QUOTES_NO1430_JSON
20250327,1599,宏佳騰,TPEx,30.4,30.65,30.25,30.25,27000,820150,TPEX_OTC_QUOTES_NO1430_JSON
20250327,1742,台蠟,TPEx,17.7,17.9,17.7,17.85,7000,124500,TPEX_OTC_QUOTES_NO1430_JSON
20250327,1777,生泰,TPEx,104.0,105.5,104.0,105.5,83000,8676000,TPEX_OTC_QUOTES_NO1430_JSON
20250327,1781,合世,TPEx,16.15,16.25,16.15,16.15,17000,275100,TPEX_OTC_QUOTES_NO1430_JSON
20250327,1784,訊聯,TPEx,90.6,91.7,88.7,89.0,610000,54978200,TPEX_OTC_QUOTES_NO1430_JSON
20250327,1785,光洋科,TPEx,63.9,64.0,62.4,63.1,3838000,241982700,TPEX_OTC_QUOTES_NO1430_JSON
20250327,1788,杏昌,TPEx,143.0,143.0,143.0,143.0,20000,2860000,TPEX_OTC_QUOTES_NO1430_JSON
20250327,1796,金穎生技,TPEx,54.5,54.8,54.1,54.8,10000,545900,TPEX_OTC_QUOTES_NO1430_JSON
20250327,1799,易威,TPEx,74.2,75.2,73.4,73.6,234000,17324100,TPEX_OTC_QUOTES_NO1430_JSON
20250327,1813,寶利徠,TPEx,17.45,17.75,17.4,17.75,13000,228950,TPEX_OTC_QUOTES_NO1430_JSON
20250327,1815,富喬,TPEx,34.65,35.2,34.05,34.5,51576000,1779437600,TPEX_OTC_QUOTES_NO1430_JSON
20250327,2035,唐榮公司,TPEx,32.3,32.5,32.3,32.5,7000,226750,TPEX_OTC_QUOTES_NO1430_JSON
20250327,2061,風青,TPEx,22.5,22.8,22.2,22.75,360000,8115850,TPEX_OTC_QUOTES_NO1430_JSON
20250327,2063,世鎧精密,TPEx,38.9,39.1,38.5,38.6,47000,1818350,TPEX_OTC_QUOTES_NO1430_JSON
