date,stock_id,stock_name,market,open,high,low,close,volume,trading_value,source
20240809,006201,元大富櫃50,TPEx,21.91,22.33,21.91,22.22,89000,1978730,TPEX_OTC_QUOTES_NO1430_JSON
20240809,00858,永豐美國500大,TPEx,30.08,30.1,30.01,30.03,317000,9531520,TPEX_OTC_QUOTES_NO1430_JSON
20240809,00877,復華中國5G,TPEx,10.48,10.6,10.39,10.5,977000,10277900,TPEX_OTC_QUOTES_NO1430_JSON
20240809,00886,永豐美國科技,TPEx,31.0,31.09,31.0,31.0,51000,1583320,TPEX_OTC_QUOTES_NO1430_JSON
20240809,00887,永豐中國科技50大,TPEx,9.88,9.9,9.83,9.84,510000,5031650,TPEX_OTC_QUOTES_NO1430_JSON
20240809,00888,永豐台灣ESG,TPEx,16.2,16.44,16.2,16.33,3896000,63667870,TPEX_OTC_QUOTES_NO1430_JSON
20240809,00928,中信上櫃ESG 30,TPEx,15.98,16.06,15.92,15.92,1203000,19234940,TPEX_OTC_QUOTES_NO1430_JSON
20240809,020001,富邦存股雙十N,TPEx,11.31,11.31,11.31,11.31,1000,11310,TPEX_OTC_QUOTES_NO1430_JSON
20240809,020023,元大櫃買半導體N,TPEx,5.92,5.92,5.84,5.84,32000,188510,TPEX_OTC_QUOTES_NO1430_JSON
20240809,020025,統一亞洲半導體N,TPEx,10.01,10.07,9.93,10.06,52000,521920,TPEX_OTC_QUOTES_NO1430_JSON
20240809,020033,統一恒生科期N,TPEx,2.94,2.99,2.94,2.99,107000,315870,TPEX_OTC_QUOTES_NO1430_JSON
20240809,020035,元大上櫃ESG高息N,TPEx,7.4,7.41,7.38,7.41,5000,37000,TPEX_OTC_QUOTES_NO1430_JSON
20240809,020040,元大上櫃ESG龍頭N,TPEx,5.21,5.24,5.21,5.21,22000,115120,TPEX_OTC_QUOTES_NO1430_JSON
20240809,1240,茂生農經,TPEx,50.6,51.1,50.5,51.0,39000,1981800,TPEX_OTC_QUOTES_NO1430_JSON
20240809,1259,安心,TPEx,69.3,71.4,68.2,70.0,44000,3063500,TPEX_OTC_QUOTES_NO1430_JSON
20240809,1264,德麥,TPEx,313.0,315.0,313.0,314.0,5000,1568500,TPEX_OTC_QUOTES_NO1430_JSON
20240809,1268,漢來美食,TPEx,158.5,160.0,156.0,158.0,244000,38367000,TPEX_OTC_QUOTES_NO1430_JSON
20240809,1336,台翰,TPEx,21.1,21.6,21.05,21.3,172000,3675150,TPEX_OTC_QUOTES_NO1430_JSON
20240809,1565,精華,TPEx,178.5,179.5,177.0,177.0,172000,30674500,TPEX_OTC_QUOTES_NO1430_JSON
20240809,1569,濱川,TPEx,28.5,29.1,27.8,27.8,3083000,87647500,TPEX_OTC_QUOTES_NO1430_JSON
20240809,1570,力肯,TPEx,28.2,28.45,27.7,27.7,280000,7826350,TPEX_OTC_QUOTES_NO1430_JSON
20240809,1580,新麥,TPEx,147.0,148.0,146.5,147.5,72000,10597000,TPEX_OTC_QUOTES_NO1430_JSON
20240809,1584,精剛,TPEx,32.9,33.45,32.7,33.1,2681000,88913600,TPEX_OTC_QUOTES_NO1430_JSON
20240809,1586,和勤,TPEx,30.8,31.05,30.5,30.55,215000,6623700,TPEX_OTC_QUOTES_NO1430_JSON
20240809,1591,駿吉-KY,TPEx,53.8,54.6,52.9,53.2,430000,23060900,TPEX_OTC_QUOTES_NO1430_JSON
20240809,1593,祺驊,TPEx,41.05,41.55,41.05,41.2,30000,1239700,TPEX_OTC_QUOTES_NO1430_JSON
20240809,1595,川寶,TPEx,35.5,35.85,34.95,35.85,42000,1484000,TPEX_OTC_QUOTES_NO1430_JSON
20240809,1599,宏佳騰,TPEx,32.9,33.9,32.9,33.6,29000,977250,TPEX_OTC_QUOTES_NO1430_JSON
20240809,1742,台蠟,TPEx,16.9,17.3,16.9,17.1,47000,800500,TPEX_OTC_QUOTES_NO1430_JSON
20240809,1777,生泰,TPEx,92.0,93.3,91.9,93.3,155000,14376600,TPEX_OTC_QUOTES_NO1430_JSON
20240809,1781,合世,TPEx,16.3,16.5,16.05,16.15,198000,3222000,TPEX_OTC_QUOTES_NO1430_JSON
20240809,1784,訊聯,TPEx,109.0,111.0,106.5,107.5,850000,92040500,TPEX_OTC_QUOTES_NO1430_JSON
20240809,1785,光洋科,TPEx,59.0,60.4,57.6,58.2,16537000,972100900,TPEX_OTC_QUOTES_NO1430_JSON
20240809,1788,杏昌,TPEx,139.5,139.5,137.5,138.5,63000,8727000,TPEX_OTC_QUOTES_NO1430_JSON
20240809,1796,金穎生技,TPEx,51.8,51.8,50.1,50.2,23000,1170900,TPEX_OTC_QUOTES_NO1430_JSON
20240809,1799,易威,TPEx,185.0,205.5,176.0,203.5,1913000,372185000,TPEX_OTC_QUOTES_NO1430_JSON
20240809,1813,寶利徠,TPEx,19.85,19.9,19.5,19.55,104000,2050700,TPEX_OTC_QUOTES_NO1430_JSON
20240809,1815,富喬,TPEx,22.2,22.55,21.55,21.65,11282000,248493900,TPEX_OTC_QUOTES_NO1430_JSON
20240809,2035,唐榮公司,TPEx,31.9,32.15,31.9,32.0,5000,160100,TPEX_OTC_QUOTES_NO1430_JSON
20240809,2061,風青,TPEx,27.0,28.5,27.0,28.1,1673000,47008750,TPEX_OTC_QUOTES_NO1430_JSON
20240809,2063,世鎧精密,TPEx,47.0,47.0,46.7,46.7,43000,2014100,TPEX_OTC_QUOTES_NO1430_JSON
20240809,2064,晉椿,TPEx,14.85,14.9,14.7,14.7,19000,281450,TPEX_OTC_QUOTES_NO1430_JSON
20240809,2065,世豐,TPEx,59.0,59.8,59.0,59.1,116000,6879300,TPEX_OTC_QUOTES_NO1430_JSON
20240809,2066,世德,TPEx,118.5,119.5,117.5,117.5,110000,13047500,TPEX_OTC_QUOTES_NO1430_JSON
20240809,2067,嘉鋼,TPEx,11.65,11.65,11.5,11.55,58000,673700,TPEX_OTC_QUOTES_NO1430_JSON
20240809,2070,精湛,TPEx,58.2,61.2,56.5,56.8,2484000,146219600,TPEX_OTC_QUOTES_NO1430_JSON
20240809,2221,大甲,TPEx,28.15,28.15,28.05,28.05,6000,168550,TPEX_OTC_QUOTES_NO1430_JSON
20240809,2230,泰茂,TPEx,165.0,167.0,162.0,162.0,498000,81903000,TPEX_OTC_QUOTES_NO1430_JSON
20240809,2235,謚源,TPEx,48.0,48.0,47.9,47.9,4000,191700,TPEX_OTC_QUOTES_NO1430_JSON
