日期,商品名稱,買賣權別,身份別,買方交易口數,買方交易契約金額(千元),賣方交易口數,賣方交易契約金額(千元),交易口數買賣淨額,交易契約金額買賣淨額(千元),買方未平倉口數,買方未平倉契約金額(千元),賣方未平倉口數,賣方未平倉契約金額(千元),未平倉口數買賣淨額,未平倉契約金額買賣淨額(千元)
20260605,臺指選擇權,CALL,自營商,132256,738518,149107,721255,-16851,17263,18627,2233214,19723,3086133,-1096,-852919
20260605,臺指選擇權,CALL,投信,0,0,1,42,-1,-42,1,229,419,78481,-418,-78252
20260605,臺指選擇權,CALL,外資及陸資,136582,668125,138712,685152,-2130,-17028,9785,2340796,7371,1833233,2414,507563
20260605,臺指選擇權,PUT,自營商,121317,1049584,127228,921960,-5911,127624,33646,348316,28631,342907,5015,5409
20260605,臺指選擇權,PUT,投信,0,0,0,0,0,0,93,189,0,0,93,189
20260605,臺指選擇權,PUT,外資及陸資,150998,1093560,151710,1120225,-712,-26664,23584,334574,17093,234602,6491,99972
20260605,電子選擇權,CALL,自營商,123,2711,124,3198,-1,-487,953,62875,868,58378,85,4497
20260605,電子選擇權,CALL,投信,0,0,0,0,0,0,0,0,0,0,0,0
20260605,電子選擇權,CALL,外資及陸資,0,0,0,0,0,0,0,0,0,0,0,0
20260605,電子選擇權,PUT,自營商,61,1364,121,1465,-60,-101,747,15831,521,9726,226,6105
20260605,電子選擇權,PUT,投信,0,0,0,0,0,0,0,0,0,0,0,0
20260605,電子選擇權,PUT,外資及陸資,0,0,0,0,0,0,0,0,0,0,0,0
20260605,金融選擇權,CALL,自營商,183,2016,285,1234,-102,783,424,12008,948,18448,-524,-6440
20260605,金融選擇權,CALL,投信,0,0,0,0,0,0,0,0,0,0,0,0
20260605,金融選擇權,CALL,外資及陸資,0,0,0,0,0,0,0,0,0,0,0,0
20260605,金融選擇權,PUT,自營商,55,530,71,566,-16,-37,489,994,433,1233,56,-239
20260605,金融選擇權,PUT,投信,0,0,0,0,0,0,0,0,0,0,0,0
20260605,金融選擇權,PUT,外資及陸資,0,0,0,0,0,0,0,0,0,0,0,0
20260605,股票選擇權,CALL,自營商,367,7340,431,4153,-64,3187,2120,182632,2345,117551,-225,65081
20260605,股票選擇權,CALL,投信,0,0,0,0,0,0,0,0,0,0,0,0
20260605,股票選擇權,CALL,外資及陸資,0,0,18,3608,-18,-3608,9,533,39,45087,-30,-44554
20260605,股票選擇權,PUT,自營商,230,1971,223,1851,7,120,2261,44142,1155,3676,1106,40466
20260605,股票選擇權,PUT,投信,0,0,0,0,0,0,0,0,0,0,0,0
20260605,股票選擇權,PUT,外資及陸資,0,0,0,0,0,0,0,0,51,11616,-51,-11616
20260605,ETF選擇權,CALL,自營商,6,140,10,241,-4,-101,401,12426,421,13016,-20,-590
20260605,ETF選擇權,CALL,投信,0,0,0,0,0,0,0,0,0,0,0,0
20260605,ETF選擇權,CALL,外資及陸資,0,0,0,0,0,0,0,0,0,0,0,0
20260605,ETF選擇權,PUT,自營商,14,161,10,93,4,68,416,3509,362,2870,54,639
20260605,ETF選擇權,PUT,投信,0,0,0,0,0,0,0,0,0,0,0,0
20260605,ETF選擇權,PUT,外資及陸資,0,0,0,0,0,0,0,0,0,0,0,0
