date,stock_id,stock_name,market,open,high,low,close,volume,trading_value,source,source_file,ma5,ma20,ma60,ma120,ema23,return_1d,return_5d,return_20d,return_60d,return_120d,volume_ma20,volume_ratio,high_20,high_60,high_120,low_20,low_60,low_120,distance_to_ma20_pct,distance_to_ma60_pct,distance_to_ma120_pct,distance_to_ema23_pct,distance_to_high_20_pct,distance_to_high_60_pct,distance_to_high_120_pct,distance_to_low_60_pct,distance_to_low_120_pct
20250407,5210,寶碩,otc,29.2,30.85,28.5,29.0,1427141.0,41610269.0,,data/daily_price/20250407.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,
20251103,5210,寶碩,TPEX,23.15,23.15,22.7,23.05,194000.0,,,data/daily_price/20251103.csv,,,,,,-20.5172,,,,,,,,,,,,,,,,,,,,,
20251104,5210,寶碩,TPEX,22.85,23.0,22.6,22.95,200000.0,,,data/daily_price/20251104.csv,,,,,,-0.4338,,,,,,,,,,,,,,,,,,,,,
20251105,5210,寶碩,TPEX,22.75,23.0,22.35,22.95,84000.0,,,data/daily_price/20251105.csv,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,
20251106,5210,寶碩,TPEX,22.95,23.0,22.75,23.0,34000.0,,,data/daily_price/20251106.csv,24.19,24.19,24.19,24.19,27.2323,0.2179,,,,,387828.2,0.0877,30.85,30.85,30.85,22.35,22.35,22.35,-4.9194,-4.9194,-4.9194,-15.5414,-25.4457,-25.4457,-25.4457,2.9083,2.9083
20251107,5210,寶碩,TPEX,23.0,23.0,22.3,22.35,101000.0,,,data/daily_price/20251107.csv,22.86,23.8833,23.8833,23.8833,26.8254,-2.8261,-22.931,,,,340023.5,0.297,30.85,30.85,30.85,22.3,22.3,22.3,-6.4201,-6.4201,-6.4201,-16.6835,-27.5527,-27.5527,-27.5527,0.2242,0.2242
20251110,5210,寶碩,TPEX,22.9,23.0,22.5,22.95,150000.0,,,data/daily_price/20251110.csv,22.84,23.75,23.75,23.75,26.5025,2.6846,-0.4338,,,,312877.2857,0.4794,30.85,30.85,30.85,22.3,22.3,22.3,-3.3684,-3.3684,-3.3684,-13.4043,-25.6078,-25.6078,-25.6078,2.9148,2.9148
20251111,5210,寶碩,TPEX,22.65,23.2,21.5,22.8,309000.0,,,data/daily_price/20251111.csv,22.81,23.6312,23.6312,23.6312,26.1939,-0.6536,-0.6536,,,,312392.625,0.9891,30.85,30.85,30.85,21.5,21.5,21.5,-3.5176,-3.5176,-3.5176,-12.957,-26.094,-26.094,-26.094,6.0465,6.0465
20251112,5210,寶碩,TPEX,23.25,23.25,22.25,22.55,208000.0,,,data/daily_price/20251112.csv,22.73,23.5111,23.5111,23.5111,25.8903,-1.0965,-1.7429,,,,300793.4444,0.6915,30.85,30.85,30.85,21.5,21.5,21.5,-4.0879,-4.0879,-4.0879,-12.9017,-26.9044,-26.9044,-26.9044,4.8837,4.8837
20251113,5210,寶碩,TPEX,22.4,22.4,21.55,21.8,451000.0,,,data/daily_price/20251113.csv,22.49,23.34,23.34,23.34,25.5494,-3.3259,-5.2174,,,,315814.1,1.4281,30.85,30.85,30.85,21.5,21.5,21.5,-6.5981,-6.5981,-6.5981,-14.6752,-29.3355,-29.3355,-29.3355,1.3953,1.3953
