as_of_date,stock_id,序,持股/單位數分級,人數,股數/單位數,占集保庫存數比例 (%)
20251121,1805,1,1-999,6873,869000,0.64
20251121,1805,2,"1,000-5,000",2083,3994906,2.95
20251121,1805,3,"5,001-10,000",296,2319706,1.71
20251121,1805,4,"10,001-15,000",128,1655505,1.22
20251121,1805,5,"15,001-20,000",82,1483008,1.09
20251121,1805,6,"20,001-30,000",92,2365071,1.75
20251121,1805,7,"30,001-40,000",49,1766581,1.3
20251121,1805,8,"40,001-50,000",25,1134401,0.84
20251121,1805,9,"50,001-100,000",69,4906808,3.63
20251121,1805,10,"100,001-200,000",32,4646772,3.44
20251121,1805,11,"200,001-400,000",20,5719582,4.23
20251121,1805,12,"400,001-600,000",12,6107660,4.52
20251121,1805,13,"600,001-800,000",3,2111000,1.56
20251121,1805,14,"800,001-1,000,000",4,3720948,2.75
20251121,1805,15,"1,000,001以上",20,92169507,68.28
20251121,1805,16,合　計,9788,134970455,100.0
20251128,1805,1,1-999,6872,869285,0.64
20251128,1805,2,"1,000-5,000",2054,3929356,2.91
20251128,1805,3,"5,001-10,000",291,2270527,1.68
20251128,1805,4,"10,001-15,000",131,1690505,1.25
20251128,1805,5,"15,001-20,000",77,1388463,1.02
20251128,1805,6,"20,001-30,000",95,2439142,1.8
20251128,1805,7,"30,001-40,000",50,1800081,1.33
20251128,1805,8,"40,001-50,000",26,1186401,0.87
20251128,1805,9,"50,001-100,000",69,4887508,3.62
20251128,1805,10,"100,001-200,000",32,4635490,3.43
20251128,1805,11,"200,001-400,000",19,5320582,3.94
20251128,1805,12,"400,001-600,000",13,6517660,4.82
20251128,1805,13,"600,001-800,000",3,2131000,1.57
20251128,1805,14,"800,001-1,000,000",4,3734948,2.76
20251128,1805,15,"1,000,001以上",20,92169507,68.28
20251128,1805,16,合　計,9756,134970455,100.0
20251205,1805,1,1-999,6867,869064,0.64
20251205,1805,2,"1,000-5,000",2037,3901396,2.89
20251205,1805,3,"5,001-10,000",289,2258694,1.67
20251205,1805,4,"10,001-15,000",127,1634560,1.21
20251205,1805,5,"15,001-20,000",82,1481063,1.09
20251205,1805,6,"20,001-30,000",95,2429973,1.8
20251205,1805,7,"30,001-40,000",50,1797181,1.33
20251205,1805,8,"40,001-50,000",28,1293829,0.95
20251205,1805,9,"50,001-100,000",69,4915508,3.64
20251205,1805,10,"100,001-200,000",31,4550253,3.37
20251205,1805,11,"200,001-400,000",20,5528819,4.09
20251205,1805,12,"400,001-600,000",13,6524660,4.83
20251205,1805,13,"600,001-800,000",3,2131000,1.57
20251205,1805,14,"800,001-1,000,000",4,3764948,2.78
20251205,1805,15,"1,000,001以上",20,91889507,68.08
20251205,1805,16,合　計,9735,134970455,100.0
20251212,1805,1,1-999,6859,867832,0.64
20251212,1805,2,"1,000-5,000",2024,3899400,2.88
20251212,1805,3,"5,001-10,000",281,2192780,1.62
20251212,1805,4,"10,001-15,000",127,1626360,1.2
