theme_name,theme_candidate_count,theme_priority_high_count,theme_priority_confirm_count,theme_strict_breakout_count,theme_true_breakout_count,theme_volume_breakout_count,theme_near_high_count,theme_revenue_growth_count,theme_revenue_low_response_count,theme_tdcc_strong_count,theme_tdcc_mild_count,theme_tdcc_distribution_warning_count,theme_warrant_bullish_count,theme_warrant_bearish_count,theme_overheated_count,theme_avg_volume_ratio,theme_avg_relative_strength_vs_benchmark,theme_leader_stock_id,theme_leader_stock_name,theme_leader_confirmed,theme_breadth_score,theme_strength_score,theme_risk_score,theme_final_status,theme_market_flow_status,theme_structural_status,theme_mainstream_label
橡膠工業,2,0,0,0,0,0,1,1,0,1,1,0,0,0,1,0.54,0.0,2104,國際中橡,True,13,19.1,10.0,emerging_theme,emerging_theme,non_mainstream_theme,non_mainstream_flow_active
電器電纜,2,0,0,0,0,0,1,2,0,0,0,2,2,0,0,0.8,0.0,1609,大亞,True,13,17.1,24.0,emerging_theme,emerging_theme,non_mainstream_theme,non_mainstream_flow_active
TWSE,13,0,0,0,0,0,13,0,0,2,5,3,6,1,1,1.02,0.0,0050,元大台灣50,True,100,100.0,52.0,mainstream_follow_through,mainstream_follow_through,non_mainstream_theme,non_mainstream_flow_active
資訊服務業,8,0,0,1,1,4,8,6,0,0,2,6,5,0,0,5.42,0.0,3029,零壹,True,100,100.0,72.0,mainstream_follow_through,mainstream_follow_through,non_mainstream_theme,non_mainstream_flow_active
鋼鐵工業,5,0,0,1,1,1,3,3,0,2,2,1,0,0,1,1.43,0.0,2069,運錩,True,53,56.6,22.0,mainstream_follow_through,mainstream_follow_through,non_mainstream_theme,non_mainstream_flow_active
neutral,7,0,0,0,0,0,0,7,7,2,4,1,0,0,1,1.45,0.0,1808,潤隆,True,28,51.0,22.0,mainstream_follow_through,mainstream_follow_through,non_mainstream_theme,non_mainstream_flow_active
金融業,4,0,0,0,0,0,0,4,0,0,3,1,0,0,0,1.17,0.0,5864,致和證,False,16,22.2,12.0,mainstream_follow_through,mainstream_follow_through,non_mainstream_theme,non_mainstream_flow_active
光電業,28,0,0,1,1,6,4,17,3,0,16,12,6,0,14,1.16,0.0,3441,聯一光電,True,100,100.0,100.0,mainstream_overheated,mainstream_overheated,core_mainstream_theme,core_mainstream_overheated
其他電子業,19,0,0,0,0,2,2,19,4,1,8,10,1,0,5,1.24,0.0,6739,竹陞科技,True,100,100.0,100.0,mainstream_overheated,mainstream_overheated,non_mainstream_theme,non_mainstream_overheated
半導體業,92,0,0,1,1,3,10,91,14,16,25,50,15,12,37,0.98,0.0,8227,巨有科技,True,100,100.0,100.0,mainstream_overheated,mainstream_overheated,core_mainstream_theme,core_mainstream_overheated
航運業,20,0,0,0,0,2,6,19,0,5,8,7,8,0,12,0.94,0.0,2608,嘉里大榮,True,100,100.0,100.0,mainstream_overheated,mainstream_overheated,non_mainstream_theme,non_mainstream_overheated
通信網路業,32,0,0,1,1,4,6,29,2,4,13,14,3,1,7,1.11,0.0,6416,瑞祺電通,True,100,100.0,100.0,mainstream_overheated,mainstream_overheated,core_mainstream_theme,core_mainstream_overheated
電子通路業,20,0,0,0,0,2,2,20,6,3,7,10,3,0,2,1.58,0.0,6227,茂綸,True,100,100.0,100.0,mainstream_overheated,mainstream_overheated,non_mainstream_theme,non_mainstream_overheated
電子零組件業,86,0,0,1,1,11,7,76,11,5,39,42,11,7,48,1.1,0.0,3229,晟鈦,True,100,100.0,100.0,mainstream_overheated,mainstream_overheated,core_mainstream_theme,core_mainstream_overheated
電腦及週邊設備業,43,0,0,0,0,4,5,42,11,12,10,21,6,0,11,1.46,0.0,6441,廣錠,True,100,100.0,100.0,mainstream_overheated,mainstream_overheated,core_mainstream_theme,core_mainstream_overheated
