# PRICE_WINDOW_135

columns=date,open,high,low,close,volume,ma5,ema23,ma20,ma60,ma120,return_1d,return_5d,return_20d,volume_ratio,distance_to_ema23_pct,distance_to_ma20_pct,distance_to_high_60_pct

PRICE_WINDOW_180_ROW_001=20251103,223.0,226.5,220.0,224.0,41412619,,,,,,,,,,,,

PRICE_WINDOW_180_ROW_002=20251104,230.0,231.0,214.0,214.0,35068048,,,,,,-4.4643,,,,,,

PRICE_WINDOW_180_ROW_003=20251105,206.0,222.0,205.5,220.5,35493875,,,,,,3.0374,,,,,,

PRICE_WINDOW_180_ROW_004=20251106,226.0,228.0,216.0,217.5,30246229,,,,,,-1.3605,,,,,,

PRICE_WINDOW_180_ROW_005=20251107,213.5,221.0,212.0,213.5,20904119,217.9,221.7415,217.9,217.9,217.9,-1.8391,,,0.6407,-3.7167,-2.0193,-7.5758

PRICE_WINDOW_180_ROW_006=20251110,214.0,220.0,208.0,217.0,24783461,216.5,221.3464,217.75,217.75,217.75,1.6393,-3.125,,0.7913,-1.9636,-0.3444,-6.0606

PRICE_WINDOW_180_ROW_007=20251111,221.0,223.0,213.0,213.0,21376150,216.3,220.6509,217.0714,217.0714,217.0714,-1.8433,-0.4673,,0.715,-3.4674,-1.8756,-7.7922

PRICE_WINDOW_180_ROW_008=20251112,214.0,214.5,208.0,210.5,14744014,214.3,219.8049,216.25,216.25,216.25,-1.1737,-4.5351,,0.5265,-4.2333,-2.659,-8.8745

PRICE_WINDOW_180_ROW_009=20251113,212.0,217.5,210.5,215.5,18763815,213.9,219.4462,216.1667,216.1667,216.1667,2.3753,-0.9195,,0.6956,-1.7983,-0.3084,-6.71

PRICE_WINDOW_180_ROW_010=20251114,210.5,213.5,206.5,208.5,18485760,212.9,218.534,215.4,215.4,215.4,-3.2483,-2.3419,,0.7075,-4.5915,-3.2033,-9.7403

PRICE_WINDOW_180_ROW_011=20251117,209.5,219.5,209.0,213.5,30242060,212.2,218.1145,215.2273,215.2273,215.2273,2.3981,-1.6129,,1.1411,-2.1156,-0.8025,-7.5758

PRICE_WINDOW_180_ROW_012=20251118,209.5,212.5,198.0,198.0,42563696,209.2,216.4383,213.7917,213.7917,213.7917,-7.26,-7.0423,,1.5289,-8.519,-7.3865,-14.2857

PRICE_WINDOW_180_ROW_013=20251119,200.0,202.0,196.5,196.5,34808605,206.4,214.7768,212.4615,212.4615,212.4615,-0.7576,-6.6508,,1.2267,-8.5097,-7.5127,-14.9351

PRICE_WINDOW_180_ROW_014=20251120,207.0,215.0,205.5,211.5,42698853,205.6,214.5037,212.3929,212.3929,212.3929,7.6336,-1.8561,,1.4524,-1.4003,-0.4204,-8.4416

PRICE_WINDOW_180_ROW_015=20251121,200.5,208.0,196.5,204.5,42360998,204.8,213.6701,211.8667,211.8667,211.8667,-3.3097,-1.9185,,1.3997,-4.2917,-3.477,-11.4719

PRICE_WINDOW_180_ROW_016=20251124,208.5,209.0,203.0,203.5,120850985,202.8,212.8226,211.3438,211.3438,211.3438,-0.489,-4.6838,,3.364,-4.3804,-3.7114,-11.9048

PRICE_WINDOW_180_ROW_017=20251125,210.0,212.0,205.0,205.0,29202498,204.2,212.1707,210.9706,210.9706,210.9706,0.7371,3.5354,,0.8219,-3.3797,-2.8301,-11.2554

PRICE_WINDOW_180_ROW_018=20251126,208.0,218.0,207.5,212.0,31918651,207.3,212.1565,211.0278,211.0278,211.0278,3.4146,7.888,,0.9035,-0.0737,0.4607,-8.2251

PRICE_WINDOW_180_ROW_019=20251127,215.0,224.0,215.0,222.0,37184770,209.4,212.9768,211.6053,211.6053,211.6053,4.717,4.9645,,1.0496,4.2367,4.9123,-3.8961

PRICE_WINDOW_180_ROW_020=20251128,223.0,233.0,216.5,229.0,40719791,214.3,214.312,212.475,212.475,212.475,3.1532,11.9804,,1.1409,6.8535,7.7774,-1.7167

PRICE_WINDOW_180_ROW_021=20251201,228.0,228.5,216.5,217.5,32917410,217.1,214.5777,212.15,212.7143,212.7143,-5.0218,6.8796,-2.9018,0.9334,1.3619,2.5218,-6.6524

PRICE_WINDOW_180_ROW_022=20251202,221.5,232.5,221.5,226.5,48833307,221.4,215.5712,212.775,213.3409,213.3409,4.1379,10.4878,5.8411,1.3582,5.0697,6.4505,-2.7897

PRICE_WINDOW_180_ROW_023=20251203,229.0,232.0,221.5,226.0,27639017,224.2,216.4403,213.05,213.8913,213.8913,-0.2208,6.6038,2.4943,0.7772,4.4168,6.0784,-3.0043

PRICE_WINDOW_180_ROW_024=20251204,225.0,225.0,217.5,220.5,22535690,223.9,216.7786,213.2,214.1667,214.1667,-2.4336,-0.6757,1.3793,0.6406,1.7167,3.424,-5.3648

PRICE_WINDOW_180_ROW_025=20251205,220.0,223.0,218.5,221.5,15204982,222.4,217.172,213.6,214.46,214.46,0.4535,-3.2751,3.7471,0.4358,1.9929,3.6985,-4.9356

PRICE_WINDOW_180_ROW_026=20251208,221.0,228.0,221.0,228.0,17059893,224.5,218.0744,214.15,214.9808,214.9808,2.9345,4.8276,5.0691,0.4944,4.5515,6.4674,-2.1459

PRICE_WINDOW_180_ROW_027=20251209,228.5,235.0,225.5,228.5,27405333,224.9,218.9432,214.925,215.4815,215.4815,0.2193,0.883,7.277,0.7874,4.365,6.3162,-2.766

PRICE_WINDOW_180_ROW_028=20251210,229.0,231.5,227.0,229.0,14090506,225.5,219.7812,215.85,215.9643,215.9643,0.2188,1.3274,8.7886,0.4052,4.1945,6.0922,-2.5532

PRICE_WINDOW_180_ROW_029=20251211,231.0,232.0,221.0,221.5,21378228,225.7,219.9245,216.15,216.1552,216.1552,-3.2751,0.4535,2.7842,0.6125,0.7164,2.4751,-5.7447

