date,open,high,low,close,volume,ma5,ema23,ma20,ma60,ma120,return_1d,return_5d,return_20d,volume_ratio,distance_to_ema23_pct,distance_to_ma20_pct,distance_to_high_60_pct
20251103,15.35,15.45,15.35,15.4,7639889,,,,,,,,,,,,
20251104,15.4,15.6,15.4,15.5,8132167,,,,,,0.6494,,,,,,
20251105,15.45,15.45,15.3,15.4,10718067,,,,,,-0.6452,,,,,,
20251106,15.45,15.55,15.4,15.5,11674439,,,,,,0.6494,,,,,,
20251107,15.5,15.7,15.45,15.65,21066269,15.49,15.4349,15.49,15.49,15.49,0.9677,,,1.7783,1.3937,1.0329,-0.3185
20251110,15.65,15.7,15.6,15.7,12376089,15.55,15.457,15.525,15.525,15.525,0.3195,1.9481,,1.037,1.5722,1.1272,0.0
20251111,15.75,15.75,15.65,15.75,15840983,15.6,15.4814,15.5571,15.5571,15.5571,0.3185,1.6129,,1.268,1.735,1.2397,0.0
20251112,15.75,15.85,15.7,15.75,14242284,15.67,15.5038,15.5812,15.5812,15.5812,0.0,2.2727,,1.1204,1.5881,1.083,-0.6309
20251113,15.75,15.85,15.7,15.75,10316710,15.72,15.5243,15.6,15.6,15.6,0.0,1.6129,,0.829,1.4538,0.9615,-0.6309
20251114,15.7,15.75,15.6,15.7,8971526,15.73,15.5389,15.61,15.61,15.61,-0.3175,0.3195,,0.7416,1.0365,0.5766,-0.9464
20251117,15.7,15.75,15.6,15.65,9770583,15.72,15.5482,15.6136,15.6136,15.6136,-0.3185,-0.3185,,0.822,0.6547,0.2329,-1.2618
20251118,15.55,15.6,15.4,15.4,16298190,15.65,15.5358,15.5958,15.5958,15.5958,-1.5974,-2.2222,,1.33,-0.8744,-1.2557,-2.8391
20251119,15.4,15.5,15.35,15.35,11620405,15.57,15.5204,15.5769,15.5769,15.5769,-0.3247,-2.5397,,0.9521,-1.0977,-1.4568,-3.1546
20251120,15.5,15.6,15.4,15.55,7958578,15.53,15.5228,15.575,15.575,15.575,1.3029,-1.2698,,0.6687,0.175,-0.1605,-1.8927
20251121,15.5,15.6,15.45,15.5,13473877,15.49,15.5209,15.57,15.57,15.57,-0.3215,-1.2739,,1.1222,-0.1348,-0.4496,-2.2082
20251124,15.55,15.85,15.55,15.8,34105999,15.52,15.5442,15.5844,15.5844,15.5844,1.9355,0.9585,,2.5475,1.6457,1.3836,-0.3155
20251125,15.8,15.8,15.6,15.65,9077768,15.57,15.553,15.5882,15.5882,15.5882,-0.9494,1.6234,,0.6911,0.6237,0.3962,-1.2618
20251126,15.7,15.75,15.6,15.7,7657530,15.64,15.5653,15.5944,15.5944,15.5944,0.3195,2.2801,,0.5968,0.8657,0.6769,-0.9464
20251127,15.65,15.9,15.65,15.9,17897473,15.71,15.5931,15.6105,15.6105,15.6105,1.2739,2.2508,,1.3666,1.9679,1.8543,0.0
20251128,15.85,15.9,15.75,15.85,10527913,15.78,15.6146,15.6225,15.6225,15.6225,-0.3145,2.2581,,0.8118,1.5079,1.4562,-0.3145
20251201,15.8,15.95,15.8,15.8,9144741,15.78,15.63,15.6425,15.631,15.631,-0.3155,0.0,2.5974,0.7011,1.0876,1.0069,-0.9404
20251202,15.85,15.95,15.8,15.9,10796212,15.83,15.6525,15.6625,15.6432,15.6432,0.6329,1.5974,2.5806,0.8193,1.5812,1.5164,-0.3135
20251203,15.9,15.95,15.8,15.85,5917874,15.86,15.669,15.685,15.6522,15.6522,-0.3145,0.9554,2.9221,0.4574,1.1554,1.052,-0.627
