# PRICE_WINDOW_136

columns=date,open,high,low,close,volume,ma5,ma20,ma60,ma120,ema23,return_1d,return_5d,return_20d,volume_ratio,distance_to_ma20_pct,distance_to_high_60_pct

PRICE_WINDOW_180_ROW_001=20251103,1380.0,1425.0,1380.0,1410.0,1068731,,,,,,,,,,,

PRICE_WINDOW_180_ROW_002=20251104,1415.0,1430.0,1395.0,1400.0,682529,,,,,,-0.7092,,,,,

PRICE_WINDOW_180_ROW_003=20251105,1400.0,1400.0,1345.0,1375.0,602065,,,,,,-1.7857,,,,,

PRICE_WINDOW_180_ROW_004=20251106,1395.0,1430.0,1375.0,1385.0,1168004,,,,,,0.7273,,,,,

PRICE_WINDOW_180_ROW_005=20251107,1385.0,1385.0,1335.0,1345.0,403493,1383.0,1383.0,1383.0,1383.0,1399.5809,-2.8881,,,0.514,-2.7477,-5.9441

PRICE_WINDOW_180_ROW_006=20251110,1360.0,1385.0,1360.0,1385.0,464609,1378.0,1383.3333,1383.3333,1383.3333,1398.3658,2.974,-1.773,,0.6351,0.1205,-3.1469

PRICE_WINDOW_180_ROW_007=20251111,1385.0,1385.0,1295.0,1295.0,1430039,1357.0,1370.7143,1370.7143,1370.7143,1389.752,-6.4982,-7.5,,1.7201,-5.5237,-9.4406

PRICE_WINDOW_180_ROW_008=20251112,1280.0,1285.0,1220.0,1250.0,1884597,1332.0,1355.625,1355.625,1355.625,1378.106,-3.4749,-9.0909,,1.957,-7.7916,-12.5874

PRICE_WINDOW_180_ROW_009=20251113,1265.0,1265.0,1225.0,1245.0,1324497,1304.0,1343.3333,1343.3333,1343.3333,1367.0139,-0.4,-10.1083,,1.3203,-7.3201,-12.9371

PRICE_WINDOW_180_ROW_010=20251114,1235.0,1250.0,1210.0,1220.0,1121045,1279.0,1331.0,1331.0,1331.0,1354.7627,-2.008,-9.2937,,1.1045,-8.3396,-14.6853

PRICE_WINDOW_180_ROW_011=20251117,1240.0,1255.0,1205.0,1210.0,1053391,1244.0,1320.0,1320.0,1320.0,1342.6991,-0.8197,-12.6354,,1.0343,-8.3333,-15.3846

PRICE_WINDOW_180_ROW_012=20251118,1205.0,1215.0,1165.0,1180.0,1245448,1221.0,1308.3333,1308.3333,1308.3333,1329.1409,-2.4793,-8.8803,,1.2006,-9.8089,-17.4825

PRICE_WINDOW_180_ROW_013=20251119,1205.0,1205.0,1170.0,1170.0,733246,1205.0,1297.6923,1297.6923,1297.6923,1315.8791,-0.8475,-6.4,,0.7231,-9.84,-18.1818

PRICE_WINDOW_180_ROW_014=20251120,1200.0,1225.0,1190.0,1210.0,1056692,1198.0,1291.4286,1291.4286,1291.4286,1307.0559,3.4188,-2.8112,,1.039,-6.3053,-15.3846

PRICE_WINDOW_180_ROW_015=20251121,1180.0,1195.0,1140.0,1155.0,1108629,1185.0,1282.3333,1282.3333,1282.3333,1294.3846,-4.5455,-5.3279,,1.0836,-9.9298,-19.2308

PRICE_WINDOW_180_ROW_016=20251124,1180.0,1185.0,1140.0,1165.0,1245153,1176.0,1275.0,1275.0,1275.0,1283.6025,0.8658,-3.719,,1.2007,-8.6275,-18.5315

PRICE_WINDOW_180_ROW_017=20251125,1185.0,1215.0,1170.0,1200.0,1040925,1180.0,1270.5882,1270.5882,1270.5882,1276.6356,3.0043,1.6949,,1.0036,-5.5556,-16.0839

PRICE_WINDOW_180_ROW_018=20251126,1215.0,1235.0,1205.0,1230.0,1128219,1192.0,1268.3333,1268.3333,1268.3333,1272.7493,2.5,5.1282,,1.0824,-3.0223,-13.986

PRICE_WINDOW_180_ROW_019=20251127,1250.0,1315.0,1235.0,1305.0,2331497,1211.0,1270.2632,1270.2632,1270.2632,1275.4369,6.0976,7.8512,,2.1002,2.7346,-8.7413

PRICE_WINDOW_180_ROW_020=20251128,1315.0,1325.0,1300.0,1310.0,1565726,1242.0,1272.25,1272.25,1272.25,1278.3171,0.3831,13.4199,,1.382,2.9672,-8.3916

PRICE_WINDOW_180_ROW_021=20251201,1310.0,1310.0,1265.0,1275.0,1038375,1264.0,1265.5,1272.381,1272.381,1278.0407,-2.6718,9.4421,-9.5745,0.9178,0.7507,-10.8392

PRICE_WINDOW_180_ROW_022=20251202,1280.0,1290.0,1275.0,1275.0,354030,1279.0,1259.25,1272.5,1272.5,1277.7873,0.0,6.25,-8.9286,0.3175,1.2507,-10.8392

PRICE_WINDOW_180_ROW_023=20251203,1295.0,1300.0,1275.0,1275.0,391113,1288.0,1254.25,1272.6087,1272.6087,1277.555,0.0,3.6585,-7.2727,0.3541,1.6544,-10.8392

PRICE_WINDOW_180_ROW_024=20251204,1285.0,1290.0,1265.0,1265.0,391607,1280.0,1248.25,1272.2917,1272.2917,1276.5088,-0.7843,-3.0651,-8.6643,0.3675,1.3419,-11.5385

PRICE_WINDOW_180_ROW_025=20251205,1270.0,1285.0,1255.0,1270.0,916978,1272.0,1244.5,1272.2,1272.2,1275.9664,0.3953,-3.0534,-5.5762,0.8403,2.049,-11.1888

PRICE_WINDOW_180_ROW_026=20251208,1270.0,1270.0,1250.0,1270.0,380590,1271.0,1238.75,1272.1154,1272.1154,1275.4692,0.0,-0.3922,-8.3032,0.3501,2.5227,-11.1888

PRICE_WINDOW_180_ROW_027=20251209,1290.0,1335.0,1290.0,1305.0,1047169,1277.0,1239.25,1273.3333,1273.3333,1277.9301,2.7559,2.3529,0.7722,0.9805,5.3056,-8.7413

PRICE_WINDOW_180_ROW_028=20251210,1310.0,1355.0,1310.0,1345.0,1440803,1291.0,1244.0,1275.8929,1275.8929,1283.5193,3.0651,5.4902,7.6,1.3778,8.119,-5.9441

PRICE_WINDOW_180_ROW_029=20251211,1345.0,1365.0,1320.0,1325.0,1188835,1303.0,1248.0,1277.5862,1277.5862,1286.976,-1.487,4.7431,6.4257,1.1442,6.1699,-7.3427

PRICE_WINDOW_180_ROW_030=20251212,1330.0,1350.0,1300.0,1300.0,808366,1309.0,1252.0,1278.3333,1278.3333,1288.0613,-1.8868,2.3622,6.5574,0.7899,3.8339,-9.0909

PRICE_WINDOW_180_ROW_031=20251215,1270.0,1305.0,1270.0,1285.0,612469,1312.0,1255.75,1278.5484,1278.5484,1287.8062,-1.1538,1.1811,6.1983,0.6117,2.3293,-10.1399

PRICE_WINDOW_180_ROW_032=20251216,1295.0,1310.0,1250.0,1280.0,698576,1307.0,1260.75,1278.5938,1278.5938,1287.1557,-0.3891,-1.9157,8.4746,0.7173,1.5269,-10.4895

PRICE_WINDOW_180_ROW_033=20251217,1305.0,1340.0,1290.0,1315.0,1266106,1301.0,1268.0,1279.697,1279.697,1289.476,2.7344,-2.2305,12.3932,1.2654,3.7066,-8.042

PRICE_WINDOW_180_ROW_034=20251218,1305.0,1315.0,1280.0,1285.0,919386,1293.0,1271.75,1279.8529,1279.8529,1289.103,-2.2814,-3.0189,6.1983,0.9252,1.0419,-10.1399

PRICE_WINDOW_180_ROW_035=20251219,1305.0,1320.0,1300.0,1305.0,437664,1294.0,1279.25,1280.5714,1280.5714,1290.4278,1.5564,0.3846,12.987,0.4558,2.0129,-8.7413

PRICE_WINDOW_180_ROW_036=20251222,1325.0,1325.0,1295.0,1315.0,477362,1300.0,1286.75,1281.5278,1281.5278,1292.4755,0.7663,2.3346,12.8755,0.5179,2.1955,-8.042

PRICE_WINDOW_180_ROW_037=20251223,1330.0,1330.0,1290.0,1295.0,393877,1303.0,1291.5,1281.8919,1281.8919,1292.6859,-1.5209,1.1719,7.9167,0.4428,0.271,-9.4406

PRICE_WINDOW_180_ROW_038=20251224,1315.0,1320.0,1300.0,1305.0,259904,1301.0,1295.25,1282.5,1282.5,1293.712,0.7722,-0.7605,6.0976,0.3072,0.7528,-8.7413

PRICE_WINDOW_180_ROW_039=20251226,1310.0,1310.0,1285.0,1290.0,243099,1302.0,1294.5,1282.6923,1282.6923,1293.4027,-1.1494,0.3891,-1.1494,0.3278,-0.3476,-9.7902

PRICE_WINDOW_180_ROW_040=20251229,1290.0,1295.0,1280.0,1295.0,306097,1300.0,1293.75,1283.0,1283.0,1293.5358,0.3876,-0.7663,-1.145,0.4511,0.0966,-9.4406

PRICE_WINDOW_180_ROW_041=20251230,1295.0,1300.0,1280.0,1290.0,447934,1295.0,1294.5,1283.1707,1283.1707,1293.2412,-0.3861,-1.9011,1.1765,0.6901,-0.3476,-9.7902

PRICE_WINDOW_180_ROW_042=20251231,1295.0,1315.0,1295.0,1295.0,358639,1295.0,1295.5,1283.4524,1283.4524,1293.3877,0.3876,0.0,1.5686,0.5523,-0.0386,-9.4406

