date,open,high,low,close,volume,ma5,ma20,ma60,ma120,ema23,return_1d,return_5d,return_20d,volume_ratio,distance_to_ma20_pct,distance_to_high_60_pct
20251103,25.2,25.3,25.2,25.25,74490,,,,,,,,,,,
20251104,25.3,25.4,25.3,25.35,31541,,,,,,0.396,,,,,
20251105,25.35,25.4,25.3,25.4,12457,,,,,,0.1972,,,,,
20251106,25.8,25.8,25.0,25.4,42230,,,,,,0.0,,,,,
20251107,25.05,25.4,24.95,24.95,60735,25.27,25.27,25.27,25.27,25.2534,-1.7717,,,1.3713,-1.2663,-3.2946
20251110,25.05,25.05,24.1,24.35,142749,25.09,25.1167,25.1167,25.1167,25.1781,-2.4048,-3.5644,,2.3517,-3.0524,-5.6202
20251111,24.6,24.95,24.4,24.6,51239,24.94,25.0429,25.0429,25.0429,25.1299,1.0267,-2.9586,,0.8634,-1.7684,-4.6512
20251112,24.6,26.1,24.6,25.9,97020,25.04,25.15,25.15,25.15,25.1941,5.2846,1.9685,,1.5146,2.9821,-0.7663
20251113,25.9,26.35,25.3,25.4,66822,25.04,25.1778,25.1778,25.1778,25.2113,-1.9305,0.0,,1.0382,0.8826,-3.6053
20251114,25.3,25.3,25.0,25.2,33170,25.09,25.18,25.18,25.18,25.2103,-0.7874,1.002,,0.5416,0.0794,-4.3643
20251117,25.2,25.2,24.5,24.5,55630,25.12,25.1182,25.1182,25.1182,25.1511,-2.7778,0.616,,0.9159,-2.4611,-7.0209
20251118,24.55,24.85,24.3,24.6,42255,25.12,25.075,25.075,25.075,25.1052,0.4082,0.0,,0.7138,-1.8943,-6.6414
20251119,24.1,24.5,24.1,24.25,40120,24.79,25.0115,25.0115,25.0115,25.0339,-1.4228,-6.3707,,0.695,-3.0447,-7.9696
20251120,24.25,25.0,23.95,24.1,29795,24.53,24.9464,24.9464,24.9464,24.9561,-0.6186,-5.1181,,0.5346,-3.393,-8.5389
20251121,24.0,24.0,23.7,23.8,57500,24.25,24.87,24.87,24.87,24.8598,-1.2448,-5.5556,,1.0295,-4.3024,-9.6774
20251124,25.75,25.8,24.0,24.0,75990,24.15,24.8156,24.8156,24.8156,24.7881,0.8403,-2.0408,,1.3306,-3.2867,-8.9184
20251125,24.25,24.65,24.05,24.05,65795,24.04,24.7706,24.7706,24.7706,24.7266,0.2083,-2.2358,,1.1419,-2.909,-8.7287
20251126,24.25,24.65,24.1,24.55,60058,24.1,24.7583,24.7583,24.7583,24.7119,2.079,1.2371,,1.0399,-0.8415,-6.8311
20251127,24.55,24.55,24.15,24.45,31036,24.17,24.7421,24.7421,24.7421,24.6901,-0.4073,1.4523,,0.5508,-1.1806,-7.2106
20251128,24.9,25.25,24.8,25.1,79222,24.43,24.76,24.76,24.76,24.7242,2.6585,5.4622,,1.3779,1.3732,-4.7438
20251201,24.0,24.35,23.95,24.25,164235,24.48,24.71,24.7357,24.7357,24.6847,-3.3865,1.0417,-3.9604,2.6498,-1.8616,-7.9696
20251202,24.3,24.35,24.2,24.3,36108,24.53,24.6575,24.7159,24.7159,24.6526,0.2062,1.0395,-4.142,0.5804,-1.4499,-7.7799
20251203,24.85,24.85,24.5,24.5,54376,24.52,24.6125,24.7065,24.7065,24.6399,0.823,-0.2037,-3.5433,0.8456,-0.4571,-7.0209
20251204,24.5,25.2,24.45,24.85,64879,24.6,24.585,24.7125,24.7125,24.6574,1.4286,1.636,-2.1654,0.9915,1.0779,-5.6926
20251205,24.95,25.15,24.8,25.1,86784,24.6,24.5925,24.728,24.728,24.6943,1.006,0.0,0.6012,1.3003,2.0636,-4.7438
20251208,25.05,25.55,24.9,25.2,98149,24.79,24.635,24.7462,24.7462,24.7365,0.3984,3.9175,3.4908,1.5215,2.2935,-4.3643
20251209,25.2,25.45,25.2,25.35,94469,25.0,24.6725,24.7685,24.7685,24.7876,0.5952,4.321,3.0488,1.417,2.746,-3.7951
20251210,25.15,25.8,25.15,25.35,73571,25.17,24.645,24.7893,24.7893,24.8345,0.0,3.4694,-2.1236,1.1233,2.8606,-3.7951
