generated_at,model_id,artifact_id,artifact_version,monthly_revenue_history_blob_sha256,monthly_revenue_canonical_table_sha256,cross_market_resolution_registry_canonical_sha256,source_projection_id,source_projection_version,source_projection_policy_id,source_projection_cutoff_date,source_projection_cutoff_revenue_subset_semantic_sha256,source_projection_cutoff_price_input_semantic_sha256,source_projection_applied_monthly_resolution_semantic_sha256,source_projection_applied_price_resolution_semantic_sha256,source_fixed_confirmation_artifact_id,source_fixed_confirmation_artifact_version,source_fixed_confirmation_cutoff_row_count,source_fixed_confirmation_cutoff_semantic_sha256,matrix_order,matrix_family,condition_test_id,condition_label_zh,condition_rule,current_revenue_lag_bucket,strength_condition_id,feature_observed_count,accepted_trade_count,unique_stock_count,win_count,neutral_count,failure_count,win_rate_pct,neutral_rate_pct,failure_rate_pct,avg_realized_return_pct,median_realized_return_pct,high_return_8_rate_pct,loss_5_rate_pct,abs_ge80_anomaly_candidate_count,source_anomaly_candidate_count,sensitivity_trade_count,sensitivity_win_rate_pct,sensitivity_neutral_rate_pct,sensitivity_failure_rate_pct,sensitivity_avg_realized_return_pct,sensitivity_median_realized_return_pct,delta_vs_baseline_win_rate_pct,delta_vs_baseline_failure_rate_pct,delta_vs_baseline_avg_return_pct,same_stock_overlap_pair_count,same_stock_revenue_period_repeat_count,sample_policy,tail_sensitivity_status,interpretation_status,availability_date_semantics,financial_statement_scope,approved_for_daily,production_change,promotion_readiness
2026-08-23 01:23:57 Asia/Taipei,revenue_unreacted_range,revenue_unreacted_range_lag_strength_matrix,trading_day_lag_strength_root_cause_pending_v6_20260822,f5b94f1aba6554746bb8065d3c9e571df6934aabc80ecfff4ec7193bcb7ec36a,89df0f3a5d19facb9169970450108b0bb32d0b41548d1a834fa4055bbe323e21,a109e7e2f041f7fa116a5d123dfc4b4bd24f508ece7b2e9721e44c293a608fdb,revenue_unreacted_range_source_snapshot_asof_20260713,source_snapshot_projection_v2_20260822,raw_source_and_corrected_official_price_truncated_before_source_first_episode_assembly_v2,20260713,89df0f3a5d19facb9169970450108b0bb32d0b41548d1a834fa4055bbe323e21,b391b4940bae7a9b01ea8d6b364d3409ea2b1a999c0751ede424cbdaf87dc74a,c7a76d7c1d531d248e04106e4191d3efd268dadbc1aa4ff08a404ef0e22a5c29,379fd42dd2c1298f6e67dbede798bccb2679d4c58bc56742518234cec8d11aac,revenue_unreacted_range_fixed_confirmation_feature_contrast_audit,fixed_range23_breakout_3d_confirmation_d20_v2_anomaly_candidate_primary,1710,0f1689d03a54f97f3cff73e9c9245b6daabce62ee8de80696e9a59779d66b968,0,baseline,all_confirmed_non_overlap,全部已確認且同股不重疊樣本,fixed 3-trading-day close confirmation; next open entry; confirmation D+20 close exit,all,all,1710,1710,856,590,237,883,34.5029,13.8596,51.6374,4.0763,-0.651,28.1871,33.1579,14,178,1696,33.9623,13.9741,52.0637,3.3145,-0.7526,0.0,0.0,0.0,0,0,sample_count_disclosed_not_used_as_automatic_rejection,source_or_return_candidates_unresolved,blocked_pending_root_cause_anomaly_candidate_review,conservative_next_month_17th_or_first_official_snapshot_not_exact_company_release_timestamp,monthly_revenue_only;EPS_gross_margin_operating_margin_operating_income_non_operating_income_net_income_excluded,False,False,blocked_pending_root_cause_anomaly_candidate_review
2026-08-23 01:23:57 Asia/Taipei,revenue_unreacted_range,revenue_unreacted_range_lag_strength_matrix,trading_day_lag_strength_root_cause_pending_v6_20260822,f5b94f1aba6554746bb8065d3c9e571df6934aabc80ecfff4ec7193bcb7ec36a,89df0f3a5d19facb9169970450108b0bb32d0b41548d1a834fa4055bbe323e21,a109e7e2f041f7fa116a5d123dfc4b4bd24f508ece7b2e9721e44c293a608fdb,revenue_unreacted_range_source_snapshot_asof_20260713,source_snapshot_projection_v2_20260822,raw_source_and_corrected_official_price_truncated_before_source_first_episode_assembly_v2,20260713,89df0f3a5d19facb9169970450108b0bb32d0b41548d1a834fa4055bbe323e21,b391b4940bae7a9b01ea8d6b364d3409ea2b1a999c0751ede424cbdaf87dc74a,c7a76d7c1d531d248e04106e4191d3efd268dadbc1aa4ff08a404ef0e22a5c29,379fd42dd2c1298f6e67dbede798bccb2679d4c58bc56742518234cec8d11aac,revenue_unreacted_range_fixed_confirmation_feature_contrast_audit,fixed_range23_breakout_3d_confirmation_d20_v2_anomaly_candidate_primary,1710,0f1689d03a54f97f3cff73e9c9245b6daabce62ee8de80696e9a59779d66b968,100,current_revenue_trading_day_lag,lag_d0_3,當期營收可得日後0至3個交易日,source_to_signal_trading_days between 0 and 3,lag_d0_3,all,1710,425,359,123,51,251,28.9412,12.0,59.0588,1.9944,-1.9231,22.8235,35.7647,3,35,422,28.436,12.0853,59.4787,1.3426,-2.0812,-5.5617,7.4214,-2.0819,0,0,sample_count_disclosed_not_used_as_automatic_rejection,source_or_return_candidates_unresolved,blocked_pending_root_cause_anomaly_candidate_review,conservative_next_month_17th_or_first_official_snapshot_not_exact_company_release_timestamp,monthly_revenue_only;EPS_gross_margin_operating_margin_operating_income_non_operating_income_net_income_excluded,False,False,blocked_pending_root_cause_anomaly_candidate_review
2026-08-23 01:23:57 Asia/Taipei,revenue_unreacted_range,revenue_unreacted_range_lag_strength_matrix,trading_day_lag_strength_root_cause_pending_v6_20260822,f5b94f1aba6554746bb8065d3c9e571df6934aabc80ecfff4ec7193bcb7ec36a,89df0f3a5d19facb9169970450108b0bb32d0b41548d1a834fa4055bbe323e21,a109e7e2f041f7fa116a5d123dfc4b4bd24f508ece7b2e9721e44c293a608fdb,revenue_unreacted_range_source_snapshot_asof_20260713,source_snapshot_projection_v2_20260822,raw_source_and_corrected_official_price_truncated_before_source_first_episode_assembly_v2,20260713,89df0f3a5d19facb9169970450108b0bb32d0b41548d1a834fa4055bbe323e21,b391b4940bae7a9b01ea8d6b364d3409ea2b1a999c0751ede424cbdaf87dc74a,c7a76d7c1d531d248e04106e4191d3efd268dadbc1aa4ff08a404ef0e22a5c29,379fd42dd2c1298f6e67dbede798bccb2679d4c58bc56742518234cec8d11aac,revenue_unreacted_range_fixed_confirmation_feature_contrast_audit,fixed_range23_breakout_3d_confirmation_d20_v2_anomaly_candidate_primary,1710,0f1689d03a54f97f3cff73e9c9245b6daabce62ee8de80696e9a59779d66b968,101,current_revenue_trading_day_lag,lag_d4_7,當期營收可得日後4至7個交易日,source_to_signal_trading_days between 4 and 7,lag_d4_7,all,1710,273,221,95,38,140,34.7985,13.9194,51.2821,4.4819,-0.7712,30.4029,35.1648,1,26,272,34.5588,13.9706,51.4706,4.073,-0.7793,0.2956,-0.3553,0.4056,0,0,sample_count_disclosed_not_used_as_automatic_rejection,source_or_return_candidates_unresolved,blocked_pending_root_cause_anomaly_candidate_review,conservative_next_month_17th_or_first_official_snapshot_not_exact_company_release_timestamp,monthly_revenue_only;EPS_gross_margin_operating_margin_operating_income_non_operating_income_net_income_excluded,False,False,blocked_pending_root_cause_anomaly_candidate_review
2026-08-23 01:23:57 Asia/Taipei,revenue_unreacted_range,revenue_unreacted_range_lag_strength_matrix,trading_day_lag_strength_root_cause_pending_v6_20260822,f5b94f1aba6554746bb8065d3c9e571df6934aabc80ecfff4ec7193bcb7ec36a,89df0f3a5d19facb9169970450108b0bb32d0b41548d1a834fa4055bbe323e21,a109e7e2f041f7fa116a5d123dfc4b4bd24f508ece7b2e9721e44c293a608fdb,revenue_unreacted_range_source_snapshot_asof_20260713,source_snapshot_projection_v2_20260822,raw_source_and_corrected_official_price_truncated_before_source_first_episode_assembly_v2,20260713,89df0f3a5d19facb9169970450108b0bb32d0b41548d1a834fa4055bbe323e21,b391b4940bae7a9b01ea8d6b364d3409ea2b1a999c0751ede424cbdaf87dc74a,c7a76d7c1d531d248e04106e4191d3efd268dadbc1aa4ff08a404ef0e22a5c29,379fd42dd2c1298f6e67dbede798bccb2679d4c58bc56742518234cec8d11aac,revenue_unreacted_range_fixed_confirmation_feature_contrast_audit,fixed_range23_breakout_3d_confirmation_d20_v2_anomaly_candidate_primary,1710,0f1689d03a54f97f3cff73e9c9245b6daabce62ee8de80696e9a59779d66b968,102,current_revenue_trading_day_lag,lag_d8_14,當期營收可得日後8至14個交易日,source_to_signal_trading_days between 8 and 14,lag_d8_14,all,1710,578,437,213,83,282,36.8512,14.3599,48.7889,4.7839,0.5036,30.4498,32.3529,4,70,574,36.4111,14.4599,49.1289,4.1816,0.3223,2.3483,-2.8485,0.7076,0,0,sample_count_disclosed_not_used_as_automatic_rejection,source_or_return_candidates_unresolved,blocked_pending_root_cause_anomaly_candidate_review,conservative_next_month_17th_or_first_official_snapshot_not_exact_company_release_timestamp,monthly_revenue_only;EPS_gross_margin_operating_margin_operating_income_non_operating_income_net_income_excluded,False,False,blocked_pending_root_cause_anomaly_candidate_review
2026-08-23 01:23:57 Asia/Taipei,revenue_unreacted_range,revenue_unreacted_range_lag_strength_matrix,trading_day_lag_strength_root_cause_pending_v6_20260822,f5b94f1aba6554746bb8065d3c9e571df6934aabc80ecfff4ec7193bcb7ec36a,89df0f3a5d19facb9169970450108b0bb32d0b41548d1a834fa4055bbe323e21,a109e7e2f041f7fa116a5d123dfc4b4bd24f508ece7b2e9721e44c293a608fdb,revenue_unreacted_range_source_snapshot_asof_20260713,source_snapshot_projection_v2_20260822,raw_source_and_corrected_official_price_truncated_before_source_first_episode_assembly_v2,20260713,89df0f3a5d19facb9169970450108b0bb32d0b41548d1a834fa4055bbe323e21,b391b4940bae7a9b01ea8d6b364d3409ea2b1a999c0751ede424cbdaf87dc74a,c7a76d7c1d531d248e04106e4191d3efd268dadbc1aa4ff08a404ef0e22a5c29,379fd42dd2c1298f6e67dbede798bccb2679d4c58bc56742518234cec8d11aac,revenue_unreacted_range_fixed_confirmation_feature_contrast_audit,fixed_range23_breakout_3d_confirmation_d20_v2_anomaly_candidate_primary,1710,0f1689d03a54f97f3cff73e9c9245b6daabce62ee8de80696e9a59779d66b968,103,current_revenue_trading_day_lag,lag_d15_30,當期營收可得日後15至30個交易日,source_to_signal_trading_days between 15 and 30,lag_d15_30,all,1710,434,336,159,65,210,36.6359,14.977,48.3871,4.9173,0.4092,29.0323,30.4147,6,47,428,35.7477,15.1869,49.0654,3.6136,0.2163,2.133,-3.2503,0.841,0,0,sample_count_disclosed_not_used_as_automatic_rejection,source_or_return_candidates_unresolved,blocked_pending_root_cause_anomaly_candidate_review,conservative_next_month_17th_or_first_official_snapshot_not_exact_company_release_timestamp,monthly_revenue_only;EPS_gross_margin_operating_margin_operating_income_non_operating_income_net_income_excluded,False,False,blocked_pending_root_cause_anomaly_candidate_review
2026-08-23 01:23:57 Asia/Taipei,revenue_unreacted_range,revenue_unreacted_range_lag_strength_matrix,trading_day_lag_strength_root_cause_pending_v6_20260822,f5b94f1aba6554746bb8065d3c9e571df6934aabc80ecfff4ec7193bcb7ec36a,89df0f3a5d19facb9169970450108b0bb32d0b41548d1a834fa4055bbe323e21,a109e7e2f041f7fa116a5d123dfc4b4bd24f508ece7b2e9721e44c293a608fdb,revenue_unreacted_range_source_snapshot_asof_20260713,source_snapshot_projection_v2_20260822,raw_source_and_corrected_official_price_truncated_before_source_first_episode_assembly_v2,20260713,89df0f3a5d19facb9169970450108b0bb32d0b41548d1a834fa4055bbe323e21,b391b4940bae7a9b01ea8d6b364d3409ea2b1a999c0751ede424cbdaf87dc74a,c7a76d7c1d531d248e04106e4191d3efd268dadbc1aa4ff08a404ef0e22a5c29,379fd42dd2c1298f6e67dbede798bccb2679d4c58bc56742518234cec8d11aac,revenue_unreacted_range_fixed_confirmation_feature_contrast_audit,fixed_range23_breakout_3d_confirmation_d20_v2_anomaly_candidate_primary,1710,0f1689d03a54f97f3cff73e9c9245b6daabce62ee8de80696e9a59779d66b968,104,current_revenue_trading_day_lag,lag_d31_plus,當期營收可得日後31個交易日以上,source_to_signal_trading_days between 31 and infinity,lag_d31_plus,all,1710,0,0,0,0,0,,,,,,,,0,0,0,,,,,,,,,0,0,sample_count_disclosed_not_used_as_automatic_rejection,not_applicable,no_sample,conservative_next_month_17th_or_first_official_snapshot_not_exact_company_release_timestamp,monthly_revenue_only;EPS_gross_margin_operating_margin_operating_income_non_operating_income_net_income_excluded,False,False,blocked_pending_root_cause_anomaly_candidate_review
2026-08-23 01:23:57 Asia/Taipei,revenue_unreacted_range,revenue_unreacted_range_lag_strength_matrix,trading_day_lag_strength_root_cause_pending_v6_20260822,f5b94f1aba6554746bb8065d3c9e571df6934aabc80ecfff4ec7193bcb7ec36a,89df0f3a5d19facb9169970450108b0bb32d0b41548d1a834fa4055bbe323e21,a109e7e2f041f7fa116a5d123dfc4b4bd24f508ece7b2e9721e44c293a608fdb,revenue_unreacted_range_source_snapshot_asof_20260713,source_snapshot_projection_v2_20260822,raw_source_and_corrected_official_price_truncated_before_source_first_episode_assembly_v2,20260713,89df0f3a5d19facb9169970450108b0bb32d0b41548d1a834fa4055bbe323e21,b391b4940bae7a9b01ea8d6b364d3409ea2b1a999c0751ede424cbdaf87dc74a,c7a76d7c1d531d248e04106e4191d3efd268dadbc1aa4ff08a404ef0e22a5c29,379fd42dd2c1298f6e67dbede798bccb2679d4c58bc56742518234cec8d11aac,revenue_unreacted_range_fixed_confirmation_feature_contrast_audit,fixed_range23_breakout_3d_confirmation_d20_v2_anomaly_candidate_primary,1710,0f1689d03a54f97f3cff73e9c9245b6daabce62ee8de80696e9a59779d66b968,200,absolute_strength,any_strong_30_or20,單月YoY至少30%或累計YoY至少20%,flag_any_strong_30_or20=True,all,any_strong_30_or20,1708,1708,854,590,237,881,34.5433,13.8759,51.5808,4.0927,-0.6229,28.2201,33.1382,14,177,1694,34.0024,13.9906,52.0071,3.3301,-0.7406,0.0404,-0.0566,0.0164,0,0,sample_count_disclosed_not_used_as_automatic_rejection,source_or_return_candidates_unresolved,blocked_pending_root_cause_anomaly_candidate_review,conservative_next_month_17th_or_first_official_snapshot_not_exact_company_release_timestamp,monthly_revenue_only;EPS_gross_margin_operating_margin_operating_income_non_operating_income_net_income_excluded,False,False,blocked_pending_root_cause_anomaly_candidate_review
2026-08-23 01:23:57 Asia/Taipei,revenue_unreacted_range,revenue_unreacted_range_lag_strength_matrix,trading_day_lag_strength_root_cause_pending_v6_20260822,f5b94f1aba6554746bb8065d3c9e571df6934aabc80ecfff4ec7193bcb7ec36a,89df0f3a5d19facb9169970450108b0bb32d0b41548d1a834fa4055bbe323e21,a109e7e2f041f7fa116a5d123dfc4b4bd24f508ece7b2e9721e44c293a608fdb,revenue_unreacted_range_source_snapshot_asof_20260713,source_snapshot_projection_v2_20260822,raw_source_and_corrected_official_price_truncated_before_source_first_episode_assembly_v2,20260713,89df0f3a5d19facb9169970450108b0bb32d0b41548d1a834fa4055bbe323e21,b391b4940bae7a9b01ea8d6b364d3409ea2b1a999c0751ede424cbdaf87dc74a,c7a76d7c1d531d248e04106e4191d3efd268dadbc1aa4ff08a404ef0e22a5c29,379fd42dd2c1298f6e67dbede798bccb2679d4c58bc56742518234cec8d11aac,revenue_unreacted_range_fixed_confirmation_feature_contrast_audit,fixed_range23_breakout_3d_confirmation_d20_v2_anomaly_candidate_primary,1710,0f1689d03a54f97f3cff73e9c9245b6daabce62ee8de80696e9a59779d66b968,201,absolute_strength,latest_ge30,單月YoY至少30%,flag_latest_ge30=True,all,latest_ge30,1708,1154,653,394,149,611,34.1421,12.9116,52.9463,3.6789,-0.9585,27.8163,34.2288,7,140,1147,33.7402,12.9904,53.2694,3.1007,-1.0495,-0.3608,1.3089,-0.3974,0,0,sample_count_disclosed_not_used_as_automatic_rejection,source_or_return_candidates_unresolved,blocked_pending_root_cause_anomaly_candidate_review,conservative_next_month_17th_or_first_official_snapshot_not_exact_company_release_timestamp,monthly_revenue_only;EPS_gross_margin_operating_margin_operating_income_non_operating_income_net_income_excluded,False,False,blocked_pending_root_cause_anomaly_candidate_review
2026-08-23 01:23:57 Asia/Taipei,revenue_unreacted_range,revenue_unreacted_range_lag_strength_matrix,trading_day_lag_strength_root_cause_pending_v6_20260822,f5b94f1aba6554746bb8065d3c9e571df6934aabc80ecfff4ec7193bcb7ec36a,89df0f3a5d19facb9169970450108b0bb32d0b41548d1a834fa4055bbe323e21,a109e7e2f041f7fa116a5d123dfc4b4bd24f508ece7b2e9721e44c293a608fdb,revenue_unreacted_range_source_snapshot_asof_20260713,source_snapshot_projection_v2_20260822,raw_source_and_corrected_official_price_truncated_before_source_first_episode_assembly_v2,20260713,89df0f3a5d19facb9169970450108b0bb32d0b41548d1a834fa4055bbe323e21,b391b4940bae7a9b01ea8d6b364d3409ea2b1a999c0751ede424cbdaf87dc74a,c7a76d7c1d531d248e04106e4191d3efd268dadbc1aa4ff08a404ef0e22a5c29,379fd42dd2c1298f6e67dbede798bccb2679d4c58bc56742518234cec8d11aac,revenue_unreacted_range_fixed_confirmation_feature_contrast_audit,fixed_range23_breakout_3d_confirmation_d20_v2_anomaly_candidate_primary,1710,0f1689d03a54f97f3cff73e9c9245b6daabce62ee8de80696e9a59779d66b968,202,absolute_strength,latest_ge50,單月YoY至少50%,flag_latest_ge50=True,all,latest_ge50,1708,637,386,221,82,334,34.6939,12.8728,52.4333,4.017,-0.8772,29.5133,34.6939,5,137,632,34.1772,12.9747,52.8481,3.2522,-0.8966,0.191,0.7959,-0.0593,0,0,sample_count_disclosed_not_used_as_automatic_rejection,source_or_return_candidates_unresolved,blocked_pending_root_cause_anomaly_candidate_review,conservative_next_month_17th_or_first_official_snapshot_not_exact_company_release_timestamp,monthly_revenue_only;EPS_gross_margin_operating_margin_operating_income_non_operating_income_net_income_excluded,False,False,blocked_pending_root_cause_anomaly_candidate_review
2026-08-23 01:23:57 Asia/Taipei,revenue_unreacted_range,revenue_unreacted_range_lag_strength_matrix,trading_day_lag_strength_root_cause_pending_v6_20260822,f5b94f1aba6554746bb8065d3c9e571df6934aabc80ecfff4ec7193bcb7ec36a,89df0f3a5d19facb9169970450108b0bb32d0b41548d1a834fa4055bbe323e21,a109e7e2f041f7fa116a5d123dfc4b4bd24f508ece7b2e9721e44c293a608fdb,revenue_unreacted_range_source_snapshot_asof_20260713,source_snapshot_projection_v2_20260822,raw_source_and_corrected_official_price_truncated_before_source_first_episode_assembly_v2,20260713,89df0f3a5d19facb9169970450108b0bb32d0b41548d1a834fa4055bbe323e21,b391b4940bae7a9b01ea8d6b364d3409ea2b1a999c0751ede424cbdaf87dc74a,c7a76d7c1d531d248e04106e4191d3efd268dadbc1aa4ff08a404ef0e22a5c29,379fd42dd2c1298f6e67dbede798bccb2679d4c58bc56742518234cec8d11aac,revenue_unreacted_range_fixed_confirmation_feature_contrast_audit,fixed_range23_breakout_3d_confirmation_d20_v2_anomaly_candidate_primary,1710,0f1689d03a54f97f3cff73e9c9245b6daabce62ee8de80696e9a59779d66b968,203,absolute_strength,latest_ge80,單月YoY至少80%,flag_latest_ge80=True,all,latest_ge80,1708,356,227,118,40,198,33.1461,11.236,55.618,3.3197,-1.5807,28.6517,33.9888,1,128,355,32.9577,11.2676,55.7746,3.0551,-1.6077,-1.3568,3.9806,-0.7566,0,0,sample_count_disclosed_not_used_as_automatic_rejection,source_or_return_candidates_unresolved,blocked_pending_root_cause_anomaly_candidate_review,conservative_next_month_17th_or_first_official_snapshot_not_exact_company_release_timestamp,monthly_revenue_only;EPS_gross_margin_operating_margin_operating_income_non_operating_income_net_income_excluded,False,False,blocked_pending_root_cause_anomaly_candidate_review
2026-08-23 01:23:57 Asia/Taipei,revenue_unreacted_range,revenue_unreacted_range_lag_strength_matrix,trading_day_lag_strength_root_cause_pending_v6_20260822,f5b94f1aba6554746bb8065d3c9e571df6934aabc80ecfff4ec7193bcb7ec36a,89df0f3a5d19facb9169970450108b0bb32d0b41548d1a834fa4055bbe323e21,a109e7e2f041f7fa116a5d123dfc4b4bd24f508ece7b2e9721e44c293a608fdb,revenue_unreacted_range_source_snapshot_asof_20260713,source_snapshot_projection_v2_20260822,raw_source_and_corrected_official_price_truncated_before_source_first_episode_assembly_v2,20260713,89df0f3a5d19facb9169970450108b0bb32d0b41548d1a834fa4055bbe323e21,b391b4940bae7a9b01ea8d6b364d3409ea2b1a999c0751ede424cbdaf87dc74a,c7a76d7c1d531d248e04106e4191d3efd268dadbc1aa4ff08a404ef0e22a5c29,379fd42dd2c1298f6e67dbede798bccb2679d4c58bc56742518234cec8d11aac,revenue_unreacted_range_fixed_confirmation_feature_contrast_audit,fixed_range23_breakout_3d_confirmation_d20_v2_anomaly_candidate_primary,1710,0f1689d03a54f97f3cff73e9c9245b6daabce62ee8de80696e9a59779d66b968,204,absolute_strength,latest_ge100,單月YoY至少100%,flag_latest_ge100=True,all,latest_ge100,1708,262,169,86,26,150,32.8244,9.9237,57.2519,1.984,-1.9167,27.8626,34.7328,0,123,262,32.8244,9.9237,57.2519,1.984,-1.9167,-1.6785,5.6145,-2.0923,0,0,sample_count_disclosed_not_used_as_automatic_rejection,source_or_return_candidates_unresolved,blocked_pending_root_cause_anomaly_candidate_review,conservative_next_month_17th_or_first_official_snapshot_not_exact_company_release_timestamp,monthly_revenue_only;EPS_gross_margin_operating_margin_operating_income_non_operating_income_net_income_excluded,False,False,blocked_pending_root_cause_anomaly_candidate_review
