risk_group,stock_id,stock_name,theme,theme_mainstream_status,tdcc_strength_score,tdcc_price_phase,price_return_20d,relative_return_vs_benchmark,distance_ma20_pct,volume_ratio_20d,risk_bucket,interpretation
price_leading_tdcc,5543,桓鼎-KY,traditional industries,mainstream_leader,225.00,price_leading_tdcc,16.36,13.16,6.91,0.46,strong_but_late,股價已先漲，TDCC 訊號可能偏晚。
price_leading_tdcc,6782,視陽,other electronics,mainstream_leader,215.00,price_leading_tdcc,5.28,10.68,3.62,0.60,strong_but_late,股價已先漲，TDCC 訊號可能偏晚。
price_leading_tdcc,2033,佳大,traditional industries,mainstream_leader,205.00,price_leading_tdcc,53.24,15.48,13.37,0.97,strong_but_late,股價已先漲，TDCC 訊號可能偏晚。
price_leading_tdcc,2489,瑞軒,other electronics,mainstream_leader,205.00,price_leading_tdcc,32.90,12.07,11.76,0.77,strong_but_late,股價已先漲，TDCC 訊號可能偏晚。
price_leading_tdcc,4198,欣大健康,other,single_name_signal,205.00,price_leading_tdcc,17.43,14.51,13.26,0.87,strong_but_late,股價已先漲，TDCC 訊號可能偏晚。
price_leading_tdcc,4927,泰鼎-KY,other electronics,mainstream_leader,195.00,price_leading_tdcc,26.97,23.84,14.47,0.62,strong_but_late,股價已先漲，TDCC 訊號可能偏晚。
price_leading_tdcc,6271,同欣電,semiconductor,mainstream_leader,195.00,price_leading_tdcc,22.48,20.18,15.53,3.10,strong_but_late,股價已先漲，TDCC 訊號可能偏晚。
price_leading_tdcc,3491,昇達科,networking,mainstream_follow_through,195.00,price_leading_tdcc,21.86,13.65,11.58,1.15,strong_but_late,股價已先漲，TDCC 訊號可能偏晚。
price_leading_tdcc,2313,華通,other electronics,mainstream_leader,195.00,price_leading_tdcc,19.66,13.93,11.00,1.56,strong_but_late,股價已先漲，TDCC 訊號可能偏晚。
price_leading_tdcc,2421,建準,other electronics,mainstream_leader,195.00,price_leading_tdcc,17.49,21.98,14.80,1.60,strong_but_late,股價已先漲，TDCC 訊號可能偏晚。
price_leading_tdcc,2884,玉山金,finance,mainstream_leader,195.00,price_leading_tdcc,14.15,11.67,12.32,1.36,strong_but_late,股價已先漲，TDCC 訊號可能偏晚。
price_leading_tdcc,4576,大銀微系統,other electronics,mainstream_leader,185.00,price_leading_tdcc,9.17,14.60,9.20,1.22,strong_but_late,股價已先漲，TDCC 訊號可能偏晚。
price_leading_tdcc,2377,微星,semiconductor equipment/materials,mainstream_leader,185.00,price_leading_tdcc,5.56,11.20,6.58,1.48,strong_but_late,股價已先漲，TDCC 訊號可能偏晚。
price_leading_tdcc,2883,凱基金,finance,mainstream_leader,185.00,price_leading_tdcc,18.96,13.39,13.29,0.94,strong_but_late,股價已先漲，TDCC 訊號可能偏晚。
price_leading_tdcc,1326,台化,traditional industries,mainstream_leader,185.00,price_leading_tdcc,18.51,13.21,12.03,1.13,strong_but_late,股價已先漲，TDCC 訊號可能偏晚。
price_leading_tdcc,2465,麗臺,semiconductor equipment/materials,mainstream_leader,185.00,price_leading_tdcc,16.57,12.55,6.28,1.00,strong_but_late,股價已先漲，TDCC 訊號可能偏晚。
price_leading_tdcc,2882,國泰金,finance,mainstream_leader,185.00,price_leading_tdcc,15.69,11.49,11.35,0.78,strong_but_late,股價已先漲，TDCC 訊號可能偏晚。
price_leading_tdcc,6743,安普新,other electronics,mainstream_leader,185.00,price_leading_tdcc,14.63,10.56,7.05,1.01,strong_but_late,股價已先漲，TDCC 訊號可能偏晚。
price_leading_tdcc,6141,柏承,other electronics,mainstream_leader,175.00,price_leading_tdcc,53.96,12.70,13.79,0.57,strong_but_late,股價已先漲，TDCC 訊號可能偏晚。
price_leading_tdcc,6906,現觀科,other,single_name_signal,175.00,price_leading_tdcc,18.40,15.97,12.85,5.15,strong_but_late,股價已先漲，TDCC 訊號可能偏晚。
overheated_after_tdcc,3406,玉晶光,other electronics,mainstream_leader,215.00,overheated_after_tdcc,93.22,58.88,38.92,0.48,strong_but_overheated,籌碼強但股價已過熱，需防追高。
overheated_after_tdcc,3141,晶宏,semiconductor,mainstream_leader,215.00,overheated_after_tdcc,29.75,41.46,29.29,3.76,strong_but_overheated,籌碼強但股價已過熱，需防追高。
overheated_after_tdcc,8103,瀚荃,other electronics,mainstream_leader,195.00,overheated_after_tdcc,55.65,27.39,23.67,1.15,strong_but_overheated,籌碼強但股價已過熱，需防追高。
overheated_after_tdcc,3324,雙鴻,other electronics,mainstream_leader,195.00,overheated_after_tdcc,46.31,49.32,32.98,0.75,strong_but_overheated,籌碼強但股價已過熱，需防追高。
overheated_after_tdcc,2351,順德,semiconductor,mainstream_leader,195.00,overheated_after_tdcc,40.88,27.94,19.75,1.26,strong_but_overheated,籌碼強但股價已過熱，需防追高。
overheated_after_tdcc,7711,永擎,semiconductor equipment/materials,mainstream_leader,185.00,overheated_after_tdcc,68.53,34.01,26.30,1.46,strong_but_overheated,籌碼強但股價已過熱，需防追高。
overheated_after_tdcc,4908,前鼎,other electronics,mainstream_leader,185.00,overheated_after_tdcc,56.45,42.80,27.74,0.41,strong_but_overheated,籌碼強但股價已過熱，需防追高。
overheated_after_tdcc,2455,全新,networking,mainstream_follow_through,185.00,overheated_after_tdcc,45.05,27.12,22.21,1.77,strong_but_overheated,籌碼強但股價已過熱，需防追高。
overheated_after_tdcc,3374,精材,other electronics,mainstream_leader,185.00,overheated_after_tdcc,40.29,36.37,23.98,0.29,strong_but_overheated,籌碼強但股價已過熱，需防追高。
overheated_after_tdcc,3094,聯傑,semiconductor,mainstream_leader,185.00,overheated_after_tdcc,33.43,27.14,20.11,4.52,strong_but_overheated,籌碼強但股價已過熱，需防追高。
overheated_after_tdcc,3234,光環,networking,mainstream_follow_through,175.00,overheated_after_tdcc,91.63,32.50,25.51,1.12,strong_but_overheated,籌碼強但股價已過熱，需防追高。
overheated_after_tdcc,6620,漢達,biotechnology,mainstream_leader,175.00,overheated_after_tdcc,27.22,39.41,31.05,5.41,strong_but_overheated,籌碼強但股價已過熱，需防追高。
tdcc_price_divergence,1323,永裕,traditional industries,mainstream_leader,565.00,tdcc_price_divergence,6.52,-4.55,-0.99,0.13,strong_but_divergent,TDCC 增加但股價轉弱，需防訊號失效。
tdcc_price_divergence,1233,天仁,other,single_name_signal,355.00,tdcc_price_divergence,-2.78,-4.17,-0.51,0.62,strong_but_divergent,TDCC 增加但股價轉弱，需防訊號失效。
tdcc_price_divergence,2516,新建,traditional industries,mainstream_leader,345.00,tdcc_price_divergence,1.07,-3.98,0.62,1.06,strong_but_divergent,TDCC 增加但股價轉弱，需防訊號失效。
tdcc_price_divergence,2618,長榮航,traditional industries,mainstream_leader,345.00,tdcc_price_divergence,-4.28,-3.17,0.97,0.37,strong_but_divergent,TDCC 增加但股價轉弱，需防訊號失效。
tdcc_price_divergence,6527,明達醫,biotechnology,mainstream_leader,345.00,tdcc_price_divergence,-2.88,-4.99,-0.79,0.56,strong_but_divergent,TDCC 增加但股價轉弱，需防訊號失效。
tdcc_price_divergence,4406,新昕纖,other,single_name_signal,345.00,tdcc_price_divergence,-0.50,-5.42,-1.61,0.22,strong_but_divergent,TDCC 增加但股價轉弱，需防訊號失效。
tdcc_price_divergence,6128,上福,other electronics,mainstream_leader,295.00,tdcc_price_divergence,-1.25,-6.59,-2.29,0.67,strong_but_divergent,TDCC 增加但股價轉弱，需防訊號失效。
tdcc_price_divergence,3666,光耀,other electronics,mainstream_leader,295.00,tdcc_price_divergence,-0.40,-4.52,-0.49,1.23,strong_but_divergent,TDCC 增加但股價轉弱，需防訊號失效。
tdcc_price_divergence,1452,宏益,traditional industries,mainstream_leader,285.00,tdcc_price_divergence,-0.44,-4.67,-0.77,0.93,strong_but_divergent,TDCC 增加但股價轉弱，需防訊號失效。
tdcc_price_divergence,1259,安心,other,single_name_signal,275.00,tdcc_price_divergence,9.95,-6.21,2.58,0.58,strong_but_divergent,TDCC 增加但股價轉弱，需防訊號失效。
tdcc_price_divergence,7827,漢康-KY創,other,single_name_signal,275.00,tdcc_price_divergence,-3.21,-9.15,-4.32,0.58,strong_but_divergent,TDCC 增加但股價轉弱，需防訊號失效。
tdcc_price_divergence,8277,商丞,other electronics,mainstream_leader,275.00,tdcc_price_divergence,-1.23,-5.16,-0.57,0.87,strong_but_divergent,TDCC 增加但股價轉弱，需防訊號失效。
tdcc_price_divergence,4207,環泰,other,single_name_signal,265.00,tdcc_price_divergence,3.27,-5.37,-0.83,0.37,strong_but_divergent,TDCC 增加但股價轉弱，需防訊號失效。
tdcc_price_divergence,3508,位速,other electronics,mainstream_leader,265.00,tdcc_price_divergence,22.51,-13.63,1.23,0.26,strong_but_divergent,TDCC 增加但股價轉弱，需防訊號失效。
