rank,signal_date,stock_id,stock_name,theme,theme_mainstream_status,tdcc_weekly_increase_score,tdcc_consecutive_accumulation_score,tdcc_1w_change_400,tdcc_1w_change_600,tdcc_1w_change_800,tdcc_1w_change_1000,tdcc_four_threshold_weekly_increase_sum,tdcc_weighted_weekly_increase_score,tdcc_effective_increase_count,tdcc_sync_bonus,tdcc_theme_bonus,volume_ma20_lots,tdcc_low_volume_penalty,tdcc_high_pair_effective_streak_weeks,tdcc_high_pair_streak_bonus,tdcc_consecutive_up_weeks,all_thresholds_up,high_thresholds_up,tdcc_price_phase,tdcc_phase_group_zh,risk_bucket,risk_bucket_zh,price_return_20d,distance_ma20_pct,relative_return_vs_benchmark,ranking_note_zh
1,20260807,5351,鈺創,記憶體,mainstream_overheated,112.41,112.41,8.940000000000001,8.560000000000002,8.969999999999999,9.86,36.33,92.41,4,15.0,5.0,26621.6,0.0,1,0.0,1,True,True,overheated_after_tdcc,TDCC 後股價過熱,strong_but_overheated,短線過熱,15.34154535274357,17.492727998631153,20.20442574480348,有效級距增加 4/4（門檻 >0.5）；TDCC 後股價過熱
2,20260807,3605,宏致,電子零組件業,mainstream_leader,99.94,99.94,8.21,7.960000000000001,8.310000000000002,7.719999999999999,32.2,79.94,4,15.0,5.0,9985.01,0.0,1,0.0,1,True,True,overheated_after_tdcc,TDCC 後股價過熱,strong_but_overheated,短線過熱,18.942731277533053,22.81799056120999,14.76351969144286,有效級距增加 4/4（門檻 >0.5）；TDCC 後股價過熱
3,20260807,4533,協易機,機器人自動化 / 電機機械待細分,single_name_signal,88.12,88.12,7.66,8.100000000000001,8.34,8.559999999999999,32.66,83.12,4,15.0,0.0,637.55,10.0,1,0.0,2,True,True,tdcc_price_divergence,TDCC 與股價背離,strong_but_divergent,籌碼與股價背離,-16.02023608768971,-3.786707882534779,-2.967760569685118,有效級距增加 4/4（門檻 >0.5）；20日均量低於1000張；TDCC 與股價背離
4,20260807,3006,晶豪科,記憶體儲存,mainstream_overheated,85.32,85.32,6.400000000000006,6.82,6.159999999999997,6.699999999999996,26.08,65.32,4,15.0,5.0,11732.35,0.0,1,0.0,1,True,True,overheated_after_tdcc,TDCC 後股價過熱,strong_but_overheated,短線過熱,19.721577726218097,23.003575685339683,21.889570111610933,有效級距增加 4/4（門檻 >0.5）；TDCC 後股價過熱
5,20260807,8271,宇瞻,記憶體儲存,mainstream_leader,74.6,74.6,5.57,6.0,5.289999999999999,5.289999999999999,22.15,54.6,4,15.0,5.0,7636.64,0.0,1,0.0,1,True,True,overheated_after_tdcc,TDCC 後股價過熱,strong_but_overheated,短線過熱,36.46408839779005,21.048762558196522,18.096853024776205,有效級距增加 4/4（門檻 >0.5）；TDCC 後股價過熱
6,20260807,2464,盟立,機器人自動化,mainstream_leader,72.83,72.83,5.18,5.719999999999999,5.630000000000003,4.830000000000005,21.360000000000007,52.83,4,15.0,5.0,8008.81,0.0,1,0.0,2,True,True,overheated_after_tdcc,TDCC 後股價過熱,strong_but_overheated,短線過熱,11.598746081504707,19.54331766286097,20.343125271048457,有效級距增加 4/4（門檻 >0.5）；TDCC 後股價過熱
7,20260807,6206,飛捷,電源 / BBU,non_mainstream_watch,55.49,55.49,2.8399999999999963,3.6899999999999977,3.969999999999999,4.590000000000003,15.089999999999996,40.49,4,15.0,0.0,2828.16,0.0,1,0.0,4,True,True,price_leading_tdcc,股價領先 TDCC / 追高風險,strong_but_late,股價已領先,7.434944237918217,12.75848614904409,11.63165155957474,有效級距增加 4/4（門檻 >0.5）；股價領先 TDCC / 追高風險
8,20260807,4967,十銓,半導體業,mainstream_leader,54.1,59.1,5.010000000000002,4.659999999999998,4.749999999999998,1.379999999999999,15.799999999999997,34.1,4,15.0,5.0,3907.59,0.0,2,5.0,3,True,True,overheated_after_tdcc,TDCC 後股價過熱,strong_but_overheated,短線過熱,20.171673819742498,22.578526868775306,29.510063470244706,有效級距增加 4/4（門檻 >0.5）；800/1000張有效連續增加 2 週；TDCC 後股價過熱
9,20260807,6213,聯茂,PCB / CCL / ABF材料,mainstream_leader,53.77,53.77,3.289999999999999,3.740000000000002,3.5600000000000023,3.0799999999999983,13.670000000000002,33.77,4,15.0,5.0,20725.5,0.0,1,0.0,1,True,True,overheated_after_tdcc,TDCC 後股價過熱,strong_but_overheated,短線過熱,-4.701397712833543,16.8406293815236,9.648111082584487,有效級距增加 4/4（門檻 >0.5）；TDCC 後股價過熱
10,20260807,6226,光鼎,光電業,mainstream_leader,53.74,53.74,2.9499999999999993,3.0400000000000027,3.5299999999999976,3.5299999999999976,13.049999999999997,33.74,4,15.0,5.0,13519.16,0.0,1,0.0,1,True,True,price_leading_tdcc,股價領先 TDCC / 追高風險,strong_but_late,股價已領先,-9.504950495049503,4.62454212454213,27.422249850173042,有效級距增加 4/4（門檻 >0.5）；股價領先 TDCC / 追高風險
