event_date,event_end_date,stock_id,stock_name,market,event_type,event_name,event_status,event_confidence,catalyst_tags,source,source_url,days_to_event,proximity_bucket,expected_impact,notes,last_updated
20260902,20260902,00406,主動中信台灣收益,TWSE,ex_dividend,除息,confirmed,high,dividend_calendar,TWSE ex-right/ex-dividend calendar,https://www.twse.com.tw/rwd/zh/exRight/TWT48U?response=json,-7,recent,calendar_event_not_standalone_catalyst,cash_dividend=0.13800000; ex_right_dividend_flag=息,2026-09-03 19:41:29 Asia/Taipei
20260902,20260902,00946,群益科技高息成長,TWSE,ex_dividend,除息,confirmed,high,dividend_calendar,TWSE ex-right/ex-dividend calendar,https://www.twse.com.tw/rwd/zh/exRight/TWT48U?response=json,-7,recent,calendar_event_not_standalone_catalyst,cash_dividend=0.05800000; ex_right_dividend_flag=息,2026-09-03 19:41:29 Asia/Taipei
20260902,20260902,00953,群益優選非投等債,TWSE,ex_dividend,除息,confirmed,high,dividend_calendar,TWSE ex-right/ex-dividend calendar,https://www.twse.com.tw/rwd/zh/exRight/TWT48U?response=json,-7,recent,calendar_event_not_standalone_catalyst,cash_dividend=0.06700000; ex_right_dividend_flag=息,2026-09-03 19:41:29 Asia/Taipei
20260902,20260902,00985,群益ESG投等債0-5,TWSE,ex_dividend,除息,confirmed,high,dividend_calendar,TWSE ex-right/ex-dividend calendar,https://www.twse.com.tw/rwd/zh/exRight/TWT48U?response=json,-7,recent,calendar_event_not_standalone_catalyst,cash_dividend=0.05300000; ex_right_dividend_flag=息,2026-09-03 19:41:29 Asia/Taipei
20260902,20260902,2464,盟立,TWSE,ex_right_dividend,除權息,confirmed,high,dividend_calendar,TWSE ex-right/ex-dividend calendar,https://www.twse.com.tw/rwd/zh/exRight/TWT48U?response=json,-7,recent,calendar_event_not_standalone_catalyst,cash_dividend=0.47140300; ex_right_dividend_flag=權息,2026-09-03 19:41:29 Asia/Taipei
20260902,20260902,2845,遠東銀,TWSE,ex_right_dividend,除權息,confirmed,high,dividend_calendar,TWSE ex-right/ex-dividend calendar,https://www.twse.com.tw/rwd/zh/exRight/TWT48U?response=json,-7,recent,calendar_event_not_standalone_catalyst,cash_dividend=0.51400000; ex_right_dividend_flag=權息,2026-09-03 19:41:29 Asia/Taipei
20260902,20260902,2923,鼎固-KY,TWSE,ex_dividend,除息,confirmed,high,dividend_calendar,TWSE ex-right/ex-dividend calendar,https://www.twse.com.tw/rwd/zh/exRight/TWT48U?response=json,-7,recent,calendar_event_not_standalone_catalyst,cash_dividend=0.12000000; ex_right_dividend_flag=息,2026-09-03 19:41:29 Asia/Taipei
20260902,20260902,3013,晟銘電,TWSE,ex_right,除權,confirmed,high,dividend_calendar,TWSE ex-right/ex-dividend calendar,https://www.twse.com.tw/rwd/zh/exRight/TWT48U?response=json,-7,recent,calendar_event_not_standalone_catalyst,cash_dividend=0.00000000; ex_right_dividend_flag=權,2026-09-03 19:41:29 Asia/Taipei
20260902,20260902,3346,麗清,TWSE,ex_dividend,除息,confirmed,high,dividend_calendar,TWSE ex-right/ex-dividend calendar,https://www.twse.com.tw/rwd/zh/exRight/TWT48U?response=json,-7,recent,calendar_event_not_standalone_catalyst,cash_dividend=0.11000000; ex_right_dividend_flag=息,2026-09-03 19:41:29 Asia/Taipei
20260902,20260902,4438,廣越,TWSE,ex_dividend,除息,confirmed,high,dividend_calendar,TWSE ex-right/ex-dividend calendar,https://www.twse.com.tw/rwd/zh/exRight/TWT48U?response=json,-7,recent,calendar_event_not_standalone_catalyst,cash_dividend=2.30000000; ex_right_dividend_flag=息,2026-09-03 19:41:29 Asia/Taipei
