original_path,owner_lane,artifact_type,action,target_path,compatibility_alias,active_reference_surface,reason
output/latest/approved_operation_patterns_latest.csv,research_backtest,csv,compatibility_alias_retained,output/latest/research_backtest/approved_operation_patterns_latest.csv,output/latest/approved_operation_patterns_latest.csv,"scripts,validators,workflows,docs",daily volume breakout adapter/validator still consumes this research-owned support artifact
output/latest/approved_operation_patterns_latest.md,research_backtest,md,compatibility_alias_retained,output/latest/research_backtest/approved_operation_patterns_latest.md,output/latest/approved_operation_patterns_latest.md,workflows,daily volume breakout adapter/validator still consumes this research-owned support artifact
output/latest/daily_model_parameter_recommendations_latest.csv,research_backtest,csv,compatibility_alias_retained,output/latest/research_backtest/daily_model_parameter_recommendations_latest.csv,output/latest/daily_model_parameter_recommendations_latest.csv,"scripts,validators,workflows,docs",daily README/packet/indicator guide currently publishes or reads this advisory surface as a fixed alias
output/latest/daily_model_parameter_recommendations_latest.md,research_backtest,md,compatibility_alias_retained,output/latest/research_backtest/daily_model_parameter_recommendations_latest.md,output/latest/daily_model_parameter_recommendations_latest.md,"scripts,validators,workflows,docs",daily README/packet/indicator guide currently publishes or reads this advisory surface as a fixed alias
output/latest/daily_model_parameter_research_horizon_detail_latest.csv,research_backtest,csv,compatibility_alias_retained,output/latest/research_backtest/daily_model_parameter_research_horizon_detail_latest.csv,output/latest/daily_model_parameter_research_horizon_detail_latest.csv,docs,daily README/packet/indicator guide currently publishes or reads this advisory surface as a fixed alias
output/latest/daily_model_parameter_research_horizon_detail_latest.md,research_backtest,md,compatibility_alias_retained,output/latest/research_backtest/daily_model_parameter_research_horizon_detail_latest.md,output/latest/daily_model_parameter_research_horizon_detail_latest.md,docs,daily README/packet/indicator guide currently publishes or reads this advisory surface as a fixed alias
output/latest/daily_model_parameter_research_latest.csv,research_backtest,csv,compatibility_alias_retained,output/latest/research_backtest/daily_model_parameter_research_latest.csv,output/latest/daily_model_parameter_research_latest.csv,"scripts,docs",daily README/packet/indicator guide currently publishes or reads this advisory surface as a fixed alias
output/latest/daily_model_parameter_research_latest.md,research_backtest,md,compatibility_alias_retained,output/latest/research_backtest/daily_model_parameter_research_latest.md,output/latest/daily_model_parameter_research_latest.md,docs,daily README/packet/indicator guide currently publishes or reads this advisory surface as a fixed alias
output/latest/daily_model_research_parity_latest.csv,research_backtest,csv,relocated,output/latest/research_backtest/daily_model_research_parity_latest.csv,none,workflows,research-only artifact; no daily renderer/packet fixed alias required after producer/validator/workflow path update
output/latest/daily_model_research_parity_latest.md,research_backtest,md,relocated,output/latest/research_backtest/daily_model_research_parity_latest.md,none,workflows,research-only artifact; no daily renderer/packet fixed alias required after producer/validator/workflow path update
output/latest/daily_published_snapshot_ranking_backtest_latest.csv,research_backtest,csv,relocated,output/latest/research_backtest/daily_published_snapshot_ranking_backtest_latest.csv,none,workflows,research-only artifact; no daily renderer/packet fixed alias required after producer/validator/workflow path update
