ticker,name,market,date,close,volume_lots,ma20,ma60,gap_ma20_pct,gap_ma60_pct,high_40,low_40,consolidation_range_pct,breakout_pct,volume_ratio,return_5d_pct,score,judge
2881,富邦金,listed,20260515,96.1,100425.0,91.34,90.28,5.21,6.44,96.9,85.3,13.6,-0.83,3.15,-0.62,90,強突破候選
2498,宏達電,listed,20260515,45.3,71302.0,40.86,41.64,10.87,8.78,44.1,38.65,14.1,2.72,6.16,15.12,90,強突破候選
1776,展宇,listed,20260515,19.0,3474.0,16.9,16.01,12.44,18.69,18.7,15.35,21.82,1.6,10.67,11.76,90,強突破候選
2027,大成鋼,listed,20260515,39.85,47747.0,38.08,37.53,4.66,6.19,40.5,35.9,12.81,-1.6,1.8,0.63,83,強突破候選
2441,超豐,listed,20260515,106.5,37141.0,92.72,90.72,14.86,17.39,104.0,83.4,24.7,2.4,2.36,17.68,80,強突破候選
3059,華晶科,listed,20260515,42.2,27390.0,39.41,38.19,7.09,10.51,42.3,35.0,20.86,-0.24,4.69,7.24,80,強突破候選
8163,達方,listed,20260515,33.85,12865.0,28.61,28.71,18.3,17.89,32.3,26.45,22.12,4.8,6.02,13.78,80,強突破候選
2359,所羅門,listed,20260515,135.0,10519.0,119.42,118.42,13.04,14.0,130.5,105.0,24.29,3.45,3.54,12.97,80,強突破候選
3704,合勤控,listed,20260515,38.2,8711.0,35.94,34.3,6.29,11.37,38.65,31.6,22.31,-1.16,2.5,8.22,80,強突破候選
3413,京鼎,listed,20260515,325.5,6509.0,317.12,308.28,2.64,5.58,338.0,288.0,17.36,-3.7,2.48,3.17,80,強突破候選
9921,巨大,listed,20260515,75.9,5028.0,69.4,73.44,9.36,3.35,76.6,65.1,17.67,-0.91,2.16,15.0,80,強突破候選
4585,達明,listed,20260515,354.0,2711.0,325.32,319.31,8.81,10.86,356.0,285.0,24.91,-0.56,3.97,7.44,80,強突破候選
4976,佳凌,listed,20260515,30.5,2100.0,29.68,29.54,2.78,3.26,31.5,27.1,16.24,-3.17,2.88,5.35,80,強突破候選
1216,統一,listed,20260515,75.7,17694.0,71.85,71.94,5.36,5.22,75.6,68.5,10.36,0.13,1.19,3.42,75,可觀察
6834,天二科技,listed,20260515,50.2,10730.0,40.58,34.42,23.71,45.82,49.65,29.75,66.89,1.11,4.42,4.37,75,可觀察
2412,中華電,listed,20260515,138.0,8852.0,136.48,135.48,1.12,1.86,138.0,133.0,3.76,0.0,0.8,1.1,75,可觀察
4571,鈞興-KY,listed,20260515,211.0,3050.0,182.45,170.62,15.65,23.67,208.0,147.0,41.5,1.44,2.6,11.05,75,可觀察
2882,國泰金,listed,20260515,77.9,54795.0,76.68,74.68,1.6,4.3,80.8,69.1,16.93,-3.59,1.62,-2.62,73,可觀察
9939,宏全,listed,20260515,125.0,3190.0,115.58,117.65,8.15,6.25,127.5,108.5,17.51,-1.96,1.95,12.11,73,可觀察
3019,亞光,listed,20260515,144.5,19720.0,139.7,135.86,3.44,6.36,149.0,120.0,24.17,-3.02,2.26,0.35,70,可觀察
1447,力鵬,listed,20260515,5.34,4143.0,5.07,5.25,5.26,1.66,5.68,4.9,15.92,-5.99,2.91,7.88,70,可觀察
6416,瑞祺電通,listed,20260515,89.3,1045.0,83.4,81.6,7.08,9.43,91.5,76.9,18.99,-2.4,2.46,5.68,70,可觀察
3033,威健,listed,20260515,47.9,30563.0,39.18,34.49,22.26,38.88,46.75,31.5,48.41,2.46,1.99,9.24,68,可觀察
6239,力成,listed,20260515,248.0,56526.0,220.28,218.04,12.59,13.74,250.0,185.5,34.77,-0.8,2.56,11.71,65,可觀察
2374,佳能,listed,20260515,82.2,33320.0,77.04,74.24,6.69,10.72,83.7,66.2,26.44,-1.79,2.65,4.71,65,可觀察
3149,正達,listed,20260515,57.4,28811.0,48.25,47.45,18.96,20.97,56.5,39.7,42.32,1.59,2.11,18.96,65,可觀察
2892,第一金,listed,20260515,29.3,23895.0,28.85,28.91,1.56,1.34,29.75,28.0,6.25,-1.51,0.74,-0.68,65,可觀察
