signal_id,signal_date,report_date,stock_id,stock_name,market,industry,sector,sub_theme,category,category_cn,score,rank,priority,revaluation_priority,tdcc_status,tdcc_400_delta,tdcc_1000_delta,warrant_status,warrant_call_amount,revenue_yoy,cum_revenue_yoy,recent_revenue_accel,close_at_signal,volume,volume_ratio,ma20,ma60,ema23,distance_to_ma20,distance_to_ma60,distance_to_high_20,distance_to_high_60,near_platform,break_prior_high,already_priced_in,overheat_flag,distribution_warning,downgrade_reason,is_construction_recognition,recognition_type,revenue_signal_type,signal_source_file,pipeline_commit_sha,twse_close_at_signal,tpex_close_at_signal,twse_5d_return_at_signal,twse_10d_return_at_signal,twse_20d_return_at_signal,tpex_5d_return_at_signal,tpex_10d_return_at_signal,tpex_20d_return_at_signal,twse_above_ma20,twse_above_ma60,tpex_above_ma20,tpex_above_ma60,market_regime,benchmark_index,created_at,updated_at,fundamental_catalyst_score,fundamental_catalyst_tags,event_catalyst_tags,similar_to_shihsinko_flag,eps_surprise_flag,earnings_acceleration_flag,margin_improvement_flag,profit_turnaround_flag,revenue_good_eps_unconfirmed_flag,theme_catalyst_flag,theme_catalyst_tags,catalyst_date,catalyst_source,catalyst_summary,low_reaction_after_catalyst,already_reacted_to_catalyst,catalyst_quality,catalyst_confidence,theme_strength_score,catalyst_strength_score,catalyst_tags,price_reaction_level,event_calendar_tags,event_proximity_score,nearest_event_date,nearest_event_type,nearest_event_name,days_to_nearest_event,event_calendar_source,close,source_file
20260523_0056_pattern,20260523,20260523,0056,元大高股息,TWSE,,,,pattern,型態觀察,68.0,3.0,,,無TDCC資料,,,no_signal,690.0,,,,45.44,,,,,,,,,,False,False,False,False,False,,False,,,output/latest/all_candidates_latest.csv,1be3a1757ee02de0bbd7bd42a72b41faa3e9a92a,42267.97,423.25,2.6610327899590835,1.5960747948391418,12.074566177416155,2.935454059049558,3.372899570144594,10.996013846637997,True,True,True,True,strong_bull,TWSE,2026-05-23 23:12:14 Asia/Taipei,2026-05-23 23:12:14 Asia/Taipei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20260523_1215_pattern,20260523,20260523,1215,卜蜂,TWSE,食品工業,,,pattern,型態觀察,112.0,2.0,,,distribution_warning,-1.41,-0.79,no_signal,145310.0,,,,144.0,,,,,,,,,,False,False,False,False,True,,False,,,output/latest/all_candidates_latest.csv,1be3a1757ee02de0bbd7bd42a72b41faa3e9a92a,42267.97,423.25,2.6610327899590835,1.5960747948391418,12.074566177416155,2.935454059049558,3.372899570144594,10.996013846637997,True,True,True,True,strong_bull,TWSE,2026-05-23 23:12:14 Asia/Taipei,2026-05-23 23:12:14 Asia/Taipei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20260523_1304_pattern,20260523,20260523,1304,台聚,TWSE,塑膠工業,,,pattern,型態觀察,130.0,1.0,,,strong_accumulation,0.63,0.49,call_inflow,1704980.0,,,,12.25,,,,,,,,,,False,False,False,False,False,,False,,,output/latest/all_candidates_latest.csv,1be3a1757ee02de0bbd7bd42a72b41faa3e9a92a,42267.97,423.25,2.6610327899590835,1.5960747948391418,12.074566177416155,2.935454059049558,3.372899570144594,10.996013846637997,True,True,True,True,strong_bull,TWSE,2026-05-23 23:12:14 Asia/Taipei,2026-05-23 23:12:14 Asia/Taipei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20260523_1305_pattern,20260523,20260523,1305,華夏,TWSE,塑膠工業,,,pattern,型態觀察,130.0,1.0,,,strong_accumulation,0.66,0.32,no_signal,76230.0,,,,12.5,,,,,,,,,,False,False,False,False,False,,False,,,output/latest/all_candidates_latest.csv,1be3a1757ee02de0bbd7bd42a72b41faa3e9a92a,42267.97,423.25,2.6610327899590835,1.5960747948391418,12.074566177416155,2.935454059049558,3.372899570144594,10.996013846637997,True,True,True,True,strong_bull,TWSE,2026-05-23 23:12:14 Asia/Taipei,2026-05-23 23:12:14 Asia/Taipei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20260523_1313_pattern,20260523,20260523,1313,聯成,TWSE,塑膠工業,,,pattern,型態觀察,116.0,1.0,,,strong_accumulation,0.39,0.34,no_signal,0.0,,,,10.65,,,,,,,,,,False,False,False,False,False,,False,,,output/latest/all_candidates_latest.csv,1be3a1757ee02de0bbd7bd42a72b41faa3e9a92a,42267.97,423.25,2.6610327899590835,1.5960747948391418,12.074566177416155,2.935454059049558,3.372899570144594,10.996013846637997,True,True,True,True,strong_bull,TWSE,2026-05-23 23:12:14 Asia/Taipei,2026-05-23 23:12:14 Asia/Taipei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20260523_1402_pattern,20260523,20260523,1402,遠東新,TWSE,紡織纖維,,,pattern,型態觀察,98.0,1.0,,,mild_accumulation,0.24,0.21,no_signal,0.0,,,,27.2,,,,,,,,,,False,False,False,False,False,,False,,,output/latest/all_candidates_latest.csv,1be3a1757ee02de0bbd7bd42a72b41faa3e9a92a,42267.97,423.25,2.6610327899590835,1.5960747948391418,12.074566177416155,2.935454059049558,3.372899570144594,10.996013846637997,True,True,True,True,strong_bull,TWSE,2026-05-23 23:12:14 Asia/Taipei,2026-05-23 23:12:14 Asia/Taipei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20260523_1409_pattern,20260523,20260523,1409,新纖,TWSE,紡織纖維,,,pattern,型態觀察,116.0,3.0,,,mild_accumulation,0.12,0.16,no_signal,51200.0,,,,16.95,,,,,,,,,,False,False,False,False,False,,False,,,output/latest/all_candidates_latest.csv,1be3a1757ee02de0bbd7bd42a72b41faa3e9a92a,42267.97,423.25,2.6610327899590835,1.5960747948391418,12.074566177416155,2.935454059049558,3.372899570144594,10.996013846637997,True,True,True,True,strong_bull,TWSE,2026-05-23 23:12:14 Asia/Taipei,2026-05-23 23:12:14 Asia/Taipei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20260523_1447_pattern,20260523,20260523,1447,力鵬,TWSE,紡織纖維,,,pattern,型態觀察,130.0,1.0,,,mild_accumulation,0.33,0.22,,,,,,5.9,,,,,,,,,,False,False,False,False,False,,False,,,output/latest/all_candidates_latest.csv,1be3a1757ee02de0bbd7bd42a72b41faa3e9a92a,42267.97,423.25,2.6610327899590835,1.5960747948391418,12.074566177416155,2.935454059049558,3.372899570144594,10.996013846637997,True,True,True,True,strong_bull,TWSE,2026-05-23 23:12:14 Asia/Taipei,2026-05-23 23:12:14 Asia/Taipei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20260523_1504_pattern,20260523,20260523,1504,東元,TWSE,電機機械,,,pattern,型態觀察,116.0,2.0,,,distribution_warning,-0.79,-0.87,no_signal,459970.0,,,,71.1,,,,,,,,,,False,False,False,False,True,,False,,,output/latest/all_candidates_latest.csv,1be3a1757ee02de0bbd7bd42a72b41faa3e9a92a,42267.97,423.25,2.6610327899590835,1.5960747948391418,12.074566177416155,2.935454059049558,3.372899570144594,10.996013846637997,True,True,True,True,strong_bull,TWSE,2026-05-23 23:12:14 Asia/Taipei,2026-05-23 23:12:14 Asia/Taipei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20260523_1513_pattern,20260523,20260523,1513,中興電,TWSE,電機機械,,,pattern,型態觀察,112.0,1.0,,,distribution_warning,-1.54,-1.16,no_signal,0.0,,,,154.5,,,,,,,,,,False,False,False,False,True,,False,,,output/latest/all_candidates_latest.csv,1be3a1757ee02de0bbd7bd42a72b41faa3e9a92a,42267.97,423.25,2.6610327899590835,1.5960747948391418,12.074566177416155,2.935454059049558,3.372899570144594,10.996013846637997,True,True,True,True,strong_bull,TWSE,2026-05-23 23:12:14 Asia/Taipei,2026-05-23 23:12:14 Asia/Taipei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
