date,stock_id,stock_name,market,open,high,low,close,volume,trading_value,source
20260922,006201,元大富櫃50,TPEx,46.89,47.33,46.55,46.58,361000,16956930,TPEX_OTC_QUOTES_NO1430_JSON
20260922,00858,永豐美國500大,TPEx,36.09,36.27,36.09,36.24,592000,21457670,TPEX_OTC_QUOTES_NO1430_JSON
20260922,00877,復華中國5G,TPEx,39.51,39.86,39.07,39.1,2034000,80282810,TPEX_OTC_QUOTES_NO1430_JSON
20260922,00886,永豐美國科技,TPEx,49.35,49.68,49.24,49.24,27000,1338640,TPEX_OTC_QUOTES_NO1430_JSON
20260922,00887,永豐中國科技50大,TPEx,16.31,16.48,16.25,16.26,6708000,109722540,TPEX_OTC_QUOTES_NO1430_JSON
20260922,00888,永豐台灣ESG,TPEx,36.5,36.69,36.13,36.16,12158000,443741020,TPEX_OTC_QUOTES_NO1430_JSON
20260922,00928,中信上櫃ESG 30,TPEx,34.01,34.12,33.52,33.6,674000,22826390,TPEX_OTC_QUOTES_NO1430_JSON
20260922,00955,中信日本商社,TPEx,16.3,16.35,16.26,16.29,2287000,37285320,TPEX_OTC_QUOTES_NO1430_JSON
20260922,009806,台新標普500,TPEx,13.81,13.87,13.81,13.87,641000,8872650,TPEX_OTC_QUOTES_NO1430_JSON
20260922,009807,台新標普科技精選,TPEx,17.68,17.73,17.68,17.68,49000,867340,TPEX_OTC_QUOTES_NO1430_JSON
20260922,009814,富邦標普500,TPEx,11.4,11.47,11.4,11.47,634000,7259370,TPEX_OTC_QUOTES_NO1430_JSON
20260922,009815,大華美國MAG7+,TPEx,11.98,12.05,11.98,11.99,2944000,35363490,TPEX_OTC_QUOTES_NO1430_JSON
20260922,009822,華南永昌未來金融,TPEx,10.01,10.03,9.98,9.98,2136000,21349560,TPEX_OTC_QUOTES_NO1430_JSON
20260922,009823,群益S&P500,TPEx,10.51,10.51,10.5,10.5,5832000,61258570,TPEX_OTC_QUOTES_NO1430_JSON
20260922,009825,聯邦美國金融創新,TPEx,10.04,10.07,10.02,10.02,668000,6695330,TPEX_OTC_QUOTES_NO1430_JSON
20260922,020025,統一亞洲半導體N,TPEx,40.96,40.96,40.41,40.41,9000,366010,TPEX_OTC_QUOTES_NO1430_JSON
20260922,020033,統一恒生科期N,TPEx,3.54,3.56,3.54,3.54,80000,284240,TPEX_OTC_QUOTES_NO1430_JSON
20260922,020040,元大上櫃ESG龍頭N,TPEx,11.7,11.72,11.7,11.7,6000,70240,TPEX_OTC_QUOTES_NO1430_JSON
20260922,020041,兆豐半導體氣候N,TPEx,22.24,22.44,22.09,22.09,116000,2583900,TPEX_OTC_QUOTES_NO1430_JSON
20260922,1240,茂生農經,TPEx,55.2,55.2,54.8,54.8,7000,384000,TPEX_OTC_QUOTES_NO1430_JSON
20260922,1259,安心,TPEx,67.1,68.0,66.2,67.9,21000,1421400,TPEX_OTC_QUOTES_NO1430_JSON
20260922,1264,德麥,TPEx,245.5,245.5,244.0,244.0,34000,8316500,TPEX_OTC_QUOTES_NO1430_JSON
