date,ticker,name,market,close,volume_lots,pattern,pattern_stage,pattern_score,a_date,a_low,b_date,neckline,c_date,c_low,second_low_gap_pct,rebound_from_a_pct,current_from_c_pct,distance_to_neckline_pct,attack1_gain_pct,attack2_gain_pct,attack1_avg_volume_lots,attack2_avg_volume_lots,volume_ratio_2_vs_1,attack1_red_count,attack2_red_count,red_body_ratio_2_vs_1,industry,is_mainstream,tdcc_date,tdcc_over_400_pct,tdcc_over_400_change,tdcc_over_1000_pct,tdcc_over_1000_change,tdcc_judge,stage_order
20260518,4927,泰鼎-KY,TWSE,47.95,9976.0,W底右側攻擊增強・預備發動,預備發動型,136,20260310,41.0,20260318,53.8,20260408,40.25,-1.83,31.22,19.13,-10.87,8.33,16.1,12149.0,23822.0,1.96,4,14,10.71,電子零組件業,True,20260515,28.55,-4.03,22.36,-4.17,大戶籌碼減少,1
20260518,2419,仲琦,TWSE,30.0,2118.0,W底右側攻擊增強・預備發動,預備發動型,130,20260302,28.6,20260318,34.2,20260324,28.6,0.0,19.58,4.9,-12.28,0.0,3.63,3403.0,9763.0,2.87,5,16,3.4,通信網路業,True,20260515,64.97,0.14,62.58,0.34,中大戶/超大戶同步增加,1
20260518,2485,兆赫,TWSE,73.0,67033.0,W底右側攻擊增強・預備發動,預備發動型,130,20260323,69.0,20260407,84.3,20260409,68.5,-0.72,22.17,6.57,-13.4,-6.28,4.43,14840.0,42306.0,2.85,5,11,1.8,通信網路業,True,20260515,23.34,2.76,20.63,3.19,中大戶/超大戶同步增加,1
20260518,6155,鈞寶,TWSE,52.0,4804.0,W底右側攻擊增強・預備發動,預備發動型,130,20260211,44.35,20260226,55.5,20260506,45.6,2.82,25.14,14.04,-6.31,17.4,12.19,3168.0,6576.0,2.08,4,5,1.82,電子零組件業,True,20260515,59.01,-2.14,52.71,-0.5,大戶籌碼減少,1
20260518,6282,康舒,TWSE,50.8,19529.0,W底右側攻擊增強・預備發動,預備發動型,124,20260309,41.8,20260318,55.0,20260407,42.5,1.67,31.58,19.53,-7.64,22.51,18.97,22917.0,33846.0,1.48,4,13,5.44,電子零組件業,True,20260515,45.48,1.41,41.87,1.84,中大戶/超大戶同步增加,1
20260518,3701,大眾控,TWSE,55.5,1747.0,W底右側攻擊增強・預備發動,預備發動型,122,20260106,49.0,20260116,62.5,20260126,51.0,4.08,27.55,8.82,-11.2,14.69,6.12,4070.0,8817.0,2.17,5,22,6.52,電腦及週邊設備業,True,20260515,73.72,-0.48,70.67,-0.51,大戶籌碼減少,1
20260518,5269,祥碩,TWSE,1390.0,1897.0,W底右側攻擊增強・預備發動,預備發動型,122,20251226,1130.0,20260112,1480.0,20260324,1140.0,0.88,30.97,21.93,-6.08,18.97,20.35,1614.0,1918.0,1.19,6,13,2.08,半導體業,True,20260515,56.62,-1.71,53.59,-0.66,大戶籌碼減少,1
20260518,1905,華紙,TWSE,12.0,3314.0,W底右側攻擊增強・預備發動,預備發動型,118,20260119,12.15,20260224,13.25,20260313,11.5,-5.35,9.05,4.35,-9.43,0.79,4.35,2835.0,8583.0,3.03,5,13,5.62,造紙工業,False,20260515,71.81,-0.22,69.11,-0.31,大戶籌碼減少,1
20260518,6962,奕力-KY,TWSE,36.3,2278.0,W底右側攻擊增強・預備發動,預備發動型,118,20260109,37.15,20260126,41.25,20260420,33.75,-9.15,11.04,7.56,-12.0,6.67,7.4,2658.0,7467.0,2.81,6,8,3.2,半導體業,True,20260515,52.77,-0.17,47.32,0.05,超大戶增加,1
20260518,1504,東元,TWSE,68.3,9629.0,W底右側攻擊增強・預備發動,預備發動型,118,20260309,66.1,20260311,72.2,20260427,59.9,-9.38,9.23,14.02,-5.4,4.07,11.97,7784.0,21603.0,2.78,2,4,6.67,電機機械,True,20260515,73.55,-0.42,70.11,-0.58,大戶籌碼減少,1
