generated_at,model_id,artifact_id,artifact_version,source_artifact_id,source_artifact_version,source_projection_version,condition_variant_id,episode_key,stock_id,event_order,revenue_period,source_date,trade_date,sequence_index,source_row_canonical_sha256,source_revenue_anomaly_candidate_flag,raw_source_file,raw_source_sha256,episode_source_revenue_anomaly_candidate_flag,attribution_policy_id
2026-08-29 00:00:00 Asia/Taipei,revenue_unreacted_range,revenue_unreacted_range_source_first_condition_qualifying_event_anomaly,source_first_qualifying_event_anomaly_v1_20260829,revenue_unreacted_range_source_first_condition_audit,source_first_condition_v3_20260720,source_snapshot_projection_v2_20260822,absolute_or_two_month_yoy_ge15,absolute_or_two_month_yoy_ge15|1101|20250517|1,1101,1,202504,20250517,20250519,29,8b0df7973dffc453f9151ca9ad32861423c4b07969560e4402a1ee37abbce726,False,data/monthly_revenue_history/raw/mops_html/monthly_revenue_html_listed_0_20250517_202504.html,4eba010d3afeb2b50f3b6e88a60fb699bfad9d34b1e991c0cc8b898775b1231f,False,trigger_asof_qualifying_event_v1_20260829
2026-08-29 00:00:00 Asia/Taipei,revenue_unreacted_range,revenue_unreacted_range_source_first_condition_qualifying_event_anomaly,source_first_qualifying_event_anomaly_v1_20260829,revenue_unreacted_range_source_first_condition_audit,source_first_condition_v3_20260720,source_snapshot_projection_v2_20260822,absolute_or_two_month_yoy_ge15,absolute_or_two_month_yoy_ge15|1109|20260217|1,1109,1,202601,20260217,20260223,214,921204b85601ed4a931c6b82016397755a9e42bb965798a096d999a678ba6f35,False,data/monthly_revenue_history/raw/mops_html/monthly_revenue_html_listed_0_20260217_202601.html,7b31102b97d450fa4de777477198f8655447cf3037993e8fc50f6fc40de30a50,False,trigger_asof_qualifying_event_v1_20260829
2026-08-29 00:00:00 Asia/Taipei,revenue_unreacted_range,revenue_unreacted_range_source_first_condition_qualifying_event_anomaly,source_first_qualifying_event_anomaly_v1_20260829,revenue_unreacted_range_source_first_condition_audit,source_first_condition_v3_20260720,source_snapshot_projection_v2_20260822,absolute_or_two_month_yoy_ge15,absolute_or_two_month_yoy_ge15|1110|20250517|1,1110,1,202504,20250517,20250519,29,cd4bbe66a5c9e3b6d1ec64a11eb3e47cfcb6865dd0631680472b43c9c6c915c3,False,data/monthly_revenue_history/raw/mops_html/monthly_revenue_html_listed_0_20250517_202504.html,4eba010d3afeb2b50f3b6e88a60fb699bfad9d34b1e991c0cc8b898775b1231f,False,trigger_asof_qualifying_event_v1_20260829
2026-08-29 00:00:00 Asia/Taipei,revenue_unreacted_range,revenue_unreacted_range_source_first_condition_qualifying_event_anomaly,source_first_qualifying_event_anomaly_v1_20260829,revenue_unreacted_range_source_first_condition_audit,source_first_condition_v3_20260720,source_snapshot_projection_v2_20260822,absolute_or_two_month_yoy_ge15,absolute_or_two_month_yoy_ge15|1110|20250517|1,1110,2,202505,20250617,20250617,49,d8e82ad96762a17a7d6b45a494a560c4e919c5e0cb35ef1eb419efd8d94fa5d3,False,data/monthly_revenue_history/raw/mops_html/monthly_revenue_html_listed_0_20250617_202505.html,57f9504772e8a0bb03cfc6e11c6fd2924b0de6b83bf1fbfdfabc2be0706eb60c,False,trigger_asof_qualifying_event_v1_20260829
2026-08-29 00:00:00 Asia/Taipei,revenue_unreacted_range,revenue_unreacted_range_source_first_condition_qualifying_event_anomaly,source_first_qualifying_event_anomaly_v1_20260829,revenue_unreacted_range_source_first_condition_audit,source_first_condition_v3_20260720,source_snapshot_projection_v2_20260822,absolute_or_two_month_yoy_ge15,absolute_or_two_month_yoy_ge15|1110|20250517|1,1110,3,202506,20250717,20250717,71,215c9da86913322f22547e0276cd84769e240c09cbb64f13a3bd35b3144bd99d,False,data/monthly_revenue_history/raw/mops_html/monthly_revenue_html_listed_0_20250717_202506.html,b00b3f486d66a1144ac56a71dc50b251f284c0c6383b72e67d3e7f6a567f02fd,False,trigger_asof_qualifying_event_v1_20260829
2026-08-29 00:00:00 Asia/Taipei,revenue_unreacted_range,revenue_unreacted_range_source_first_condition_qualifying_event_anomaly,source_first_qualifying_event_anomaly_v1_20260829,revenue_unreacted_range_source_first_condition_audit,source_first_condition_v3_20260720,source_snapshot_projection_v2_20260822,absolute_or_two_month_yoy_ge15,absolute_or_two_month_yoy_ge15|1213|20250617|1,1213,1,202505,20250617,20250617,48,8837e6d0e7f2dba463c4d31b07cb8820185f831759572afa7b38a68c07a7e0eb,False,data/monthly_revenue_history/raw/mops_html/monthly_revenue_html_listed_0_20250617_202505.html,57f9504772e8a0bb03cfc6e11c6fd2924b0de6b83bf1fbfdfabc2be0706eb60c,False,trigger_asof_qualifying_event_v1_20260829
2026-08-29 00:00:00 Asia/Taipei,revenue_unreacted_range,revenue_unreacted_range_source_first_condition_qualifying_event_anomaly,source_first_qualifying_event_anomaly_v1_20260829,revenue_unreacted_range_source_first_condition_audit,source_first_condition_v3_20260720,source_snapshot_projection_v2_20260822,absolute_or_two_month_yoy_ge15,absolute_or_two_month_yoy_ge15|1213|20250617|1,1213,2,202506,20250717,20250717,69,36e157cbba37e8d9afc5cec90ef381208c73fcc1d939e09353b2d4741dae3d51,False,data/monthly_revenue_history/raw/mops_html/monthly_revenue_html_listed_0_20250717_202506.html,b00b3f486d66a1144ac56a71dc50b251f284c0c6383b72e67d3e7f6a567f02fd,False,trigger_asof_qualifying_event_v1_20260829
2026-08-29 00:00:00 Asia/Taipei,revenue_unreacted_range,revenue_unreacted_range_source_first_condition_qualifying_event_anomaly,source_first_qualifying_event_anomaly_v1_20260829,revenue_unreacted_range_source_first_condition_audit,source_first_condition_v3_20260720,source_snapshot_projection_v2_20260822,absolute_or_two_month_yoy_ge15,absolute_or_two_month_yoy_ge15|1213|20250617|1,1213,3,202507,20250817,20250818,90,58b05539b2a25e876032368f5b24adb5b7c607bc4b7fb66960a897d9b218604d,False,data/monthly_revenue_history/raw/mops_html/monthly_revenue_html_listed_0_20250817_202507.html,d460fc57997feef524f45d3571cd5b409945e01c85177ce8daa1d008ac02d8fb,False,trigger_asof_qualifying_event_v1_20260829
2026-08-29 00:00:00 Asia/Taipei,revenue_unreacted_range,revenue_unreacted_range_source_first_condition_qualifying_event_anomaly,source_first_qualifying_event_anomaly_v1_20260829,revenue_unreacted_range_source_first_condition_audit,source_first_condition_v3_20260720,source_snapshot_projection_v2_20260822,absolute_or_two_month_yoy_ge15,absolute_or_two_month_yoy_ge15|1213|20250617|1,1213,4,202508,20250917,20250917,106,0974614b80e9d211de3d7c1cc1945bc6559c8aa7c5660222bad13511495baf1b,False,data/monthly_revenue_history/raw/mops_html/monthly_revenue_html_listed_0_20250917_202508.html,763415072dce62ddb46c5e3a6a06f55704c7a9c5d315565751388317b6ad50b4,False,trigger_asof_qualifying_event_v1_20260829
2026-08-29 00:00:00 Asia/Taipei,revenue_unreacted_range,revenue_unreacted_range_source_first_condition_qualifying_event_anomaly,source_first_qualifying_event_anomaly_v1_20260829,revenue_unreacted_range_source_first_condition_audit,source_first_condition_v3_20260720,source_snapshot_projection_v2_20260822,absolute_or_two_month_yoy_ge15,absolute_or_two_month_yoy_ge15|1213|20250617|1,1213,5,202509,20251017,20251020,124,65dea8c5be4f5983ba5b69117dddc2ef90307dc88c6dc137ddf9187ab8c7a4b8,False,data/monthly_revenue_history/raw/mops_html/monthly_revenue_html_listed_0_20251017_202509.html,6bb7ac7c837884520e1aae63cd2d12ba2f2da7a88117d9308e39fab94842426e,False,trigger_asof_qualifying_event_v1_20260829
