research_id,research_variant_id,parameter_set_id,advisory_status,auto_context_scope_id,analysis_scope_id,failure_exit_rule_id,sample_size,unique_stock_count,auto_bearish_count,auto_non_bearish_count,auto_unknown_count,win_count,neutral_count,loss_count,pure_win_rate_pct,neutral_inclusive_success_rate_pct,positive_return_rate_pct,avg_return_pct,median_return_pct,avg_max_close_return_pct,median_max_close_return_pct,avg_min_close_return_pct,median_min_close_return_pct,approved_for_daily,production_readiness,generated_at
structured_neckline_auto_context_expansion_audit,warning_research_variant_only,structured_neckline_auto_context_expansion_audit_20260629,warning_research_variant_only,auto_pre_signal_context_expansion,all_retest_entries,close_only_no_logical_failure_exit,374,290,56,318,0,147,75,152,49.1639,59.3583,60.1604,1.7914,2.8634,7.0289,7.0599,-7.2188,-5.1100,false,not_production_ready_research_only,2026-06-29 01:40:27 Asia/Taipei
structured_neckline_auto_context_expansion_audit,warning_research_variant_only,structured_neckline_auto_context_expansion_audit_20260629,warning_research_variant_only,auto_pre_signal_context_expansion,all_retest_entries,neckline_close_lost_two_sessions,374,290,56,318,0,133,72,169,44.0397,54.8128,54.8128,1.0851,1.9922,6.1080,6.0418,-5.5878,-4.5311,false,not_production_ready_research_only,2026-06-29 01:40:27 Asia/Taipei
structured_neckline_auto_context_expansion_audit,warning_research_variant_only,structured_neckline_auto_context_expansion_audit_20260629,warning_research_variant_only,auto_pre_signal_context_expansion,all_auto_non_bearish,close_only_no_logical_failure_exit,318,252,0,318,0,129,61,128,50.1946,59.7484,60.0629,1.9244,2.9340,7.2158,7.2585,-7.2964,-4.9633,false,not_production_ready_research_only,2026-06-29 01:40:27 Asia/Taipei
structured_neckline_auto_context_expansion_audit,warning_research_variant_only,structured_neckline_auto_context_expansion_audit_20260629,warning_research_variant_only,auto_pre_signal_context_expansion,all_auto_non_bearish,neckline_close_lost_two_sessions,318,252,0,318,0,115,60,143,44.5736,55.0314,54.7170,1.1204,1.8782,6.1775,6.1211,-5.6394,-4.5270,false,not_production_ready_research_only,2026-06-29 01:40:27 Asia/Taipei
structured_neckline_auto_context_expansion_audit,warning_research_variant_only,structured_neckline_auto_context_expansion_audit_20260629,warning_research_variant_only,auto_pre_signal_context_expansion,all_auto_bearish,close_only_no_logical_failure_exit,56,51,56,0,0,18,14,24,42.8571,57.1429,60.7143,1.0360,2.7441,5.9676,5.4989,-6.7776,-5.8943,false,not_production_ready_research_only,2026-06-29 01:40:27 Asia/Taipei
structured_neckline_auto_context_expansion_audit,warning_research_variant_only,structured_neckline_auto_context_expansion_audit_20260629,warning_research_variant_only,auto_pre_signal_context_expansion,all_auto_bearish,neckline_close_lost_two_sessions,56,51,56,0,0,18,12,26,40.9091,53.5714,55.3571,0.8844,2.3636,5.7134,5.4908,-5.2952,-4.5311,false,not_production_ready_research_only,2026-06-29 01:40:27 Asia/Taipei
structured_neckline_auto_context_expansion_audit,warning_research_variant_only,structured_neckline_auto_context_expansion_audit_20260629,warning_research_variant_only,auto_pre_signal_context_expansion,low_position_le60_market_bull,close_only_no_logical_failure_exit,95,89,47,48,0,42,23,30,58.3333,68.4211,69.4737,3.5294,3.8062,7.6480,8.3333,-5.1911,-3.5348,false,not_production_ready_research_only,2026-06-29 01:40:27 Asia/Taipei
structured_neckline_auto_context_expansion_audit,warning_research_variant_only,structured_neckline_auto_context_expansion_audit_20260629,warning_research_variant_only,auto_pre_signal_context_expansion,low_position_le60_market_bull,neckline_close_lost_two_sessions,95,89,47,48,0,41,21,33,55.4054,65.2632,65.2632,3.3251,3.6290,7.3248,8.3333,-4.3268,-3.2258,false,not_production_ready_research_only,2026-06-29 01:40:27 Asia/Taipei
structured_neckline_auto_context_expansion_audit,warning_research_variant_only,structured_neckline_auto_context_expansion_audit_20260629,warning_research_variant_only,auto_pre_signal_context_expansion,low_position_le60_market_bull_auto_non_bearish,close_only_no_logical_failure_exit,48,48,0,48,0,27,11,10,72.9730,79.1667,77.0833,5.5353,10.3780,9.1070,10.3780,-4.2760,-2.5361,false,not_production_ready_research_only,2026-06-29 01:40:27 Asia/Taipei
structured_neckline_auto_context_expansion_audit,warning_research_variant_only,structured_neckline_auto_context_expansion_audit_20260629,warning_research_variant_only,auto_pre_signal_context_expansion,low_position_le60_market_bull_auto_non_bearish,neckline_close_lost_two_sessions,48,48,0,48,0,26,11,11,70.2703,77.0833,75.0000,5.7927,10.2790,8.7639,10.2790,-3.4680,-2.5361,false,not_production_ready_research_only,2026-06-29 01:40:27 Asia/Taipei
structured_neckline_auto_context_expansion_audit,warning_research_variant_only,structured_neckline_auto_context_expansion_audit_20260629,warning_research_variant_only,auto_pre_signal_context_expansion,low_position_le60_market_bull_auto_bearish,close_only_no_logical_failure_exit,47,43,47,0,0,15,12,20,42.8571,57.4468,61.7021,1.4809,2.7322,6.1579,5.7183,-6.1258,-4.5509,false,not_production_ready_research_only,2026-06-29 01:40:27 Asia/Taipei
structured_neckline_auto_context_expansion_audit,warning_research_variant_only,structured_neckline_auto_context_expansion_audit_20260629,warning_research_variant_only,auto_pre_signal_context_expansion,low_position_le60_market_bull_auto_bearish,neckline_close_lost_two_sessions,47,43,47,0,0,15,10,22,40.5405,53.1915,55.3191,0.8049,2.0115,5.8552,5.7183,-5.2039,-3.8961,false,not_production_ready_research_only,2026-06-29 01:40:27 Asia/Taipei
