research_id,research_variant_id,parameter_set_id,source_research_id,source_parameter_set_id,advisory_status,event_family_id,segment_id,segment_name,segment_basis,event_count,unique_stock_count,direct_mature_sample_size,direct_win_rate_pct,direct_avg_return_pct,direct_median_return_pct,retest_mature_sample_size,retest_trigger_rate_pct,retest_win_rate_pct,retest_avg_return_pct,retest_median_return_pct,win_rate_lift_pct,avg_return_lift_pct,retest_not_found_count,retest_found_but_no_attack_count,retest_broken_count,tdcc_fresh_sample_size,tdcc_supportive_sample_size,tdcc_supportive_rate_pct,formal_volume_gate_sample_size,formal_volume_gate_rate_pct,revenue_layer_status,interpretation,next_action,approved_for_daily,production_readiness,generated_at
structured_neckline_breakout_retest_filter_grid,warning_research_variant_only,structured_neckline_breakout_retest_filter_grid_20260627,breakout_family_retest_grid,breakout_family_retest_grid_20260627,warning_research_variant_only,structured_neckline_volume_breakout_proxy,all_structured_neckline,all broad structured-neckline proxy rows,all structured-neckline events,1253,517,1253,30.4070,0.2009,-2.7397,374,29.8484,43.3155,0.8222,-1.7509,12.9085,0.6213,150,231,498,108,55,50.9259,1253,100.0000,pending_missing_historical_revenue_panel,broad_neckline_retest_improves_win_rate_but_not_ready,continue_retest_confirmation_grid_not_production,false,not_production_ready_research_only,2026-06-27 17:48:59 Asia/Taipei
structured_neckline_breakout_retest_filter_grid,warning_research_variant_only,structured_neckline_breakout_retest_filter_grid_20260627,breakout_family_retest_grid,breakout_family_retest_grid_20260627,warning_research_variant_only,structured_neckline_volume_breakout_proxy,triple_or_multi_bottom_proxy,triple or multi-bottom proxy,pattern_subtype,1202,512,1202,30.2829,0.2663,-2.7067,361,30.0333,44.0443,1.1027,-1.7143,13.7615,0.8363,143,219,479,103,54,52.4272,1202,100.0000,pending_missing_historical_revenue_panel,candidate_filter_for_second_pass_review,review_chart_quality_and_expand_replay,false,not_production_ready_research_only,2026-06-27 17:48:59 Asia/Taipei
structured_neckline_breakout_retest_filter_grid,warning_research_variant_only,structured_neckline_breakout_retest_filter_grid_20260627,breakout_family_retest_grid,breakout_family_retest_grid_20260627,warning_research_variant_only,structured_neckline_volume_breakout_proxy,double_bottom_or_structured_bottom_proxy,double-bottom or structured-bottom proxy,pattern_subtype,51,46,51,33.3333,-1.3421,-3.6145,13,25.4902,23.0769,-6.9674,-3.0576,-10.2564,-5.6252,7,12,19,5,1,20.0000,51,100.0000,pending_missing_historical_revenue_panel,sample_too_thin_for_model_decision,expand_or_drop_segment_before_promotion_discussion,false,not_production_ready_research_only,2026-06-27 17:48:59 Asia/Taipei
structured_neckline_breakout_retest_filter_grid,warning_research_variant_only,structured_neckline_breakout_retest_filter_grid_20260627,breakout_family_retest_grid,breakout_family_retest_grid_20260627,warning_research_variant_only,structured_neckline_volume_breakout_proxy,low_position_le60,low position <= 60,low_position_120_pct,330,271,330,34.2424,0.0705,-2.9497,105,31.8182,47.6190,2.2714,0.0000,13.3766,2.2010,27,72,126,17,8,47.0588,330,100.0000,pending_missing_historical_revenue_panel,candidate_filter_for_second_pass_review,review_chart_quality_and_expand_replay,false,not_production_ready_research_only,2026-06-27 17:48:59 Asia/Taipei
structured_neckline_breakout_retest_filter_grid,warning_research_variant_only,structured_neckline_breakout_retest_filter_grid_20260627,breakout_family_retest_grid,breakout_family_retest_grid_20260627,warning_research_variant_only,structured_neckline_volume_breakout_proxy,mid_position_60_100,mid position 60 to 100,low_position_120_pct,326,251,326,28.2209,0.2242,-2.6086,89,27.3006,42.6966,0.9726,-1.8626,14.4758,0.7484,34,61,142,30,13,43.3333,326,100.0000,pending_missing_historical_revenue_panel,candidate_filter_for_second_pass_review,review_chart_quality_and_expand_replay,false,not_production_ready_research_only,2026-06-27 17:48:59 Asia/Taipei
structured_neckline_breakout_retest_filter_grid,warning_research_variant_only,structured_neckline_breakout_retest_filter_grid_20260627,breakout_family_retest_grid,breakout_family_retest_grid_20260627,warning_research_variant_only,structured_neckline_volume_breakout_proxy,high_position_gt100,high position > 100,low_position_120_pct,597,352,597,29.4807,0.2602,-2.7295,180,30.1508,41.1111,-0.0976,-3.1449,11.6304,-0.3578,89,98,230,61,34,55.7377,597,100.0000,pending_missing_historical_revenue_panel,mixed_filter_improvement,keep_as_advisory_filter_until_broader_replay,false,not_production_ready_research_only,2026-06-27 17:48:59 Asia/Taipei
structured_neckline_breakout_retest_filter_grid,warning_research_variant_only,structured_neckline_breakout_retest_filter_grid_20260627,breakout_family_retest_grid,breakout_family_retest_grid_20260627,warning_research_variant_only,structured_neckline_volume_breakout_proxy,base_width_le15,base width <= 15%,base_width_pct,377,255,377,25.4642,-1.0202,-2.3148,102,27.0557,42.1569,0.7319,-0.3763,16.6927,1.7521,38,107,130,20,12,60.0000,377,100.0000,pending_missing_historical_revenue_panel,candidate_filter_for_second_pass_review,review_chart_quality_and_expand_replay,false,not_production_ready_research_only,2026-06-27 17:48:59 Asia/Taipei
structured_neckline_breakout_retest_filter_grid,warning_research_variant_only,structured_neckline_breakout_retest_filter_grid_20260627,breakout_family_retest_grid,breakout_family_retest_grid_20260627,warning_research_variant_only,structured_neckline_volume_breakout_proxy,base_width_15_30,base width 15% to 30%,base_width_pct,465,321,465,30.9677,1.1540,-2.4883,152,32.6882,42.1053,1.0075,-3.8278,11.1375,-0.1465,52,67,194,37,18,48.6486,465,100.0000,pending_missing_historical_revenue_panel,mixed_filter_improvement,keep_as_advisory_filter_until_broader_replay,false,not_production_ready_research_only,2026-06-27 17:48:59 Asia/Taipei
structured_neckline_breakout_retest_filter_grid,warning_research_variant_only,structured_neckline_breakout_retest_filter_grid_20260627,breakout_family_retest_grid,breakout_family_retest_grid_20260627,warning_research_variant_only,structured_neckline_volume_breakout_proxy,base_width_gt30,base width > 30%,base_width_pct,411,273,411,34.3066,0.2426,-3.5294,120,29.1971,45.8333,0.6642,-1.2508,11.5268,0.4216,60,57,174,51,25,49.0196,411,100.0000,pending_missing_historical_revenue_panel,mixed_filter_improvement,keep_as_advisory_filter_until_broader_replay,false,not_production_ready_research_only,2026-06-27 17:48:59 Asia/Taipei
structured_neckline_breakout_retest_filter_grid,warning_research_variant_only,structured_neckline_breakout_retest_filter_grid_20260627,breakout_family_retest_grid,breakout_family_retest_grid_20260627,warning_research_variant_only,structured_neckline_volume_breakout_proxy,support_touches_ge3,support touches >= 3,support_touch_count,1202,512,1202,30.2829,0.2663,-2.7067,361,30.0333,44.0443,1.1027,-1.7143,13.7615,0.8363,143,219,479,103,54,52.4272,1202,100.0000,pending_missing_historical_revenue_panel,candidate_filter_for_second_pass_review,review_chart_quality_and_expand_replay,false,not_production_ready_research_only,2026-06-27 17:48:59 Asia/Taipei
