model_id,classification_id,classification_name_zh,pattern_id,event_count,unique_stocks,win_rate,avg_return,median_return,max_drawdown,avg_mfe,avg_mae,avg_holding_days,profit_factor,out_of_sample_size,out_of_sample_win_rate,out_of_sample_avg_return,confidence_status,out_of_sample_pass,approved_for_daily,risk_notes_zh,generated_at,data_start_date,data_end_date
volume_range_breakout,high_position_breakout,高位階突破,next_open_hold_20d,1238,707,46.85,4.6654,-0.8669,-74.5794,18.1088,-10.2829,20.0,1.9114,449,55.46,10.3815,high,True,False,research classification only; approved_for_daily remains False,2026-06-18 04:22:59 Asia/Taipei,20250507,20260605
volume_range_breakout,high_position_breakout,高位階突破,pullback_10ma_hold_10d,844,584,53.32,3.4258,0.6446,-45.3571,12.1929,-6.1311,10.0,2.192,324,61.42,6.9533,high,True,False,research classification only; approved_for_daily remains False,2026-06-18 04:22:59 Asia/Taipei,20250507,20260605
volume_range_breakout,high_position_breakout,高位階突破,pullback_5ma_hold_10d,1195,709,49.62,3.1219,-0.0768,-50.6452,12.7172,-6.7691,10.0,1.9613,459,56.64,6.8923,high,True,False,research classification only; approved_for_daily remains False,2026-06-18 04:22:59 Asia/Taipei,20250507,20260605
volume_range_breakout,high_position_breakout,高位階突破,next_day_break_signal_high_hold_10d,787,502,49.43,2.5958,0.0,-43.2602,12.7611,-8.1692,10.0,1.6735,331,52.27,4.8091,high,True,False,research classification only; approved_for_daily remains False,2026-06-18 04:22:59 Asia/Taipei,20250507,20260605
volume_range_breakout,high_position_breakout,高位階突破,next_open_hold_10d,1301,734,46.58,1.6377,-0.7449,-53.0675,11.5834,-8.2132,10.0,1.3902,512,51.17,4.1071,high,True,False,research classification only; approved_for_daily remains False,2026-06-18 04:22:59 Asia/Taipei,20250507,20260605
volume_range_breakout,high_position_breakout,高位階突破,next_open_large_black_exit_10d,1301,734,41.43,1.3643,-1.7276,-32.0548,10.0436,-6.3848,7.23,1.393,512,44.53,2.9396,high,False,False,research classification only; approved_for_daily remains False,2026-06-18 04:22:59 Asia/Taipei,20250507,20260605
volume_range_breakout,high_position_breakout,高位階突破,next_open_10ma_trailing_20d,1238,707,34.01,0.919,-2.8779,-73.8318,12.6636,-6.5023,8.32,1.2167,449,36.97,2.9439,high,False,False,research classification only; approved_for_daily remains False,2026-06-18 04:22:59 Asia/Taipei,20250507,20260605
volume_range_breakout,high_position_breakout,高位階突破,next_open_signal_low_stop_10d,1301,734,29.82,0.6958,-2.8777,-21.2633,9.025,-5.6967,5.8,1.1995,512,31.45,1.7595,high,False,False,research classification only; approved_for_daily remains False,2026-06-18 04:22:59 Asia/Taipei,20250507,20260605
volume_range_breakout,high_position_breakout,高位階突破,signal_close_hold_5d,1349,752,43.88,0.6789,-1.1824,-32.2188,8.6207,-7.816,5.0,1.1956,560,46.79,1.486,high,False,False,research classification only; approved_for_daily remains False,2026-06-18 04:22:59 Asia/Taipei,20250507,20260605
volume_range_breakout,high_position_breakout,高位階突破,next_open_hold_5d,1349,752,42.25,0.3325,-1.3556,-31.5951,7.7017,-6.4326,5.0,1.0944,560,45.0,1.1705,high,False,False,research classification only; approved_for_daily remains False,2026-06-18 04:22:59 Asia/Taipei,20250507,20260605
volume_range_breakout,high_position_breakout,高位階突破,next_open_5ma_trailing_20d,1238,707,32.47,0.3321,-2.2269,-19.9536,9.0233,-5.0681,4.56,1.1014,449,32.96,1.012,high,False,False,research classification only; approved_for_daily remains False,2026-06-18 04:22:59 Asia/Taipei,20250507,20260605
volume_range_breakout,high_position_breakout,高位階突破,next_open_5pct_stop_10d,1301,734,28.59,0.2326,-5.0,-20.6061,8.4915,-5.4085,5.63,1.0679,512,27.15,0.5999,high,False,False,research classification only; approved_for_daily remains False,2026-06-18 04:22:59 Asia/Taipei,20250507,20260605
volume_range_breakout,high_position_breakout,高位階突破,chase_day3_signal_low_stop_5d,1339,751,28.98,0.1382,-0.3333,-36.5617,5.6771,-4.5946,3.3,1.0585,550,28.91,0.3544,high,False,False,research classification only; approved_for_daily remains False,2026-06-18 04:22:59 Asia/Taipei,20250507,20260605
volume_range_breakout,high_position_breakout,高位階突破,chase_day2_signal_low_stop_5d,1339,751,29.57,0.1222,-1.0989,-21.9178,6.1144,-4.7203,3.38,1.0485,550,29.45,0.1405,high,False,False,research classification only; approved_for_daily remains False,2026-06-18 04:22:59 Asia/Taipei,20250507,20260605
volume_range_breakout,high_position_breakout,高位階突破,chase_day1_signal_low_stop_5d,1349,752,31.95,-0.0229,-2.2573,-20.1613,6.562,-5.0925,3.52,0.9924,560,31.79,0.2845,high,False,False,research classification only; approved_for_daily remains False,2026-06-18 04:22:59 Asia/Taipei,20250507,20260605
volume_range_breakout,high_position_breakout,高位階突破,next_open_tp10_signal_low_stop_20d,1238,707,33.68,-0.2208,-2.8005,-73.8318,6.2525,-5.6434,5.09,0.9361,449,36.75,0.1389,high,False,False,research classification only; approved_for_daily remains False,2026-06-18 04:22:59 Asia/Taipei,20250507,20260605
volume_range_breakout,high_position_breakout,高位階突破,next_open_tp5_signal_low_stop_10d,1301,734,44.81,-0.4681,-0.7165,-20.1613,4.4236,-4.8753,2.98,0.8253,512,47.66,-0.4427,high,False,False,research classification only; approved_for_daily remains False,2026-06-18 04:22:59 Asia/Taipei,20250507,20260605
volume_range_breakout,locked_limit_up_breakout,鎖量漲停突破,next_open_hold_20d,2175,900,46.85,6.1905,-1.3514,-91.7928,23.9581,-12.4041,20.0,1.9782,940,52.87,12.1218,high,True,False,research classification only; approved_for_daily remains False,2026-06-18 04:22:59 Asia/Taipei,20250507,20260605
volume_range_breakout,locked_limit_up_breakout,鎖量漲停突破,pullback_10ma_hold_10d,1328,713,52.11,4.2542,0.644,-89.805,14.595,-7.0136,10.0,2.3379,625,60.0,7.1023,high,True,False,research classification only; approved_for_daily remains False,2026-06-18 04:22:59 Asia/Taipei,20250507,20260605
volume_range_breakout,locked_limit_up_breakout,鎖量漲停突破,signal_close_hold_5d,2476,968,51.05,3.6442,0.4717,-34.3949,14.3423,-8.6688,5.0,2.0134,1241,52.05,4.7557,high,True,False,research classification only; approved_for_daily remains False,2026-06-18 04:22:59 Asia/Taipei,20250507,20260605
volume_range_breakout,locked_limit_up_breakout,鎖量漲停突破,pullback_5ma_hold_10d,2022,894,50.49,3.3887,0.1457,-91.3518,14.6198,-8.1219,10.0,1.8786,921,54.83,5.4779,high,True,False,research classification only; approved_for_daily remains False,2026-06-18 04:22:59 Asia/Taipei,20250507,20260605
volume_range_breakout,locked_limit_up_breakout,鎖量漲停突破,next_open_10ma_trailing_20d,2175,900,35.63,2.6976,-4.0498,-90.5777,18.8143,-8.4667,8.96,1.4759,940,37.13,6.1894,high,False,False,research classification only; approved_for_daily remains False,2026-06-18 04:22:59 Asia/Taipei,20250507,20260605
volume_range_breakout,locked_limit_up_breakout,鎖量漲停突破,next_day_break_signal_high_hold_10d,2192,906,44.25,2.6473,-1.5086,-90.5777,15.5373,-10.4333,10.0,1.4879,1053,47.1,4.6001,high,False,False,research classification only; approved_for_daily remains False,2026-06-18 04:22:59 Asia/Taipei,20250507,20260605
