model_id,dimension_type,dimension_id,dimension_name_zh,pattern_id,event_count,unique_stocks,win_rate,avg_return,median_return,max_drawdown,avg_mfe,avg_mae,avg_holding_days,profit_factor,out_of_sample_size,out_of_sample_win_rate,out_of_sample_avg_return,confidence_status,out_of_sample_pass,approved_for_daily,risk_notes_zh,generated_at,data_start_date,data_end_date
volume_range_breakout,consolidation_type,long_consolidation,長盤整,pullback_10ma_hold_10d,1041,642,48.99,1.7968,-0.0237,-31.4484,9.3357,-5.0234,10.0,1.7257,332,55.42,4.1955,high,True,False,research classification only; approved_for_daily remains False,2026-06-18 12:03:58 Asia/Taipei,20250507,20260605
volume_range_breakout,consolidation_type,long_consolidation,長盤整,signal_close_hold_5d,1738,891,45.05,1.5445,-0.7571,-31.1391,9.5117,-6.9113,5.0,1.5268,603,47.43,2.2902,high,False,False,research classification only; approved_for_daily remains False,2026-06-18 12:03:58 Asia/Taipei,20250507,20260605
volume_range_breakout,consolidation_type,long_consolidation,長盤整,next_open_hold_20d,1590,852,41.01,1.0092,-2.2883,-91.7928,14.0234,-9.5917,20.0,1.1903,455,48.35,3.7841,high,False,False,research classification only; approved_for_daily remains False,2026-06-18 12:03:58 Asia/Taipei,20250507,20260605
volume_range_breakout,consolidation_type,long_consolidation,長盤整,pullback_5ma_hold_10d,1488,827,42.94,0.9025,-1.0208,-91.3518,9.7124,-5.901,10.0,1.2818,452,48.89,2.9344,high,False,False,research classification only; approved_for_daily remains False,2026-06-18 12:03:58 Asia/Taipei,20250507,20260605
volume_range_breakout,consolidation_type,long_consolidation,長盤整,next_day_break_signal_high_hold_10d,1241,747,39.48,0.2089,-2.4673,-90.5777,10.8301,-8.0686,10.0,1.0452,416,40.62,0.6987,high,False,False,research classification only; approved_for_daily remains False,2026-06-18 12:03:58 Asia/Taipei,20250507,20260605
volume_range_breakout,consolidation_type,long_consolidation,長盤整,next_open_large_black_exit_10d,1662,872,36.58,0.0863,-2.5278,-26.9142,8.5522,-5.825,6.73,1.0236,527,36.24,0.5477,high,False,False,research classification only; approved_for_daily remains False,2026-06-18 12:03:58 Asia/Taipei,20250507,20260605
volume_range_breakout,consolidation_type,long_consolidation,長盤整,next_open_hold_10d,1662,872,38.99,0.012,-2.2237,-90.5777,9.8689,-7.6129,10.0,1.0027,527,40.8,0.8468,high,False,False,research classification only; approved_for_daily remains False,2026-06-18 12:03:58 Asia/Taipei,20250507,20260605
volume_range_breakout,consolidation_type,long_consolidation,長盤整,next_open_hold_5d,1738,891,40.45,-0.0523,-1.5545,-27.0073,7.3948,-5.9497,5.0,0.9851,603,44.11,0.7165,high,False,False,research classification only; approved_for_daily remains False,2026-06-18 12:03:58 Asia/Taipei,20250507,20260605
volume_range_breakout,consolidation_type,long_consolidation,長盤整,next_open_5pct_stop_10d,1662,872,27.5,-0.0922,-5.0,-18.1818,8.0941,-5.2768,5.77,0.973,527,26.94,-0.052,high,False,False,research classification only; approved_for_daily remains False,2026-06-18 12:03:58 Asia/Taipei,20250507,20260605
volume_range_breakout,consolidation_type,long_consolidation,長盤整,next_open_signal_low_stop_10d,1662,872,28.82,-0.1809,-2.8718,-90.5777,8.5567,-5.9012,6.39,0.9529,527,29.03,-0.0224,high,False,False,research classification only; approved_for_daily remains False,2026-06-18 12:03:58 Asia/Taipei,20250507,20260605
