research_id,artifact_version,source_research_id,source_artifact_version,advisory_status,model_id,condition_set_id,condition_set_label,selection_basis,selection_basis_label,baseline_event_count,sample_size,unique_stocks,stocks_with_multiple_events,suppressed_same_stock_overlap_count,overlap_pair_count,coverage_pct,win_count,neutral_count,loss_count,win_rate_pct,neutral_rate_pct,loss_rate_pct,avg_return_pct,median_return_pct,p10_return_pct,p90_return_pct,min_return_pct,max_return_pct,sample_status,interpretation,note,approved_for_daily,production_readiness,generated_at
volume_range_breakout_v2_overlap_sensitivity,volume_range_breakout_v2_overlap_sensitivity_20260708,volume_range_breakout_v2_deep_low_base_matrix,volume_range_breakout_v2_deep_low_base_matrix_20260708,warning_research_variant_only,volume_range_breakout,baseline_all,All v2 raw-market events,event_level_all_events,Event-level rows; repeated same-stock active windows are not suppressed.,811,811,434,201,0,332,100.0,425,4,382,52.4044,0.4932,47.1023,4.9629,1.3359,-14.7541,29.2017,-29.3651,91.0714,reviewable_sample,research_only_sensitivity_not_production_evidence,Current event-level v2 population.,False,not_production_ready_research_only,2026-07-08 21:32:56 Asia/Taipei
volume_range_breakout_v2_overlap_sensitivity,volume_range_breakout_v2_overlap_sensitivity_20260708,volume_range_breakout_v2_deep_low_base_matrix,volume_range_breakout_v2_deep_low_base_matrix_20260708,warning_research_variant_only,volume_range_breakout,baseline_all,All v2 raw-market events,first_event_per_stock,"First event per stock only; sensitivity check, not an operation rule.",811,434,434,0,377,0,53.5142,216,2,216,49.7696,0.4608,49.7696,3.3072,0.0,-13.5652,25.5854,-25.7143,91.0714,reviewable_sample,research_only_sensitivity_not_production_evidence,Current event-level v2 population.,False,not_production_ready_research_only,2026-07-08 21:32:56 Asia/Taipei
volume_range_breakout_v2_overlap_sensitivity,volume_range_breakout_v2_overlap_sensitivity_20260708,volume_range_breakout_v2_deep_low_base_matrix,volume_range_breakout_v2_deep_low_base_matrix_20260708,warning_research_variant_only,volume_range_breakout,baseline_all,All v2 raw-market events,same_stock_non_overlap,Accept one active trade per stock; later rows inside an accepted holding window are suppressed.,811,576,434,116,235,0,71.0234,292,3,281,50.6944,0.5208,48.7847,4.3175,0.5599,-13.7511,28.3195,-29.3651,91.0714,reviewable_sample,research_only_sensitivity_not_production_evidence,Current event-level v2 population.,False,not_production_ready_research_only,2026-07-08 21:32:56 Asia/Taipei
volume_range_breakout_v2_overlap_sensitivity,volume_range_breakout_v2_overlap_sensitivity_20260708,volume_range_breakout_v2_deep_low_base_matrix,volume_range_breakout_v2_deep_low_base_matrix_20260708,warning_research_variant_only,volume_range_breakout,off120_le40,Off 120d low <= 40%,event_level_all_events,Event-level rows; repeated same-stock active windows are not suppressed.,811,122,105,16,0,14,15.0432,42,0,80,34.4262,0.0,65.5738,0.1006,-4.6531,-14.5563,21.3584,-24.5464,68.1818,thin_but_reviewable_sample,research_only_sensitivity_not_production_evidence,Deep-low proxy requested by semantic audit.,False,not_production_ready_research_only,2026-07-08 21:32:56 Asia/Taipei
volume_range_breakout_v2_overlap_sensitivity,volume_range_breakout_v2_overlap_sensitivity_20260708,volume_range_breakout_v2_deep_low_base_matrix,volume_range_breakout_v2_deep_low_base_matrix_20260708,warning_research_variant_only,volume_range_breakout,off120_le40,Off 120d low <= 40%,first_event_per_stock,"First event per stock only; sensitivity check, not an operation rule.",811,105,105,0,17,0,12.947,36,0,69,34.2857,0.0,65.7143,-0.091,-4.127,-14.3653,18.8176,-24.5464,62.5698,thin_but_reviewable_sample,research_only_sensitivity_not_production_evidence,Deep-low proxy requested by semantic audit.,False,not_production_ready_research_only,2026-07-08 21:32:56 Asia/Taipei
volume_range_breakout_v2_overlap_sensitivity,volume_range_breakout_v2_overlap_sensitivity_20260708,volume_range_breakout_v2_deep_low_base_matrix,volume_range_breakout_v2_deep_low_base_matrix_20260708,warning_research_variant_only,volume_range_breakout,off120_le40,Off 120d low <= 40%,same_stock_non_overlap,Accept one active trade per stock; later rows inside an accepted holding window are suppressed.,811,109,105,4,13,0,13.4402,38,0,71,34.8624,0.0,65.1376,0.7205,-4.127,-14.234,22.2528,-24.5464,68.1818,thin_but_reviewable_sample,research_only_sensitivity_not_production_evidence,Deep-low proxy requested by semantic audit.,False,not_production_ready_research_only,2026-07-08 21:32:56 Asia/Taipei
volume_range_breakout_v2_overlap_sensitivity,volume_range_breakout_v2_overlap_sensitivity_20260708,volume_range_breakout_v2_deep_low_base_matrix,volume_range_breakout_v2_deep_low_base_matrix_20260708,warning_research_variant_only,volume_range_breakout,off240_le40,Off 240d low <= 40%,event_level_all_events,Event-level rows; repeated same-stock active windows are not suppressed.,811,22,22,0,0,0,2.7127,7,0,15,31.8182,0.0,68.1818,-0.6282,-3.521,-14.3994,18.2792,-19.9839,35.443,very_thin_sample,research_only_sensitivity_not_production_evidence,Longer deep-low proxy requested by semantic audit.,False,not_production_ready_research_only,2026-07-08 21:32:56 Asia/Taipei
volume_range_breakout_v2_overlap_sensitivity,volume_range_breakout_v2_overlap_sensitivity_20260708,volume_range_breakout_v2_deep_low_base_matrix,volume_range_breakout_v2_deep_low_base_matrix_20260708,warning_research_variant_only,volume_range_breakout,off240_le40,Off 240d low <= 40%,first_event_per_stock,"First event per stock only; sensitivity check, not an operation rule.",811,22,22,0,0,0,2.7127,7,0,15,31.8182,0.0,68.1818,-0.6282,-3.521,-14.3994,18.2792,-19.9839,35.443,very_thin_sample,research_only_sensitivity_not_production_evidence,Longer deep-low proxy requested by semantic audit.,False,not_production_ready_research_only,2026-07-08 21:32:56 Asia/Taipei
volume_range_breakout_v2_overlap_sensitivity,volume_range_breakout_v2_overlap_sensitivity_20260708,volume_range_breakout_v2_deep_low_base_matrix,volume_range_breakout_v2_deep_low_base_matrix_20260708,warning_research_variant_only,volume_range_breakout,off240_le40,Off 240d low <= 40%,same_stock_non_overlap,Accept one active trade per stock; later rows inside an accepted holding window are suppressed.,811,22,22,0,0,0,2.7127,7,0,15,31.8182,0.0,68.1818,-0.6282,-3.521,-14.3994,18.2792,-19.9839,35.443,very_thin_sample,research_only_sensitivity_not_production_evidence,Longer deep-low proxy requested by semantic audit.,False,not_production_ready_research_only,2026-07-08 21:32:56 Asia/Taipei
volume_range_breakout_v2_overlap_sensitivity,volume_range_breakout_v2_overlap_sensitivity_20260708,volume_range_breakout_v2_deep_low_base_matrix,volume_range_breakout_v2_deep_low_base_matrix_20260708,warning_research_variant_only,volume_range_breakout,range60_le25,60d range width <= 25%,event_level_all_events,Event-level rows; repeated same-stock active windows are not suppressed.,811,145,123,20,0,16,17.8792,60,0,85,41.3793,0.0,58.6207,1.1358,-2.682,-13.6895,21.6241,-21.5238,68.1818,thin_but_reviewable_sample,research_only_sensitivity_not_production_evidence,Narrow 60d consolidation proxy.,False,not_production_ready_research_only,2026-07-08 21:32:56 Asia/Taipei
volume_range_breakout_v2_overlap_sensitivity,volume_range_breakout_v2_overlap_sensitivity_20260708,volume_range_breakout_v2_deep_low_base_matrix,volume_range_breakout_v2_deep_low_base_matrix_20260708,warning_research_variant_only,volume_range_breakout,range60_le25,60d range width <= 25%,first_event_per_stock,"First event per stock only; sensitivity check, not an operation rule.",811,123,123,0,22,0,15.1665,51,0,72,41.4634,0.0,58.5366,1.0629,-2.6432,-12.9789,21.6271,-21.2,37.7282,thin_but_reviewable_sample,research_only_sensitivity_not_production_evidence,Narrow 60d consolidation proxy.,False,not_production_ready_research_only,2026-07-08 21:32:56 Asia/Taipei
