date,stock_id,stock_name,market,close,volume,start_day_volume_ratio_vs_prev20,start_5d_avg_volume_ratio_vs_prev20,return_5d_pct,return_10d_pct,return_20d_pct,rsi14,macd_hist,bb_width_pct_rank_120d,latest_theme_status_group,latest_theme_final_status,latest_theme_volume_attack_status,tdcc_available,tdcc_all_thresholds_up,tdcc_high_thresholds_up,tdcc_high_up_streak,tdcc_high_change_sum,derived_market_regime,market_abnormal_status,market_abnormal_risk_level,is_disposition,is_attention,is_periodic_trading,disposition_period,execution_risk_note,matched_rules,best_d5_rule,best_d5_hit_rate_pct,best_d5_sample_status,best_d10_rule,best_d10_hit_rate_pct,best_d10_sample_status,best_d20_rule,best_d20_hit_rate_pct,best_d20_sample_status,model_effect_allowed,core_weight_change_allowed,research_caveat,research_priority
20260529,1568,倉佑,TWSE,45.35,13595230,19.51,5.96,56.11,58.29,59.12,91.48,1.5194,1.0,mainstream_overheated,mainstream_overheated,unlabeled,True,True,True,1.0,4.85,strong_bull,attention_accumulation,C_attention,False,False,False,,處置/分盤或注意交易標的；短線回測需獨立分層，實際進出可能受撮合、保證金或流動性影響。,mainstream_overheated__vol2__tdcc_all_up; mainstream_overheated__vol2__market_bull__tdcc_all_up; mainstream_overheated__vol2__tdcc_streak1; mainstream_overheated__vol2__tdcc_high_up; mainstream_overheated__vol2__market_bull__tdcc_high_up; mainstream_overheated__vol2__tdcc_high_sum_pos,mainstream_overheated__vol2__tdcc_all_up,36.17,provisional_latest_theme_label,mainstream_overheated__vol2__tdcc_all_up,52.48,provisional_latest_theme_label,mainstream_overheated__vol3__market_bull,57.69,provisional_latest_theme_label,False,False,research_only; entry_basis_D+1_open; target_next_open_to_high_10pct; latest_theme_label_provisional,A_research_watch
20260529,1524,耿鼎,TWSE,33.45,20615227,15.57,4.39,13.2,17.16,18.83,73.49,0.4319,0.72,mainstream_overheated,mainstream_overheated,unlabeled,True,True,True,1.0,3.92,strong_bull,normal,A_normal,False,False,False,,,mainstream_overheated__vol2__tdcc_all_up; mainstream_overheated__vol2__market_bull__tdcc_all_up; mainstream_overheated__vol2__tdcc_streak1; mainstream_overheated__vol2__tdcc_high_up; mainstream_overheated__vol2__market_bull__tdcc_high_up; mainstream_overheated__vol2__tdcc_high_sum_pos,mainstream_overheated__vol2__tdcc_all_up,36.17,provisional_latest_theme_label,mainstream_overheated__vol2__tdcc_all_up,52.48,provisional_latest_theme_label,mainstream_overheated__vol2__market_bull__bb_ok,65.27,provisional_latest_theme_label,False,False,research_only; entry_basis_D+1_open; target_next_open_to_high_10pct; latest_theme_label_provisional,A_research_watch
20260529,1530,亞崴,TWSE,35.5,1358302,4.42,4.38,26.79,31.73,34.22,94.95,0.9894,1.0,mainstream_overheated,mainstream_overheated,unlabeled,True,True,True,1.0,0.1,strong_bull,normal,A_normal,False,False,False,,,mainstream_overheated__vol2__tdcc_all_up; mainstream_overheated__vol2__market_bull__tdcc_all_up; mainstream_overheated__vol2__tdcc_high_up; mainstream_overheated__vol2__tdcc_streak1; mainstream_overheated__vol2__ret1w10_30_ret2w20_50__tdcc_high_up; mainstream_overheated__vol2__market_bull__tdcc_high_up,mainstream_overheated__vol2__tdcc_all_up,36.17,provisional_latest_theme_label,mainstream_overheated__vol2__tdcc_all_up,52.48,provisional_latest_theme_label,mainstream_overheated__vol3__market_bull,57.69,provisional_latest_theme_label,False,False,research_only; entry_basis_D+1_open; target_next_open_to_high_10pct; latest_theme_label_provisional,A_research_watch
20260529,8104,錸寶,TWSE,41.15,15570788,12.13,4.24,16.24,21.39,23.76,74.34,0.7473,0.73,mainstream_overheated,mainstream_overheated,unlabeled,True,True,True,1.0,3.62,strong_bull,normal,A_normal,False,False,False,,,mainstream_overheated__vol2__tdcc_all_up; mainstream_overheated__vol2__market_bull__tdcc_all_up; mainstream_overheated__vol2__tdcc_streak1; mainstream_overheated__vol2__tdcc_high_up; mainstream_overheated__vol2__ret1w10_30_ret2w20_50__tdcc_high_up; mainstream_overheated__vol2__market_bull__tdcc_high_up,mainstream_overheated__vol2__tdcc_all_up,36.17,provisional_latest_theme_label,mainstream_overheated__vol2__tdcc_all_up,52.48,provisional_latest_theme_label,mainstream_overheated__vol2__market_bull__bb_ok,65.27,provisional_latest_theme_label,False,False,research_only; entry_basis_D+1_open; target_next_open_to_high_10pct; latest_theme_label_provisional,A_research_watch
20260529,1563,巧新,TWSE,66.7,14824089,13.26,4.19,44.84,49.05,60.92,95.98,2.1424,1.0,mainstream_overheated,mainstream_overheated,unlabeled,True,True,True,3.0,1.11,strong_bull,normal,A_normal,False,False,False,,,mainstream_overheated__vol2__tdcc_all_up; mainstream_overheated__vol2__market_bull__tdcc_all_up; mainstream_overheated__vol2__tdcc_streak1; mainstream_overheated__vol2__tdcc_high_up; mainstream_overheated__vol2__market_bull__tdcc_high_up; mainstream_overheated__vol2__tdcc_high_sum_pos,mainstream_overheated__vol2__tdcc_all_up,36.17,provisional_latest_theme_label,mainstream_overheated__vol2__tdcc_all_up,52.48,provisional_latest_theme_label,mainstream_overheated__vol3__market_bull,57.69,provisional_latest_theme_label,False,False,research_only; entry_basis_D+1_open; target_next_open_to_high_10pct; latest_theme_label_provisional,A_research_watch
20260529,2324,仁寶,TWSE,36.7,709500533,7.52,3.16,16.51,28.1,26.55,66.76,0.696,1.0,mainstream_overheated,mainstream_overheated,unlabeled,True,True,True,1.0,0.29,strong_bull,normal,A_normal,False,False,False,,,mainstream_overheated__vol2__tdcc_all_up; mainstream_overheated__vol2__market_bull__tdcc_all_up; mainstream_overheated__vol2__tdcc_streak1; mainstream_overheated__vol2__tdcc_high_up; mainstream_overheated__vol2__ret1w10_30_ret2w20_50__tdcc_high_up; mainstream_overheated__vol2__market_bull__tdcc_high_up,mainstream_overheated__vol2__tdcc_all_up,36.17,provisional_latest_theme_label,mainstream_overheated__vol2__tdcc_all_up,52.48,provisional_latest_theme_label,mainstream_overheated__vol2__market_bull__rsi50_75,58.52,provisional_latest_theme_label,False,False,research_only; entry_basis_D+1_open; target_next_open_to_high_10pct; latest_theme_label_provisional,A_research_watch
20260529,6235,華孚,TWSE,45.0,8756834,8.86,2.93,7.4,12.08,4.17,55.04,0.5578,0.64,mainstream_overheated,mainstream_overheated,unlabeled,True,True,True,1.0,1.93,strong_bull,normal,A_normal,False,False,False,,,mainstream_overheated__vol2__tdcc_all_up; mainstream_overheated__vol2__market_bull__tdcc_all_up; mainstream_overheated__vol2__tdcc_high_up; mainstream_overheated__vol2__tdcc_streak1; mainstream_overheated__vol2__market_bull__tdcc_high_up; mainstream_overheated__vol2__tdcc_high_sum_pos,mainstream_overheated__vol2__tdcc_all_up,36.17,provisional_latest_theme_label,mainstream_overheated__vol2__tdcc_all_up,52.48,provisional_latest_theme_label,mainstream_overheated__vol2__market_bull__bb_ok,65.27,provisional_latest_theme_label,False,False,research_only; entry_basis_D+1_open; target_next_open_to_high_10pct; latest_theme_label_provisional,A_research_watch
20260529,2405,輔信,TWSE,17.65,18377619,6.23,2.58,6.65,15.74,18.06,72.73,0.2112,1.0,mainstream_overheated,mainstream_overheated,unlabeled,True,True,True,2.0,2.1,strong_bull,normal,A_normal,False,False,False,,,mainstream_overheated__vol2__tdcc_all_up; mainstream_overheated__vol2__market_bull__tdcc_all_up; mainstream_overheated__vol2__tdcc_high_up; mainstream_overheated__vol2__tdcc_streak1; mainstream_overheated__vol2__market_bull__tdcc_high_up; mainstream_overheated__vol2__tdcc_high_sum_pos,mainstream_overheated__vol2__tdcc_all_up,36.17,provisional_latest_theme_label,mainstream_overheated__vol2__tdcc_all_up,52.48,provisional_latest_theme_label,mainstream_overheated__vol2__market_bull__rsi50_75,58.52,provisional_latest_theme_label,False,False,research_only; entry_basis_D+1_open; target_next_open_to_high_10pct; latest_theme_label_provisional,A_research_watch
20260529,2369,菱生,TWSE,40.3,48804998,2.14,2.52,25.74,35.69,36.38,80.0,1.1557,0.98,mainstream_overheated,mainstream_overheated,unlabeled,True,True,True,1.0,18.23,strong_bull,attention_accumulation,C_attention,False,False,False,,處置/分盤或注意交易標的；短線回測需獨立分層，實際進出可能受撮合、保證金或流動性影響。,mainstream_overheated__vol2__tdcc_all_up; mainstream_overheated__vol2__market_bull__tdcc_all_up; mainstream_overheated__vol2__tdcc_high_up; mainstream_overheated__vol2__tdcc_streak1; mainstream_overheated__vol2__ret1w10_30_ret2w20_50__tdcc_high_up; mainstream_overheated__vol2__market_bull__tdcc_high_up,mainstream_overheated__vol2__tdcc_all_up,36.17,provisional_latest_theme_label,mainstream_overheated__vol2__tdcc_all_up,52.48,provisional_latest_theme_label,mainstream_overheated__vol2__market_bull,57.04,provisional_latest_theme_label,False,False,research_only; entry_basis_D+1_open; target_next_open_to_high_10pct; latest_theme_label_provisional,A_research_watch
20260529,8473,山林水,TWSE,50.4,6820723,4.83,2.38,26.63,44.83,40.39,92.41,1.4258,1.0,mainstream_overheated,mainstream_overheated,unlabeled,True,True,True,2.0,3.29,strong_bull,normal,A_normal,False,False,False,,,mainstream_overheated__vol2__tdcc_all_up; mainstream_overheated__vol2__market_bull__tdcc_all_up; mainstream_overheated__vol2__tdcc_high_up; mainstream_overheated__vol2__tdcc_streak1; mainstream_overheated__vol2__ret1w10_30_ret2w20_50__tdcc_high_up; mainstream_overheated__vol2__market_bull__tdcc_high_up,mainstream_overheated__vol2__tdcc_all_up,36.17,provisional_latest_theme_label,mainstream_overheated__vol2__tdcc_all_up,52.48,provisional_latest_theme_label,mainstream_overheated__vol2__market_bull,57.04,provisional_latest_theme_label,False,False,research_only; entry_basis_D+1_open; target_next_open_to_high_10pct; latest_theme_label_provisional,A_research_watch
