rule_name,rule_family,source_type,target_window,entry_basis,target_return_pct,selected_stock_days,hit_stock_days,hit_rate_pct,coverage_of_all_hits_pct,selected_unique_stocks,hit_unique_stocks,median_next_open_to_high_return_pct,avg_next_open_to_high_return_pct,avg_signal_close_to_next_open_gap_pct,tdcc_available_rate_pct,top_market_regime_counts,top_theme_status_counts,sample_status,source_tdcc_dataset_id
non_mainstream__vol2__tdcc_high_up,non_mainstream_tdcc,latest_theme_plus_strict_tdcc,D+1,D+1_open,10.0,11,1,9.09,0.05,2,1,1.51,2.78,-0.05,100.0,strong_bull=6; range_or_unclear=3; mild_bull=2,non_mainstream=11,insufficient_sample,tdcc-20260717-98c564c5bc4ab725
mainstream_overheated__vol2__market_bull__tdcc_all_up,theme_market_tdcc_volume,latest_theme_plus_strict_market_tdcc,D+1,D+1_open,10.0,289,7,2.42,0.33,84,7,2.45,3.03,0.72,100.0,strong_bull=222; mild_bull=67,mainstream_overheated=289,provisional_latest_theme_label,tdcc-20260717-98c564c5bc4ab725
mainstream_overheated__vol2__tdcc_all_up,theme_tdcc_volume,latest_theme_plus_strict_tdcc,D+1,D+1_open,10.0,416,9,2.16,0.42,101,8,2.48,3.08,0.81,100.0,strong_bull=222; range_or_unclear=123; mild_bull=67; weak_or_correction=4,mainstream_overheated=416,provisional_latest_theme_label,tdcc-20260717-98c564c5bc4ab725
mainstream_overheated__vol2__market_bull__tdcc_high_up,theme_market_tdcc_volume,latest_theme_plus_strict_market_tdcc,D+1,D+1_open,10.0,333,7,2.1,0.33,100,7,2.25,2.92,0.81,100.0,strong_bull=252; mild_bull=81,mainstream_overheated=333,provisional_latest_theme_label,tdcc-20260717-98c564c5bc4ab725
mainstream_overheated__vol2__tdcc_high_sum_pos,theme_tdcc_volume,latest_theme_plus_strict_tdcc,D+1,D+1_open,10.0,575,12,2.09,0.56,128,10,2.45,3.12,0.79,100.0,strong_bull=284; range_or_unclear=182; mild_bull=100; weak_or_correction=9,mainstream_overheated=575,provisional_latest_theme_label,tdcc-20260717-98c564c5bc4ab725
mainstream_overheated__vol2__tdcc_high_up,theme_tdcc_volume,latest_theme_plus_strict_tdcc,D+1,D+1_open,10.0,487,9,1.85,0.42,114,8,2.29,2.97,0.82,100.0,strong_bull=252; range_or_unclear=150; mild_bull=81; weak_or_correction=4,mainstream_overheated=487,provisional_latest_theme_label,tdcc-20260717-98c564c5bc4ab725
mainstream_overheated__vol2__tdcc_streak1,theme_tdcc_volume,latest_theme_plus_strict_tdcc,D+1,D+1_open,10.0,487,9,1.85,0.42,114,8,2.29,2.97,0.82,100.0,strong_bull=252; range_or_unclear=150; mild_bull=81; weak_or_correction=4,mainstream_overheated=487,provisional_latest_theme_label,tdcc-20260717-98c564c5bc4ab725
mainstream_overheated__vol3__market_bull,theme_market_volume,latest_theme_plus_strict_market,D+1,D+1_open,10.0,492,9,1.83,0.42,132,8,2.06,2.86,0.89,35.98,strong_bull=370; mild_bull=122,mainstream_overheated=492,provisional_latest_theme_label,tdcc-20260717-98c564c5bc4ab725
mainstream_overheated__vol2__market_bull__macd,theme_market_technical,latest_theme_plus_strict_market,D+1,D+1_open,10.0,1969,34,1.73,1.6,222,31,1.84,2.74,0.77,36.72,strong_bull=1591; mild_bull=378,mainstream_overheated=1969,provisional_latest_theme_label,tdcc-20260717-98c564c5bc4ab725
all_stock__vol2__tdcc_high_streak2,tdcc_volume,strict_tdcc,D+1,D+1_open,10.0,1212,21,1.73,0.99,322,18,1.39,2.42,0.72,100.0,strong_bull=589; range_or_unclear=398; mild_bull=210; weak_or_correction=15,unlabeled=923; mainstream_overheated=217; mainstream_supported=67; non_mainstream=5,ok_initial_sample,tdcc-20260717-98c564c5bc4ab725
all_stock__vol2__tdcc_high_up,tdcc_volume,strict_tdcc,D+1,D+1_open,10.0,2670,45,1.69,2.11,653,39,1.46,2.51,0.59,100.0,strong_bull=1395; range_or_unclear=801; mild_bull=450; weak_or_correction=24,unlabeled=2044; mainstream_overheated=487; mainstream_supported=128; non_mainstream=11,ok_initial_sample,tdcc-20260717-98c564c5bc4ab725
mainstream_overheated__vol2__market_bull,theme_market_volume,latest_theme_plus_strict_market,D+1,D+1_open,10.0,2370,39,1.65,1.83,231,34,1.85,2.71,0.76,34.43,strong_bull=1890; mild_bull=480,mainstream_overheated=2370,provisional_latest_theme_label,tdcc-20260717-98c564c5bc4ab725
all_stock__vol2__tdcc_all_up,tdcc_volume,strict_tdcc,D+1,D+1_open,10.0,2099,34,1.62,1.6,544,29,1.45,2.49,0.64,100.0,strong_bull=1118; range_or_unclear=617; mild_bull=341; weak_or_correction=23,unlabeled=1563; mainstream_overheated=416; mainstream_supported=109; non_mainstream=11,ok_initial_sample,tdcc-20260717-98c564c5bc4ab725
mainstream_overheated__vol2__ret2w20_50__tdcc_high_up,theme_tdcc_momentum,latest_theme_plus_strict_tdcc,D+1,D+1_open,10.0,190,3,1.58,0.14,69,3,2.3,3.03,1.11,100.0,strong_bull=109; range_or_unclear=50; mild_bull=31,mainstream_overheated=190,provisional_latest_theme_label,tdcc-20260717-98c564c5bc4ab725
all_stock__vol2__market_bull,market_volume,strict_market,D+1,D+1_open,10.0,18028,283,1.57,13.3,1816,224,1.26,2.27,0.57,31.91,strong_bull=14424; mild_bull=3604,unlabeled=15247; mainstream_overheated=2370; mainstream_supported=363; non_mainstream=48,ok_initial_sample,tdcc-20260717-98c564c5bc4ab725
mainstream_overheated__vol2__market_bull__bb_ok,theme_market_technical,latest_theme_plus_strict_market,D+1,D+1_open,10.0,791,12,1.52,0.56,191,12,1.63,2.59,0.62,40.33,strong_bull=625; mild_bull=166,mainstream_overheated=791,provisional_latest_theme_label,tdcc-20260717-98c564c5bc4ab725
all_stock__vol2__market_strong_bull,market_volume,strict_market,D+1,D+1_open,10.0,14424,217,1.5,10.2,1749,179,1.22,2.24,0.62,30.92,strong_bull=14424,unlabeled=12215; mainstream_overheated=1890; mainstream_supported=282; non_mainstream=37,ok_initial_sample,tdcc-20260717-98c564c5bc4ab725
