label_type,rule_family,rule_name,target_window,entry_basis,target_return_pct,selected_stock_days,hit_stock_days,hit_rate_pct,coverage_of_all_hits_pct,selected_unique_stocks,hit_unique_stocks,median_next_open_to_high_return_pct,avg_next_open_to_high_return_pct,avg_signal_close_to_next_open_gap_pct,median_signal_close_to_next_open_gap_pct,avg_return_5d_pct,avg_return_10d_pct,avg_return_20d_pct,sample_status
provisional_latest_stock_label,theme_volume_momentum,mainstream_overheated__vol2_ret1w10_30_ret2w20_50_bb,D+1,D+1_open,10.0,126,5,3.97,0.26,68,5,2.13,3.51,0.59,0.33,19.95,27.39,24.42,provisional_latest_label_only
provisional_latest_stock_label,theme_volume_momentum,mainstream_overheated__vol2_ret2w20_50_bb,D+1,D+1_open,10.0,181,6,3.31,0.31,79,6,2.5,3.47,0.71,0.56,20.1,27.89,25.61,provisional_latest_label_only
provisional_latest_stock_label,theme_volume_momentum,mainstream_overheated__vol2_ret20_20_80,D+1,D+1_open,10.0,2096,52,2.48,2.68,288,45,2.28,3.18,1.03,0.62,19.4,29.02,36.35,provisional_latest_label_only
provisional_latest_stock_label,theme_volume_momentum,mainstream_overheated__vol2_ret2w20_50_macd,D+1,D+1_open,10.0,1696,42,2.48,2.16,277,36,2.33,3.21,1.06,0.71,19.86,30.67,32.29,provisional_latest_label_only
provisional_latest_stock_label,theme_volume_momentum,mainstream_overheated__vol2_ret2w20_50,D+1,D+1_open,10.0,1818,44,2.42,2.27,285,37,2.34,3.19,1.05,0.67,19.65,30.42,32.06,provisional_latest_label_only
provisional_latest_stock_label,theme_volume_momentum,mainstream_overheated__vol2_ret1w10_30_ret2w20_50_macd,D+1,D+1_open,10.0,1143,26,2.27,1.34,264,22,2.33,3.21,1.08,0.74,19.73,29.64,30.83,provisional_latest_label_only
provisional_latest_stock_label,theme_volume_momentum,mainstream_overheated__vol2_ret1w10_30_ret2w20_50,D+1,D+1_open,10.0,1228,26,2.12,1.34,275,22,2.34,3.18,1.07,0.71,19.7,29.46,30.7,provisional_latest_label_only
provisional_latest_stock_label,theme_volume,mainstream_supported__start5d_vol_ge2,D+1,D+1_open,10.0,144,3,2.08,0.15,13,1,1.28,2.2,0.52,0.2,5.77,6.67,7.65,provisional_latest_label_only
provisional_latest_stock_label,theme_volume_momentum,mainstream_overheated__vol2_ret1w10_30,D+1,D+1_open,10.0,2693,50,1.86,2.58,336,43,2.1,2.96,0.85,0.5,17.22,22.04,23.95,provisional_latest_label_only
provisional_latest_stock_label,volume_only,all_stock__start5d_vol_ge3,D+1,D+1_open,10.0,7246,129,1.78,6.65,1351,111,1.5,2.53,0.64,0.2,13.96,17.47,18.04,provisional_latest_label_only
provisional_latest_stock_label,theme_volume,mainstream_overheated__start5d_vol_ge3,D+1,D+1_open,10.0,1421,25,1.76,1.29,274,22,1.81,2.83,0.68,0.31,16.29,20.24,22.45,provisional_latest_label_only
provisional_latest_stock_label,theme_volume_technical,mainstream_overheated__vol2_macd_pos,D+1,D+1_open,10.0,5257,79,1.5,4.07,370,59,1.73,2.63,0.71,0.4,12.8,18.57,19.94,provisional_latest_label_only
provisional_latest_stock_label,theme_volume_momentum,mainstream_overheated__vol2_ret20_under50_macd,D+1,D+1_open,10.0,4856,73,1.5,3.76,370,55,1.67,2.57,0.66,0.37,11.51,16.3,16.18,provisional_latest_label_only
provisional_latest_stock_label,theme_volume_technical,mainstream_overheated__vol2_ema23_ok,D+1,D+1_open,10.0,5004,73,1.46,3.76,372,57,1.7,2.58,0.63,0.36,10.49,15.09,16.37,provisional_latest_label_only
provisional_latest_stock_label,theme_volume_technical,mainstream_overheated__vol2_bb_not_extreme,D+1,D+1_open,10.0,1796,26,1.45,1.34,316,22,1.55,2.47,0.69,0.43,7.19,8.28,9.08,provisional_latest_label_only
provisional_latest_stock_label,theme_volume_momentum,mainstream_overheated__vol2_ret2w20_50_kd,D+1,D+1_open,10.0,429,6,1.4,0.31,189,6,2.22,3.03,1.33,0.89,17.47,25.48,23.05,provisional_latest_label_only
provisional_latest_stock_label,theme_volume_technical,mainstream_overheated__vol2_macd_kd,D+1,D+1_open,10.0,2324,32,1.38,1.65,340,28,1.66,2.55,0.7,0.37,11.35,12.87,12.91,provisional_latest_label_only
provisional_latest_stock_label,theme_volume_technical,mainstream_overheated__vol2_macd_bb,D+1,D+1_open,10.0,1460,20,1.37,1.03,285,18,1.47,2.42,0.64,0.39,9.18,10.77,10.23,provisional_latest_label_only
provisional_latest_stock_label,theme_volume,mainstream_overheated__start5d_vol_ge2,D+1,D+1_open,10.0,6821,93,1.36,4.79,380,68,1.63,2.54,0.7,0.39,10.53,15.3,17.41,provisional_latest_label_only
provisional_latest_stock_label,theme_volume_technical,mainstream_overheated__vol2_rsi50_75,D+1,D+1_open,10.0,3749,51,1.36,2.63,365,40,1.69,2.53,0.57,0.35,8.55,12.45,14.1,provisional_latest_label_only
provisional_latest_stock_label,volume_only,all_stock__start5d_vol_ge2,D+1,D+1_open,10.0,29505,379,1.28,19.54,1905,288,1.24,2.17,0.57,0.21,8.44,12.04,12.73,provisional_latest_label_only
provisional_latest_stock_label,theme_volume_technical,mainstream_overheated__vol2_kd_good,D+1,D+1_open,10.0,2839,36,1.27,1.86,358,32,1.64,2.51,0.69,0.36,10.52,11.44,11.95,provisional_latest_label_only
provisional_latest_stock_label,theme_volume_momentum,mainstream_overheated__vol2_ret1w10_30_ret2w20_50_kd,D+1,D+1_open,10.0,315,4,1.27,0.21,169,4,2.36,3.13,1.35,0.94,19.3,25.08,23.21,provisional_latest_label_only
provisional_latest_stock_label,theme_volume,mainstream_overheated__day_vol_ge2,D+1,D+1_open,10.0,10600,133,1.25,6.86,403,99,1.54,2.47,0.74,0.4,9.09,11.34,14.2,provisional_latest_label_only
provisional_latest_stock_label,theme_volume_technical,mainstream_overheated__vol2_kd_bb,D+1,D+1_open,10.0,1119,14,1.25,0.72,278,13,1.58,2.45,0.74,0.46,9.2,8.61,8.48,provisional_latest_label_only
provisional_latest_stock_label,theme_volume,mainstream_overheated__prev5d_vol_ge2,D+1,D+1_open,10.0,5280,64,1.21,3.3,367,52,1.56,2.46,0.66,0.38,8.1,15.94,18.46,provisional_latest_label_only
