label_type,target_window,entry_basis,target_return_pct,theme_status_group,filter_metric,filter_rule,threshold,selected_stock_days,hit_stock_days,hit_rate_pct,group_base_stock_days,group_base_hit_days,group_base_hit_rate_pct,selected_unique_stocks,hit_unique_stocks,median_next_open_to_high_return_pct,avg_next_open_to_high_return_pct,avg_signal_close_to_next_open_gap_pct,top_final_status_counts,top_volume_attack_status_counts,sample_status
provisional_latest_stock_label,D+10,D+1_open,10.0,mainstream_overheated,prev_5d_avg_volume_ratio,prev_5d_avg_volume_ratio>=3,3.0,232,112,48.28,39415,16116,40.89,75,48,9.52,14.28,0.64,mainstream_overheated=232,unlabeled=171; overheated_volume_theme=61,provisional_latest_label_only
provisional_latest_stock_label,D+10,D+1_open,10.0,mainstream_overheated,start_5d_avg_volume_ratio,start_5d_avg_volume_ratio>=3,3.0,767,363,47.33,39415,16116,40.89,178,117,9.25,13.66,0.86,mainstream_overheated=767,unlabeled=560; overheated_volume_theme=207,provisional_latest_label_only
provisional_latest_stock_label,D+10,D+1_open,10.0,mainstream_overheated,prev_5d_avg_volume_ratio,prev_5d_avg_volume_ratio>=2,2.0,2787,1247,44.74,39415,16116,40.89,302,233,8.7,13.0,0.64,mainstream_overheated=2787,unlabeled=2039; overheated_volume_theme=748,provisional_latest_label_only
provisional_latest_stock_label,D+10,D+1_open,10.0,mainstream_overheated,start_5d_avg_volume_ratio,start_5d_avg_volume_ratio>=2,2.0,3541,1558,44.0,39415,16116,40.89,319,248,8.51,12.81,0.78,mainstream_overheated=3541,unlabeled=2593; overheated_volume_theme=948,provisional_latest_label_only
provisional_latest_stock_label,D+10,D+1_open,10.0,mainstream_overheated,prev_5d_avg_volume_ratio,prev_5d_avg_volume_ratio>=1.5,1.5,7003,3078,43.95,39415,16116,40.89,341,305,8.52,12.65,0.69,mainstream_overheated=7003,unlabeled=5192; overheated_volume_theme=1811,provisional_latest_label_only
provisional_latest_stock_label,D+10,D+1_open,10.0,mainstream_overheated,start_day_volume_ratio,start_day_volume_ratio>=3,3.0,2522,1100,43.62,39415,16116,40.89,335,269,8.4,12.47,1.04,mainstream_overheated=2522,unlabeled=1848; overheated_volume_theme=674,provisional_latest_label_only
provisional_latest_stock_label,D+10,D+1_open,10.0,mainstream_overheated,prev_5d_avg_volume_ratio,prev_5d_avg_volume_ratio>=1.2,1.2,12513,5452,43.57,39415,16116,40.89,346,338,8.41,12.29,0.67,mainstream_overheated=12513,unlabeled=9287; overheated_volume_theme=3226,provisional_latest_label_only
provisional_latest_stock_label,D+10,D+1_open,10.0,mainstream_overheated,start_day_volume_ratio,start_day_volume_ratio>=2,2.0,5219,2273,43.55,39415,16116,40.89,346,321,8.38,12.34,0.97,mainstream_overheated=5219,unlabeled=3838; overheated_volume_theme=1381,provisional_latest_label_only
provisional_latest_stock_label,D+10,D+1_open,10.0,mainstream_overheated,start_5d_avg_volume_ratio,start_5d_avg_volume_ratio>=1.5,1.5,7757,3345,43.12,39415,16116,40.89,343,314,8.37,12.47,0.75,mainstream_overheated=7757,unlabeled=5724; overheated_volume_theme=2033,provisional_latest_label_only
provisional_latest_stock_label,D+10,D+1_open,10.0,mainstream_overheated,start_day_volume_ratio,start_day_volume_ratio>=1.5,1.5,8407,3620,43.06,39415,16116,40.89,346,333,8.28,12.21,0.88,mainstream_overheated=8407,unlabeled=6199; overheated_volume_theme=2208,provisional_latest_label_only
provisional_latest_stock_label,D+10,D+1_open,10.0,mainstream_overheated,start_5d_avg_volume_ratio,start_5d_avg_volume_ratio>=1.2,1.2,12943,5551,42.89,39415,16116,40.89,346,336,8.26,12.2,0.73,mainstream_overheated=12943,unlabeled=9586; overheated_volume_theme=3357,provisional_latest_label_only
provisional_latest_stock_label,D+10,D+1_open,10.0,mainstream_overheated,prev_5d_avg_volume_ratio,prev_5d_avg_volume_ratio>=1,1.0,18060,7647,42.34,39415,16116,40.89,346,341,8.14,11.95,0.64,mainstream_overheated=18060,unlabeled=13362; overheated_volume_theme=4698,provisional_latest_label_only
provisional_latest_stock_label,D+10,D+1_open,10.0,mainstream_overheated,start_day_volume_ratio,start_day_volume_ratio>=1.2,1.2,11872,5014,42.23,39415,16116,40.89,346,340,8.1,12.04,0.83,mainstream_overheated=11872,unlabeled=8772; overheated_volume_theme=3100,provisional_latest_label_only
provisional_latest_stock_label,D+10,D+1_open,10.0,mainstream_overheated,start_5d_avg_volume_ratio,start_5d_avg_volume_ratio>=1,1.0,18150,7653,42.17,39415,16116,40.89,346,341,8.09,11.87,0.7,mainstream_overheated=18150,unlabeled=13380; overheated_volume_theme=4770,provisional_latest_label_only
provisional_latest_stock_label,D+10,D+1_open,10.0,mainstream_overheated,start_day_volume_ratio,start_day_volume_ratio>=1,1.0,15523,6435,41.45,39415,16116,40.89,346,343,7.93,11.79,0.8,mainstream_overheated=15523,unlabeled=11467; overheated_volume_theme=4056,provisional_latest_label_only
provisional_latest_stock_label,D+10,D+1_open,10.0,unlabeled,start_5d_avg_volume_ratio,start_5d_avg_volume_ratio>=3,3.0,2857,978,34.23,156298,32023,20.49,715,352,5.96,10.82,0.69,unlabeled=2857,unlabeled=2857,provisional_latest_label_only
provisional_latest_stock_label,D+10,D+1_open,10.0,unlabeled,prev_5d_avg_volume_ratio,prev_5d_avg_volume_ratio>=3,3.0,1134,363,32.01,156298,32023,20.49,307,142,5.61,10.36,0.56,unlabeled=1134,unlabeled=1134,provisional_latest_label_only
provisional_latest_stock_label,D+10,D+1_open,10.0,unlabeled,prev_5d_avg_volume_ratio,prev_5d_avg_volume_ratio>=2,2.0,8814,2768,31.4,156298,32023,20.49,1099,556,5.15,10.04,0.58,unlabeled=8814,unlabeled=8814,provisional_latest_label_only
provisional_latest_stock_label,D+10,D+1_open,10.0,unlabeled,start_5d_avg_volume_ratio,start_5d_avg_volume_ratio>=2,2.0,11206,3516,31.38,156298,32023,20.49,1216,669,5.09,10.0,0.65,unlabeled=11206,unlabeled=11206,provisional_latest_label_only
provisional_latest_stock_label,D+10,D+1_open,10.0,unlabeled,start_day_volume_ratio,start_day_volume_ratio>=3,3.0,8478,2493,29.41,156298,32023,20.49,1357,721,4.57,9.5,0.75,unlabeled=8478,unlabeled=8478,provisional_latest_label_only
