signal_date,stock_id,stock_name,consecutive_appear_days_any_category,consecutive_appear_days_same_category,appear_count_5d,appear_count_10d,appear_count_20d,first_seen_date,last_seen_date,multi_category_flags,repeat_appear_label,repeat_appear_note
20260603,0056,元大高股息,10,10,5,10,10,20260523,20260603,pattern|range_rebound,repeated_but_no_breakout,近 10 日上榜 10 次、近 20 日上榜 10 次，但尚未有效突破，需等待攻擊確認。
20260603,1215,卜蜂,10,10,5,10,10,20260523,20260603,pattern,stale_signal,反覆上榜但尚未突破，且量價、TDCC 或 benchmark 未同步轉強，需確認是否鈍化。
20260603,1304,台聚,10,10,5,10,10,20260523,20260603,pattern,repeated_but_no_breakout,近 10 日上榜 10 次、近 20 日上榜 10 次，但尚未有效突破，需等待攻擊確認。
20260603,1305,華夏,10,10,5,10,10,20260523,20260603,pattern,repeated_but_no_breakout,近 10 日上榜 10 次、近 20 日上榜 10 次，但尚未有效突破，需等待攻擊確認。
20260603,1313,聯成,10,10,5,10,10,20260523,20260603,pattern,repeated_but_no_breakout,近 10 日上榜 10 次、近 20 日上榜 10 次，但尚未有效突破，需等待攻擊確認。
20260603,1402,遠東新,10,10,5,10,10,20260523,20260603,pattern,repeated_but_no_breakout,近 10 日上榜 10 次、近 20 日上榜 10 次，但尚未有效突破，需等待攻擊確認。
20260603,1409,新纖,10,10,5,10,10,20260523,20260603,pattern,repeated_but_no_breakout,近 10 日上榜 10 次、近 20 日上榜 10 次，但尚未有效突破，需等待攻擊確認。
20260603,1447,力鵬,10,10,5,10,10,20260523,20260603,pattern,repeated_but_no_breakout,近 10 日上榜 10 次、近 20 日上榜 10 次，但尚未有效突破，需等待攻擊確認。
20260603,1504,東元,10,10,5,10,10,20260523,20260603,pattern,stale_signal,反覆上榜但尚未突破，且量價、TDCC 或 benchmark 未同步轉強，需確認是否鈍化。
20260603,1513,中興電,10,10,5,10,10,20260523,20260603,pattern,stale_signal,反覆上榜但尚未突破，且量價、TDCC 或 benchmark 未同步轉強，需確認是否鈍化。
20260603,1514,亞力,10,10,5,10,10,20260523,20260603,pattern,stale_signal,反覆上榜但尚未突破，且量價、TDCC 或 benchmark 未同步轉強，需確認是否鈍化。
20260603,1528,恩德,10,10,5,10,10,20260523,20260603,pattern|range_rebound,continued_overheated,連續上榜但短線過熱，需避免追高並等待量價重新確認。
20260603,1536,和大,10,10,5,10,10,20260523,20260603,pattern,repeated_but_no_breakout,近 10 日上榜 10 次、近 20 日上榜 10 次，但尚未有效突破，需等待攻擊確認。
20260603,1605,華新,10,10,5,10,10,20260523,20260603,pattern,repeated_but_no_breakout,近 10 日上榜 10 次、近 20 日上榜 10 次，但尚未有效突破，需等待攻擊確認。
20260603,1609,大亞,10,10,5,10,10,20260523,20260603,pattern,stale_signal,反覆上榜但尚未突破，且量價、TDCC 或 benchmark 未同步轉強，需確認是否鈍化。
20260603,1708,東鹼,10,10,5,10,10,20260523,20260603,pattern,repeated_but_no_breakout,近 10 日上榜 10 次、近 20 日上榜 10 次，但尚未有效突破，需等待攻擊確認。
20260603,1710,東聯,10,10,5,10,10,20260523,20260603,pattern,repeated_but_no_breakout,近 10 日上榜 10 次、近 20 日上榜 10 次，但尚未有效突破，需等待攻擊確認。
20260603,1714,和桐,10,10,5,10,10,20260523,20260603,pattern,repeated_but_no_breakout,近 10 日上榜 10 次、近 20 日上榜 10 次，但尚未有效突破，需等待攻擊確認。
20260603,1722,台肥,10,10,5,10,10,20260523,20260603,pattern,stale_signal,反覆上榜但尚未突破，且量價、TDCC 或 benchmark 未同步轉強，需確認是否鈍化。
20260603,1802,台玻,10,10,5,10,10,20260523,20260603,pattern,stale_signal,反覆上榜但尚未突破，且量價、TDCC 或 benchmark 未同步轉強，需確認是否鈍化。
20260603,1808,潤隆,10,1,5,10,10,20260523,20260603,pattern,stale_signal,反覆上榜但尚未突破，且量價、TDCC 或 benchmark 未同步轉強，需確認是否鈍化。
20260603,1810,和成,10,10,5,10,10,20260523,20260603,pattern,repeated_but_no_breakout,近 10 日上榜 10 次、近 20 日上榜 10 次，但尚未有效突破，需等待攻擊確認。
20260603,1815,富喬,10,10,5,10,10,20260523,20260603,pattern,stale_signal,反覆上榜但尚未突破，且量價、TDCC 或 benchmark 未同步轉強，需確認是否鈍化。
20260603,1904,正隆,10,10,5,10,10,20260523,20260603,pattern|range_rebound,repeated_but_no_breakout,近 10 日上榜 10 次、近 20 日上榜 10 次，但尚未有效突破，需等待攻擊確認。
20260603,1905,華紙,10,10,5,10,10,20260523,20260603,pattern,stale_signal,反覆上榜但尚未突破，且量價、TDCC 或 benchmark 未同步轉強，需確認是否鈍化。
20260603,2009,第一銅,10,10,5,10,10,20260523,20260603,pattern|range_rebound,repeated_but_no_breakout,近 10 日上榜 10 次、近 20 日上榜 10 次，但尚未有效突破，需等待攻擊確認。
20260603,2027,大成鋼,10,10,5,10,10,20260523,20260603,pattern|range_rebound,repeated_but_no_breakout,近 10 日上榜 10 次、近 20 日上榜 10 次，但尚未有效突破，需等待攻擊確認。
20260603,2061,風青,10,10,5,10,10,20260523,20260603,pattern,repeated_but_no_breakout,近 10 日上榜 10 次、近 20 日上榜 10 次，但尚未有效突破，需等待攻擊確認。
20260603,2101,南港,10,3,5,10,10,20260523,20260603,range_rebound,repeated_but_no_breakout,近 10 日上榜 10 次、近 20 日上榜 10 次，但尚未有效突破，需等待攻擊確認。
20260603,2103,台橡,10,10,5,10,10,20260523,20260603,pattern,stale_signal,反覆上榜但尚未突破，且量價、TDCC 或 benchmark 未同步轉強，需確認是否鈍化。
20260603,2105,正新,10,10,5,10,10,20260523,20260603,pattern|range_rebound,stale_signal,反覆上榜但尚未突破，且量價、TDCC 或 benchmark 未同步轉強，需確認是否鈍化。
20260603,2108,南帝,10,10,5,10,10,20260523,20260603,pattern,stale_signal,反覆上榜但尚未突破，且量價、TDCC 或 benchmark 未同步轉強，需確認是否鈍化。
20260603,2206,三陽工業,10,10,5,10,10,20260523,20260603,pattern,stale_signal,反覆上榜但尚未突破，且量價、TDCC 或 benchmark 未同步轉強，需確認是否鈍化。
20260603,2241,艾姆勒,10,10,5,10,10,20260523,20260603,pattern,stale_signal,反覆上榜但尚未突破，且量價、TDCC 或 benchmark 未同步轉強，需確認是否鈍化。
20260603,2301,光寶科,10,10,5,10,10,20260523,20260603,pattern,repeated_but_no_breakout,近 10 日上榜 10 次、近 20 日上榜 10 次，但尚未有效突破，需等待攻擊確認。
20260603,2312,金寶,10,10,5,10,10,20260523,20260603,pattern,repeated_but_no_breakout,近 10 日上榜 10 次、近 20 日上榜 10 次，但尚未有效突破，需等待攻擊確認。
20260603,2317,鴻海,10,10,5,10,10,20260523,20260603,pattern,repeated_but_no_breakout,近 10 日上榜 10 次、近 20 日上榜 10 次，但尚未有效突破，需等待攻擊確認。
20260603,2324,仁寶,10,10,5,10,10,20260523,20260603,pattern,stale_signal,反覆上榜但尚未突破，且量價、TDCC 或 benchmark 未同步轉強，需確認是否鈍化。
20260603,2328,廣宇,10,10,5,10,10,20260523,20260603,pattern|range_rebound,repeated_but_no_breakout,近 10 日上榜 10 次、近 20 日上榜 10 次，但尚未有效突破，需等待攻擊確認。
20260603,2329,華泰,10,10,5,10,10,20260523,20260603,pattern,stale_signal,反覆上榜但尚未突破，且量價、TDCC 或 benchmark 未同步轉強，需確認是否鈍化。
20260603,2337,旺宏,10,10,5,10,10,20260523,20260603,pattern|range_rebound,stale_signal,反覆上榜但尚未突破，且量價、TDCC 或 benchmark 未同步轉強，需確認是否鈍化。
20260603,2338,光罩,10,10,5,10,10,20260523,20260603,pattern,stale_signal,反覆上榜但尚未突破，且量價、TDCC 或 benchmark 未同步轉強，需確認是否鈍化。
20260603,2344,華邦電,10,10,5,10,10,20260523,20260603,pattern,continued_overheated,連續上榜但短線過熱，需避免追高並等待量價重新確認。
20260603,2347,聯強,10,3,5,10,10,20260523,20260603,range_rebound,repeated_but_no_breakout,近 10 日上榜 10 次、近 20 日上榜 10 次，但尚未有效突破，需等待攻擊確認。
20260603,2352,佳世達,10,10,5,10,10,20260523,20260603,pattern,repeated_but_no_breakout,近 10 日上榜 10 次、近 20 日上榜 10 次，但尚未有效突破，需等待攻擊確認。
20260603,2353,宏碁,10,10,5,10,10,20260523,20260603,pattern|range_rebound,continued_overheated,連續上榜但短線過熱，需避免追高並等待量價重新確認。
20260603,2354,鴻準,10,10,5,10,10,20260523,20260603,pattern|range_rebound,stale_signal,反覆上榜但尚未突破，且量價、TDCC 或 benchmark 未同步轉強，需確認是否鈍化。
20260603,2356,英業達,10,10,5,10,10,20260523,20260603,pattern|range_rebound,continued_overheated,連續上榜但短線過熱，需避免追高並等待量價重新確認。
20260603,2357,華碩,10,10,5,10,10,20260523,20260603,pattern|range_rebound,continued_overheated,連續上榜但短線過熱，需避免追高並等待量價重新確認。
20260603,2359,所羅門,10,10,5,10,10,20260523,20260603,pattern,repeated_but_no_breakout,近 10 日上榜 10 次、近 20 日上榜 10 次，但尚未有效突破，需等待攻擊確認。
20260603,2360,致茂,10,3,5,10,10,20260523,20260603,pattern,stale_signal,反覆上榜但尚未突破，且量價、TDCC 或 benchmark 未同步轉強，需確認是否鈍化。
