signal_date,stock_id,stock_name,category,category_cn,theme_name,theme_final_status,theme_structural_status,theme_mainstream_label,report_line_memberships,mainstream_report_eligible,non_mainstream_report_eligible,dual_report_membership_flag,report_line_membership_note,candidate_source_type,candidate_line,candidate_line_group,two_line_overlap_flag,presentation_priority,model_score,tdcc_status,warrant_flow_signal,volume_ratio,return_20d,repeat_appear_label,downgrade_flags,why_selected,why_downgraded,next_confirmation,theme_leadership_note
20260713,2382,廣達,revenue_breakout_low_response,營收爆發低反應股,電腦及週邊設備業,mainstream_follow_through,core_mainstream_theme,core_mainstream_supported,,,,,,latent_watch_candidate,營收爆發股價尚未反應,individual_revenue_low_response_watch,False,A_優先追蹤,20.0,,,1.04,2.16,repeated_but_no_breakout,,,,,mainstream_follow_through；營收爆發股價尚未反應
20260713,3706,神達,revenue_breakout_low_response,營收爆發低反應股,電腦及週邊設備業,mainstream_follow_through,core_mainstream_theme,core_mainstream_supported,,,,,,latent_watch_candidate,營收爆發股價尚未反應,individual_revenue_low_response_watch,False,A_優先追蹤,20.0,,no_signal,1.12,4.97,stale_signal,,,,,mainstream_follow_through；營收爆發股價尚未反應
20260713,3290,東浦,revenue_breakout_low_response,營收爆發低反應股,電子零組件業,mainstream_overheated,core_mainstream_theme,core_mainstream_overheated,,,,,,latent_watch_candidate,營收爆發股價尚未反應,individual_revenue_low_response_watch,False,A_優先追蹤,19.0,,,0.94,2.52,repeated_but_no_breakout,,,,,mainstream_overheated；營收爆發股價尚未反應
20260713,6414,樺漢,revenue_breakout_low_response,營收爆發低反應股,電腦及週邊設備業,mainstream_follow_through,core_mainstream_theme,core_mainstream_supported,,,,,,latent_watch_candidate,營收爆發股價尚未反應,individual_revenue_low_response_watch,False,A_優先追蹤,19.0,,no_signal,1.04,-1.65,repeated_but_no_breakout,,,,,mainstream_follow_through；營收爆發股價尚未反應
20260713,6113,亞矽,revenue_breakout_low_response,營收爆發低反應股,電子通路業,mainstream_overheated,non_mainstream_theme,non_mainstream_overheated,,,,,,latent_watch_candidate,營收爆發股價尚未反應,individual_revenue_low_response_watch,False,B_可觀察,19.0,,,1.81,-2.58,first_seen,,,,,mainstream_overheated；營收爆發股價尚未反應
20260713,3689,湧德,revenue_breakout_low_response,營收爆發低反應股,電子零組件業,mainstream_overheated,core_mainstream_theme,core_mainstream_overheated,,,,,,latent_watch_candidate,營收爆發股價尚未反應,individual_revenue_low_response_watch,False,A_優先追蹤,18.0,,,0.92,5.29,stale_signal,,,,,mainstream_overheated；營收爆發股價尚未反應
20260713,1316,上曜,revenue_breakout_low_response,營收爆發低反應股,neutral,mainstream_follow_through,non_mainstream_theme,non_mainstream_flow_active,,,,,,latent_watch_candidate,營收爆發股價尚未反應,individual_revenue_low_response_watch,False,B_可觀察,18.0,,,0.55,-4.63,stale_signal,,,,,mainstream_follow_through；營收爆發股價尚未反應
20260713,2363,矽統,revenue_breakout_low_response,營收爆發低反應股,半導體業,mainstream_overheated,core_mainstream_theme,core_mainstream_overheated,,,,,,latent_watch_candidate,營收爆發股價尚未反應,individual_revenue_low_response_watch,False,A_優先追蹤,17.0,,call_inflow,0.44,16.13,stale_signal,,,,,mainstream_overheated；營收爆發股價尚未反應
20260713,2476,鉅祥,revenue_breakout_low_response,營收爆發低反應股,電子零組件業,mainstream_overheated,core_mainstream_theme,core_mainstream_overheated,,,,,,latent_watch_candidate,營收爆發股價尚未反應,individual_revenue_low_response_watch,False,A_優先追蹤,17.0,,no_signal,0.56,6.3,stale_signal,,,,,mainstream_overheated；營收爆發股價尚未反應
20260713,2404,漢唐,revenue_breakout_low_response,營收爆發低反應股,其他電子業,mainstream_overheated,non_mainstream_theme,non_mainstream_overheated,,,,,,latent_watch_candidate,營收爆發股價尚未反應,individual_revenue_low_response_watch,False,A_優先追蹤,17.0,,no_signal,0.45,2.93,stale_signal,,,,,mainstream_overheated；營收爆發股價尚未反應
