theme_name,theme_candidate_count,theme_A_candidate_count,theme_B_candidate_count,theme_strict_breakout_count,theme_true_breakout_count,theme_volume_breakout_count,theme_near_high_count,theme_revenue_growth_count,theme_revenue_low_response_count,theme_tdcc_strong_count,theme_tdcc_mild_count,theme_tdcc_distribution_warning_count,theme_warrant_bullish_count,theme_warrant_bearish_count,theme_overheated_count,theme_avg_volume_ratio,theme_avg_relative_strength_vs_benchmark,theme_leader_stock_id,theme_leader_stock_name,theme_leader_confirmed,theme_breadth_score,theme_strength_score,theme_risk_score,theme_final_status,theme_market_flow_status,theme_structural_status,theme_mainstream_label
散熱液冷,9,0,0,0,0,2,2,6,0,0,0,9,4,0,0,1.44,0.0,6805,富世達,True,62,57.6,100.0,emerging_theme,emerging_theme,core_mainstream_theme,core_mainstream_supported
玻纖布,3,0,0,0,0,1,1,0,0,0,0,3,1,1,0,2.07,0.0,1303,南亞,True,25,27.3,42.0,emerging_theme,emerging_theme,core_mainstream_theme,core_mainstream_supported
軍工無人機,2,0,0,0,0,1,2,0,0,0,0,2,0,0,0,1.52,0.0,8033,雷虎,True,26,18.5,24.0,emerging_theme,emerging_theme,core_mainstream_theme,core_mainstream_supported
CPO光通訊,2,0,0,0,0,0,0,2,0,0,2,0,0,0,0,1.25,0.0,2345,智邦,True,8,14.4,0.0,emerging_theme,emerging_theme,core_mainstream_theme,core_mainstream_supported
運動休閒,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.96,0.0,9914,美利達,True,8,12.4,0.0,emerging_theme,emerging_theme,non_mainstream_theme,non_mainstream_flow_active
食品工業,3,0,0,0,0,0,1,1,0,0,0,3,0,0,0,1.09,0.0,1210,大成,True,17,10.1,36.0,emerging_theme,emerging_theme,non_mainstream_theme,non_mainstream_flow_active
化學工業,17,1,2,0,0,2,4,7,1,0,9,8,5,0,0,1.07,0.0,1718,中纖,True,100,100.0,96.0,mainstream_follow_through,mainstream_follow_through,non_mainstream_theme,non_mainstream_flow_active
AI伺服器,15,0,3,0,0,3,7,8,1,2,2,11,9,0,0,2.08,0.0,2382,廣達,True,100,100.0,100.0,mainstream_follow_through,mainstream_follow_through,core_mainstream_theme,core_mainstream_supported
AI伺服器_其他電子待細分,26,0,2,0,0,3,2,11,1,1,11,14,3,0,0,1.3,0.0,6438,迅得,True,100,100.0,100.0,mainstream_follow_through,mainstream_follow_through,core_mainstream_theme,core_mainstream_supported
建材營造,29,2,3,0,0,3,7,21,7,5,11,13,1,0,0,1.34,0.0,5522,遠雄,True,100,100.0,100.0,mainstream_follow_through,mainstream_follow_through,non_mainstream_theme,non_mainstream_flow_active
網通_低軌衛星待細分,23,1,3,0,0,5,7,6,0,3,6,14,4,0,0,1.22,0.0,2332,友訊,True,100,100.0,100.0,mainstream_follow_through,mainstream_follow_through,core_mainstream_theme,core_mainstream_supported
金融保險,42,0,9,0,0,11,23,31,0,7,18,17,2,0,0,1.89,0.0,5876,上海商銀,True,100,100.0,100.0,mainstream_follow_through,mainstream_follow_through,non_mainstream_theme,non_mainstream_flow_active
紡織纖維,10,1,2,0,0,4,6,3,0,0,7,3,2,0,1,1.65,0.0,1434,福懋,True,100,98.2,46.0,mainstream_follow_through,mainstream_follow_through,non_mainstream_theme,non_mainstream_flow_active
重電電網,13,1,2,0,0,4,5,2,0,1,2,9,4,0,0,1.6,0.0,1612,宏泰,True,100,95.8,100.0,mainstream_follow_through,mainstream_follow_through,core_mainstream_theme,core_mainstream_supported
鋼鐵工業,12,0,1,0,0,1,4,4,0,4,4,4,0,0,0,0.99,0.0,2031,新光鋼,True,80,92.0,48.0,mainstream_follow_through,mainstream_follow_through,non_mainstream_theme,non_mainstream_flow_active
PCB_CCL_ABF材料,13,0,1,0,0,1,2,7,0,0,7,6,1,1,0,1.22,0.0,8039,台虹,True,74,75.5,78.0,mainstream_follow_through,mainstream_follow_through,core_mainstream_theme,core_mainstream_supported
記憶體儲存,9,0,0,0,0,0,2,5,0,1,2,6,5,0,0,0.97,0.0,2451,創見,True,46,66.3,72.0,mainstream_follow_through,mainstream_follow_through,core_mainstream_theme,core_mainstream_supported
電源_BBU,7,0,0,0,0,0,1,2,0,3,1,3,2,0,0,0.75,0.0,3023,信邦,True,33,56.2,36.0,mainstream_follow_through,mainstream_follow_through,core_mainstream_theme,core_mainstream_supported
半導體設備_CoWoS,8,0,1,0,0,1,0,4,1,1,5,2,0,0,0,0.78,0.0,2404,漢唐,True,44,52.2,24.0,mainstream_follow_through,mainstream_follow_through,core_mainstream_theme,core_mainstream_supported
資訊服務_AI應用待細分,4,0,1,0,0,0,2,2,0,0,3,1,3,0,0,0.99,0.0,6214,精誠,True,30,43.5,12.0,mainstream_follow_through,mainstream_follow_through,core_mainstream_theme,core_mainstream_supported
theme_unknown,5,0,1,0,0,1,2,0,0,0,0,2,1,0,0,2.77,0.0,2809,京城銀,True,42,42.3,24.0,mainstream_follow_through,mainstream_follow_through,non_mainstream_theme,non_mainstream_flow_active
其他,11,0,0,0,0,0,2,2,1,0,3,8,0,0,0,0.86,0.0,9939,宏全,True,54,41.7,96.0,mainstream_follow_through,mainstream_follow_through,non_mainstream_theme,non_mainstream_flow_active
重電電網_電器電纜待細分,3,1,0,0,0,2,2,0,0,0,1,2,0,0,0,1.67,0.0,1608,華榮,True,45,34.1,24.0,mainstream_follow_through,mainstream_follow_through,core_mainstream_theme,core_mainstream_supported
機器人自動化,5,0,0,0,0,1,0,4,0,0,3,2,0,0,0,1.18,0.0,1597,直得,True,28,28.8,24.0,mainstream_follow_through,mainstream_follow_through,core_mainstream_theme,core_mainstream_supported
橡膠工業,6,0,0,0,0,0,1,2,1,1,1,4,0,0,0,1.06,0.0,2105,正新,True,29,28.4,48.0,mainstream_follow_through,mainstream_follow_through,non_mainstream_theme,non_mainstream_flow_active
玻璃陶瓷,3,0,0,0,0,0,0,0,0,1,2,0,0,0,1,1.02,0.0,1810,和成,True,12,22.8,10.0,mainstream_follow_through,mainstream_follow_through,non_mainstream_theme,non_mainstream_flow_active
低軌衛星,5,0,0,0,0,0,1,0,0,0,2,3,0,0,0,0.58,0.0,3596,智易,True,25,21.8,36.0,mainstream_follow_through,mainstream_follow_through,core_mainstream_theme,core_mainstream_supported
造紙工業,3,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0.54,0.0,1904,正隆,True,17,13.4,24.0,mainstream_follow_through,mainstream_follow_through,non_mainstream_theme,non_mainstream_flow_active
航運業,18,2,3,0,0,2,8,10,1,5,8,5,3,0,0,1.77,0.0,2618,長榮航,True,100,100.0,60.0,mainstream_leader,mainstream_leader,non_mainstream_theme,non_mainstream_flow_active
塑膠工業,9,0,2,0,0,3,5,3,0,3,3,3,2,0,0,2.16,0.0,4306,炎洲,True,93,100.0,36.0,mainstream_leader,mainstream_leader,non_mainstream_theme,non_mainstream_flow_active
機器人,8,0,6,0,0,1,3,7,1,3,5,0,4,0,0,1.22,0.0,2374,佳能,True,79,100.0,0.0,mainstream_leader,mainstream_leader,core_mainstream_theme,core_mainstream_supported
車用電子,7,0,2,0,0,1,4,3,0,3,3,1,4,0,0,1.53,0.0,1536,和大,True,64,95.4,12.0,mainstream_leader,mainstream_leader,core_mainstream_theme,core_mainstream_supported
