# PRICE_WINDOW_121

columns=date,open,high,low,close,volume,ma5,ma20,ma60,ma120,ema23,return_1d,return_5d,return_20d,volume_ratio,distance_to_ma20_pct,distance_to_high_60_pct

PRICE_WINDOW_180_ROW_001=20251103,12.5,12.55,12.5,12.5,8000,,,,,,,,,,,

PRICE_WINDOW_180_ROW_002=20251104,12.5,12.95,12.5,12.55,245000,,,,,,0.4,,,,,

PRICE_WINDOW_180_ROW_003=20251105,12.35,12.4,12.35,12.4,6000,,,,,,-1.1952,,,,,

PRICE_WINDOW_180_ROW_004=20251110,12.5,12.75,12.3,12.3,256000,,,,,,-0.8065,,,,,

PRICE_WINDOW_180_ROW_005=20251111,12.6,12.6,12.4,12.5,10000,12.45,12.45,12.45,12.45,12.4809,1.626,,,0.0952,0.4016,-3.4749

PRICE_WINDOW_180_ROW_006=20251114,12.5,12.8,12.2,12.2,238000,12.39,12.4083,12.4083,12.4083,12.4575,-2.4,-2.4,,1.8716,-1.679,-5.7915

PRICE_WINDOW_180_ROW_007=20251117,12.2,12.25,12.1,12.1,10000,12.3,12.3643,12.3643,12.3643,12.4277,-0.8197,-3.5857,,0.0906,-2.1375,-6.5637

PRICE_WINDOW_180_ROW_008=20251118,11.9,11.9,11.9,11.9,2000,12.2,12.3062,12.3062,12.3062,12.3837,-1.6529,-4.0323,,0.0206,-3.3012,-8.1081

PRICE_WINDOW_180_ROW_009=20251119,12.2,12.25,11.45,11.55,235000,12.05,12.2222,12.2222,12.2222,12.3143,-2.9412,-6.0976,,2.0941,-5.5,-10.8108

PRICE_WINDOW_180_ROW_010=20251120,11.6,11.85,11.6,11.85,12000,11.92,12.185,12.185,12.185,12.2756,2.5974,-5.2,,0.1174,-2.7493,-8.4942

PRICE_WINDOW_180_ROW_011=20251121,11.8,11.8,11.8,11.8,4000,11.84,12.15,12.15,12.15,12.2359,-0.4219,-3.2787,,0.0429,-2.8807,-8.8803

PRICE_WINDOW_180_ROW_012=20251124,11.7,11.7,11.7,11.7,1000,11.76,12.1125,12.1125,12.1125,12.1913,-0.8475,-3.3058,,0.0117,-3.4056,-9.6525

PRICE_WINDOW_180_ROW_013=20251125,11.95,12.1,11.6,12.0,248000,11.78,12.1038,12.1038,12.1038,12.1753,2.5641,0.8403,,2.5286,-0.858,-7.3359

PRICE_WINDOW_180_ROW_014=20251126,12.0,12.0,12.0,12.0,1000,11.87,12.0964,12.0964,12.0964,12.1607,0.0,3.8961,,0.011,-0.7972,-7.3359

PRICE_WINDOW_180_ROW_015=20251127,11.75,12.3,11.75,11.95,268000,11.89,12.0867,12.0867,12.0867,12.1432,-0.4167,0.8439,,2.6036,-1.1307,-7.722

PRICE_WINDOW_180_ROW_016=20251128,12.1,12.2,11.75,11.9,269000,11.91,12.075,12.075,12.075,12.1229,-0.4184,0.8475,,2.374,-1.4493,-8.1081

PRICE_WINDOW_180_ROW_017=20251201,11.75,12.0,11.6,11.75,263000,11.92,12.0559,12.0559,12.0559,12.0918,-1.2605,0.4274,,2.1537,-2.5372,-9.2664

PRICE_WINDOW_180_ROW_018=20251204,11.6,11.7,11.6,11.7,6000,11.86,12.0361,12.0361,12.0361,12.0592,-0.4255,-2.5,,0.0519,-2.7925,-9.6525

PRICE_WINDOW_180_ROW_019=20251205,11.65,11.65,11.55,11.55,3000,11.77,12.0105,12.0105,12.0105,12.0167,-1.2821,-3.75,,0.0273,-3.8344,-10.8108

PRICE_WINDOW_180_ROW_020=20251208,11.4,11.4,11.0,11.2,337000,11.62,11.97,11.97,11.97,11.9487,-3.0303,-6.2762,,2.7828,-6.4327,-13.5135

PRICE_WINDOW_180_ROW_021=20251209,11.1,11.2,11.0,11.1,32000,11.46,11.9,11.9286,11.9286,11.878,-0.8929,-6.7227,-11.2,0.2617,-6.7227,-14.2857

PRICE_WINDOW_180_ROW_022=20251210,11.1,11.2,11.1,11.15,43000,11.34,11.83,11.8932,11.8932,11.8173,0.4505,-5.1064,-11.1554,0.3832,-5.7481,-13.8996

PRICE_WINDOW_180_ROW_023=20251211,11.1,11.1,11.1,11.1,7000,11.22,11.765,11.8587,11.8587,11.7575,-0.4484,-5.1282,-10.4839,0.0624,-5.6524,-14.2857

PRICE_WINDOW_180_ROW_024=20251212,11.65,11.65,11.3,11.35,18000,11.18,11.7175,11.8375,11.8375,11.7236,2.2523,-1.7316,-7.7236,0.1794,-3.1363,-12.3552

PRICE_WINDOW_180_ROW_025=20251215,11.35,11.35,11.35,11.35,1000,11.21,11.66,11.818,11.818,11.6924,0.0,1.3393,-9.2,0.01,-2.6587,-12.3552

PRICE_WINDOW_180_ROW_026=20251216,11.15,11.3,11.1,11.3,16000,11.25,11.615,11.7981,11.7981,11.6597,-0.4405,1.8018,-7.377,0.1802,-2.712,-12.7413

PRICE_WINDOW_180_ROW_027=20251217,11.35,11.35,11.35,11.35,8000,11.29,11.5775,11.7815,11.7815,11.6339,0.4425,1.7937,-6.1983,0.0902,-1.965,-12.3552

PRICE_WINDOW_180_ROW_028=20251218,11.35,11.45,11.35,11.35,4000,11.34,11.55,11.7661,11.7661,11.6103,0.0,2.2523,-4.6218,0.045,-1.7316,-12.3552

PRICE_WINDOW_180_ROW_029=20251219,11.55,11.55,11.4,11.4,8000,11.35,11.5425,11.7534,11.7534,11.5927,0.4405,0.4405,-1.2987,0.1033,-1.2346,-11.9691

PRICE_WINDOW_180_ROW_030=20251222,11.3,11.35,11.3,11.35,7000,11.35,11.5175,11.74,11.74,11.5725,-0.4386,0.0,-4.2194,0.0907,-1.4543,-12.3552

PRICE_WINDOW_180_ROW_031=20251226,11.2,11.2,11.2,11.2,1000,11.33,11.4875,11.7226,11.7226,11.5415,-1.3216,-0.885,-5.0847,0.013,-2.5027,-13.5135

PRICE_WINDOW_180_ROW_032=20251229,11.15,11.45,11.15,11.45,17000,11.35,11.475,11.7141,11.7141,11.5338,2.2321,0.8811,-2.1368,0.2184,-0.2179,-11.583

PRICE_WINDOW_180_ROW_033=20251230,11.4,11.6,11.4,11.6,5000,11.4,11.455,11.7106,11.7106,11.5394,1.31,2.2026,-3.3333,0.0761,1.2658,-10.4247

PRICE_WINDOW_180_ROW_034=20251231,11.65,11.7,11.5,11.7,5000,11.46,11.44,11.7103,11.7103,11.5527,0.8621,2.6316,-2.5,0.0759,2.2727,-9.6525

PRICE_WINDOW_180_ROW_035=20260102,11.6,11.7,11.6,11.7,4000,11.53,11.4275,11.71,11.71,11.565,0.0,3.0837,-2.0921,0.0759,2.3846,-9.6525

PRICE_WINDOW_180_ROW_036=20260105,11.7,12.05,11.35,11.35,18000,11.56,11.4,11.7,11.7,11.5471,-2.9915,1.3393,-4.6218,0.4483,-0.4386,-12.3552

PRICE_WINDOW_180_ROW_037=20260106,11.65,11.9,11.5,11.5,9000,11.57,11.3875,11.6946,11.6946,11.5432,1.3216,0.4367,-2.1277,0.3279,0.9879,-11.1969

PRICE_WINDOW_180_ROW_038=20260107,11.5,11.75,11.5,11.65,22000,11.58,11.385,11.6934,11.6934,11.5521,1.3043,0.431,-0.4274,0.7788,2.3276,-10.0386

PRICE_WINDOW_180_ROW_039=20260108,11.65,11.95,11.35,11.7,308000,11.58,11.3925,11.6936,11.6936,11.5644,0.4292,0.0,1.2987,7.0805,2.6991,-9.6525

PRICE_WINDOW_180_ROW_040=20260109,11.75,11.75,11.5,11.6,5000,11.56,11.4125,11.6912,11.6912,11.5674,-0.8547,-0.8547,3.5714,0.1859,1.6429,-10.4247

PRICE_WINDOW_180_ROW_041=20260112,11.35,11.85,11.35,11.75,29000,11.64,11.445,11.6927,11.6927,11.5826,1.2931,3.5242,5.8559,1.0841,2.6649,-9.2664

PRICE_WINDOW_180_ROW_042=20260113,11.65,11.8,11.5,11.5,18000,11.64,11.4625,11.6881,11.6881,11.5757,-2.1277,0.0,3.139,0.7059,0.3272,-11.1969

PRICE_WINDOW_180_ROW_043=20260114,11.35,11.7,11.35,11.6,13000,11.63,11.4875,11.686,11.686,11.5777,0.8696,-0.4292,4.5045,0.5039,0.9793,-10.4247

PRICE_WINDOW_180_ROW_044=20260115,11.75,11.9,11.75,11.75,22000,11.64,11.5075,11.6875,11.6875,11.5921,1.2931,0.4274,3.5242,0.8462,2.1073,-9.2664

PRICE_WINDOW_180_ROW_045=20260116,11.85,11.85,11.85,11.85,4000,11.69,11.5325,11.6911,11.6911,11.6136,0.8511,2.1552,4.4053,0.153,2.7531,-8.4942

PRICE_WINDOW_180_ROW_046=20260119,11.8,12.05,11.65,12.05,383000,11.75,11.57,11.6989,11.6989,11.6499,1.6878,2.5532,6.6372,8.6067,4.1487,-6.9498

PRICE_WINDOW_180_ROW_047=20260120,12.25,13.0,12.1,12.1,95000,11.87,11.6075,11.7074,11.7074,11.6875,0.4149,5.2174,6.6079,1.9447,4.2429,-6.9231

PRICE_WINDOW_180_ROW_048=20260121,11.75,12.1,11.75,11.9,26000,11.93,11.635,11.7115,11.7115,11.7052,-1.6529,2.5862,4.8458,0.5205,2.2776,-8.4615

PRICE_WINDOW_180_ROW_049=20260122,12.15,12.45,12.15,12.15,8000,12.01,11.6725,11.7204,11.7204,11.7422,2.1008,3.4043,6.5789,0.1602,4.0908,-6.5385

PRICE_WINDOW_180_ROW_050=20260123,11.9,12.3,11.9,12.3,11000,12.1,11.72,11.732,11.732,11.7887,1.2346,3.7975,8.37,0.2193,4.9488,-5.3846

PRICE_WINDOW_180_ROW_051=20260126,12.05,12.05,12.05,12.05,2000,12.1,11.7625,11.7382,11.7382,11.8105,-2.0325,0.0,7.5893,0.0398,2.4442,-7.3077

PRICE_WINDOW_180_ROW_052=20260127,12.2,12.45,11.95,12.1,258000,12.1,11.795,11.7452,11.7452,11.8346,0.4149,0.0,5.6769,4.1446,2.5858,-6.9231

PRICE_WINDOW_180_ROW_053=20260128,11.95,12.0,11.9,11.9,4000,12.1,11.81,11.7481,11.7481,11.8401,-1.6529,0.0,2.5862,0.0643,0.7621,-8.4615

PRICE_WINDOW_180_ROW_054=20260129,11.9,12.2,11.9,12.0,17000,12.07,11.825,11.7528,11.7528,11.8534,0.8403,-1.2346,2.5641,0.2707,1.4799,-7.6923

PRICE_WINDOW_180_ROW_055=20260130,12.0,12.15,12.0,12.15,4000,12.04,11.8475,11.76,11.76,11.8781,1.25,-1.2195,3.8462,0.0637,2.5533,-6.5385

