date,open,high,low,close,volume,ma5,ema23,ma20,ma60,ma120,return_1d,return_5d,return_20d,volume_ratio,distance_to_ema23_pct,distance_to_ma20_pct,distance_to_high_60_pct
20250910,14.1,14.3,14.05,14.1,209711.0,14.07,14.1762,14.22,14.3067,14.4611,-0.3534,2.5455,4.059,0.6339,-0.5373,-0.8439,-10.4762
20250911,14.15,14.15,13.55,13.55,369274.0,14.02,14.124,14.2275,14.2917,14.4528,-3.9007,-1.8116,1.1194,1.1594,-4.0639,-4.7619,-13.9683
20250917,13.9,14.15,13.9,13.95,287181.0,14.02,14.1095,14.2525,14.2842,14.4482,2.952,0.0,3.7175,0.8913,-1.1304,-2.1224,-11.4286
20250918,14.05,14.15,13.95,13.95,203423.0,13.94,14.0962,14.2725,14.2708,14.4437,0.0,-2.7875,2.952,0.6428,-1.0372,-2.2596,-11.4286
20250919,14.0,14.0,13.75,13.8,158030.0,13.87,14.0715,14.2725,14.2583,14.4379,-1.0753,-2.4735,0.0,0.5063,-1.9295,-3.3106,-12.381
20250922,14.05,14.15,13.75,13.85,203736.0,13.82,14.0531,14.21,14.24,14.4327,0.3623,-1.773,-8.2781,0.7928,-1.4449,-2.5334,-12.0635
20250923,13.75,13.75,13.45,13.55,509197.0,13.82,14.0111,14.1575,14.215,14.425,-2.1661,0.0,-7.1918,2.0423,-3.2912,-4.291,-13.9683
20250924,13.55,13.85,13.55,13.85,161538.0,13.8,13.9977,14.1125,14.19,14.42,2.214,-0.7168,-6.1017,0.6637,-1.0552,-1.8601,-12.0635
20250925,13.85,13.95,13.7,13.7,108516.0,13.75,13.9729,14.0775,14.165,14.4138,-1.083,-1.7921,-4.8611,0.4563,-1.9531,-2.6816,-12.4601
20250926,13.6,13.6,13.3,13.35,401495.0,13.66,13.921,14.015,14.135,14.4047,-2.5547,-3.2609,-8.5616,1.6705,-4.1016,-4.7449,-14.6965
20250930,13.4,13.45,13.25,13.3,141118.0,13.55,13.8692,13.9575,14.1033,14.3953,-0.3745,-3.9711,-7.9585,0.5829,-4.1043,-4.7107,-13.6364
20251001,13.3,13.5,13.3,13.4,184297.0,13.52,13.8301,13.895,14.0733,14.387,0.7519,-1.107,-8.5324,0.808,-3.1101,-3.5624,-12.987
20251002,13.4,13.65,13.3,13.6,114973.0,13.47,13.811,13.84,14.0458,14.3804,1.4925,-1.8051,-7.483,0.5221,-1.5275,-1.7341,-10.5263
20251003,13.5,13.55,13.3,13.5,184329.0,13.43,13.785,13.785,14.0208,14.3625,-0.7353,-1.4599,-7.5342,0.8761,-2.0678,-2.0675,-11.1842
20251007,13.5,13.8,13.4,13.45,249960.0,13.45,13.7571,13.745,13.9958,14.3567,-0.3704,0.7491,-5.614,1.1714,-2.2325,-2.1462,-11.5132
20251008,13.35,13.45,13.35,13.4,64191.0,13.47,13.7274,13.7275,13.97,14.3621,-0.3717,0.7519,-2.5455,0.315,-2.3848,-2.3857,-11.8421
20251009,13.45,13.6,13.4,13.55,139212.0,13.5,13.7126,13.715,13.9458,14.3583,1.1194,1.1194,-1.8116,0.6794,-1.1857,-1.2031,-10.2649
20251013,13.4,13.55,13.2,13.4,151025.0,13.46,13.6865,13.6875,13.9233,14.3517,-1.107,-1.4706,-3.9427,0.7223,-2.0936,-2.1005,-11.2583
20251014,13.5,13.6,13.35,13.35,193032.0,13.43,13.6585,13.6375,13.8983,14.3371,-0.3731,-1.1111,-6.9686,0.9405,-2.2586,-2.1082,-11.5894
20251016,13.3,13.35,13.25,13.35,102975.0,13.41,13.6328,13.5975,13.885,14.3267,0.0,-0.7435,-5.6537,0.4978,-2.0743,-1.8202,-11.5894
20251020,13.35,13.4,13.3,13.4,110269.0,13.41,13.6134,13.5625,13.8708,14.3167,0.3745,0.0,-4.9645,0.5462,-1.5675,-1.1982,-11.2583
20251021,13.5,14.25,13.5,13.85,598281.0,13.47,13.6331,13.5775,13.8658,14.31,3.3582,2.214,2.214,2.8044,1.591,2.007,-8.2781
20251022,13.8,14.1,13.75,13.95,170859.0,13.58,13.6595,13.5775,13.8617,14.3075,0.722,4.1045,0.0,0.8233,2.1266,2.7435,-7.6159
20251023,13.85,14.0,13.75,13.8,121699.0,13.67,13.6712,13.57,13.8583,14.3038,-1.0753,3.3708,-1.0753,0.5982,0.942,1.6949,-8.6093
20251027,13.8,13.95,13.6,13.75,173442.0,13.75,13.6778,13.5675,13.855,14.2971,-0.3623,2.9963,-0.3623,0.8493,0.528,1.3451,-8.9404
20251028,13.75,13.75,13.5,13.5,141174.0,13.77,13.663,13.55,13.8533,14.2896,-1.8182,0.7463,-2.5271,0.7021,-1.1928,-0.369,-10.596
20251029,13.5,13.6,13.35,13.35,344036.0,13.67,13.6369,13.54,13.8467,14.2775,-1.1111,-3.6101,-1.476,1.7842,-2.1038,-1.4032,-11.5894
20251030,13.35,13.4,13.15,13.2,384882.0,13.52,13.6005,13.5075,13.8375,14.265,-1.1236,-5.3763,-4.6931,1.8868,-2.9446,-2.2765,-12.5828
20251031,13.2,13.2,12.85,12.9,349888.0,13.34,13.5421,13.4675,13.8258,14.2471,-2.2727,-6.5217,-5.8394,1.6194,-4.7416,-4.2138,-14.5695
20251103,12.9,12.9,12.45,12.5,619599.0,13.09,13.4553,13.425,13.8,14.2258,-3.1008,-9.0909,-6.367,2.73,-7.0996,-6.8901,-17.2185
20251104,12.5,12.5,11.9,12.3,800689.0,12.85,13.359,13.375,13.7742,14.2012,-1.6,-8.8889,-7.5188,3.0803,-7.9272,-8.0374,-18.543
20251105,12.1,12.25,11.9,12.0,452296.0,12.58,13.2457,13.305,13.7425,14.1788,-2.439,-10.1124,-10.4478,1.6547,-9.4049,-9.8083,-20.5298
20251106,12.0,12.4,12.0,12.3,281564.0,12.4,13.1669,13.24,13.72,14.1579,2.5,-6.8182,-9.5588,0.9996,-6.5842,-7.0997,-18.543
20251107,12.45,12.6,12.25,12.45,246299.0,12.31,13.1072,13.1875,13.6983,14.1367,1.2195,-3.4884,-7.7778,0.8649,-5.0139,-5.5924,-17.5497
20251110,12.4,12.4,12.2,12.25,141263.0,12.26,13.0358,13.1275,13.6717,14.1129,-1.6064,-2.0,-8.9219,0.5057,-6.0277,-6.6844,-18.8742
20251111,12.2,12.3,12.15,12.2,219682.0,12.24,12.9661,13.0675,13.6408,14.0854,-0.4082,-0.813,-8.9552,0.7652,-5.9085,-6.6386,-19.2053
20251112,12.3,12.45,12.2,12.35,307684.0,12.31,12.9148,13.0075,13.6142,14.0583,1.2295,2.9167,-8.8561,1.0411,-4.373,-5.0548,-18.2119
20251113,12.35,12.45,12.2,12.4,204746.0,12.33,12.8719,12.9575,13.5883,14.0321,0.4049,0.813,-7.4627,0.6866,-3.6659,-4.3025,-17.8808
20251114,12.5,13.6,12.5,13.6,1598279.0,12.56,12.9325,12.97,13.5892,14.0175,9.6774,9.2369,1.8727,4.3375,5.161,4.8574,-9.9338
