date,open,high,low,close,volume,ma5,ma20,ma60,ma120,ema23,return_1d,return_5d,return_20d,volume_ratio,distance_to_ma20_pct,distance_to_high_60_pct
20260511,22.5,22.85,22.1,22.3,2408134,,,,,,,,,,,
20260512,22.5,22.7,21.25,21.25,1588873,,,,,,-4.7085,,,,,
20260513,21.5,22.4,19.9,20.25,1116895,,,,,,-4.7059,,,,,
20260514,20.5,20.5,19.1,19.8,901898,,,,,,-2.2222,,,,,
20260515,19.8,19.8,18.2,18.65,1007495,20.45,20.45,20.45,20.45,21.5939,-5.8081,,,0.7173,-8.802,-18.3807
20260518,18.65,19.85,18.05,19.4,516024,19.87,20.275,20.275,20.275,21.4111,4.0214,-13.0045,,0.4107,-4.3157,-15.0985
20260519,19.2,19.2,18.55,18.6,302130,19.34,20.0357,20.0357,20.0357,21.1768,-4.1237,-12.4706,,0.2697,-7.1658,-18.5996
20260520,18.6,19.1,18.35,18.8,196803,19.05,19.8812,19.8812,19.8812,20.9788,1.0753,-7.1605,,0.1959,-5.4385,-17.7243
20260521,19.1,19.1,18.4,18.7,347139,18.83,19.75,19.75,19.75,20.7889,-0.5319,-5.5556,,0.3726,-5.3165,-18.1619
20260522,18.75,19.0,18.5,18.85,363104,18.87,19.66,19.66,19.66,20.6273,0.8021,1.0724,,0.415,-4.12,-17.5055
20260523,18.75,19.0,18.5,18.85,363104,18.76,19.5864,19.5864,19.5864,20.4792,0.0,-2.8351,,0.4384,-3.7596,-17.5055
20260524,18.75,19.0,18.5,18.85,363104,18.81,19.525,19.525,19.525,20.3434,0.0,1.3441,,0.4599,-3.4571,-17.5055
20260525,18.85,18.85,17.5,17.9,745993,18.63,19.4,19.4,19.4,20.1398,-5.0398,-4.7872,,0.9489,-7.732,-21.663
20260526,18.75,19.0,18.5,18.85,363104,18.66,19.3607,19.3607,19.3607,20.0323,5.3073,0.8021,,0.4803,-2.6379,-17.5055
