date,open,high,low,close,volume,ma5,ema23,ma20,ma60,ma120,return_1d,return_5d,return_20d,volume_ratio,distance_to_ema23_pct,distance_to_ma20_pct,distance_to_high_60_pct
20251003,14.6,14.8,14.35,14.65,56273205.0,14.57,13.9553,14.0125,12.7,12.8054,0.3425,-1.0135,4.2705,0.6539,4.9777,4.5495,-6.0897
20251007,14.75,15.1,14.65,15.1,88551588.0,14.71,14.0507,14.075,12.7567,12.8246,3.0717,4.8611,9.0253,1.0156,7.4677,7.2824,-3.2051
20251008,15.05,15.25,14.95,15.25,72753773.0,14.88,14.1507,14.15,12.8192,12.8521,0.9934,5.9028,10.9091,0.8475,7.7687,7.7739,-2.2436
20251009,15.45,15.8,15.3,15.5,127333765.0,15.02,14.2631,14.25,12.8833,12.8721,1.6393,4.7297,14.8148,1.44,8.6719,8.7719,-1.8987
20251013,15.0,15.3,14.8,15.25,81589583.0,15.15,14.3454,14.3375,12.9475,12.8854,-1.6129,4.4521,12.963,0.9015,6.3062,6.3644,-3.481
20251014,15.45,15.6,14.65,14.7,120650787.0,15.16,14.3749,14.3975,13.0017,12.8908,-3.6066,0.3413,8.8889,1.2734,2.2615,2.1011,-6.962
20251016,14.75,14.8,14.4,14.55,55496907.0,15.05,14.3895,14.4375,13.055,12.8992,-1.0204,-3.6424,5.8182,0.578,1.1154,0.7792,-7.9114
20251020,14.6,14.6,14.2,14.35,51907743.0,14.87,14.3862,14.4775,13.1075,12.905,-1.3746,-5.9016,5.9041,0.5389,-0.2517,-0.8807,-9.1772
20251021,14.3,14.3,13.8,13.8,128233612.0,14.53,14.3374,14.505,13.1508,12.9021,-3.8328,-10.9677,4.1509,1.2833,-3.748,-4.8604,-12.6582
20251022,13.85,14.1,13.85,14.05,42060944.0,14.29,14.3134,14.5175,13.1958,12.8988,1.8116,-7.8689,1.8116,0.434,-1.8403,-3.2203,-11.0759
20251023,14.0,14.1,13.8,13.9,32133417.0,14.13,14.279,14.5225,13.24,12.8942,-1.0676,-5.4422,0.7246,0.3363,-2.654,-4.2865,-12.0253
20251027,14.15,14.25,13.9,14.0,47438533.0,14.02,14.2557,14.525,13.2867,12.8908,0.7194,-3.7801,0.3584,0.5007,-1.7938,-3.6145,-11.3924
20251028,14.0,14.05,13.75,13.75,41681997.0,13.9,14.2136,14.51,13.3325,12.8871,-1.7857,-4.1812,-2.1352,0.4462,-3.2615,-5.2378,-12.9747
20251029,13.8,14.0,13.75,13.75,43617867.0,13.89,14.1749,14.49,13.3708,12.8837,0.0,-0.3623,-2.8269,0.4745,-2.9978,-5.107,-12.9747
20251030,13.85,14.0,13.55,13.65,39075283.0,13.81,14.1312,14.4625,13.4067,12.8808,-0.7273,-2.847,-3.8732,0.4274,-3.4052,-5.618,-13.6076
20251031,13.7,13.75,13.3,13.3,50035609.0,13.69,14.0619,14.3875,13.435,12.8762,-2.5641,-4.3165,-10.1351,0.6691,-5.4184,-7.5586,-15.8228
20251103,13.4,13.9,13.4,13.5,51207414.0,13.59,14.0151,14.3425,13.465,12.8746,1.5038,-3.5714,-6.25,0.7206,-3.6753,-5.8742,-14.557
20251104,13.6,13.85,13.45,13.45,41574758.0,13.53,13.968,14.295,13.4942,12.87,-0.3704,-2.1818,-6.5972,0.5974,-3.7085,-5.9112,-14.8734
20251105,13.4,13.75,13.15,13.75,55373603.0,13.53,13.9498,14.2425,13.525,12.8683,2.2305,0.0,-7.0946,0.8345,-1.4326,-3.458,-12.9747
20251106,13.75,13.95,13.6,13.95,39251291.0,13.59,13.9499,14.21,13.565,12.8679,1.4545,2.1978,-4.4521,0.62,0.001,-1.8297,-11.7089
20251107,13.9,14.05,13.8,13.85,36116584.0,13.7,13.9415,14.17,13.6075,12.8658,-0.7168,4.1353,-5.4608,0.5797,-0.6566,-2.2583,-12.3418
20251110,13.85,13.85,13.3,13.35,53103727.0,13.67,13.8922,14.0825,13.6392,12.86,-3.6101,-1.1111,-11.5894,0.8773,-3.9032,-5.2015,-15.5063
20251111,13.35,13.4,12.9,12.9,64029018.0,13.56,13.8096,13.965,13.66,12.8512,-3.3708,-4.0892,-15.4098,1.0655,-6.5864,-7.6262,-18.3544
20251112,13.0,13.25,12.95,13.25,31756159.0,13.46,13.7629,13.8525,13.6825,12.8442,2.7132,-3.6364,-14.5161,0.5741,-3.7269,-4.3494,-16.1392
20251113,13.25,13.35,13.1,13.3,31863479.0,13.33,13.7243,13.755,13.7083,12.8375,0.3774,-4.6595,-12.7869,0.6031,-3.0919,-3.3079,-15.8228
20251114,13.2,13.3,12.9,12.95,32117556.0,13.15,13.6598,13.6675,13.7283,12.8279,-2.6316,-6.4982,-11.9048,0.6635,-5.1964,-5.2497,-18.038
20251117,13.0,13.1,12.85,12.95,34139826.0,13.07,13.6007,13.5875,13.7425,12.8192,0.0,-2.9963,-10.9966,0.7212,-4.7841,-4.6918,-18.038
20251118,12.8,12.8,12.35,12.35,56074434.0,12.96,13.4964,13.4875,13.745,12.805,-4.6332,-4.2636,-13.9373,1.1794,-8.4944,-8.4337,-21.8354
20251119,12.45,12.6,12.3,12.35,32768364.0,12.78,13.4009,13.415,13.7458,12.7921,0.0,-6.7925,-10.5072,0.7661,-7.8421,-7.9389,-21.8354
20251120,12.5,12.55,12.3,12.45,32678531.0,12.61,13.3217,13.335,13.7483,12.7792,0.8097,-6.391,-11.3879,0.7725,-6.5432,-6.6367,-21.2025
20251121,12.2,12.55,12.1,12.1,43109406.0,12.44,13.2199,13.245,13.7433,12.7704,-2.8112,-6.5637,-12.9496,1.006,-8.471,-8.6448,-23.4177
20251124,12.2,12.35,12.1,12.3,53313146.0,12.31,13.1432,13.16,13.7367,12.7646,1.6529,-5.0193,-12.1429,1.2357,-6.4155,-6.535,-22.1519
20251125,12.3,12.5,12.25,12.4,24020272.0,12.32,13.0813,13.0925,13.73,12.7617,0.813,0.4049,-9.8182,0.5684,-5.208,-5.2893,-21.519
