# PRICE_WINDOW_155

columns=date,open,high,low,close,volume,ma5,ema23,ma20,ma60,ma120,return_1d,return_5d,return_20d,volume_ratio,distance_to_ema23_pct,distance_to_ma20_pct,distance_to_high_60_pct

PRICE_WINDOW_180_ROW_001=20250407,11.0,11.65,11.0,11.15,379613.0,,,,,,,,,,,,

PRICE_WINDOW_180_ROW_002=20251103,11.0,11.05,10.9,10.9,138000.0,,,,,,-2.2422,,,,,,

PRICE_WINDOW_180_ROW_003=20251104,10.9,10.95,10.7,10.7,297000.0,,,,,,-1.8349,,,,,,

PRICE_WINDOW_180_ROW_004=20251105,10.65,10.7,10.4,10.65,150000.0,,,,,,-0.4673,,,,,,

PRICE_WINDOW_180_ROW_005=20251106,10.65,10.7,10.6,10.7,119000.0,10.82,11.0267,10.82,10.82,10.82,0.4695,,,0.5491,-2.9632,-1.1091,-8.1545

PRICE_WINDOW_180_ROW_006=20251107,10.65,10.7,10.6,10.65,129000.0,10.72,10.9954,10.7917,10.7917,10.7917,-0.4673,-4.4843,,0.6383,-3.1409,-1.3127,-8.5837

PRICE_WINDOW_180_ROW_007=20251110,10.65,10.65,10.4,10.5,132000.0,10.64,10.9541,10.75,10.75,10.75,-1.4085,-3.6697,,0.6872,-4.1452,-2.3256,-9.8712

PRICE_WINDOW_180_ROW_008=20251111,10.4,10.4,10.25,10.3,320000.0,10.56,10.8996,10.6938,10.6938,10.6938,-1.9048,-3.7383,,1.5379,-5.5008,-3.6821,-11.588

PRICE_WINDOW_180_ROW_009=20251112,10.4,10.45,10.3,10.4,117000.0,10.51,10.8579,10.6611,10.6611,10.6611,0.9709,-2.3474,,0.591,-4.2175,-2.4492,-10.7296

PRICE_WINDOW_180_ROW_010=20251113,10.4,10.45,10.35,10.45,132000.0,10.46,10.8239,10.64,10.64,10.64,0.4808,-2.3364,,0.6898,-3.4548,-1.7857,-10.3004

PRICE_WINDOW_180_ROW_011=20251114,10.45,10.45,10.3,10.3,93000.0,10.39,10.7803,10.6091,10.6091,10.6091,-1.4354,-3.2864,,0.5098,-4.4552,-2.9135,-11.588

PRICE_WINDOW_180_ROW_012=20251117,10.3,10.35,10.25,10.3,184000.0,10.35,10.7403,10.5833,10.5833,10.5833,0.0,-1.9048,,1.0079,-4.0991,-2.6772,-11.588

PRICE_WINDOW_180_ROW_013=20251118,10.2,10.3,10.05,10.25,152000.0,10.34,10.6994,10.5577,10.5577,10.5577,-0.4854,-0.4854,,0.8435,-4.2003,-2.9144,-12.0172

PRICE_WINDOW_180_ROW_014=20251119,10.0,10.25,9.98,10.1,249000.0,10.28,10.6495,10.525,10.525,10.525,-1.4634,-2.8846,,1.3451,-5.1594,-4.038,-13.3047

PRICE_WINDOW_180_ROW_015=20251120,10.1,10.25,10.05,10.05,93000.0,10.2,10.5995,10.4933,10.4933,10.4933,-0.495,-3.8278,,0.5196,-5.1842,-4.2249,-13.7339

PRICE_WINDOW_180_ROW_016=20251121,10.0,10.1,9.96,9.99,105000.0,10.138,10.5487,10.4619,10.4619,10.4619,-0.597,-3.0097,,0.6022,-5.2964,-4.5104,-14.2489

