as_of_date,over_400_ratio,over_400_change_1w,over_400_change_2w,over_400_change_3w,over_600_ratio,over_600_change_1w,over_600_change_2w,over_600_change_3w,over_800_ratio,over_800_change_1w,over_800_change_2w,over_800_change_3w,over_1000_ratio,over_1000_change_1w,over_1000_change_2w,over_1000_change_3w,tdcc_consecutive_up_weeks,all_thresholds_up,high_thresholds_up,four_thresholds_sync_up,retail_ratio,total_shareholders,source_tdcc_dataset_id,tdcc_continuity_status,tdcc_missing_official_dates
20260605,57.06,0.0,0.0,0.0,54.78,0.0,0.0,0.0,53.64,0.0,0.0,0.0,52.24,0.0,0.0,0.0,0,False,False,False,,,tdcc-20260821-d1df4c843f691346,complete,
20260612,57.06,0.0,0.0,0.0,54.78,0.0,0.0,0.0,53.64,0.0,0.0,0.0,52.24,0.0,0.0,0.0,0,False,False,False,,,tdcc-20260821-d1df4c843f691346,complete,
20260618,57.06,0.0,0.0,0.0,54.78,0.0,0.0,0.0,53.64,0.0,0.0,0.0,52.24,0.0,0.0,0.0,0,False,False,False,,,tdcc-20260821-d1df4c843f691346,complete,
20260626,57.06,0.0,0.0,0.0,54.78,0.0,0.0,0.0,53.64,0.0,0.0,0.0,52.24,0.0,0.0,0.0,0,False,False,False,,,tdcc-20260821-d1df4c843f691346,complete,
20260703,57.06,0.0,0.0,0.0,54.78,0.0,0.0,0.0,53.64,0.0,0.0,0.0,52.24,0.0,0.0,0.0,0,False,False,False,,,tdcc-20260821-d1df4c843f691346,complete,
20260709,57.06,0.0,0.0,0.0,54.78,0.0,0.0,0.0,53.64,0.0,0.0,0.0,52.24,0.0,0.0,0.0,0,False,False,False,,,tdcc-20260821-d1df4c843f691346,complete,
20260717,57.06,0.0,0.0,0.0,54.78,0.0,0.0,0.0,53.64,0.0,0.0,0.0,52.24,0.0,0.0,0.0,0,False,False,False,,,tdcc-20260821-d1df4c843f691346,complete,
20260724,57.06,0.0,0.0,0.0,54.78,0.0,0.0,0.0,53.64,0.0,0.0,0.0,52.24,0.0,0.0,0.0,0,False,False,False,,,tdcc-20260821-d1df4c843f691346,complete,
20260731,57.06,0.0,0.0,0.0,54.78,0.0,0.0,0.0,53.64,0.0,0.0,0.0,52.24,0.0,0.0,0.0,0,False,False,False,,,tdcc-20260821-d1df4c843f691346,complete,
20260807,57.09,0.030000000000001137,0.030000000000001137,0.030000000000001137,54.78,0.0,0.0,0.0,53.64,0.0,0.0,0.0,52.24,0.0,0.0,0.0,1,False,False,False,,,tdcc-20260821-d1df4c843f691346,complete,
20260814,57.09,0.0,0.030000000000001137,0.030000000000001137,54.78,0.0,0.0,0.0,53.64,0.0,0.0,0.0,52.24,0.0,0.0,0.0,0,False,False,False,,,tdcc-20260821-d1df4c843f691346,complete,
20260821,57.09,0.0,0.0,0.030000000000001137,54.78,0.0,0.0,0.0,53.64,0.0,0.0,0.0,52.24,0.0,0.0,0.0,0,False,False,False,,,tdcc-20260821-d1df4c843f691346,complete,
