as_of_date,over_400_ratio,over_400_change_1w,over_600_ratio,over_600_change_1w,over_800_ratio,over_800_change_1w,over_1000_ratio,over_1000_change_1w,tdcc_consecutive_up_weeks,all_thresholds_up,high_thresholds_up,four_thresholds_sync_up,retail_ratio,total_shareholders
20260430,46.74,,37.62,,34.43,,29.06,,0,False,False,False,,
20260508,46.54,-0.20000000000000284,36.62,-1.0,34.4,-0.030000000000001137,29.03,-0.029999999999997584,0,False,False,False,,
20260515,47.11,0.5700000000000003,36.61,-0.00999999999999801,34.39,-0.00999999999999801,29.02,-0.010000000000001563,1,False,False,False,,
20260522,47.16,0.04999999999999716,36.6,-0.00999999999999801,34.38,-0.00999999999999801,29.01,-0.00999999999999801,2,False,False,False,,
20260529,47.15,-0.00999999999999801,36.56,-0.03999999999999915,34.34,-0.03999999999999915,28.97,-0.0400000000000027,0,False,False,False,,
20260605,47.68,0.5300000000000011,36.56,0.0,34.34,0.0,28.97,0.0,1,False,False,False,,
20260612,47.92,0.240000000000002,36.57,0.00999999999999801,34.35,0.00999999999999801,28.98,0.010000000000001563,2,True,True,True,,
20260618,47.78,-0.14000000000000057,36.57,0.0,34.35,0.0,28.98,0.0,0,False,False,False,,
20260626,48.01,0.22999999999999687,37.54,0.9699999999999989,34.35,0.0,28.98,0.0,1,False,False,False,,
20260703,47.29,-0.7199999999999989,36.58,-0.9600000000000009,34.36,0.00999999999999801,28.99,0.00999999999999801,2,False,True,False,,
