# TDCC_WINDOW

columns=as_of_date,over_400_ratio,over_400_change_1w,over_600_ratio,over_600_change_1w,over_800_ratio,over_800_change_1w,over_1000_ratio,over_1000_change_1w,tdcc_consecutive_up_weeks,all_thresholds_up,high_thresholds_up,four_thresholds_sync_up,retail_ratio,total_shareholders

TDCC_WINDOW_ROW_001=20260430,78.67,,73.46,,70.68,,67.55,,0,False,False,False,,

TDCC_WINDOW_ROW_002=20260508,78.65,-0.01999999999999602,73.44,-0.01999999999999602,70.66,-0.020000000000010232,67.53,-0.01999999999999602,0,False,False,False,,

TDCC_WINDOW_ROW_003=20260515,78.66,0.009999999999990905,73.45,0.010000000000005116,70.67,0.010000000000005116,67.54,0.010000000000005116,1,True,True,True,,

TDCC_WINDOW_ROW_004=20260522,78.65,-0.009999999999990905,73.44,-0.010000000000005116,70.66,-0.010000000000005116,67.53,-0.010000000000005116,0,False,False,False,,

TDCC_WINDOW_ROW_005=20260529,78.64,-0.010000000000005116,73.43,-0.009999999999990905,70.65,-0.009999999999990905,67.52,-0.010000000000005116,0,False,False,False,,

TDCC_WINDOW_ROW_006=20260605,78.59,-0.04999999999999716,73.38,-0.05000000000001137,70.6,-0.05000000000001137,67.47,-0.04999999999999716,0,False,False,False,,

TDCC_WINDOW_ROW_007=20260612,78.6,0.009999999999990905,73.39,0.010000000000005116,70.61,0.010000000000005116,67.48,0.010000000000005116,1,True,True,True,,

TDCC_WINDOW_ROW_008=20260618,78.59,-0.009999999999990905,73.38,-0.010000000000005116,70.6,-0.010000000000005116,67.47,-0.010000000000005116,0,False,False,False,,

TDCC_WINDOW_ROW_009=20260626,78.59,0.0,73.38,0.0,70.6,0.0,67.47,0.0,0,False,False,False,,

TDCC_WINDOW_ROW_010=20260703,78.62,0.030000000000001137,73.41,0.030000000000001137,70.63,0.030000000000001137,67.5,0.030000000000001137,1,True,True,True,,
