# TDCC_WINDOW

columns=as_of_date,over_400_ratio,over_400_change_1w,over_400_change_2w,over_400_change_3w,over_600_ratio,over_600_change_1w,over_600_change_2w,over_600_change_3w,over_800_ratio,over_800_change_1w,over_800_change_2w,over_800_change_3w,over_1000_ratio,over_1000_change_1w,over_1000_change_2w,over_1000_change_3w,tdcc_consecutive_up_weeks,all_thresholds_up,high_thresholds_up,four_thresholds_sync_up,retail_ratio,total_shareholders,source_tdcc_dataset_id,tdcc_continuity_status,tdcc_missing_official_dates

TDCC_WINDOW_ROW_001=20260618,42.14,0.9699999999999989,2.039999999999999,2.3900000000000006,35.39,0.13000000000000256,1.259999999999998,1.5200000000000031,32.94,0.0,-0.03999999999999915,0.14000000000000057,28.31,-0.019999999999999574,-0.019999999999999574,0.11999999999999744,4,False,False,False,,,tdcc-20260904-ef2f08472cf64a89,complete,

TDCC_WINDOW_ROW_002=20260626,42.34,0.20000000000000284,1.1700000000000017,2.240000000000002,35.4,0.00999999999999801,0.14000000000000057,1.269999999999996,32.93,-0.00999999999999801,-0.00999999999999801,-0.04999999999999716,28.28,-0.029999999999997584,-0.04999999999999716,-0.04999999999999716,5,False,False,False,,,tdcc-20260904-ef2f08472cf64a89,complete,

TDCC_WINDOW_ROW_003=20260703,42.86,0.519999999999996,0.7199999999999989,1.6899999999999977,35.37,-0.030000000000001137,-0.020000000000003126,0.10999999999999943,32.9,-0.030000000000001137,-0.03999999999999915,-0.03999999999999915,28.34,0.05999999999999872,0.030000000000001137,0.010000000000001563,6,False,True,False,,,tdcc-20260904-ef2f08472cf64a89,complete,

TDCC_WINDOW_ROW_004=20260709,41.39,-1.4699999999999989,-0.9500000000000028,-0.75,34.82,-0.5499999999999972,-0.5799999999999983,-0.5700000000000003,32.52,-0.37999999999999545,-0.4099999999999966,-0.4199999999999946,28.0,-0.33999999999999986,-0.28000000000000114,-0.3099999999999987,0,False,False,False,,,tdcc-20260904-ef2f08472cf64a89,complete,

TDCC_WINDOW_ROW_005=20260717,40.83,-0.5600000000000023,-2.030000000000001,-1.5100000000000051,35.1,0.28000000000000114,-0.269999999999996,-0.29999999999999716,33.97,1.4499999999999957,1.0700000000000003,1.0399999999999991,28.04,0.03999999999999915,-0.3000000000000007,-0.240000000000002,1,False,True,False,,,tdcc-20260904-ef2f08472cf64a89,complete,

TDCC_WINDOW_ROW_006=20260724,39.17,-1.6599999999999966,-2.219999999999999,-3.6899999999999977,35.73,0.6299999999999955,0.9099999999999966,0.35999999999999943,32.23,-1.740000000000002,-0.29000000000000625,-0.6700000000000017,27.77,-0.2699999999999996,-0.23000000000000043,-0.5700000000000003,2,False,False,False,,,tdcc-20260904-ef2f08472cf64a89,complete,

TDCC_WINDOW_ROW_007=20260731,38.87,-0.30000000000000426,-1.9600000000000009,-2.520000000000003,33.16,-2.5700000000000003,-1.9400000000000048,-1.6600000000000037,30.73,-1.4999999999999964,-3.2399999999999984,-1.7900000000000027,27.79,0.019999999999999574,-0.25,-0.21000000000000085,3,False,True,False,,,tdcc-20260904-ef2f08472cf64a89,complete,

TDCC_WINDOW_ROW_008=20260807,39.16,0.28999999999999915,-0.010000000000005116,-1.6700000000000017,33.32,0.1600000000000037,-2.4099999999999966,-1.7800000000000011,30.92,0.19000000000000128,-1.3099999999999952,-3.049999999999997,27.98,0.19000000000000128,0.21000000000000085,-0.05999999999999872,4,True,True,True,,,tdcc-20260904-ef2f08472cf64a89,complete,

TDCC_WINDOW_ROW_009=20260814,39.17,0.010000000000005116,0.30000000000000426,0.0,33.31,-0.00999999999999801,0.15000000000000568,-2.4199999999999946,30.93,0.00999999999999801,0.1999999999999993,-1.2999999999999972,27.99,0.00999999999999801,0.1999999999999993,0.21999999999999886,5,False,True,False,,,tdcc-20260904-ef2f08472cf64a89,complete,

TDCC_WINDOW_ROW_010=20260821,39.44,0.269999999999996,0.28000000000000114,0.5700000000000003,33.4,0.0899999999999963,0.0799999999999983,0.240000000000002,31.0,0.07000000000000028,0.0799999999999983,0.2699999999999996,28.06,0.07000000000000028,0.0799999999999983,0.2699999999999996,6,True,True,True,,,tdcc-20260904-ef2f08472cf64a89,complete,

TDCC_WINDOW_ROW_011=20260828,39.43,-0.00999999999999801,0.259999999999998,0.2700000000000031,33.43,0.030000000000001137,0.11999999999999744,0.10999999999999943,31.02,0.019999999999999574,0.08999999999999986,0.09999999999999787,28.08,0.019999999999999574,0.08999999999999986,0.09999999999999787,7,False,True,False,,,tdcc-20260904-ef2f08472cf64a89,complete,

TDCC_WINDOW_ROW_012=20260904,39.49,0.060000000000002274,0.05000000000000426,0.3200000000000003,33.46,0.030000000000001137,0.060000000000002274,0.14999999999999858,31.03,0.010000000000001563,0.030000000000001137,0.10000000000000142,28.09,0.010000000000001563,0.030000000000001137,0.10000000000000142,8,True,True,True,,,tdcc-20260904-ef2f08472cf64a89,complete,
