as_of_date,over_400_ratio,over_400_change_1w,over_600_ratio,over_600_change_1w,over_800_ratio,over_800_change_1w,over_1000_ratio,over_1000_change_1w,tdcc_consecutive_up_weeks,all_thresholds_up,high_thresholds_up,four_thresholds_sync_up,retail_ratio,total_shareholders
20260327,52.15,-1.5900000000000034,50.72,-1.5399999999999991,49.38,-1.769999999999996,48.77,-1.769999999999996,0,False,False,False,,
20260402,51.2,-0.9499999999999957,49.53,-1.1899999999999977,48.47,-0.9100000000000037,47.72,-1.0500000000000043,0,False,False,False,,
20260410,50.34,-0.8599999999999994,48.85,-0.6799999999999997,47.97,-0.5,47.37,-0.3500000000000014,0,False,False,False,,
20260417,50.41,0.06999999999999318,49.02,0.1700000000000017,47.92,-0.04999999999999716,47.48,0.10999999999999943,1,False,True,False,,
20260424,50.25,-0.1599999999999966,48.96,-0.060000000000002274,47.97,0.04999999999999716,47.35,-0.12999999999999545,2,False,True,False,,
20260430,50.69,0.4399999999999977,49.42,0.46000000000000085,48.08,0.10999999999999943,47.76,0.4099999999999966,3,True,True,True,,
20260508,50.65,-0.03999999999999915,49.08,-0.3400000000000034,48.14,0.060000000000002274,47.82,0.060000000000002274,4,False,True,False,,
20260515,50.91,0.259999999999998,49.42,0.3400000000000034,48.35,0.21000000000000085,47.89,0.07000000000000028,5,True,True,True,,
20260522,51.34,0.4300000000000068,49.62,0.19999999999999574,48.58,0.22999999999999687,48.26,0.36999999999999744,6,True,True,True,,
20260529,51.39,0.04999999999999716,49.79,0.1700000000000017,48.62,0.03999999999999915,48.3,0.03999999999999915,7,True,True,True,,
20260605,51.58,0.18999999999999773,49.96,0.1700000000000017,48.89,0.2700000000000031,48.12,-0.17999999999999972,8,False,True,False,,
20260612,51.82,0.240000000000002,49.77,-0.18999999999999773,49.05,0.1599999999999966,48.28,0.1600000000000037,9,False,True,False,,
