date,category,category_cn,breakout_type,ticker,stock_id,name,stock_name,market,industry,score,judge,rebound_judge,revenue_period,revenue_yoy_pct,cumulative_yoy_pct,close,open,high,low,volume,volume_lots,volume_ratio,ma20,ma60,ema23,gap_ma20_pct,gap_ma60_pct,gap_ema23_pct,return_5d_pct,return_10d_pct,return_20d_pct,return_60d_pct,return_120d_pct,previous_20d_high,previous_20d_low,previous_40d_high,previous_40d_low,previous_60d_high,previous_60d_low,distance_to_previous_40d_high_pct,distance_to_previous_60d_high_pct,consolidation_range_pct,breakout_pct,limit_up_breakout,abnormal_volume_up,w_bottom_flag,w_bottom_right_side_flag,platform_base_flag,platform_right_side_flag,pullback_entry_zone_flag,pullback_right_side_flag,ma20_reclaim_setup_flag,early_attack_volume_flag,early_entry_watch_flag,right_side_follow_through_flag,rebound_from_5d_low_pct,neckline_price,neckline_source,neckline_distance_pct,neckline_challenge_flag,neckline_breakout_flag,platform_breakout_flag,volume_confirmed_breakout,breakout_close_near_high_flag,false_breakout_risk,pattern_stage,platform_high,platform_low,platform_width_pct,short_platform_high,short_platform_low,short_platform_width_pct,higher_lows_flag,ma5_turning_up_flag,ma10_turning_up_flag,available_days,price_data_warning,tdcc_date,holder_400_pct,holder_400_change,holder_1000_pct,holder_1000_change,tdcc_judgement,tdcc_weeks_used,tdcc_400_change_sum,tdcc_1000_change_sum,tdcc_400_up_weeks,tdcc_1000_up_weeks,tdcc_accumulation_signal,tdcc_accumulation_note,note
20260616,pullback_rebound,回檔後短線轉強,pullback_rebound,6239,6239,力成,力成,listed,半導體業,82.0,高優先觀察,初步轉強,11505.0,30.23,34.87,346.5,329.0,357.0,321.0,52667088.0,52667.09,1.69,334.82,254.33,321.15,3.49,36.24,7.89,-2.12,-8.58,47.76,71.96,113.89,387.0,224.5,387.0,201.0,387.0,185.5,-10.47,-10.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,286.0,,20260612,,,,,,,,,,,,,量比1.69x；月營收YoY 30.2%；累計YoY 34.9%
20260616,pullback_rebound,回檔後短線轉強,pullback_rebound,2889,2889,國票金,國票金,listed,金融保險業,70.0,可觀察,初步轉強,11505.0,147.94,140.38,15.1,15.05,15.2,15.0,9157478.0,9157.48,2.03,14.8,14.99,14.87,2.01,0.72,1.54,-0.33,2.72,2.72,-8.76,-6.21,15.2,14.5,15.25,14.35,17.4,14.35,-0.98,-13.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,286.0,,20260612,,,,,,,,,,,,,量比2.03x；月營收YoY 147.9%；累計YoY 140.4%
20260616,pullback_rebound,回檔後短線轉強,pullback_rebound,2820,2820,華票,華票,listed,金融保險業,70.0,可觀察,初步轉強,11505.0,89.4,77.33,17.85,17.8,17.95,17.75,3486173.0,3486.17,1.78,17.06,16.95,17.16,4.65,5.31,4.05,4.08,6.25,5.93,6.57,5.93,17.85,16.65,17.85,16.6,17.85,16.55,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,286.0,,20260612,,,,,,,,,,,,,量比1.78x；月營收YoY 89.4%；累計YoY 77.3%
20260616,pullback_rebound,回檔後短線轉強,pullback_rebound,3003,3003,健和興,健和興,listed,電子零組件業,63.0,初步觀察,強轉強,11505.0,52.8,30.33,67.4,64.2,68.2,63.2,4818449.0,4818.45,2.65,62.84,56.97,62.24,7.26,18.3,8.3,7.84,7.5,14.24,32.94,41.6,68.2,57.7,68.2,52.1,68.2,48.3,-1.17,-1.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,286.0,,20260612,,,,,,,,,,,,,量比2.65x；月營收YoY 52.8%；累計YoY 30.3%
20260616,pullback_rebound,回檔後短線轉強,pullback_rebound,2547,2547,日勝生,日勝生,listed,建材營造,63.0,初步觀察,初步轉強,11505.0,69.9,22.24,11.05,11.0,11.2,11.0,4635238.0,4635.24,1.26,10.24,10.4,10.4,7.92,6.21,6.24,6.76,12.07,10.5,0.91,3.76,11.4,9.81,11.4,9.81,11.4,9.81,-3.07,-3.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,286.0,,20260612,,,,,,,,,,,,,量比1.26x；月營收YoY 69.9%；累計YoY 22.2%
20260616,pullback_rebound,回檔後短線轉強,pullback_rebound,2425,2425,承啟,承啟,listed,電腦及週邊設備業,55.0,初步觀察,強轉強,11505.0,95.17,80.48,39.5,38.8,42.15,38.0,8114548.0,8114.55,4.59,35.83,32.06,35.56,10.24,23.21,11.08,10.49,10.96,20.98,28.87,27.83,40.05,32.3,40.05,28.4,40.05,26.0,-1.37,-1.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,286.0,,20260612,,,,,,,,,,,,,量比4.59x；月營收YoY 95.2%；累計YoY 80.5%
20260616,pullback_rebound,回檔後短線轉強,pullback_rebound,2867,2867,三商壽,三商壽,listed,金融保險業,55.0,初步觀察,初步轉強,11505.0,154.94,414.23,8.53,8.41,8.62,8.39,37912671.0,37912.67,2.38,7.81,7.77,7.92,9.27,9.81,7.75,5.05,13.43,10.78,13.13,9.64,8.48,7.43,8.48,7.43,8.48,7.36,0.59,0.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,285.0,,20260612,,,,,,,,,,,,,量比2.38x；月營收YoY 154.9%；累計YoY 414.2%
20260616,pullback_rebound,回檔後短線轉強,pullback_rebound,2851,2851,中再保,中再保,listed,金融保險業,55.0,初步觀察,強轉強,11505.0,1113.15,203.73,39.75,38.55,40.2,38.5,6064437.0,6064.44,2.35,35.89,32.82,35.71,10.76,21.13,11.32,7.87,13.25,13.9,30.33,52.59,38.25,34.45,38.25,29.7,38.25,29.05,3.92,3.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,286.0,,20260612,,,,,,,,,,,,,量比2.35x；月營收YoY 1113.2%；累計YoY 203.7%
20260616,pullback_rebound,回檔後短線轉強,pullback_rebound,2455,2455,全新,全新,listed,通信網路業,55.0,初步觀察,強轉強,11505.0,46.51,28.52,405.5,387.0,405.5,387.0,17713592.0,17713.59,1.93,404.05,346.58,387.27,0.36,17.0,4.71,0.87,-3.91,1.25,76.3,191.73,460.0,320.0,460.0,302.0,460.0,216.5,-11.85,-11.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,286.0,,20260612,,,,,,,,,,,,,量比1.93x；月營收YoY 46.5%；累計YoY 28.5%
20260616,pullback_rebound,回檔後短線轉強,pullback_rebound,2845,2845,遠東銀,遠東銀,listed,金融保險業,55.0,初步觀察,初步轉強,11505.0,21.68,16.59,12.95,12.9,13.05,12.8,21673681.0,21673.68,1.49,12.24,12.33,12.37,5.8,5.04,4.72,3.19,9.28,8.37,5.28,1.97,13.05,11.85,13.05,11.85,13.05,11.85,-0.77,-0.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,286.0,,20260612,,,,,,,,,,,,,量比1.49x；月營收YoY 21.7%；累計YoY 16.6%
