date,category,category_cn,breakout_type,ticker,stock_id,name,stock_name,market,industry,score,judge,rebound_judge,revenue_period,revenue_yoy_pct,cumulative_yoy_pct,close,open,high,low,volume,volume_lots,volume_ratio,ma20,ma60,ema23,gap_ma20_pct,gap_ma60_pct,gap_ema23_pct,return_5d_pct,return_10d_pct,return_20d_pct,return_60d_pct,return_120d_pct,previous_20d_high,previous_20d_low,previous_40d_high,previous_40d_low,previous_60d_high,previous_60d_low,distance_to_previous_40d_high_pct,distance_to_previous_60d_high_pct,consolidation_range_pct,breakout_pct,limit_up_breakout,abnormal_volume_up,w_bottom_flag,w_bottom_right_side_flag,platform_base_flag,platform_right_side_flag,pullback_entry_zone_flag,pullback_right_side_flag,ma20_reclaim_setup_flag,early_attack_volume_flag,early_entry_watch_flag,right_side_follow_through_flag,rebound_from_5d_low_pct,neckline_price,neckline_source,neckline_distance_pct,neckline_challenge_flag,neckline_breakout_flag,platform_breakout_flag,volume_confirmed_breakout,breakout_close_near_high_flag,false_breakout_risk,pattern_stage,platform_high,platform_low,platform_width_pct,short_platform_high,short_platform_low,short_platform_width_pct,higher_lows_flag,ma5_turning_up_flag,ma10_turning_up_flag,available_days,price_data_warning,tdcc_date,holder_400_pct,holder_400_change,holder_1000_pct,holder_1000_change,tdcc_judgement,tdcc_weeks_used,tdcc_400_change_sum,tdcc_1000_change_sum,tdcc_400_up_weeks,tdcc_1000_up_weeks,tdcc_accumulation_signal,tdcc_accumulation_note,note
20260717,range_rebound,區間內轉強 / 挑戰前高觀察,range_rebound,2884,2884,玉山金,玉山金,TWSE,金融保險業,69.0,初步觀察,,11506,25.304541806522256,24.843966987900554,35.1,34.6,35.5,34.5,97753866.0,97753.87,1.65,34.66,33.07,34.36,1.26,6.13,2.16,1.01,4.15,-1.13,7.83,6.36,36.6,32.8,36.6,30.65,36.6,30.65,-4.1,-4.1,19.41,-4.1,0.0,0.0,False,False,True,True,False,True,False,False,True,False,3.39,35.35,previous_10d_high,-0.71,True,False,False,True,False,False,neckline_challenge,36.6,32.8,11.59,35.35,32.8,7.77,True,True,True,309.0,,20260703,,,,,,,,,,,,,區間內轉強；量比1.65x；月營收YoY 25.3%；累計YoY 24.8%
20260717,range_rebound,區間內轉強 / 挑戰前高觀察,range_rebound,3576,3576,聯合再生,聯合再生,TWSE,光電業,69.0,初步觀察,,11506,-9.505721599527147,-24.089136754954104,17.85,17.65,17.85,16.85,59360600.0,59360.6,3.19,17.15,17.55,17.36,4.08,1.69,2.8,8.84,4.69,-6.79,17.05,57.96,19.35,15.95,21.75,15.45,21.75,14.4,-17.93,-17.93,40.78,-17.93,0.0,0.0,True,False,True,False,False,True,True,False,True,False,8.84,18.25,previous_10d_high,-2.19,True,False,False,True,True,False,neckline_challenge,19.35,15.95,21.32,18.25,15.95,14.42,False,True,True,310.0,,20260703,,,,,,,,,,,,,區間內轉強；量比3.19x；月營收YoY -9.5%；累計YoY -24.1%
20260717,range_rebound,區間內轉強 / 挑戰前高觀察,near_resistance,8039,8039,台虹,台虹,TWSE,電子零組件業,69.0,初步觀察,,11506,-6.568877622365888,2.451166968011726,192.5,194.0,201.0,188.0,57744349.0,57744.35,3.93,155.82,147.59,159.99,23.54,30.43,20.32,25.0,30.07,31.85,40.51,117.51,199.5,135.5,199.5,126.5,199.5,125.5,-3.51,-3.51,57.71,-3.51,0.0,0.0,True,True,False,True,False,False,False,False,False,False,13.91,199.5,previous_60d_high,-3.51,True,False,False,True,False,False,neckline_challenge,199.5,135.5,47.23,199.5,137.5,45.09,True,True,True,310.0,,20260703,,,,,,,,,,,,,挑戰前高；量比3.93x；月營收YoY -6.6%；累計YoY 2.5%
20260717,range_rebound,區間內轉強 / 挑戰前高觀察,range_rebound,2812,2812,台中銀,台中銀,TWSE,金融保險業,69.0,初步觀察,,11506,16.556085324178675,22.613711162073923,20.55,20.25,20.55,20.2,31205183.0,31205.18,2.19,20.21,19.56,20.15,1.67,5.06,1.99,-0.24,1.99,3.53,3.79,-0.72,20.8,19.6,20.8,18.1,20.8,18.1,-1.2,-1.2,14.92,-1.2,0.0,0.0,False,False,True,False,False,True,False,False,True,False,1.73,20.8,previous_60d_high,-1.2,True,False,False,True,True,False,neckline_challenge,20.8,19.6,6.12,20.8,19.8,5.05,True,False,True,310.0,,20260703,,,,,,,,,,,,,區間內轉強；量比2.19x；月營收YoY 16.6%；累計YoY 22.6%
20260717,range_rebound,區間內轉強 / 挑戰前高觀察,range_rebound,2105,2105,正新,正新,TWSE,橡膠工業,69.0,初步觀察,,11506,15.005291377302507,4.918126749980661,33.6,33.25,34.6,33.2,29397587.0,29397.59,1.85,31.32,32.09,32.2,7.26,4.71,4.36,3.7,5.99,13.13,5.99,5.66,33.6,29.05,35.3,29.05,35.3,29.05,-4.82,-4.82,21.51,-4.82,0.0,0.0,True,True,True,True,False,True,False,False,True,False,4.35,33.6,previous_20d_high,0.0,True,False,False,True,False,False,neckline_challenge,33.6,29.05,15.66,33.6,30.0,12.0,True,True,True,310.0,,20260703,,,,,,,,,,,,,區間內轉強；量比1.85x；月營收YoY 15.0%；累計YoY 4.9%
20260717,range_rebound,區間內轉強 / 挑戰前高觀察,range_rebound,9914,9914,美利達,美利達,TWSE,運動休閒,69.0,初步觀察,,11506,-5.509576956847357,-15.285623352920634,84.0,82.2,87.7,82.0,26060205.0,26060.21,7.0,75.75,69.14,75.58,10.88,21.5,11.14,15.38,12.3,15.07,46.85,-8.99,84.2,70.8,84.2,63.8,84.2,55.1,-0.24,-0.24,31.97,-0.24,0.0,0.0,True,True,True,True,False,False,False,False,False,True,15.07,84.2,previous_60d_high,-0.24,True,False,False,True,False,False,neckline_challenge,84.2,70.8,18.93,84.2,72.8,15.66,True,True,True,310.0,,20260703,,,,,,,,,,,,,區間內轉強；量比7.0x；月營收YoY -5.5%；累計YoY -15.3%
20260717,range_rebound,區間內轉強 / 挑戰前高觀察,range_rebound,5876,5876,上海商銀,上海商銀,TWSE,金融保險業,69.0,初步觀察,,11506,-4.387670036604906,-1.5643545596247623,45.2,44.9,45.65,44.75,24572743.0,24572.74,1.76,42.83,41.09,42.95,5.55,9.99,5.24,5.61,8.0,5.61,15.9,14.58,45.35,41.2,45.35,38.65,45.35,38.2,-0.33,-0.33,17.34,-0.33,0.0,0.0,True,False,True,False,False,False,False,False,False,False,4.75,45.35,previous_60d_high,-0.33,True,False,False,True,False,False,neckline_challenge,45.35,41.2,10.07,45.35,41.55,9.15,False,True,True,310.0,,20260703,,,,,,,,,,,,,區間內轉強；量比1.76x；月營收YoY -4.4%；累計YoY -1.6%
20250917,range_rebound,區間內轉強 / 挑戰前高觀察,near_resistance,2809,2809,京城銀,京城銀,listed,,69.0,初步觀察,,,,,56.6,57.2,57.4,56.5,20309872.0,20309.87,6.78,56.16,54.71,56.15,0.79,3.46,0.81,0.18,2.17,0.18,9.06,0.0,57.8,54.8,57.8,53.8,57.8,51.5,-2.08,-2.08,7.43,-2.08,0.0,0.0,False,False,True,False,False,False,False,False,False,False,0.53,57.8,previous_60d_high,-2.08,True,False,False,True,False,False,neckline_challenge,57.8,54.8,5.47,57.8,55.1,4.9,False,True,True,110.0,,,,,,,,,,,,,,,挑戰前高；量比6.78x
20260717,range_rebound,區間內轉強 / 挑戰前高觀察,range_rebound,4541,4541,晟田,晟田,TPEx,其他,69.0,初步觀察,,11506,58.67764649719537,33.28399982415779,72.6,69.1,74.0,67.8,17973000.0,17973.0,1.97,58.58,50.3,59.9,23.93,44.34,21.21,19.02,31.52,42.35,55.96,51.25,76.2,46.75,76.2,43.3,76.2,43.15,-4.72,-4.72,75.98,-4.72,0.0,0.0,True,True,False,True,False,False,False,False,False,False,15.61,76.2,previous_60d_high,-4.72,True,False,False,True,False,False,neckline_challenge,76.2,46.75,62.99,76.2,54.0,41.11,True,True,True,310.0,,20260703,,,,,,,,,,,,,區間內轉強；量比1.97x；月營收YoY 58.7%；累計YoY 33.3%
20260717,range_rebound,區間內轉強 / 挑戰前高觀察,range_rebound,8383,8383,千附,千附,TPEx,半導體業,69.0,初步觀察,,11506,200.06744217625493,54.93184345782547,89.0,87.1,90.5,84.0,15324000.0,15324.0,2.9,68.56,62.67,70.73,29.81,42.0,25.84,27.69,41.49,48.09,38.41,111.15,95.0,59.4,95.0,53.1,95.0,53.0,-6.32,-6.32,78.91,-6.32,0.0,0.0,True,True,False,True,False,False,False,False,False,False,21.09,95.0,previous_60d_high,-6.32,False,False,False,True,False,False,platform_right_side,95.0,59.4,59.93,95.0,61.0,55.74,True,True,True,310.0,,20260703,,,,,,,,,,,,,區間內轉強；量比2.9x；月營收YoY 200.1%；累計YoY 54.9%
20260717,range_rebound,區間內轉強 / 挑戰前高觀察,range_rebound,9921,9921,巨大,巨大,TWSE,運動休閒,69.0,初步觀察,,11506,15.980391584298689,-10.503624462794267,86.6,85.8,89.4,84.9,13375509.0,13375.51,5.34,77.41,72.93,77.74,11.87,18.75,11.4,19.12,14.7,15.16,31.21,-10.17,88.0,72.7,88.0,66.1,88.0,65.1,-1.59,-1.59,33.13,-1.59,0.0,0.0,True,True,True,True,False,False,False,False,False,True,17.19,88.0,previous_60d_high,-1.59,True,False,False,True,False,False,neckline_challenge,88.0,72.7,21.05,88.0,72.7,21.05,True,True,True,310.0,,20260703,,,,,,,,,,,,,區間內轉強；量比5.34x；月營收YoY 16.0%；累計YoY -10.5%
