segment_type,segment_value,source_artifact,model_id,model_name_zh,sample_size,report_date_min,report_date_max,snapshot_report_count,generated_at,evaluated_d1_count,win_rate_d1,avg_return_d1,median_return_d1,avg_mfe_d1,avg_mae_d1,evaluated_d3_count,win_rate_d3,avg_return_d3,median_return_d3,avg_mfe_d3,avg_mae_d3,evaluated_d5_count,win_rate_d5,avg_return_d5,median_return_d5,avg_mfe_d5,avg_mae_d5,evaluated_d10_count,win_rate_d10,avg_return_d10,median_return_d10,avg_mfe_d10,avg_mae_d10,confidence_status,advisory_only
model_mainstream_segment,hot_theme_pullback|mainstream,model_signals_for_report,hot_theme_pullback,熱門族群回檔模型,453,20260615,20260630,10,2026-06-30 23:09:42 Asia/Taipei,402,44.03%,-0.11%,-0.30%,2.44%,-2.27%,300,32.33%,-1.41%,-2.57%,4.68%,-5.07%,248,35.89%,-1.42%,-2.40%,6.51%,-6.30%,41,41.46%,2.21%,-1.15%,10.01%,-8.15%,ok_first_pass,True
model_mainstream_segment,hot_theme_pullback|non_mainstream,model_signals_for_report,hot_theme_pullback,熱門族群回檔模型,48,20260615,20260630,10,2026-06-30 23:09:42 Asia/Taipei,43,41.86%,-0.46%,-0.93%,2.08%,-2.26%,32,37.50%,-1.15%,-0.80%,4.85%,-5.03%,25,48.00%,-2.13%,-0.70%,6.83%,-6.06%,5,60.00%,5.46%,4.18%,12.59%,-4.91%,small_or_early_snapshot_sample,True
model_mainstream_segment,near_high_neckline_challenge|mainstream,model_signals_for_report,near_high_neckline_challenge,接近前高 / 頸線挑戰模型,2,20260615,20260622,2,2026-06-30 23:09:42 Asia/Taipei,2,0.00%,-4.73%,-4.73%,0.86%,-5.71%,2,50.00%,-2.20%,-2.20%,3.36%,-7.33%,2,50.00%,-3.99%,-3.99%,4.53%,-9.10%,1,0.00%,-0.78%,-0.78%,11.41%,-5.31%,small_or_early_snapshot_sample,True
model_mainstream_segment,near_high_neckline_challenge|non_mainstream,model_signals_for_report,near_high_neckline_challenge,接近前高 / 頸線挑戰模型,11,20260615,20260624,6,2026-06-30 23:09:42 Asia/Taipei,11,45.45%,0.06%,0.00%,1.52%,-1.06%,11,27.27%,-1.51%,-0.73%,1.90%,-2.53%,10,20.00%,-2.17%,-0.73%,2.04%,-3.18%,2,0.00%,-7.17%,-7.17%,3.62%,-9.86%,small_or_early_snapshot_sample,True
model_mainstream_segment,platform_strengthening|mainstream,model_signals_for_report,platform_strengthening,平台整理轉強模型,4,20260617,20260624,3,2026-06-30 23:09:42 Asia/Taipei,4,25.00%,-1.25%,-0.87%,1.04%,-2.22%,4,25.00%,-2.21%,-2.11%,1.24%,-5.53%,2,0.00%,-4.01%,-4.01%,0.53%,-5.39%,0,,,,,,small_or_early_snapshot_sample,True
model_mainstream_segment,platform_strengthening|non_mainstream,model_signals_for_report,platform_strengthening,平台整理轉強模型,5,20260615,20260624,5,2026-06-30 23:09:42 Asia/Taipei,5,80.00%,1.13%,0.93%,2.47%,-0.77%,5,0.00%,-1.76%,-1.38%,3.22%,-2.79%,4,25.00%,-2.33%,-2.10%,3.14%,-3.60%,1,0.00%,-0.71%,-0.71%,5.65%,-1.88%,small_or_early_snapshot_sample,True
model_mainstream_segment,price_pullback_23ema|mainstream,model_signals_for_report,price_pullback_23ema,股價回檔模型,1261,20260615,20260630,10,2026-06-30 23:09:42 Asia/Taipei,1111,42.48%,-0.23%,-0.46%,2.38%,-2.37%,844,29.27%,-1.69%,-2.64%,4.42%,-5.14%,704,30.54%,-2.05%,-2.81%,6.14%,-6.49%,111,44.14%,0.94%,-0.94%,10.15%,-7.65%,ok_first_pass,True
model_mainstream_segment,price_pullback_23ema|non_mainstream,model_signals_for_report,price_pullback_23ema,股價回檔模型,836,20260615,20260630,10,2026-06-30 23:09:42 Asia/Taipei,751,42.61%,-0.10%,-0.15%,1.54%,-1.45%,576,32.12%,-1.04%,-0.96%,2.56%,-3.05%,482,35.06%,-1.23%,-1.22%,3.33%,-3.87%,72,34.72%,-1.11%,-1.41%,4.11%,-5.06%,ok_first_pass,True
model_mainstream_segment,pullback_short_reclaim|mainstream,model_signals_for_report,pullback_short_reclaim,回檔後短線轉強模型,618,20260615,20260630,10,2026-06-30 23:09:42 Asia/Taipei,589,41.43%,-0.25%,-0.47%,2.56%,-2.52%,494,36.84%,-0.47%,-1.77%,5.33%,-4.88%,430,37.91%,-0.57%,-2.10%,7.66%,-5.81%,97,45.36%,1.02%,-0.78%,11.44%,-7.88%,ok_first_pass,True
model_mainstream_segment,pullback_short_reclaim|non_mainstream,model_signals_for_report,pullback_short_reclaim,回檔後短線轉強模型,404,20260615,20260630,10,2026-06-30 23:09:42 Asia/Taipei,367,44.14%,-0.08%,-0.12%,1.71%,-1.68%,287,31.01%,-0.95%,-1.21%,3.00%,-3.37%,242,36.36%,-1.09%,-1.54%,4.02%,-4.22%,31,25.81%,-3.03%,-3.53%,5.06%,-7.36%,ok_first_pass,True
model_mainstream_segment,revenue_unreacted_range|mainstream,model_signals_for_report,revenue_unreacted_range,營收爆發但股價尚未反應模型,874,20260615,20260630,9,2026-06-30 23:09:42 Asia/Taipei,751,45.94%,-0.09%,-0.27%,2.46%,-2.34%,513,34.70%,-1.27%,-2.16%,5.10%,-5.01%,414,42.03%,-0.33%,-1.12%,7.24%,-5.76%,74,36.49%,-0.93%,-1.97%,9.21%,-8.47%,ok_first_pass,True
model_mainstream_segment,revenue_unreacted_range|non_mainstream,model_signals_for_report,revenue_unreacted_range,營收爆發但股價尚未反應模型,465,20260615,20260630,9,2026-06-30 23:09:42 Asia/Taipei,406,47.54%,0.05%,0.00%,1.59%,-1.38%,287,35.89%,-0.70%,-0.84%,2.94%,-2.90%,237,38.82%,-0.98%,-0.72%,3.80%,-3.78%,41,29.27%,-1.35%,-1.33%,5.80%,-5.08%,ok_first_pass,True
model_mainstream_segment,tdcc_short_term_continuation_d5_d10|mainstream,model_signals_for_report,tdcc_short_term_continuation_d5_d10,TDCC短線延續模型 D+5/D+10,186,20260615,20260630,10,2026-06-30 23:09:42 Asia/Taipei,177,41.24%,-0.61%,-0.70%,3.30%,-3.72%,140,30.71%,-2.83%,-3.10%,6.10%,-7.63%,112,35.71%,-3.54%,-4.60%,8.13%,-9.59%,14,50.00%,-1.62%,-0.78%,12.74%,-12.78%,ok_first_pass,True
model_mainstream_segment,tdcc_short_term_continuation_d5_d10|non_mainstream,model_signals_for_report,tdcc_short_term_continuation_d5_d10,TDCC短線延續模型 D+5/D+10,56,20260615,20260630,10,2026-06-30 23:09:42 Asia/Taipei,54,44.44%,-0.51%,-0.44%,2.28%,-2.84%,43,23.26%,-0.73%,-1.30%,4.09%,-4.72%,34,23.53%,-1.57%,-3.74%,4.98%,-6.63%,4,25.00%,-4.87%,-6.04%,5.31%,-8.37%,small_or_early_snapshot_sample,True
