generated_at,model_id,research_artifact_id,anomaly_exclusion_basis,decision_basis,stock_id,stock_name,market,_revenue_signal_date,_revenue_stock_sequence_index,benchmark_index,signal_market_regime,entry_rule_id,exit_rule_id,next_open,realized_return_pct,outcome_label,high_return_8_flag,loss_5_flag,same_stock_non_overlap_included,non_overlap_cooldown_days,revenue_or_price_anomaly_candidate_flag,feature_context_revenue_anomaly_candidate_flag,future_close_max_step_ratio,future_close_max_step_day,future_close_min_step_ratio,future_close_min_step_day,future_close_discontinuity_flag,future_close_discontinuity_reason,full_monthly_revenue_period,full_monthly_revenue_source_table_date,full_monthly_revenue_data_status,full_monthly_revenue_latest_yoy_pct,full_monthly_revenue_cumulative_yoy_pct,full_monthly_revenue_latest_yoy_delta_1m_pct_points,full_monthly_revenue_cumulative_yoy_delta_1m_pct_points,range_width_23d_pct,distance_to_range_high_23d_pct,close_position_120d_pct,return_5d_pct,return_20d_pct,volume_ratio_prev20,rsi14,macd_hist,k_value,d_value,kdj_j_value,bb_width_pct,ema23_slope_5d_pct,distance_to_ema23_pct,ma20,ma60,tdcc_consecutive_up_weeks,feature__revenue_latest30_and_cumulative20,feature__revenue_latest50_and_cumulative30,feature__revenue_latest_yoy_ge100,feature__revenue_latest_yoy_improving_2m,feature__revenue_cumulative_yoy_improving_2m,feature__revenue_latest_yoy_delta_ge20,feature__tdcc_high_thresholds_up,feature__tdcc_all_thresholds_up,feature__tdcc_four_thresholds_sync_up,feature__tdcc_consecutive_up_ge1,feature__tdcc_consecutive_up_ge2,feature__technical_macd_hist_gt0,feature__technical_rsi14_ge60,feature__technical_rsi14_40_70,feature__technical_kd_bullish_not_overheated,feature__technical_kdj_bullish_not_extreme,feature__technical_kdj_j_ge100,feature__technical_bb_width_not_extreme,feature__technical_close_above_ma20_ema23,feature__technical_ema23_slope_positive,feature__technical_obv_above_ma20,feature__technical_ma20_above_ma60,feature__shape_range23_width_le10,feature__shape_range23_width_le15,feature__shape_range23_width_le20,feature__shape_near_range23_high,feature__position120_low_le40,feature__position120_mid_40_75,feature__position120_high_gt75,feature__momentum_return20_0_25,feature__volume_ratio_le1_5,feature__volume_ratio_le2,feature__candle_bullish_attack,feature__candle_solid_red,feature__market_strong_bull,feature__market_mild_bull,feature__market_bull,feature__market_correction_or_high_risk,feature__market_range_bound,feature__market_unknown
2026-07-13 18:41:39 Asia/Taipei,revenue_unreacted_range,revenue_unreacted_range_feature_contrast_audit,excluding_unresolved_anomaly_candidates_sensitivity_only,False,1101,台泥,listed,20250609,20,TWSE,mild_bull,signal_date_close_condition_next_open_entry,d20_close_no_stop,27.2,-8.639705882352933,failure,False,True,True,20,False,False,1.0258964143426295,11,0.9655831739961759,17,False,none,202504,20250517,ready_asof_history_row,9.07,27.71,9.17,-8.439999999999998,18.267419962335207,-13.375796178343947,13.40206185567008,-1.8050541516245522,-10.965630114566293,0.33140173107608145,24.561403508771917,,21.619881820950418,19.60232167737489,25.655002108101485,19.305730444656678,,,29.2375,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,True,False,True,False,False,False,True,True,False,False,False,True,True,False,False,False
2026-07-13 18:41:39 Asia/Taipei,revenue_unreacted_range,revenue_unreacted_range_feature_contrast_audit,excluding_unresolved_anomaly_candidates_sensitivity_only,False,1109,信大,TWSE,20260223,186,TWSE,strong_bull,signal_date_close_condition_next_open_entry,d20_close_no_stop,15.6,-2.2435897435897467,failure,False,False,True,20,False,False,1.009771986970684,8,0.9838709677419354,9,False,none,202601,20260217,ready_asof_history_row,22.72,22.72,18.099999999999998,27.54,1.9607843137254832,0.3205128205128194,38.888888888888914,1.2944983818770295,1.2944983818770295,2.3131003909648493,66.66666666666666,0.016088515357793588,65.9508306066395,51.90185558771026,94.04878064449798,1.8531397590396828,0.00963885915341578,1.2471510032263433,15.4525,15.506666666666666,,False,False,False,True,True,False,False,False,False,False,False,True,True,True,True,True,False,True,True,True,True,False,True,True,True,True,True,False,False,True,False,False,True,True,True,False,True,False,False,False
2026-07-13 18:41:39 Asia/Taipei,revenue_unreacted_range,revenue_unreacted_range_feature_contrast_audit,excluding_unresolved_anomaly_candidates_sensitivity_only,False,1110,東泥,listed,20250609,20,TWSE,mild_bull,signal_date_close_condition_next_open_entry,d20_close_no_stop,20.15,-2.977667493796521,failure,False,False,True,20,False,False,1.0344827586206895,11,0.9721518987341772,8,False,none,202504,20250517,ready_asof_history_row,27.75,28.2,3.4400000000000013,-0.16000000000000014,13.29787234042552,-6.103286384976525,47.99999999999997,0.0,5.263157894736836,0.5605951996455387,54.16666666666667,,32.61728850431565,38.401577225579466,21.048711061788026,9.961962783313695,,,20.1025,,,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,True,True,True,False,False,False,True,True,False,False,False
2026-07-13 18:41:39 Asia/Taipei,revenue_unreacted_range,revenue_unreacted_range_feature_contrast_audit,excluding_unresolved_anomaly_candidates_sensitivity_only,False,1110,東泥,listed,20250709,42,TWSE,mild_bull,signal_date_close_condition_next_open_entry,d20_close_no_stop,18.5,-1.8918918918918948,failure,False,False,True,20,False,False,1.0194986072423398,4,0.9675675675675675,1,False,none,202505,20250617,ready_asof_history_row,27.82,28.12,0.07000000000000028,-0.0799999999999983,9.57446808510638,-9.223300970873794,-4.000000000000057,-6.500000000000005,-7.654320987654328,1.0012962156651202,43.05555555555556,-0.08599086807510703,26.92471736876306,46.00506377043999,-11.235975434590799,8.55634996062468,-0.9291419023686021,-4.438050394823567,19.555,,,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,True,False,True,False,False,False,True,True,False,False,False,True,True,False,False,False
2026-07-13 18:41:39 Asia/Taipei,revenue_unreacted_range,revenue_unreacted_range_feature_contrast_audit,excluding_unresolved_anomaly_candidates_sensitivity_only,False,1110,東泥,listed,20250807,63,TWSE,strong_bull,signal_date_close_condition_next_open_entry,d20_close_no_stop,18.15,-4.683195592286493,failure,False,False,True,20,False,False,1.017241379310345,12,0.9754098360655737,4,False,none,202506,20250717,ready_asof_history_row,15.26,26.02,-12.56,-2.1000000000000014,12.285714285714278,-7.379134860050884,18.421052631578924,1.1111111111111072,1.6759776536312998,0.5156616843742581,57.692307692307665,0.07249711609316023,73.47559395114801,63.540072896512534,93.34663606041896,2.9494549929923197,-0.7496981823527205,-0.5550674595784177,18.075,19.247500000000002,,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,True,False,False,False,False,True,False,False,True,True,False,True,False,False,True,True,True,True,False,True,False,True,False,False,False
2026-07-13 18:41:39 Asia/Taipei,revenue_unreacted_range,revenue_unreacted_range_feature_contrast_audit,excluding_unresolved_anomaly_candidates_sensitivity_only,False,1213,大飲,listed,20250610,20,TWSE,strong_bull,signal_date_close_condition_next_open_entry,d20_close_no_stop,12.9,0.0,neutral,False,False,True,20,False,False,1.0276679841897234,15,0.9730769230769231,12,False,none,202504,20250517,ready_asof_history_row,101.61,99.22,-46.83999999999999,0.8900000000000006,16.532258064516125,-10.726643598615915,24.39024390243904,0.78125,-8.185053380782925,0.7338266565734377,22.64150943396227,,43.62307579730573,43.32878479635066,44.211657799215885,19.518485207755024,,,13.265,,,True,True,True,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,True,True,False,True,False,True,False,False,False
2026-07-13 18:41:39 Asia/Taipei,revenue_unreacted_range,revenue_unreacted_range_feature_contrast_audit,excluding_unresolved_anomaly_candidates_sensitivity_only,False,1213,大飲,listed,20250710,41,TWSE,mild_bull,signal_date_close_condition_next_open_entry,d20_close_no_stop,12.85,-0.38910505836574627,failure,False,False,True,20,False,False,1.0276679841897232,7,0.9656488549618322,6,False,none,202505,20250617,ready_asof_history_row,21.62,78.75,-79.99,-20.47,8.677685950413228,-3.4220532319391705,25.531914893617007,-2.6819923371647625,-1.9305019305019266,0.665503871821486,41.860465116279045,0.02011265451983768,59.86472976080495,68.97307168429238,41.64804591383009,4.981216319425612,-0.3998442450097395,-1.7012194725365415,12.8875,,,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,True,True,True,True,False,False,False,True,True,False,False,False,True,True,False,False,False
2026-07-13 18:41:39 Asia/Taipei,revenue_unreacted_range,revenue_unreacted_range_feature_contrast_audit,excluding_unresolved_anomaly_candidates_sensitivity_only,False,1213,大飲,listed,20250811,62,TWSE,strong_bull,signal_date_close_condition_next_open_entry,d20_close_no_stop,12.6,0.0,neutral,False,False,True,20,False,False,1.024390243902439,20,0.9723320158102767,18,False,none,202506,20250717,ready_asof_history_row,94.64,81.37,73.02,2.6200000000000045,9.016393442622972,-2.6315789473684292,36.17021276595744,1.1718749999999778,0.7782101167315147,0.9191361269326991,48.648648648648624,0.002553771022719996,65.28640745538964,56.79096739355491,82.2772875790591,4.30568702796489,-0.23038951675875552,0.6396760887823483,12.885,12.975833333333334,,True,True,False,False,False,True,False,False,False,False,False,True,False,True,True,True,False,False,True,False,True,False,True,True,True,True,True,False,False,True,True,True,True,True,True,False,True,False,False,False
2026-07-13 18:41:39 Asia/Taipei,revenue_unreacted_range,revenue_unreacted_range_feature_contrast_audit,excluding_unresolved_anomaly_candidates_sensitivity_only,False,1213,大飲,listed,20250922,83,TWSE,strong_bull,signal_date_close_condition_next_open_entry,d20_close_no_stop,12.2,-9.426229508196716,failure,False,True,True,20,False,False,1.0272727272727273,18,0.9691629955947136,17,False,none,202508,20250917,ready_asof_history_row,31.96,59.6,12.920000000000002,-7.539999999999999,16.143497757847513,-6.177606177606165,30.303030303030315,-2.0161290322580627,-3.9525691699604737,1.0050809603573423,45.61403508771929,-0.010801403919566799,64.01460377840381,61.775839175293356,68.49213298462473,6.435796165790168,-0.6076041483026318,-3.0204995046005823,12.4825,12.743333333333334,,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,True,False,False,True,False,False,False,True,False,True,False,False,False,True,True,False,False,True,False,True,False,False,False
2026-07-13 18:41:39 Asia/Taipei,revenue_unreacted_range,revenue_unreacted_range_feature_contrast_audit,excluding_unresolved_anomaly_candidates_sensitivity_only,False,1213,大飲,listed,20251030,104,TWSE,strong_bull,signal_date_close_condition_next_open_entry,d20_close_no_stop,10.8,-5.55555555555557,failure,False,True,True,20,False,False,1.0645161290322582,3,0.948051948051948,4,False,none,202509,20251017,ready_asof_history_row,85.2,62.99,53.24,3.3900000000000006,19.62616822429908,-15.23437500000001,4.00000000000001,-4.405286343612335,-9.958506224066399,1.1297924789668647,20.930232558139565,-0.0814810056749472,15.663422438286634,16.269856440255605,14.450554434348696,15.842722696336237,-2.909858601768589,-7.124267578766608,11.725,12.344166666666668,,True,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,True,True,False,True,False,True,False,False,False
