research_id,artifact_version,source_research_id,source_artifact_version,advisory_status,model_id,source_event_key,stock_id,stock_name,signal_date,confirmation_date,entry_date,exit_date,return_pct,return_outcome,exit_reason,event_sequence_for_stock,all_events_overlap_pair_count_for_stock,first_event_per_stock_included,same_stock_non_overlap_included,same_stock_non_overlap_suppression_reason,suppressed_by_source_event_key,suppressed_by_entry_date,suppressed_by_exit_date,deep_low_120_le40,deep_low_240_le40,range60_le25,range120_le25,limit_up_like,consolidation_type,risk_type,approved_for_daily,production_readiness,generated_at
volume_range_breakout_v2_overlap_sensitivity,volume_range_breakout_v2_overlap_sensitivity_20260708,volume_range_breakout_v2_deep_low_base_matrix,volume_range_breakout_v2_deep_low_base_matrix_20260708,warning_research_variant_only,volume_range_breakout,1256|20250901|20250902|next_day_break_signal_high_confirmed|20250903|20250922|157.5|174.0,1256,鮮活果汁-KY,20250901,20250902,20250903,20250922,10.4762,win,fixed_10d_close,1,1,True,True,,,,,False,False,True,False,True,long_consolidation,high_position_chase,False,not_production_ready_research_only,2026-07-09 07:39:06 Asia/Taipei
volume_range_breakout_v2_overlap_sensitivity,volume_range_breakout_v2_overlap_sensitivity_20260708,volume_range_breakout_v2_deep_low_base_matrix,volume_range_breakout_v2_deep_low_base_matrix_20260708,warning_research_variant_only,volume_range_breakout,1256|20250902|20250903|next_day_break_signal_high_confirmed|20250904|20250923|173.0|171.5,1256,鮮活果汁-KY,20250902,20250903,20250904,20250923,-0.8671,loss,fixed_10d_close,2,1,False,False,same_stock_active_position_overlap,1256|20250901|20250902|next_day_break_signal_high_confirmed|20250903|20250922|157.5|174.0,20250903,20250922,False,False,True,False,True,long_consolidation,high_position_chase,False,not_production_ready_research_only,2026-07-09 07:39:06 Asia/Taipei
volume_range_breakout_v2_overlap_sensitivity,volume_range_breakout_v2_overlap_sensitivity_20260708,volume_range_breakout_v2_deep_low_base_matrix,volume_range_breakout_v2_deep_low_base_matrix_20260708,warning_research_variant_only,volume_range_breakout,1256|20260508|20260511|next_day_break_signal_high_confirmed|20260512|20260525|193.0|184.0,1256,鮮活果汁-KY,20260508,20260511,20260512,20260525,-4.6632,loss,fixed_10d_close,3,1,False,True,,,,,True,False,True,False,False,long_consolidation,normal_risk,False,not_production_ready_research_only,2026-07-09 07:39:06 Asia/Taipei
volume_range_breakout_v2_overlap_sensitivity,volume_range_breakout_v2_overlap_sensitivity_20260708,volume_range_breakout_v2_deep_low_base_matrix,volume_range_breakout_v2_deep_low_base_matrix_20260708,warning_research_variant_only,volume_range_breakout,1294|20260306|20260309|next_day_break_signal_high_confirmed|20260310|20260323|90.5|81.9,1294,漢田生技,20260306,20260309,20260310,20260323,-9.5028,loss,fixed_10d_close,1,0,True,True,,,,,False,False,True,False,True,long_consolidation,high_position_chase,False,not_production_ready_research_only,2026-07-09 07:39:06 Asia/Taipei
volume_range_breakout_v2_overlap_sensitivity,volume_range_breakout_v2_overlap_sensitivity_20260708,volume_range_breakout_v2_deep_low_base_matrix,volume_range_breakout_v2_deep_low_base_matrix_20260708,warning_research_variant_only,volume_range_breakout,1303|20250730|20250731|next_day_break_signal_high_confirmed|20250801|20250811|39.8|36.05,1303,南亞,20250730,20250731,20250801,20250811,-9.4221,loss,stop_signal_low,1,1,True,True,,,,,False,False,False,False,False,non_consolidation,high_position_chase,False,not_production_ready_research_only,2026-07-09 07:39:06 Asia/Taipei
volume_range_breakout_v2_overlap_sensitivity,volume_range_breakout_v2_overlap_sensitivity_20260708,volume_range_breakout_v2_deep_low_base_matrix,volume_range_breakout_v2_deep_low_base_matrix_20260708,warning_research_variant_only,volume_range_breakout,1303|20251112|20251113|next_day_break_signal_high_confirmed|20251114|20251127|52.1|56.2,1303,南亞,20251112,20251113,20251114,20251127,7.8695,win,fixed_10d_close,2,1,False,True,,,,,False,False,False,False,True,short_consolidation,high_position_chase,False,not_production_ready_research_only,2026-07-09 07:39:06 Asia/Taipei
volume_range_breakout_v2_overlap_sensitivity,volume_range_breakout_v2_overlap_sensitivity_20260708,volume_range_breakout_v2_deep_low_base_matrix,volume_range_breakout_v2_deep_low_base_matrix_20260708,warning_research_variant_only,volume_range_breakout,1303|20251113|20251114|next_day_break_signal_high_confirmed|20251117|20251126|57.4|50.7,1303,南亞,20251113,20251114,20251117,20251126,-11.6725,loss,stop_signal_low,3,1,False,False,same_stock_active_position_overlap,1303|20251112|20251113|next_day_break_signal_high_confirmed|20251114|20251127|52.1|56.2,20251114,20251127,False,False,False,False,False,non_consolidation,high_position_chase,False,not_production_ready_research_only,2026-07-09 07:39:06 Asia/Taipei
volume_range_breakout_v2_overlap_sensitivity,volume_range_breakout_v2_overlap_sensitivity_20260708,volume_range_breakout_v2_deep_low_base_matrix,volume_range_breakout_v2_deep_low_base_matrix_20260708,warning_research_variant_only,volume_range_breakout,1303|20260116|20260119|next_day_break_signal_high_confirmed|20260120|20260202|75.2|70.6,1303,南亞,20260116,20260119,20260120,20260202,-6.117,loss,stop_signal_low,4,1,False,True,,,,,False,False,False,False,False,non_consolidation,high_position_chase,False,not_production_ready_research_only,2026-07-09 07:39:06 Asia/Taipei
volume_range_breakout_v2_overlap_sensitivity,volume_range_breakout_v2_overlap_sensitivity_20260708,volume_range_breakout_v2_deep_low_base_matrix,volume_range_breakout_v2_deep_low_base_matrix_20260708,warning_research_variant_only,volume_range_breakout,1307|20260612|20260615|next_day_break_signal_high_confirmed|20260616|20260623|37.65|35.6,1307,三芳,20260612,20260615,20260616,20260623,-5.4449,loss,stop_signal_low,1,0,True,True,,,,,True,True,True,True,False,long_consolidation,normal_risk,False,not_production_ready_research_only,2026-07-09 07:39:06 Asia/Taipei
volume_range_breakout_v2_overlap_sensitivity,volume_range_breakout_v2_overlap_sensitivity_20260708,volume_range_breakout_v2_deep_low_base_matrix,volume_range_breakout_v2_deep_low_base_matrix_20260708,warning_research_variant_only,volume_range_breakout,1312|20251201|20251202|next_day_break_signal_high_confirmed|20251203|20251208|12.05|11.2,1312,國喬,20251201,20251202,20251203,20251208,-7.0539,loss,stop_signal_low,1,0,True,True,,,,,True,False,True,False,False,long_consolidation,normal_risk,False,not_production_ready_research_only,2026-07-09 07:39:06 Asia/Taipei
