segment,sample_count,surge_5d_rate,surge_10d_rate,surge_20d_rate,baseline_surge_5d_rate,baseline_surge_10d_rate,baseline_surge_20d_rate,lift_5d,lift_10d,lift_20d,avg_future_max_ret_5d,avg_future_max_ret_10d,avg_future_max_ret_20d,avg_max_drawdown_10d,avg_max_drawdown_20d,sample_status
top_10,2320,0.016810344827586206,0.028879310344827585,0.022844827586206897,0.04416863194009387,0.065829826454603,0.07590930112799588,0.38059464577454327,0.438696437468859,0.3009489910556108,3.390653333399796,5.099279160835607,7.389856348235453,-3.2402166102855627,-4.858315222187339,ok
top_20,4118,0.015055852355512385,0.022583778533268577,0.022583778533268577,0.04416863194009387,0.065829826454603,0.07590930112799588,0.34087205544271126,0.34306301185288113,0.2975100310196312,3.2228395238866026,4.8732237996977625,7.313194891143455,-3.2390226037811587,-4.821639649419035,ok
top_50,9389,0.014165512834167643,0.019916924060070295,0.024177228671850036,0.04416863194009387,0.065829826454603,0.07590930112799588,0.32071432172453057,0.3025516719811685,0.3185015315986529,3.154332996767327,4.77463401157859,7.360842871810916,-3.3201472997142485,-4.8205309602614825,ok
top_100,18002,0.014109543384068437,0.02177535829352294,0.026274858349072325,0.04416863194009387,0.065829826454603,0.07590930112799588,0.319447145277338,0.3307825565747082,0.34613489992179597,3.1250689262663753,4.7855662703790784,7.3267766120297155,-3.366759884478574,-4.827171782516847,ok
score_ge_80,1953,0.012800819252432157,0.026113671274961597,0.015360983102918587,0.04416863194009387,0.065829826454603,0.07590930112799588,0.2898169739509698,0.3966844921423252,0.20235969604063908,3.545589551298127,5.723745399253355,8.183672011426275,-2.8978794080298402,-3.986356406703603,ok
score_70_80,1423,0.025298664792691498,0.03865073787772312,0.026704146170063246,0.04416863194009387,0.065829826454603,0.07590930112799588,0.5727744709640136,0.5871310917761132,0.35179017292012155,4.122786064168937,6.885714710008321,9.903887250344711,-3.5827451230834386,-4.649988413291972,ok
score_60_70,1089,0.04224058769513315,0.07346189164370982,0.03213957759412305,0.04416863194009387,0.065829826454603,0.07590930112799588,0.9563481104061421,1.11593627995313,0.423394460448665,5.618658692610567,8.950288435367364,11.817373309108847,-5.328995993387303,-5.36714455352614,ok
score_50_60,3155,0.0329635499207607,0.0526148969889065,0.03328050713153724,0.04416863194009387,0.065829826454603,0.07590930112799588,0.7463113180745403,0.7992562007616765,0.4384246282997744,4.508251296148003,7.329182218064555,10.365109798389016,-4.017816085894415,-4.58111107043947,ok
score_lt_50,297257,0.044591044113343,0.0663331729782646,0.07715545807163499,0.04416863194009387,0.065829826454603,0.07590930112799588,1.0095636236554042,1.0076461772842242,1.0164163933157266,5.096686860668521,7.861176779342387,12.277233947220092,-5.059180076779242,-6.707470729100643,ok
label_A_surge_watch,2370,0.014345991561181435,0.028270042194092827,0.01729957805907173,0.04416863194009387,0.065829826454603,0.07590930112799588,0.3248004507053552,0.42944123836614045,0.22789800198399568,3.6686515920293967,5.861662577139865,8.519469292279089,-3.0013230218577314,-4.042711817826747,ok
label_B_confirm_needed,1991,0.03465595178302361,0.05826217980914113,0.029131089904570567,0.04416863194009387,0.065829826454603,0.07590930112799588,0.7846281458304537,0.8850422816976343,0.38376179824723505,4.873490065815383,8.087156246057882,10.726484301577061,-4.562630855371658,-5.008333380311326,ok
label_C_too_hot,32389,0.12976627867485874,0.17367007317299082,0.18484670721541263,0.04416863194009387,0.065829826454603,0.07590930112799588,2.9379736925259845,2.63816696057608,2.435099578953176,9.093253800540449,13.735120345547179,21.647663219356023,-7.970811944082299,-9.6488502431253,ok
label_D_weak_or_insufficient,268127,0.03416291533489727,0.05319121162732586,0.06361537629556144,0.04416863194009387,0.065829826454603,0.07590930112799588,0.7734655531380867,0.8080108135178987,0.8380445525153128,4.606921865088138,7.145034351007254,11.187628100778287,-4.694603757224239,-6.352747905527488,ok
market_unknown,304877,0.04416863194009387,0.065829826454603,0.07590930112799588,0.04416863194009387,0.065829826454603,0.07590930112799588,1.0,1.0,1.0,5.077980166625688,7.841316684099398,12.237689443664497,-5.028631163600379,-6.671639399036593,ok
theme_unknown,304877,0.04416863194009387,0.065829826454603,0.07590930112799588,0.04416863194009387,0.065829826454603,0.07590930112799588,1.0,1.0,1.0,5.077980166625688,7.841316684099398,12.237689443664497,-5.028631163600379,-6.671639399036593,ok
