condition_name,sample_count,surge_count,surge_rate,baseline_surge_rate,lift_vs_baseline,avg_future_max_ret_5d,avg_future_max_ret_10d,avg_mae_before_surge,false_positive_rate,precision,recall,control_sample_count,sample_status
relative_ret_20d_vs_twse > 0,54341,8131,0.1496291934266944,0.07404259553314897,2.020852893517289,7.343386466881774,11.436849978631887,-6.101716187361397,0.8503708065733055,0.1496291934266944,0.455288649980402,3298,ok
volume_ratio_20d between 1.0 and 1.8,54995,4215,0.07664333121192836,0.07404259553314897,1.0351248583339443,5.092554295596311,7.805337866390415,-4.700145603371225,0.9233566687880717,0.07664333121192836,0.23601545439274316,3298,ok
distance_ma20_pct between -3 and +6,148871,7373,0.04952609977765985,0.07404259553314897,0.6688865972491057,4.022966192964252,6.2468454256239,-4.209044485193402,0.9504739002223401,0.04952609977765985,0.4128450641133322,3298,ok
low volatility compression + volume expansion,32785,896,0.027329571450358397,0.07404259553314897,0.369106070006999,3.2934165045000356,5.103251606305743,-3.4615514384048875,0.9726704285496416,0.027329571450358397,0.05017078223864718,3298,ok
consolidation_days >= 10 + narrow_range_20d,96334,2305,0.023927170054186476,0.07404259553314897,0.3231541234055504,3.0460812157240986,4.700329119546297,-3.369469977950316,0.9760728299458136,0.023927170054186476,0.1290665770759841,3298,ok
tdcc_consecutive_up_weeks >= 2 + price_ret_20d <= 8,3967,71,0.017897655659188303,0.07404259553314897,0.24172107325945236,3.112546337281286,4.6210662458640845,-3.4059908721916488,0.9821023443408117,0.017897655659188303,0.003975586538999944,3298,ok
tdcc_leading_price + quiet_accumulation,0,0,,0.07404259553314897,,,,,,,0.0,3298,insufficient_sample
theme_mainstream_status = emerging_theme,0,0,,0.07404259553314897,,,,,,,0.0,3298,insufficient_sample
revenue_yoy > 20 + revenue_low_price_response,0,0,,0.07404259553314897,,,,,,,0.0,3298,insufficient_sample
warrant_call_inflow + TDCC high_thresholds_up,0,0,,0.07404259553314897,,,,,,,0.0,3298,insufficient_sample
