section,tdcc_price_phase,sample_count,pct_of_total,tdcc_consecutive_up_weeks,signal_count,condition_name,mature_sample_d5,avg_ret_d5,avg_relative_ret_d5,mature_sample_d10,avg_ret_d10,avg_relative_ret_d10,mature_sample_d20,avg_ret_d20,avg_relative_ret_d20,avg_mfe_d10,avg_mae_d10
phase_distribution,insufficient_price_context,788.0,69.43,,,,,,,,,,,,,,
phase_distribution,tdcc_leading_price,151.0,13.30,,,,,,,,,,,,,,
phase_distribution,tdcc_price_divergence,132.0,11.63,,,,,,,,,,,,,,
phase_distribution,price_leading_tdcc,35.0,3.08,,,,,,,,,,,,,,
phase_distribution,overheated_after_tdcc,19.0,1.67,,,,,,,,,,,,,,
phase_distribution,tdcc_price_confirmed,8.0,0.70,,,,,,,,,,,,,,
phase_distribution,failed_after_tdcc,2.0,0.18,,,,,,,,,,,,,,
consecutive_weeks_x_phase,insufficient_price_context,,,1,406.0,,,,,,,,,,,,
consecutive_weeks_x_phase,overheated_after_tdcc,,,1,6.0,,,,,,,,,,,,
consecutive_weeks_x_phase,price_leading_tdcc,,,1,9.0,,,,,,,,,,,,
consecutive_weeks_x_phase,insufficient_price_context,,,10,2.0,,,,,,,,,,,,
consecutive_weeks_x_phase,price_leading_tdcc,,,10,1.0,,,,,,,,,,,,
consecutive_weeks_x_phase,tdcc_leading_price,,,10,4.0,,,,,,,,,,,,
consecutive_weeks_x_phase,tdcc_price_divergence,,,10,2.0,,,,,,,,,,,,
consecutive_weeks_x_phase,insufficient_price_context,,,11,1.0,,,,,,,,,,,,
consecutive_weeks_x_phase,price_leading_tdcc,,,11,1.0,,,,,,,,,,,,
consecutive_weeks_x_phase,tdcc_leading_price,,,11,3.0,,,,,,,,,,,,
consecutive_weeks_x_phase,tdcc_price_divergence,,,11,2.0,,,,,,,,,,,,
consecutive_weeks_x_phase,tdcc_leading_price,,,12,1.0,,,,,,,,,,,,
consecutive_weeks_x_phase,tdcc_price_confirmed,,,12,1.0,,,,,,,,,,,,
consecutive_weeks_x_phase,tdcc_price_divergence,,,12,1.0,,,,,,,,,,,,
consecutive_weeks_x_phase,insufficient_price_context,,,13,1.0,,,,,,,,,,,,
consecutive_weeks_x_phase,price_leading_tdcc,,,13,1.0,,,,,,,,,,,,
consecutive_weeks_x_phase,tdcc_leading_price,,,13,1.0,,,,,,,,,,,,
consecutive_weeks_x_phase,tdcc_price_divergence,,,13,3.0,,,,,,,,,,,,
consecutive_weeks_x_phase,insufficient_price_context,,,14,1.0,,,,,,,,,,,,
consecutive_weeks_x_phase,tdcc_leading_price,,,14,3.0,,,,,,,,,,,,
consecutive_weeks_x_phase,tdcc_leading_price,,,15,1.0,,,,,,,,,,,,
consecutive_weeks_x_phase,tdcc_price_divergence,,,15,2.0,,,,,,,,,,,,
consecutive_weeks_x_phase,tdcc_leading_price,,,16,1.0,,,,,,,,,,,,
consecutive_weeks_x_phase,insufficient_price_context,,,18,1.0,,,,,,,,,,,,
consecutive_weeks_x_phase,insufficient_price_context,,,2,171.0,,,,,,,,,,,,
consecutive_weeks_x_phase,overheated_after_tdcc,,,2,3.0,,,,,,,,,,,,
consecutive_weeks_x_phase,price_leading_tdcc,,,2,10.0,,,,,,,,,,,,
consecutive_weeks_x_phase,tdcc_leading_price,,,2,44.0,,,,,,,,,,,,
consecutive_weeks_x_phase,tdcc_price_confirmed,,,2,2.0,,,,,,,,,,,,
consecutive_weeks_x_phase,tdcc_price_divergence,,,2,34.0,,,,,,,,,,,,
consecutive_weeks_x_phase,tdcc_leading_price,,,21,3.0,,,,,,,,,,,,
consecutive_weeks_x_phase,tdcc_price_divergence,,,21,2.0,,,,,,,,,,,,
consecutive_weeks_x_phase,tdcc_leading_price,,,22,1.0,,,,,,,,,,,,
consecutive_weeks_x_phase,failed_after_tdcc,,,3,2.0,,,,,,,,,,,,
consecutive_weeks_x_phase,insufficient_price_context,,,3,99.0,,,,,,,,,,,,
consecutive_weeks_x_phase,overheated_after_tdcc,,,3,3.0,,,,,,,,,,,,
consecutive_weeks_x_phase,price_leading_tdcc,,,3,7.0,,,,,,,,,,,,
consecutive_weeks_x_phase,tdcc_leading_price,,,3,33.0,,,,,,,,,,,,
consecutive_weeks_x_phase,tdcc_price_confirmed,,,3,2.0,,,,,,,,,,,,
consecutive_weeks_x_phase,tdcc_price_divergence,,,3,39.0,,,,,,,,,,,,
consecutive_weeks_x_phase,insufficient_price_context,,,4,47.0,,,,,,,,,,,,
consecutive_weeks_x_phase,overheated_after_tdcc,,,4,5.0,,,,,,,,,,,,
consecutive_weeks_x_phase,price_leading_tdcc,,,4,3.0,,,,,,,,,,,,
consecutive_weeks_x_phase,tdcc_leading_price,,,4,13.0,,,,,,,,,,,,
consecutive_weeks_x_phase,tdcc_price_confirmed,,,4,1.0,,,,,,,,,,,,
consecutive_weeks_x_phase,tdcc_price_divergence,,,4,20.0,,,,,,,,,,,,
consecutive_weeks_x_phase,insufficient_price_context,,,5,23.0,,,,,,,,,,,,
consecutive_weeks_x_phase,price_leading_tdcc,,,5,1.0,,,,,,,,,,,,
consecutive_weeks_x_phase,tdcc_leading_price,,,5,11.0,,,,,,,,,,,,
consecutive_weeks_x_phase,tdcc_price_confirmed,,,5,2.0,,,,,,,,,,,,
consecutive_weeks_x_phase,tdcc_price_divergence,,,5,9.0,,,,,,,,,,,,
consecutive_weeks_x_phase,insufficient_price_context,,,6,16.0,,,,,,,,,,,,
consecutive_weeks_x_phase,price_leading_tdcc,,,6,1.0,,,,,,,,,,,,
consecutive_weeks_x_phase,tdcc_leading_price,,,6,8.0,,,,,,,,,,,,
consecutive_weeks_x_phase,tdcc_price_divergence,,,6,7.0,,,,,,,,,,,,
consecutive_weeks_x_phase,insufficient_price_context,,,7,12.0,,,,,,,,,,,,
consecutive_weeks_x_phase,overheated_after_tdcc,,,7,1.0,,,,,,,,,,,,
consecutive_weeks_x_phase,tdcc_leading_price,,,7,10.0,,,,,,,,,,,,
consecutive_weeks_x_phase,tdcc_price_divergence,,,7,3.0,,,,,,,,,,,,
consecutive_weeks_x_phase,insufficient_price_context,,,8,6.0,,,,,,,,,,,,
consecutive_weeks_x_phase,price_leading_tdcc,,,8,1.0,,,,,,,,,,,,
consecutive_weeks_x_phase,tdcc_leading_price,,,8,10.0,,,,,,,,,,,,
consecutive_weeks_x_phase,tdcc_price_divergence,,,8,5.0,,,,,,,,,,,,
consecutive_weeks_x_phase,insufficient_price_context,,,9,2.0,,,,,,,,,,,,
consecutive_weeks_x_phase,overheated_after_tdcc,,,9,1.0,,,,,,,,,,,,
consecutive_weeks_x_phase,tdcc_leading_price,,,9,4.0,,,,,,,,,,,,
consecutive_weeks_x_phase,tdcc_price_divergence,,,9,3.0,,,,,,,,,,,,
condition_x_phase,tdcc_leading_price,,,,131.0,all_thresholds_up,,,,,,,,,,,
condition_x_phase,insufficient_price_context,,,,124.0,all_thresholds_up,,,,,,,,,,,
condition_x_phase,tdcc_price_divergence,,,,112.0,all_thresholds_up,,,,,,,,,,,
condition_x_phase,price_leading_tdcc,,,,31.0,all_thresholds_up,,,,,,,,,,,
condition_x_phase,overheated_after_tdcc,,,,16.0,all_thresholds_up,,,,,,,,,,,
condition_x_phase,tdcc_price_confirmed,,,,8.0,all_thresholds_up,,,,,,,,,,,
condition_x_phase,failed_after_tdcc,,,,1.0,all_thresholds_up,,,,,,,,,,,
condition_x_phase,insufficient_price_context,,,,219.0,high_thresholds_up,,,,,,,,,,,
condition_x_phase,tdcc_leading_price,,,,151.0,high_thresholds_up,,,,,,,,,,,
condition_x_phase,tdcc_price_divergence,,,,132.0,high_thresholds_up,,,,,,,,,,,
condition_x_phase,price_leading_tdcc,,,,35.0,high_thresholds_up,,,,,,,,,,,
condition_x_phase,overheated_after_tdcc,,,,19.0,high_thresholds_up,,,,,,,,,,,
condition_x_phase,tdcc_price_confirmed,,,,8.0,high_thresholds_up,,,,,,,,,,,
condition_x_phase,failed_after_tdcc,,,,2.0,high_thresholds_up,,,,,,,,,,,
condition_x_phase,insufficient_price_context,,,,460.0,over_800_or_above,,,,,,,,,,,
condition_x_phase,tdcc_leading_price,,,,151.0,over_800_or_above,,,,,,,,,,,
condition_x_phase,tdcc_price_divergence,,,,132.0,over_800_or_above,,,,,,,,,,,
condition_x_phase,price_leading_tdcc,,,,35.0,over_800_or_above,,,,,,,,,,,
condition_x_phase,overheated_after_tdcc,,,,19.0,over_800_or_above,,,,,,,,,,,
condition_x_phase,tdcc_price_confirmed,,,,8.0,over_800_or_above,,,,,,,,,,,
condition_x_phase,failed_after_tdcc,,,,2.0,over_800_or_above,,,,,,,,,,,
condition_x_phase,insufficient_price_context,,,,92.0,over_1000_only,,,,,,,,,,,
condition_x_phase,insufficient_price_context,,,,382.0,consecutive_2w,,,,,,,,,,,
condition_x_phase,tdcc_leading_price,,,,151.0,consecutive_2w,,,,,,,,,,,
condition_x_phase,tdcc_price_divergence,,,,132.0,consecutive_2w,,,,,,,,,,,
condition_x_phase,price_leading_tdcc,,,,26.0,consecutive_2w,,,,,,,,,,,
condition_x_phase,overheated_after_tdcc,,,,13.0,consecutive_2w,,,,,,,,,,,
condition_x_phase,tdcc_price_confirmed,,,,8.0,consecutive_2w,,,,,,,,,,,
condition_x_phase,failed_after_tdcc,,,,2.0,consecutive_2w,,,,,,,,,,,
condition_x_phase,insufficient_price_context,,,,211.0,consecutive_3w,,,,,,,,,,,
condition_x_phase,tdcc_leading_price,,,,107.0,consecutive_3w,,,,,,,,,,,
condition_x_phase,tdcc_price_divergence,,,,98.0,consecutive_3w,,,,,,,,,,,
condition_x_phase,price_leading_tdcc,,,,16.0,consecutive_3w,,,,,,,,,,,
condition_x_phase,overheated_after_tdcc,,,,10.0,consecutive_3w,,,,,,,,,,,
condition_x_phase,tdcc_price_confirmed,,,,6.0,consecutive_3w,,,,,,,,,,,
condition_x_phase,failed_after_tdcc,,,,2.0,consecutive_3w,,,,,,,,,,,
condition_x_phase,tdcc_leading_price,,,,94.0,quiet_accumulation,,,,,,,,,,,
condition_x_phase,tdcc_price_divergence,,,,85.0,quiet_accumulation,,,,,,,,,,,
condition_x_phase,insufficient_price_context,,,,48.0,quiet_accumulation,,,,,,,,,,,
condition_x_phase,price_leading_tdcc,,,,2.0,quiet_accumulation,,,,,,,,,,,
condition_x_phase,failed_after_tdcc,,,,1.0,quiet_accumulation,,,,,,,,,,,
condition_x_phase,tdcc_price_confirmed,,,,1.0,quiet_accumulation,,,,,,,,,,,
condition_x_phase,tdcc_leading_price,,,,2.0,early_breakout,,,,,,,,,,,
condition_x_phase,price_leading_tdcc,,,,13.0,strong_momentum,,,,,,,,,,,
condition_x_phase,insufficient_price_context,,,,8.0,strong_momentum,,,,,,,,,,,
condition_x_phase,tdcc_leading_price,,,,5.0,strong_momentum,,,,,,,,,,,
condition_x_phase,tdcc_price_confirmed,,,,1.0,strong_momentum,,,,,,,,,,,
condition_x_phase,overheated_after_tdcc,,,,1.0,strong_momentum,,,,,,,,,,,
condition_x_phase,overheated_after_tdcc,,,,19.0,overheated,,,,,,,,,,,
condition_x_phase,price_leading_tdcc,,,,4.0,overheated,,,,,,,,,,,
condition_x_phase,insufficient_price_context,,,,3.0,overheated,,,,,,,,,,,
condition_x_phase,tdcc_price_divergence,,,,2.0,overheated,,,,,,,,,,,
phase_performance,failed_after_tdcc,,,,,,6.0,3.07,2.01,6.0,13.47,11.06,5.0,22.03,17.10,23.61,-8.31
phase_performance,insufficient_price_context,,,,,,328.0,1.55,-0.11,302.0,2.01,0.04,267.0,1.79,-1.09,13.07,-8.80
phase_performance,overheated_after_tdcc,,,,,,185.0,2.81,1.70,179.0,2.13,1.09,160.0,-0.02,-0.71,17.49,-11.16
phase_performance,price_leading_tdcc,,,,,,174.0,1.51,0.00,163.0,-0.44,-0.84,143.0,-0.92,-2.06,11.89,-9.92
phase_performance,tdcc_leading_price,,,,,,57.0,0.10,-0.31,55.0,-0.32,-2.10,47.0,-0.04,-1.99,9.26,-8.28
phase_performance,tdcc_price_confirmed,,,,,,21.0,0.88,0.48,21.0,4.28,3.69,15.0,-1.73,-2.36,13.19,-7.87
phase_performance,tdcc_price_divergence,,,,,,64.0,3.04,0.54,58.0,5.85,2.06,51.0,10.18,5.30,16.02,-7.36
