rank,stock_id,stock_name,theme,theme_mainstream_status,theme_heat_level,tdcc_strength_score,tdcc_consecutive_up_weeks,all_thresholds_up,high_thresholds_up,tdcc_price_phase,setup_type,abm_score,price_return_5d,price_return_20d,relative_return_vs_benchmark,distance_ma20_pct,volume_ratio_20d,theme_breadth_score,theme_momentum_score,theme_tdcc_breadth_score,theme_price_breadth_score,theme_warrant_heat_score,theme_relative_strength,risk_label,risk_bucket,interpretation
1,1323,永裕,traditional industries,mainstream_leader,high,555.00,39,True,True,tdcc_leading_price,quiet_accumulation,87.00,-0.46,8.04,-0.67,1.88,0.36,10.00,389.02,10.00,43.00,0.00,1.02,potential_accumulation,strong_but_pre_move,籌碼持續改善，但股價尚未明顯反應。
2,1233,天仁,other,single_name_signal,high,345.00,18,True,True,tdcc_leading_price,quiet_accumulation,100.00,1.94,0.00,2.82,2.17,0.30,10.00,279.39,10.00,28.00,0.00,-0.61,potential_accumulation,strong_but_pre_move,籌碼持續改善，但股價尚未明顯反應。
3,2107,厚生,biotechnology,mainstream_leader,high,335.00,17,True,True,insufficient_price_context,quiet_accumulation,97.00,0.56,4.87,3.53,3.55,1.05,10.00,126.49,10.00,14.00,0.00,0.49,insufficient_data,insufficient_data,價格或 benchmark 資料不足，不列入強弱判斷。
4,2516,新建,traditional industries,mainstream_leader,high,335.00,17,True,True,tdcc_leading_price,quiet_accumulation,90.00,-1.39,0.71,-0.06,0.48,0.21,10.00,389.02,10.00,43.00,0.00,1.02,potential_accumulation,strong_but_pre_move,籌碼持續改善，但股價尚未明顯反應。
5,2618,長榮航,traditional industries,mainstream_leader,high,335.00,17,True,True,insufficient_price_context,quiet_accumulation,96.00,-1.88,-3.46,3.63,-1.53,0.65,10.00,389.02,10.00,43.00,0.00,1.02,insufficient_data,insufficient_data,價格或 benchmark 資料不足，不列入強弱判斷。
6,5523,豐謙,traditional industries,mainstream_leader,high,335.00,17,True,True,tdcc_leading_price,quiet_accumulation,86.00,0.00,0.33,-0.47,-0.02,0.43,10.00,389.02,10.00,43.00,0.00,1.02,potential_accumulation,strong_but_pre_move,籌碼持續改善，但股價尚未明顯反應。
7,6527,明達醫,biotechnology,mainstream_leader,high,335.00,17,True,True,tdcc_leading_price,watch_only,83.00,-0.67,10.37,-0.06,-0.14,0.19,10.00,126.49,10.00,14.00,0.00,0.49,potential_accumulation,strong_but_pre_move,籌碼持續改善，但股價尚未明顯反應。
8,6170,統振,other electronics,mainstream_leader,high,315.00,15,True,True,insufficient_price_context,quiet_accumulation,95.00,2.53,4.96,3.15,2.91,1.33,10.00,563.41,10.00,73.00,0.00,1.41,insufficient_data,insufficient_data,價格或 benchmark 資料不足，不列入強弱判斷。
9,4406,新昕纖,other,single_name_signal,high,305.00,17,False,True,tdcc_leading_price,quiet_accumulation,90.00,0.00,-2.43,-0.47,0.13,0.62,10.00,279.39,10.00,28.00,0.00,-0.61,potential_accumulation,strong_but_pre_move,籌碼持續改善，但股價尚未明顯反應。
10,2511,太子,traditional industries,mainstream_leader,high,305.00,14,True,True,tdcc_leading_price,watch_only,76.00,-0.48,-3.26,-0.29,-0.14,0.49,10.00,389.02,10.00,43.00,0.00,1.02,potential_accumulation,strong_but_pre_move,籌碼持續改善，但股價尚未明顯反應。
