risk_group,stock_id,stock_name,theme,theme_mainstream_status,tdcc_strength_score,tdcc_price_phase,price_return_20d,relative_return_vs_benchmark,distance_ma20_pct,volume_ratio_20d,risk_bucket,interpretation
price_leading_tdcc,6122,擎邦,other electronics,mainstream_leader,295.00,price_leading_tdcc,19.51,13.56,13.71,4.44,strong_but_late,股價已先漲，TDCC 訊號可能偏晚。
price_leading_tdcc,8047,星雲,other electronics,mainstream_leader,275.00,price_leading_tdcc,7.31,14.95,9.18,3.09,strong_but_late,股價已先漲，TDCC 訊號可能偏晚。
price_leading_tdcc,3508,位速,other electronics,mainstream_leader,265.00,price_leading_tdcc,24.76,23.45,17.32,1.48,strong_but_late,股價已先漲，TDCC 訊號可能偏晚。
price_leading_tdcc,5355,佳總,other electronics,mainstream_leader,245.00,price_leading_tdcc,13.33,15.33,8.13,0.36,strong_but_late,股價已先漲，TDCC 訊號可能偏晚。
price_leading_tdcc,3491,昇達科,other electronics,mainstream_leader,225.00,price_leading_tdcc,9.12,12.85,6.13,0.54,strong_but_late,股價已先漲，TDCC 訊號可能偏晚。
price_leading_tdcc,3094,聯傑,semiconductor,mainstream_leader,215.00,price_leading_tdcc,42.52,27.28,19.39,2.09,strong_but_late,股價已先漲，TDCC 訊號可能偏晚。
price_leading_tdcc,2404,漢唐,other electronics,mainstream_leader,205.00,price_leading_tdcc,19.53,18.92,18.57,1.70,strong_but_late,股價已先漲，TDCC 訊號可能偏晚。
price_leading_tdcc,1809,中釉,traditional industries,mainstream_leader,205.00,price_leading_tdcc,15.54,16.88,17.21,3.83,strong_but_late,股價已先漲，TDCC 訊號可能偏晚。
price_leading_tdcc,3114,好德,semiconductor,mainstream_leader,205.00,price_leading_tdcc,1.33,11.12,8.83,3.40,strong_but_late,股價已先漲，TDCC 訊號可能偏晚。
price_leading_tdcc,3042,晶技,other electronics,mainstream_leader,195.00,price_leading_tdcc,5.73,10.16,11.28,3.12,strong_but_late,股價已先漲，TDCC 訊號可能偏晚。
price_leading_tdcc,3189,景碩,semiconductor,mainstream_leader,195.00,price_leading_tdcc,5.25,14.01,14.79,2.17,strong_but_late,股價已先漲，TDCC 訊號可能偏晚。
price_leading_tdcc,8064,東捷,consumer electronics,mainstream_leader,195.00,price_leading_tdcc,33.01,7.97,15.40,1.35,strong_but_late,股價已先漲，TDCC 訊號可能偏晚。
price_leading_tdcc,8996,高力,other,single_name_signal,195.00,price_leading_tdcc,16.79,15.38,15.38,0.70,strong_but_late,股價已先漲，TDCC 訊號可能偏晚。
price_leading_tdcc,3717,聯嘉投控,EV/auto electronics,non_mainstream_watch,195.00,price_leading_tdcc,10.22,15.87,11.18,2.43,strong_but_late,股價已先漲，TDCC 訊號可能偏晚。
price_leading_tdcc,8046,南電,other electronics,mainstream_leader,195.00,price_leading_tdcc,-4.25,13.58,10.47,1.13,strong_but_late,股價已先漲，TDCC 訊號可能偏晚。
