model_id,ranking_model_version,tdcc_list_type,rank_bucket,horizon,event_count,unique_stocks,signal_weeks,win_rate,avg_return,median_return,avg_mfe,avg_mae,max_drawdown,profit_factor,avg_rank,avg_tdcc_score,out_of_sample_start_date,out_of_sample_size,out_of_sample_win_rate,out_of_sample_avg_return,out_of_sample_pass,confidence_status,approved_for_daily,risk_notes_zh,theme_context_note,generated_at,data_start_date,data_end_date
tdcc_weekly_ranking_formula,tdcc_weekly_ranking_formula_20260614,consecutive_accumulation,top_10,D+5,38,32,9,42.11,2.5484,-1.8429,10.2919,-7.2873,-20.7207,1.6439,4.61,64.0108,20260417,30,46.67,4.0228,False,low,False,research only; ranking is not promoted to production buy order,theme bonus uses latest taxonomy context,2026-06-14 22:49:27 Asia/Taipei,20251128,20260612
tdcc_weekly_ranking_formula,tdcc_weekly_ranking_formula_20260614,consecutive_accumulation,top_10,D+10,28,24,8,57.14,9.3933,3.0006,20.4361,-8.1692,-20.7612,3.3031,4.29,57.9661,20260417,20,65.0,15.2482,True,low,False,research only; ranking is not promoted to production buy order,theme bonus uses latest taxonomy context,2026-06-14 22:49:27 Asia/Taipei,20251128,20260612
tdcc_weekly_ranking_formula,tdcc_weekly_ranking_formula_20260614,consecutive_accumulation,top_10,D+20,8,4,6,12.5,-10.1503,-12.7863,6.2035,-13.2982,-20.7048,0.0399,1.25,30.8875,20260417,0,,,False,low,False,research only; ranking is not promoted to production buy order,theme bonus uses latest taxonomy context,2026-06-14 22:49:27 Asia/Taipei,20251128,20260612
tdcc_weekly_ranking_formula,tdcc_weekly_ranking_formula_20260614,consecutive_accumulation,top_20,D+5,68,52,9,55.88,4.1905,2.4472,11.0881,-5.7272,-20.7207,2.6162,9.41,56.8703,20260417,60,60.0,5.1467,True,medium,False,research only; ranking is not promoted to production buy order,theme bonus uses latest taxonomy context,2026-06-14 22:49:27 Asia/Taipei,20251128,20260612
tdcc_weekly_ranking_formula,tdcc_weekly_ranking_formula_20260614,consecutive_accumulation,top_20,D+10,48,38,8,68.75,11.5183,7.7538,21.6227,-6.4538,-20.7612,4.8245,8.96,52.7242,20260417,40,75.0,14.8707,True,low,False,research only; ranking is not promoted to production buy order,theme bonus uses latest taxonomy context,2026-06-14 22:49:27 Asia/Taipei,20251128,20260612
tdcc_weekly_ranking_formula,tdcc_weekly_ranking_formula_20260614,consecutive_accumulation,top_20,D+20,8,4,6,12.5,-10.1503,-12.7863,6.2035,-13.2982,-20.7048,0.0399,1.25,30.8875,20260417,0,,,False,low,False,research only; ranking is not promoted to production buy order,theme bonus uses latest taxonomy context,2026-06-14 22:49:27 Asia/Taipei,20251128,20260612
tdcc_weekly_ranking_formula,tdcc_weekly_ranking_formula_20260614,consecutive_accumulation,top_50,D+5,113,87,9,55.75,3.7201,1.5723,10.5668,-5.2582,-20.7207,2.7698,18.12,47.3345,20260417,105,58.1,4.2306,True,medium,False,research only; ranking is not promoted to production buy order,theme bonus uses latest taxonomy context,2026-06-14 22:49:27 Asia/Taipei,20251128,20260612
tdcc_weekly_ranking_formula,tdcc_weekly_ranking_formula_20260614,consecutive_accumulation,top_50,D+10,64,49,8,68.75,10.0283,6.7662,19.9965,-6.3554,-20.7612,4.6088,12.84,47.1733,20260417,56,73.21,12.21,True,medium,False,research only; ranking is not promoted to production buy order,theme bonus uses latest taxonomy context,2026-06-14 22:49:27 Asia/Taipei,20251128,20260612
tdcc_weekly_ranking_formula,tdcc_weekly_ranking_formula_20260614,consecutive_accumulation,top_50,D+20,8,4,6,12.5,-10.1503,-12.7863,6.2035,-13.2982,-20.7048,0.0399,1.25,30.8875,20260417,0,,,False,low,False,research only; ranking is not promoted to production buy order,theme bonus uses latest taxonomy context,2026-06-14 22:49:27 Asia/Taipei,20251128,20260612
tdcc_weekly_ranking_formula,tdcc_weekly_ranking_formula_20260614,weekly_increase,top_10,D+5,232,91,26,45.26,1.2667,-0.3195,6.1972,-3.7195,-17.7001,1.7306,5.15,22.432,20260417,69,50.72,4.2018,True,high,False,research only; ranking is not promoted to production buy order,theme bonus uses latest taxonomy context,2026-06-14 22:49:27 Asia/Taipei,20251128,20260612
tdcc_weekly_ranking_formula,tdcc_weekly_ranking_formula_20260614,weekly_increase,top_10,D+10,222,83,25,48.2,2.5988,-0.2929,9.3575,-4.9701,-20.7048,2.0654,5.14,18.8709,20260417,59,55.93,9.9468,True,high,False,research only; ranking is not promoted to production buy order,theme bonus uses latest taxonomy context,2026-06-14 22:49:27 Asia/Taipei,20251128,20260612
