return_1d,distance_to_ma60_pct,return_5d,volume_ratio,signal_date,high,range_low,advisory_score_source_sha256,stock_id,market,previous_20d_high,industry,range_breakout_pct,close_above_range_high,volume_breakout_notes,return_20d,distance_to_previous_20d_high_pct,next_volume_breakout_confirmation,overheated_breakout,previous_60d_low,pattern_stage,risk_flags,advisory_score_source_artifact,range_high,false_breakout_risk_calc,open,tdcc_status,ma20,low,volume,volume_watch_scope,category,close,stock_name,distance_to_previous_60d_high_pct,high_above_range_high,ema23,distance_to_ma20_pct,volume_breakout_type,volume_ma20,selection_status,previous_60d_high,ma60,range_window,previous_20d_low,range_width_pct,volume_breakout_priority,repeat_appear_label,not_selected_reason,theme_name,theme_final_status,theme_structural_status,theme_mainstream_label,theme_breadth_score,theme_strength_score,theme_risk_score,theme_leader_stock_id,theme_leader_stock_name,candidate_source_type,candidate_line_group,candidate_line,volume_breakout_score,volume_breakout_rank,volume_watch_as_of,volume_watch_source_artifact,volume_watch_source_sha256,warrant_flow_signal,warrant_flow_as_of,warrant_flow_source_artifact,warrant_flow_source_sha256,warrant_flow_official_source_artifact,warrant_flow_official_source_sha256,volume_attack_bucket,is_volume_attack_selected,is_volume_attack_watch,is_volume_attack_failed,has_tdcc_distribution_warning,has_bullish_warrant_signal,theme_volume_attack_status,volume_attack_theme_interpretation
8.1761,12.23491027732464,10.9677,5.9781,20260917,172.0,153.5,f0f4d5f4face67e07e96d64b0bfda3af486d3621ec1acba16a35b1669bd5fd95,2640,TPEx,160.5,,7.1651,True,close_ge_prior20_high_102pct|volume_ma20_lots_ge_1000|volume_ratio_ge_2|close_near_day_high|strong_red_body,10.6109,7.1651090342679025,以訊號日隔天開盤作為研究觀察基準；若跌回前20日高點突破基準、量價失敗或TDCC轉弱，則標記風險升高。,False,138.0,,,data/stock_price_history/2640.csv,160.5,False,159.0,,156.875,159.0,191000.0,bottom_volume_attack,,172.0,大車隊,4.2424242424242475,True,156.2875,9.641434262948213,bottom_volume_attack,31950.0,selected,165.0,153.25,20,153.5,4.5603,A_bottom_volume_attack,,,數位雲端_待細分,single_name_signal,market_theme,core_mainstream,,,,,,individual_quality_candidate,,,68.51,1,20260917,output/latest/volume_breakout_watch_latest.csv,4800661942cfa4d6c846ead13dad979c25cab186c58013449c4faf4dfeede6e6,,20260917,output/latest/all_candidates_latest.csv,812deedc4eded639a1a43347e6db1ae2d16d7c0ccb5973348094c9cf3fc9fcf2,output/latest/warrant_flow_latest.csv,c00aced6f824ff5a5394a1afc8130f5898585d5e5a840059d1a337592b1dd482,bottom_volume_attack,True,False,False,False,False,single_stock_volume_attack,single-stock volume attack only; keep in individual line unless theme broadens
9.9156,15.099966861813762,17.8733,6.6366,20260917,26.05,21.8,636cb078c3dfc7cba2bb16b1b92dad2afcdb6e047c7d96cbfb66e04c0e684d7d,6133,TWSE,25.2,,3.373,True,close_ge_prior20_high_102pct|volume_ma20_lots_ge_1000|volume_ratio_ge_2|close_near_day_high|strong_red_body,17.6072,3.3730158730158832,以訊號日隔天開盤作為研究觀察基準；若跌回前20日高點突破基準、量價失敗或TDCC轉弱，則標記風險升高。,False,18.65,neckline_breakout,continued_overheated,data/stock_price_history/6133.csv,25.2,False,24.0,,23.3275,23.7,13090191.0,bottom_volume_attack,range_rebound,26.05,金橋,-7.624113475177296,True,23.278,11.670774836566288,bottom_volume_attack,1972419.3,selected,28.2,22.6325,20,21.8,15.5963,A_bottom_volume_attack,continued_overheated,,電子零組件業,mainstream_overheated,core_mainstream_theme,core_mainstream_overheated,100,100.0,100.0,8103,瀚荃,individual_quality_candidate,breakout_attack_stock,帶量突破 / 嚴格突破,65.57,2,20260917,output/latest/volume_breakout_watch_latest.csv,4800661942cfa4d6c846ead13dad979c25cab186c58013449c4faf4dfeede6e6,,20260917,output/latest/all_candidates_latest.csv,812deedc4eded639a1a43347e6db1ae2d16d7c0ccb5973348094c9cf3fc9fcf2,output/latest/warrant_flow_latest.csv,c00aced6f824ff5a5394a1afc8130f5898585d5e5a840059d1a337592b1dd482,bottom_volume_attack,True,False,False,True,False,overheated_volume_theme,volume is active but overheat/distribution risk is high; downgrade chase entries
9.9533,30.99481949766174,18.6242,3.7897,20260917,35.35,24.75,ce893b6997614dc7a828319e4db28edd5d195c4af4745723cd413d729b5688df,6168,TWSE,32.15,,9.9533,True,close_ge_prior20_high_102pct|volume_ma20_lots_ge_1000|volume_ratio_ge_2|close_near_day_high|strong_red_body,41.4,9.953343701399708,以訊號日隔天開盤作為研究觀察基準；若跌回前20日高點突破基準、量價失敗或TDCC轉弱，則標記風險升高。,False,19.55,neckline_breakout,continued_overheated,data/stock_price_history/6168.csv,32.15,False,32.15,,29.0725,31.6,29893142.0,bottom_volume_attack,range_rebound,35.35,宏齊,-3.547066848567526,True,28.9447,21.592570298391944,bottom_volume_attack,7887966.1,selected,36.65,26.9858,20,24.75,29.899,A_bottom_volume_attack,continued_overheated,,光電業,mainstream_overheated,core_mainstream_theme,core_mainstream_overheated,100,100.0,100.0,3441,聯一光電,individual_quality_candidate,breakout_attack_stock,帶量突破 / 嚴格突破,63.85,3,20260917,output/latest/volume_breakout_watch_latest.csv,4800661942cfa4d6c846ead13dad979c25cab186c58013449c4faf4dfeede6e6,,20260917,output/latest/all_candidates_latest.csv,812deedc4eded639a1a43347e6db1ae2d16d7c0ccb5973348094c9cf3fc9fcf2,output/latest/warrant_flow_latest.csv,c00aced6f824ff5a5394a1afc8130f5898585d5e5a840059d1a337592b1dd482,bottom_volume_attack,True,False,False,True,False,overheated_volume_theme,volume is active but overheat/distribution risk is high; downgrade chase entries
9.9387,8.671922377198316,10.2091,4.9396,20260917,8.96,7.79,49427ccf421fa0a75d6167dc395cf93545025947db515893bbb182b4e58ed357,1314,TWSE,8.55,,4.7953,True,close_ge_prior20_high_102pct|volume_ma20_lots_ge_1000|volume_ratio_ge_2|close_near_day_high|strong_red_body,14.578,4.795321637426908,以訊號日隔天開盤作為研究觀察基準；若跌回前20日高點突破基準、量價失敗或TDCC轉弱，則標記風險升高。,False,7.35,neckline_breakout,,data/stock_price_history/1314.csv,8.55,False,8.23,,8.166,8.23,128600273.0,bottom_volume_attack,range_rebound,8.96,中石化,-16.261682242990638,True,8.1645,9.723242713690915,bottom_volume_attack,26034556.1,selected,10.7,8.245,20,7.79,9.7561,A_bottom_volume_attack,continued_2_3d,,塑膠工業,mainstream_follow_through,non_mainstream_theme,non_mainstream_flow_active,100,100.0,100.0,1314,中石化,individual_quality_candidate,breakout_attack_stock,帶量突破 / 嚴格突破,60.87,4,20260917,output/latest/volume_breakout_watch_latest.csv,4800661942cfa4d6c846ead13dad979c25cab186c58013449c4faf4dfeede6e6,,20260917,output/latest/all_candidates_latest.csv,812deedc4eded639a1a43347e6db1ae2d16d7c0ccb5973348094c9cf3fc9fcf2,output/latest/warrant_flow_latest.csv,c00aced6f824ff5a5394a1afc8130f5898585d5e5a840059d1a337592b1dd482,bottom_volume_attack,True,False,False,False,False,non_mainstream_volume_watch,volume activity without mainstream support; keep separate from mainstream-funding line
9.9872,46.703692697605945,21.6714,2.138,20260917,42.95,30.1,fc2683df34375619bfaf74ad4052936824c8a70e35232f57cb4cd89092c0fa07,1709,TWSE,39.05,,9.9872,True,close_ge_prior20_high_102pct|volume_ma20_lots_ge_1000|volume_ratio_ge_2|close_near_day_high|red_body_confirmed,41.7492,9.987195902688883,以訊號日隔天開盤作為研究觀察基準；若跌回前20日高點突破基準、量價失敗或TDCC轉弱，則標記風險升高。,False,20.85,breakout_confirmed,continued_overheated,data/stock_price_history/1709.csv,39.05,False,40.8,,35.4925,39.1,35011882.0,bottom_volume_attack,true_breakout,42.95,和益,9.987195902688883,True,34.7882,21.011481298865963,bottom_volume_attack,16376114.7,selected,39.05,29.2767,20,30.1,29.7342,A_bottom_volume_attack,continued_overheated,,化學工業,mainstream_leader,non_mainstream_theme,non_mainstream_flow_active,100,100.0,46.0,1709,和益,individual_quality_candidate,breakout_attack_stock,帶量突破 / 嚴格突破,54.3,5,20260917,output/latest/volume_breakout_watch_latest.csv,4800661942cfa4d6c846ead13dad979c25cab186c58013449c4faf4dfeede6e6,,20260917,output/latest/all_candidates_latest.csv,812deedc4eded639a1a43347e6db1ae2d16d7c0ccb5973348094c9cf3fc9fcf2,output/latest/warrant_flow_latest.csv,c00aced6f824ff5a5394a1afc8130f5898585d5e5a840059d1a337592b1dd482,bottom_volume_attack,True,False,False,True,False,non_mainstream_volume_watch,volume activity without mainstream support; keep separate from mainstream-funding line
9.8404,-4.904443932765368,18.3381,2.7338,20260917,206.5,165.0,45d136c5aed42c8edf557834d54658bf00e9a4ab1161cd8f417872aed375f416,2493,TWSE,194.5,,6.1697,True,close_ge_prior20_high_102pct|volume_ma20_lots_ge_1000|volume_ratio_ge_2|close_near_day_high,12.8415,6.169665809768632,以訊號日隔天開盤作為研究觀察基準；若跌回前20日高點突破基準、量價失敗或TDCC轉弱，則標記風險升高。,False,161.5,neckline_breakout,,data/stock_price_history/2493.csv,194.5,False,205.0,,180.4,199.0,3978826.0,bottom_volume_attack,range_rebound,206.5,揚博,-38.724035608308604,True,186.7833,14.467849223946772,bottom_volume_attack,1455417.25,selected,337.0,217.15,20,165.0,17.8788,A_bottom_volume_attack,continued_2_3d,,電子零組件業,mainstream_overheated,core_mainstream_theme,core_mainstream_overheated,100,100.0,100.0,8103,瀚荃,individual_quality_candidate,breakout_attack_stock,帶量突破 / 嚴格突破,49.07,6,20260917,output/latest/volume_breakout_watch_latest.csv,4800661942cfa4d6c846ead13dad979c25cab186c58013449c4faf4dfeede6e6,call_strong_inflow,20260917,output/latest/all_candidates_latest.csv,812deedc4eded639a1a43347e6db1ae2d16d7c0ccb5973348094c9cf3fc9fcf2,output/latest/warrant_flow_latest.csv,c00aced6f824ff5a5394a1afc8130f5898585d5e5a840059d1a337592b1dd482,bottom_volume_attack,True,False,False,False,True,overheated_volume_theme,volume is active but overheat/distribution risk is high; downgrade chase entries
9.9865,15.673931226099679,11.1869,2.5032,20260917,815.0,656.0,c3d496d36de75dac4a838a8976fe88054d6af04e823e7e466c0bb9f42c9d66b4,1560,TWSE,794.0,,2.6448,True,close_ge_prior20_high_102pct|volume_ma20_lots_ge_1000|volume_ratio_ge_2|close_near_day_high|strong_red_body,16.7622,2.6448362720403074,以訊號日隔天開盤作為研究觀察基準；若跌回前20日高點突破基準、量價失敗或TDCC轉弱，則標記風險升高。,False,568.0,breakout_confirmed,,data/stock_price_history/1560.csv,794.0,False,750.0,,719.2,750.0,3169755.0,bottom_volume_attack,true_breakout,815.0,中砂,2.6448362720403074,True,727.3834,13.320355951056717,bottom_volume_attack,1266274.3,selected,794.0,704.5667,20,656.0,21.0366,A_bottom_volume_attack,first_seen,,電機機械,mainstream_overheated,non_mainstream_theme,non_mainstream_overheated,100,100.0,100.0,1560,中砂,individual_quality_candidate,breakout_attack_stock,帶量突破 / 嚴格突破,47.96,7,20260917,output/latest/volume_breakout_watch_latest.csv,4800661942cfa4d6c846ead13dad979c25cab186c58013449c4faf4dfeede6e6,no_signal,20260917,output/latest/all_candidates_latest.csv,812deedc4eded639a1a43347e6db1ae2d16d7c0ccb5973348094c9cf3fc9fcf2,output/latest/warrant_flow_latest.csv,c00aced6f824ff5a5394a1afc8130f5898585d5e5a840059d1a337592b1dd482,bottom_volume_attack,True,False,False,False,False,overheated_volume_theme,volume is active but overheat/distribution risk is high; downgrade chase entries
9.9822,55.624946401456874,11.7754,2.1512,20260917,30.85,21.4,aecddcc647ce753940d58e8f7d7e6859ce97d891ba0727d12dd060e346634458,2033,TWSE,29.9,,3.1773,True,close_ge_prior20_high_102pct|volume_ma20_lots_ge_1000|volume_ratio_ge_2|close_near_day_high|strong_red_body,35.6044,3.177257525083621,以訊號日隔天開盤作為研究觀察基準；若跌回前20日高點突破基準、量價失敗或TDCC轉弱，則標記風險升高。,False,14.45,breakout_confirmed,,data/stock_price_history/2033.csv,29.9,False,27.95,,25.57,27.8,3407460.0,bottom_volume_attack,true_breakout,30.85,佳大,3.177257525083621,True,25.158,20.64919827923348,bottom_volume_attack,1583966.95,selected,29.9,19.8233,20,21.4,39.7196,A_bottom_volume_attack,first_seen,,鋼鐵工業,mainstream_follow_through,non_mainstream_theme,non_mainstream_flow_active,88,100.0,34.0,2033,佳大,individual_quality_candidate,breakout_attack_stock,帶量突破 / 嚴格突破,47.34,8,20260917,output/latest/volume_breakout_watch_latest.csv,4800661942cfa4d6c846ead13dad979c25cab186c58013449c4faf4dfeede6e6,,20260917,output/latest/all_candidates_latest.csv,812deedc4eded639a1a43347e6db1ae2d16d7c0ccb5973348094c9cf3fc9fcf2,output/latest/warrant_flow_latest.csv,c00aced6f824ff5a5394a1afc8130f5898585d5e5a840059d1a337592b1dd482,bottom_volume_attack,True,False,False,False,False,non_mainstream_volume_watch,volume activity without mainstream support; keep separate from mainstream-funding line
3.512,46.584195606138735,21.3434,5.9307,20260917,58.9,37.4,a76566ae9dfca12a42b7f22012b8fea2fceaa659f443ef31e51e296adfae8940,6218,TPEx,54.1,,3.512,True,close_ge_prior20_high_102pct|volume_ma20_lots_ge_1000|volume_ratio_ge_2|long_upper_shadow_quality_penalty,47.3684,3.512014787430684,以訊號日隔天開盤作為研究觀察基準；若跌回前20日高點突破基準、量價失敗或TDCC轉弱，則標記風險升高。,False,28.5,platform_breakout,continued_overheated|long_upper_shadow_quality_penalty,data/stock_price_history/6218.csv,54.1,False,56.0,,44.0525,53.7,24524000.0,bottom_volume_attack,true_breakout,56.0,豪勉,3.512014787430684,True,44.3579,27.12104874865218,bottom_volume_attack,4135100.0,selected,54.1,38.2033,20,37.4,44.6524,A_bottom_volume_attack,continued_overheated,,通信網路業,mainstream_overheated,core_mainstream_theme,core_mainstream_overheated,100,100.0,100.0,7717,萊德光電-KY,individual_quality_candidate,breakout_attack_stock,帶量突破 / 嚴格突破,46.95,9,20260917,output/latest/volume_breakout_watch_latest.csv,4800661942cfa4d6c846ead13dad979c25cab186c58013449c4faf4dfeede6e6,,20260917,output/latest/all_candidates_latest.csv,812deedc4eded639a1a43347e6db1ae2d16d7c0ccb5973348094c9cf3fc9fcf2,output/latest/warrant_flow_latest.csv,c00aced6f824ff5a5394a1afc8130f5898585d5e5a840059d1a337592b1dd482,bottom_volume_attack,True,False,True,True,False,overheated_volume_theme,volume is active but overheat/distribution risk is high; downgrade chase entries
3.3835,15.919596481777031,18.5345,3.555,20260917,145.5,108.0,888c54bc685a3eb5a536a47d739847601b72f5ac4c9c0a2bd343ff2c4e9a53ea,6227,TPEx,134.5,,2.2305,True,close_ge_prior20_high_102pct|volume_ma20_lots_ge_1000|volume_ratio_ge_2|red_body_confirmed|long_upper_shadow_quality_penalty,16.5254,2.230483271375472,以訊號日隔天開盤作為研究觀察基準；若跌回前20日高點突破基準、量價失敗或TDCC轉弱，則標記風險升高。,False,100.0,platform_breakout,continued_overheated|long_upper_shadow_quality_penalty,data/stock_price_history/6227.csv,134.5,False,132.5,,119.625,132.5,4827000.0,bottom_volume_attack,true_breakout,137.5,茂綸,1.85185185185186,True,121.9059,14.942528735632177,bottom_volume_attack,1357800.0,selected,135.0,118.6167,20,108.0,24.537,A_bottom_volume_attack,continued_overheated,,電子通路業,mainstream_follow_through,non_mainstream_theme,non_mainstream_flow_active,100,100.0,100.0,6227,茂綸,individual_quality_candidate,breakout_attack_stock,帶量突破 / 嚴格突破,37.56,10,20260917,output/latest/volume_breakout_watch_latest.csv,4800661942cfa4d6c846ead13dad979c25cab186c58013449c4faf4dfeede6e6,,20260917,output/latest/all_candidates_latest.csv,812deedc4eded639a1a43347e6db1ae2d16d7c0ccb5973348094c9cf3fc9fcf2,output/latest/warrant_flow_latest.csv,c00aced6f824ff5a5394a1afc8130f5898585d5e5a840059d1a337592b1dd482,bottom_volume_attack,True,False,True,True,False,non_mainstream_volume_watch,volume activity without mainstream support; keep separate from mainstream-funding line
5.4027,21.21447999574224,4.4444,2.7367,20260917,539.0,352.0,343baaa1e6b1588f9f6e88c123ef6ab366ad89e3617af6b5927302f76a054db0,6291,TPEx,506.0,,2.1739,True,close_ge_prior20_high_102pct|volume_ma20_lots_ge_1000|volume_ratio_ge_2|red_body_confirmed|long_upper_shadow_quality_penalty,36.5918,2.1739130434782705,以訊號日隔天開盤作為研究觀察基準；若跌回前20日高點突破基準、量價失敗或TDCC轉弱，則標記風險升高。,False,295.0,platform_breakout,continued_overheated|long_upper_shadow_quality_penalty,data/stock_price_history/6291.csv,506.0,False,494.5,,440.9,494.5,4828000.0,bottom_volume_attack,range_rebound,517.0,沛亨,-20.826952526799392,True,445.7843,17.260149693808135,bottom_volume_attack,1764200.0,selected,653.0,426.5167,20,352.0,43.75,A_bottom_volume_attack,continued_overheated,,半導體業,mainstream_overheated,core_mainstream_theme,core_mainstream_overheated,100,100.0,100.0,3467,台灣精材,individual_quality_candidate,breakout_attack_stock,帶量突破 / 嚴格突破,34.2,11,20260917,output/latest/volume_breakout_watch_latest.csv,4800661942cfa4d6c846ead13dad979c25cab186c58013449c4faf4dfeede6e6,,20260917,output/latest/all_candidates_latest.csv,812deedc4eded639a1a43347e6db1ae2d16d7c0ccb5973348094c9cf3fc9fcf2,output/latest/warrant_flow_latest.csv,c00aced6f824ff5a5394a1afc8130f5898585d5e5a840059d1a337592b1dd482,bottom_volume_attack,True,False,True,True,False,overheated_volume_theme,volume is active but overheat/distribution risk is high; downgrade chase entries
