model_id,pdf_view,pdf_section,operation_asof_date,display_order,stock_id,stock_name,stock_display,operation_status_zh,quality_status_zh,trigger_zh,entry_basis_zh,entry_price_status_zh,stop_basis_zh,exit_rule_zh,signal_date,confirmation_date,pending_age_zh,pending_group_zh,pending_confirmation_zh,same_stock_pending_count,tdcc_status_zh,sample_size,win_rate_zh,avg_return_zh,median_return_zh,confidence_zh,research_score,pdf_note_zh
volume_range_breakout,highlight,confirmed_operation,20260617,1,2501,國建,2501 國建,已確認,正向證據,回測 5MA 確認,確認後下一交易日開盤,進場價待下一交易日開盤,跌破 6/5 最低價 23.40,先跌破停損基準出場，否則進場後第 10 個交易日收盤出場,20260605,20260617,,,,,TDCC 當週大戶增幅 第 45 名,16,56.25%,+11.16%,+5.49%,低,11.4901,長盤整低位階突破 / 一般突破 / 低位階
volume_range_breakout,full,confirmed_operation,20260617,1,2501,國建,2501 國建,已確認,正向證據,回測 5MA 確認,確認後下一交易日開盤,進場價待下一交易日開盤,跌破 6/5 最低價 23.40,先跌破停損基準出場，否則進場後第 10 個交易日收盤出場,20260605,20260617,,,,,TDCC 當週大戶增幅 第 45 名,16,56.25%,+11.16%,+5.49%,低,11.4901,長盤整低位階突破 / 一般突破 / 低位階
volume_range_breakout,full,confirmed_operation,20260617,2,1905,華紙,1905 華紙,已確認,證據偏弱,隔日續強確認,確認後下一交易日開盤,進場價待下一交易日開盤,跌破 6/16 最低價 12.75,先跌破停損基準出場，否則進場後第 10 個交易日收盤出場,20260616,20260617,,,,,無 TDCC 疊加,146,42.47%,+11.23%,-2.31%,中,4.4558,鎖量漲停突破 / 鎖量漲停 / 低位階
volume_range_breakout,full,confirmed_operation,20260617,3,2903,遠百,2903 遠百,已確認,證據偏弱,回測 5MA 確認,確認後下一交易日開盤,進場價待下一交易日開盤,跌破 6/5 最低價 22.80,先跌破停損基準出場，否則進場後第 10 個交易日收盤出場,20260605,20260617,,,,,無 TDCC 疊加,367,38.15%,+2.11%,-1.68%,中,-1.437,高位階突破 / 一般突破 / 高位階
volume_range_breakout,full,confirmed_operation,20260617,4,7828,創新服務,7828 創新服務,已確認,證據偏弱,回測 5MA 確認,確認後下一交易日開盤,進場價待下一交易日開盤,跌破 6/15 最低價 1885.00,先跌破停損基準出場，否則進場後第 10 個交易日收盤出場,20260615,20260617,,,,,無 TDCC 疊加,367,38.15%,+2.11%,-1.68%,中,-1.437,高位階突破 / 一般突破 / 高位階
volume_range_breakout,full,confirmed_operation,20260617,5,6904,伯鑫,6904 伯鑫,已確認,證據偏弱,隔日續強確認,確認後下一交易日開盤,進場價待下一交易日開盤,跌破 6/15 最低價 120.00,先跌破停損基準出場，否則進場後第 10 個交易日收盤出場,20260615,20260617,,,,,無 TDCC 疊加,73,45.21%,+0.67%,-0.79%,低,-1.5755,一般突破 / 中位階
volume_range_breakout,full,confirmed_operation,20260617,6,2851,中再保,2851 中再保,已確認,證據偏弱,隔日續強確認,確認後下一交易日開盤,進場價待下一交易日開盤,跌破 6/16 最低價 38.50,先跌破停損基準出場，否則進場後第 10 個交易日收盤出場,20260616,20260617,,,,,無 TDCC 疊加,224,43.75%,+1.46%,-1.82%,中,-2.1324,高位階突破 / 一般突破 / 高位階
volume_range_breakout,full,confirmed_operation,20260617,7,2324,仁寶,2324 仁寶,已確認,證據偏弱,回測 5MA 確認,確認後下一交易日開盤,進場價待下一交易日開盤,跌破 5/29 最低價 35.00,先跌破停損基準出場，否則進場後第 10 個交易日收盤出場,20260529,20260617,,,,,無 TDCC 疊加,582,38.49%,+1.66%,-2.09%,中,-2.3837,鎖量漲停突破 / 鎖量漲停 / 高位階
volume_range_breakout,full,confirmed_operation,20260617,8,2357,華碩,2357 華碩,已確認,證據偏弱,回測 5MA 確認,確認後下一交易日開盤,進場價待下一交易日開盤,跌破 5/29 最低價 708.00,先跌破停損基準出場，否則進場後第 10 個交易日收盤出場,20260529,20260617,,,,,無 TDCC 疊加,582,38.49%,+1.66%,-2.09%,中,-2.3837,鎖量漲停突破 / 鎖量漲停 / 高位階
volume_range_breakout,full,confirmed_operation,20260617,9,6153,嘉聯益,6153 嘉聯益,已確認,證據偏弱,回測 5MA 確認,確認後下一交易日開盤,進場價待下一交易日開盤,跌破 6/12 最低價 20.70,先跌破停損基準出場，否則進場後第 10 個交易日收盤出場,20260612,20260617,,,,,無 TDCC 疊加,582,38.49%,+1.66%,-2.09%,中,-2.3837,鎖量漲停突破 / 鎖量漲停 / 高位階
volume_range_breakout,full,confirmed_operation,20260617,10,2442,新美齊,2442 新美齊,已確認,證據偏弱,回測 5MA 確認,確認後下一交易日開盤,進場價待下一交易日開盤,跌破 6/5 最低價 19.50,先跌破停損基準出場，否則進場後第 10 個交易日收盤出場,20260605,20260617,,,,,無 TDCC 疊加,186,32.80%,+0.70%,-1.75%,中,-2.5967,長盤整低位階突破 / 一般突破 / 低位階
volume_range_breakout,full,confirmed_operation,20260617,11,2547,日勝生,2547 日勝生,已確認,證據偏弱,回測 5MA 確認,確認後下一交易日開盤,進場價待下一交易日開盤,跌破 6/11 最低價 10.85,先跌破停損基準出場，否則進場後第 10 個交易日收盤出場,20260611,20260617,,,,,無 TDCC 疊加,186,32.80%,+0.70%,-1.75%,中,-2.5967,一般突破 / 中位階
volume_range_breakout,full,confirmed_operation,20260617,12,2601,益航,2601 益航,已確認,證據偏弱,回測 5MA 確認,確認後下一交易日開盤,進場價待下一交易日開盤,跌破 6/1 最低價 5.15,先跌破停損基準出場，否則進場後第 10 個交易日收盤出場,20260601,20260617,,,,,無 TDCC 疊加,873,36.54%,+1.05%,-2.11%,中,-2.8793,鎖量漲停突破 / 鎖量漲停 / 低位階
volume_range_breakout,full,confirmed_operation,20260617,13,4551,智伸科,4551 智伸科,已確認,證據偏弱,隔日續強確認,確認後下一交易日開盤,進場價待下一交易日開盤,跌破 6/16 最低價 182.00,先跌破停損基準出場，否則進場後第 10 個交易日收盤出場,20260616,20260617,,,,,無 TDCC 疊加,1913,38.73%,+1.40%,-3.33%,中,-4.4533,鎖量漲停突破 / 鎖量漲停 / 高位階
volume_range_breakout,full,confirmed_operation,20260617,14,4976,佳凌,4976 佳凌,已確認,證據偏弱,隔日續強確認,確認後下一交易日開盤,進場價待下一交易日開盤,跌破 6/16 最低價 34.50,先跌破停損基準出場，否則進場後第 10 個交易日收盤出場,20260616,20260617,,,,,無 TDCC 疊加,1913,38.73%,+1.40%,-3.33%,中,-4.4533,鎖量漲停突破 / 鎖量漲停 / 高位階
volume_range_breakout,full,confirmed_operation,20260617,15,5227,立凱-KY,5227 立凱-KY,已確認,證據偏弱,隔日續強確認,確認後下一交易日開盤,進場價待下一交易日開盤,跌破 6/16 最低價 37.30,先跌破停損基準出場，否則進場後第 10 個交易日收盤出場,20260616,20260617,,,,,無 TDCC 疊加,1913,38.73%,+1.40%,-3.33%,中,-4.4533,鎖量漲停突破 / 鎖量漲停 / 高位階
volume_range_breakout,full,confirmed_operation,20260617,16,6209,今國光,6209 今國光,已確認,證據偏弱,隔日續強確認,確認後下一交易日開盤,進場價待下一交易日開盤,跌破 6/16 最低價 86.40,先跌破停損基準出場，否則進場後第 10 個交易日收盤出場,20260616,20260617,,,,,無 TDCC 疊加,1913,38.73%,+1.40%,-3.33%,中,-4.4533,鎖量漲停突破 / 鎖量漲停 / 高位階
volume_range_breakout,full,confirmed_operation,20260617,17,6668,中揚光,6668 中揚光,已確認,證據偏弱,隔日續強確認,確認後下一交易日開盤,進場價待下一交易日開盤,跌破 6/16 最低價 39.50,先跌破停損基準出場，否則進場後第 10 個交易日收盤出場,20260616,20260617,,,,,無 TDCC 疊加,1913,38.73%,+1.40%,-3.33%,中,-4.4533,鎖量漲停突破 / 鎖量漲停 / 高位階
