model_id,dimension_type,dimension_id,dimension_name_zh,pattern_id,event_count,unique_stocks,win_rate,avg_return,median_return,max_drawdown,avg_mfe,avg_mae,avg_holding_days,profit_factor,out_of_sample_size,out_of_sample_win_rate,out_of_sample_avg_return,confidence_status,out_of_sample_pass,approved_for_daily,risk_notes_zh,generated_at,data_start_date,data_end_date
volume_range_breakout,consolidation_type,long_consolidation,長盤整,pullback_10ma_hold_10d,1099,650,50.68,2.1332,0.1815,-31.4484,9.649,-4.8539,10.0,1.9105,380,58.42,4.2803,high,True,False,research classification only; approved_for_daily remains False,2026-07-19 11:11:17 Asia/Taipei,20250507,20260709
volume_range_breakout,consolidation_type,long_consolidation,長盤整,signal_close_hold_5d,1705,856,45.22,1.7117,-0.823,-31.1391,9.8377,-7.0565,5.0,1.5791,603,45.61,2.2986,high,False,False,research classification only; approved_for_daily remains False,2026-07-19 11:11:17 Asia/Taipei,20250507,20260709
volume_range_breakout,consolidation_type,long_consolidation,長盤整,next_open_hold_20d,1639,828,41.61,1.3083,-2.2298,-91.7928,14.6917,-9.6218,20.0,1.2474,537,47.67,3.8621,high,False,False,research classification only; approved_for_daily remains False,2026-07-19 11:11:17 Asia/Taipei,20250507,20260709
volume_range_breakout,consolidation_type,long_consolidation,長盤整,pullback_5ma_hold_10d,1512,800,43.85,1.1544,-0.8304,-91.3518,10.0518,-5.9297,10.0,1.3731,502,49.8,2.545,high,False,False,research classification only; approved_for_daily remains False,2026-07-19 11:11:17 Asia/Taipei,20250507,20260709
volume_range_breakout,consolidation_type,long_consolidation,長盤整,next_day_break_signal_high_hold_10d,1260,725,40.0,0.5395,-2.4661,-90.5777,11.2892,-8.1961,10.0,1.1171,451,40.35,1.2702,high,False,False,research classification only; approved_for_daily remains False,2026-07-19 11:11:17 Asia/Taipei,20250507,20260709
volume_range_breakout,consolidation_type,long_consolidation,長盤整,next_open_hold_10d,1673,841,39.75,0.3559,-2.1858,-90.5777,10.3541,-7.6969,10.0,1.0815,571,42.03,1.3788,high,False,False,research classification only; approved_for_daily remains False,2026-07-19 11:11:17 Asia/Taipei,20250507,20260709
volume_range_breakout,consolidation_type,long_consolidation,長盤整,next_open_large_black_exit_10d,1673,841,37.06,0.3184,-2.5276,-26.7361,8.9163,-5.8698,6.63,1.0871,571,38.0,1.059,high,False,False,research classification only; approved_for_daily remains False,2026-07-19 11:11:17 Asia/Taipei,20250507,20260709
volume_range_breakout,consolidation_type,long_consolidation,長盤整,next_open_5pct_stop_10d,1673,841,27.26,0.0111,-5.0,-18.1818,8.4293,-5.3444,5.63,1.0032,571,27.5,0.255,high,False,False,research classification only; approved_for_daily remains False,2026-07-19 11:11:17 Asia/Taipei,20250507,20260709
volume_range_breakout,consolidation_type,long_consolidation,長盤整,next_open_5ma_trailing_20d,1639,828,32.76,-0.0815,-2.3739,-23.9177,8.7859,-5.1037,4.63,0.976,537,32.77,0.2217,high,False,False,research classification only; approved_for_daily remains False,2026-07-19 11:11:17 Asia/Taipei,20250507,20260709
volume_range_breakout,consolidation_type,long_consolidation,長盤整,next_open_signal_low_stop_10d,1673,841,29.65,-0.1117,-3.1146,-90.5777,9.0237,-6.1134,6.54,0.9721,571,28.9,0.2307,high,False,False,research classification only; approved_for_daily remains False,2026-07-19 11:11:17 Asia/Taipei,20250507,20260709
volume_range_breakout,consolidation_type,long_consolidation,長盤整,next_open_hold_5d,1705,856,39.82,-0.1628,-1.7906,-27.0073,7.4545,-6.2132,5.0,0.9552,603,40.8,0.1438,high,False,False,research classification only; approved_for_daily remains False,2026-07-19 11:11:17 Asia/Taipei,20250507,20260709
volume_range_breakout,consolidation_type,long_consolidation,長盤整,chase_day1_signal_low_stop_5d,1705,856,33.02,-0.2771,-2.3256,-19.0367,6.915,-5.3865,3.89,0.9182,603,31.84,-0.2179,high,False,False,research classification only; approved_for_daily remains False,2026-07-19 11:11:17 Asia/Taipei,20250507,20260709
volume_range_breakout,consolidation_type,long_consolidation,長盤整,next_open_10ma_trailing_20d,1639,828,31.48,-0.3137,-3.2569,-90.5777,11.1651,-6.4211,8.25,0.9284,537,32.77,0.358,high,False,False,research classification only; approved_for_daily remains False,2026-07-19 11:11:17 Asia/Taipei,20250507,20260709
volume_range_breakout,consolidation_type,long_consolidation,長盤整,chase_day2_signal_low_stop_5d,1702,855,30.73,-0.4201,-1.2271,-25.3597,5.757,-5.0608,3.7,0.8566,600,30.83,-0.3796,high,False,False,research classification only; approved_for_daily remains False,2026-07-19 11:11:17 Asia/Taipei,20250507,20260709
volume_range_breakout,consolidation_type,long_consolidation,長盤整,chase_day3_signal_low_stop_5d,1700,854,29.06,-0.4777,-0.7052,-27.0073,5.2602,-4.8017,3.6,0.8244,598,27.59,-0.544,high,False,False,research classification only; approved_for_daily remains False,2026-07-19 11:11:17 Asia/Taipei,20250507,20260709
volume_range_breakout,consolidation_type,long_consolidation,長盤整,next_open_tp10_signal_low_stop_20d,1639,828,35.51,-0.6393,-2.9255,-90.5777,6.5511,-6.0786,6.31,0.8397,537,37.8,-0.2703,high,False,False,research classification only; approved_for_daily remains False,2026-07-19 11:11:17 Asia/Taipei,20250507,20260709
volume_range_breakout,consolidation_type,long_consolidation,長盤整,next_open_tp5_signal_low_stop_10d,1673,841,46.08,-0.8213,-0.4167,-90.5777,4.6415,-5.1297,3.54,0.7327,571,45.01,-0.9866,high,False,False,research classification only; approved_for_daily remains False,2026-07-19 11:11:17 Asia/Taipei,20250507,20260709
