advisory_volume_breakout_rank,signal_date,advisory_score_as_of,advisory_score_source_artifact,advisory_score_source_sha256,stock_id,stock_name,market,close,open,high,low,volume,volume_ma20,volume_ratio,return_1d,return_5d,return_20d,distance_to_ma20_pct,distance_to_ma60_pct,distance_to_previous_20d_high_pct,distance_to_previous_60d_high_pct,ma20,ma60,ema23,previous_20d_high,previous_60d_high,previous_20d_low,previous_60d_low,range_window,range_high,range_low,range_width_pct,range_breakout_pct,close_above_range_high,high_above_range_high,volume_breakout_type,volume_watch_scope,advisory_volume_breakout_score,volume_breakout_notes,false_breakout_risk_calc,overheated_breakout,industry,category,pattern_stage,tdcc_status,repeat_appear_label,volume_breakout_priority,selection_status,not_selected_reason,risk_flags,next_volume_breakout_confirmation,category_cn,breakout_type,volume_confirmed_breakout,platform_breakout_flag,neckline_breakout_flag,breakout_close_near_high_flag,false_breakout_risk,revaluation_priority,細分族群,theme_group,already_priced_in,consecutive_appear_days_any_category,consecutive_appear_days_same_category,appear_count_5d,appear_count_10d,appear_count_20d,repeat_appear_note,multi_category_flags
1,20260821,20260821,data/stock_price_history/5608.csv,75c6d825a3575d03831ac6a01f598b3b2f302b03ee09d4f332706099d9035deb,5608,四維航,TWSE,18.75,17.15,18.75,16.8,54906253.0,8220114.5,6.6795,9.9707,32.9787,36.3636,30.95861707700367,29.764969686903097,2.179836512261568,2.179836512261568,14.3175,14.4492,14.8939,18.35,18.35,12.8,12.8,20,18.35,12.8,43.3594,2.1798,True,True,bottom_volume_attack,bottom_volume_attack,63.98,close_ge_prior20_high_102pct|volume_ma20_lots_ge_1000|volume_ratio_ge_2|close_near_day_high|strong_red_body,False,False,,true_breakout,breakout_confirmed,,continued_overheated,A_bottom_volume_attack,selected,,continued_overheated,以訊號日隔天開盤作為研究觀察基準；若跌回前20日高點突破基準、量價失敗或TDCC轉弱，則標記風險升高。,嚴格突破,true_breakout,True,True,True,True,False,,,,,2,1,3,3,6,連續上榜但短線過熱，需避免追高並等待量價重新確認。,true_breakout
2,20260821,20260821,data/stock_price_history/2615.csv,380d723658851b4759ae952493ac6b2b842425ff000dfc54b6418f054b6321ec,2615,萬海,TWSE,124.5,113.0,124.5,111.5,87111618.0,24393029.7,3.5712,9.6916,37.4172,43.1034,35.51757918798302,46.48782209671727,9.691629955947146,9.691629955947146,91.87,84.99,94.2214,113.5,113.5,82.0,76.6,20,113.5,82.0,38.4146,9.6916,True,True,bottom_volume_attack,bottom_volume_attack,62.6,close_ge_prior20_high_102pct|volume_ma20_lots_ge_1000|volume_ratio_ge_2|close_near_day_high|strong_red_body,False,False,,true_breakout,breakout_confirmed,,continued_overheated,A_bottom_volume_attack,selected,,continued_overheated,以訊號日隔天開盤作為研究觀察基準；若跌回前20日高點突破基準、量價失敗或TDCC轉弱，則標記風險升高。,嚴格突破,true_breakout,True,True,True,True,False,,,,,4,2,4,7,8,連續上榜但短線過熱，需避免追高並等待量價重新確認。,true_breakout
3,20260821,20260821,data/stock_price_history/4188.csv,90fb0df2315d984590d12a5d63a6db4301c399a83bb53decf5cbb74cfa3b2429,4188,安克,TPEx,11.0,10.8,11.0,10.6,225000.0,37650.0,5.9761,10.0,9.4527,8.9109,10.259108905928937,6.211438006314762,4.265402843601884,-4.347826086956519,9.9765,10.3567,10.1327,10.55,11.5,9.06,9.06,20,10.55,9.06,16.4459,4.2654,True,True,bottom_volume_attack,bottom_volume_attack,61.24,close_ge_prior20_high_102pct|volume_ma20_lots_ge_1000|volume_ratio_ge_2|close_near_day_high|red_body_confirmed,False,False,,,,,,A_bottom_volume_attack,selected,,,以訊號日隔天開盤作為研究觀察基準；若跌回前20日高點突破基準、量價失敗或TDCC轉弱，則標記風險升高。,,,,,,,,,,,,,,,,,,
4,20260821,20260821,data/stock_price_history/6225.csv,3048080ad006350b2ed42bce6e8c759dc4b162325c368b7108b20ef206964d9a,6225,天瀚,TWSE,64.7,64.7,64.7,64.7,131142.0,138433.6,0.9473,9.8472,60.1485,169.5833,90.56034165378102,139.45225758697265,9.847198641765708,9.847198641765708,33.9525,27.02,37.3394,58.9,58.9,22.15,19.6,20,58.9,22.15,165.9142,9.8472,True,True,bottom_volume_attack,bottom_volume_attack,58.54,close_ge_prior20_high_102pct|locked_limit_up_breakout|locked_limit_no_volume_gate|one_price_limit_up,False,False,,,,,,A_bottom_volume_attack,selected,,,以訊號日隔天開盤作為研究觀察基準；若跌回前20日高點突破基準、量價失敗或TDCC轉弱，則標記風險升高。,,,,,,,,,,,,,,,,,,
5,20260821,20260821,data/stock_price_history/7751.csv,fef52c30ebb347fa048e7feb0d2d885654c16715e1e7a4e149d4a818ad9cb92b,7751,竑騰,TPEx,1730.0,1730.0,1730.0,1730.0,205000.0,332450.0,0.6166,9.8413,19.7232,51.0917,27.48710390567428,24.70715444224185,9.493670886075956,-10.824742268041232,1357.0,1387.25,1399.6163,1580.0,1940.0,1000.0,1000.0,20,1580.0,1000.0,58.0,9.4937,True,True,bottom_volume_attack,bottom_volume_attack,58.02,close_ge_prior20_high_102pct|locked_limit_up_breakout|locked_limit_no_volume_gate|one_price_limit_up,False,False,,,,,,A_bottom_volume_attack,selected,,,以訊號日隔天開盤作為研究觀察基準；若跌回前20日高點突破基準、量價失敗或TDCC轉弱，則標記風險升高。,,,,,,,,,,,,,,,,,,
6,20260821,20260821,data/stock_price_history/2637.csv,affa50ee2cb6c0ef8ce89a95fa458158c5e98b75840cfba90a17e326a0fc69b8,2637,慧洋-KY,TWSE,102.0,93.5,104.0,93.4,17870989.0,3954625.55,4.519,7.7086,19.0198,21.7184,18.247159749594232,26.006352202578675,6.25,6.25,86.26,80.9483,87.0529,96.0,96.0,77.7,70.8,20,96.0,77.7,23.5521,6.25,True,True,bottom_volume_attack,bottom_volume_attack,57.33,close_ge_prior20_high_102pct|volume_ma20_lots_ge_1000|volume_ratio_ge_2|close_above_mid_high|strong_red_body,False,False,,true_breakout,breakout_confirmed,,continued_overheated,A_bottom_volume_attack,selected,,continued_overheated,以訊號日隔天開盤作為研究觀察基準；若跌回前20日高點突破基準、量價失敗或TDCC轉弱，則標記風險升高。,嚴格突破,true_breakout,True,True,True,True,False,,,,,15,2,5,10,19,連續上榜但短線過熱，需避免追高並等待量價重新確認。,true_breakout
7,20260821,20260821,data/stock_price_history/2609.csv,2a8d92b7c0a2e75ff39206320bd13a3fc88973788e56fcc5c56027fcdd80aa7c,2609,陽明,TWSE,64.0,60.7,64.6,60.1,198985656.0,44248863.85,4.497,6.136,24.031,24.2718,20.92583845063769,23.11243627969606,4.918032786885251,4.918032786885251,52.925,51.985,53.929,61.0,61.0,49.5,47.25,20,61.0,49.5,23.2323,4.918,True,True,bottom_volume_attack,bottom_volume_attack,57.28,close_ge_prior20_high_102pct|volume_ma20_lots_ge_1000|volume_ratio_ge_2|close_high_position|strong_red_body,False,False,,true_breakout,breakout_confirmed,,continued_overheated,A_bottom_volume_attack,selected,,continued_overheated,以訊號日隔天開盤作為研究觀察基準；若跌回前20日高點突破基準、量價失敗或TDCC轉弱，則標記風險升高。,嚴格突破,true_breakout,True,True,True,True,False,,,,,4,2,4,5,9,連續上榜但短線過熱，需避免追高並等待量價重新確認。,true_breakout
8,20260821,20260821,data/stock_price_history/1808.csv,130410dfdb0f0c36e3a668f47d49590232cd2317036ce5faa1fffe8e80ad74fc,1808,潤隆,TWSE,37.0,34.65,37.8,34.3,7419835.0,1869830.4,3.9682,7.2464,13.3231,14.7287,12.393681652490883,17.07008384749249,7.246376811594213,7.246376811594213,32.92,31.605,32.9745,34.5,34.5,30.7,28.05,20,34.5,30.7,12.3779,7.2464,True,True,bottom_volume_attack,bottom_volume_attack,56.59,close_ge_prior20_high_102pct|volume_ma20_lots_ge_1000|volume_ratio_ge_2|close_above_mid_high|strong_red_body,False,False,,true_breakout,platform_breakout,,continued_many_days,A_bottom_volume_attack,selected,,,以訊號日隔天開盤作為研究觀察基準；若跌回前20日高點突破基準、量價失敗或TDCC轉弱，則標記風險升高。,嚴格突破,true_breakout,True,True,True,False,False,,,,,8,2,5,8,11,連續 8 日上榜，需區分醞釀延續或訊號鈍化。,true_breakout
9,20260821,20260821,data/stock_price_history/3441.csv,7e17a90550cc3a084fbf1addf04f3374f6699c87b44715928a45bc2d8bd6a234,3441,聯一光電,TPEx,107.0,102.0,107.0,95.5,48653000.0,21928500.0,2.2187,9.9692,27.685,66.4075,24.81773111694372,41.5967615364969,9.969167523124355,9.969167523124355,85.725,75.5667,84.9118,97.3,97.3,62.2,49.15,20,97.3,62.2,56.4309,9.9692,True,True,bottom_volume_attack,bottom_volume_attack,54.59,close_ge_prior20_high_102pct|volume_ma20_lots_ge_1000|volume_ratio_ge_2|close_near_day_high|red_body_confirmed,False,False,,true_breakout,breakout_confirmed,,continued_overheated,A_bottom_volume_attack,selected,,continued_overheated,以訊號日隔天開盤作為研究觀察基準；若跌回前20日高點突破基準、量價失敗或TDCC轉弱，則標記風險升高。,嚴格突破,true_breakout,True,True,True,True,False,,,,,6,2,5,9,13,連續上榜但短線過熱，需避免追高並等待量價重新確認。,true_breakout
10,20260821,20260821,data/stock_price_history/2489.csv,27f545ee4abef8a5bc97ef28a869d1fcdbb2625ddab97ec1ab79454f365ac20f,2489,瑞軒,TWSE,35.65,33.0,35.65,33.0,35363872.0,12215644.6,2.895,9.8613,13.1746,18.4385,16.161616161616156,-6.4937653767265235,5.786350148367947,-32.988721804511286,30.69,38.1258,32.5547,33.7,53.2,24.05,24.05,20,33.7,24.05,40.1247,5.7864,True,True,bottom_volume_attack,bottom_volume_attack,54.15,close_ge_prior20_high_102pct|volume_ma20_lots_ge_1000|volume_ratio_ge_2|close_near_day_high|strong_red_body,False,False,,range_rebound,neckline_breakout,,stale_signal,A_bottom_volume_attack,selected,,stale_signal,以訊號日隔天開盤作為研究觀察基準；若跌回前20日高點突破基準、量價失敗或TDCC轉弱，則標記風險升高。,區間內轉強 / 挑戰前高觀察,range_rebound,True,True,True,True,False,,,,,4,1,4,4,8,反覆上榜但尚未突破，且量價、TDCC 或 benchmark 未同步轉強，需確認是否鈍化。,range_rebound
