summary_type,filter_metric,filter_rule,threshold,selected_stock_days,hit_stock_days,hit_rate_pct,selected_unique_stocks,hit_unique_stocks,coverage_of_all_hits_pct,base_hit_rate_pct
threshold_ge,start_day_volume_ratio,start_day_volume_ratio_vs_prev20>=0.5,0.5,320130,19083,5.96,2130,1356,78.36,5.65
threshold_ge,start_day_volume_ratio,start_day_volume_ratio_vs_prev20>=0.8,0.8,211283,14872,7.04,2128,1343,61.07,5.65
threshold_ge,start_day_volume_ratio,start_day_volume_ratio_vs_prev20>=1,1.0,157312,12488,7.94,2124,1315,51.28,5.65
threshold_ge,start_day_volume_ratio,start_day_volume_ratio_vs_prev20>=1.2,1.2,118607,10508,8.86,2115,1281,43.15,5.65
threshold_ge,start_day_volume_ratio,start_day_volume_ratio_vs_prev20>=1.5,1.5,81227,8410,10.35,2098,1233,34.53,5.65
threshold_ge,start_day_volume_ratio,start_day_volume_ratio_vs_prev20>=2,2.0,48172,6001,12.46,2049,1168,24.64,5.65
threshold_ge,start_day_volume_ratio,start_day_volume_ratio_vs_prev20>=3,3.0,22616,3494,15.45,1997,1001,14.35,5.65
threshold_ge,start_day_volume_ratio,start_day_volume_ratio_vs_prev20>=5,5.0,8706,1560,17.92,1820,715,6.41,5.65
threshold_ge,previous_day_volume_ratio,prev_day_volume_ratio_vs_prev20>=0.5,0.5,320222,18361,5.73,2130,1342,75.39,5.65
threshold_ge,previous_day_volume_ratio,prev_day_volume_ratio_vs_prev20>=0.8,0.8,211370,13555,6.41,2129,1299,55.66,5.65
threshold_ge,previous_day_volume_ratio,prev_day_volume_ratio_vs_prev20>=1,1.0,157379,10961,6.96,2125,1255,45.01,5.65
threshold_ge,previous_day_volume_ratio,prev_day_volume_ratio_vs_prev20>=1.2,1.2,118660,8923,7.52,2117,1206,36.64,5.65
threshold_ge,previous_day_volume_ratio,prev_day_volume_ratio_vs_prev20>=1.5,1.5,81268,6826,8.4,2099,1137,28.03,5.65
threshold_ge,previous_day_volume_ratio,prev_day_volume_ratio_vs_prev20>=2,2.0,48200,4563,9.47,2052,1001,18.74,5.65
threshold_ge,previous_day_volume_ratio,prev_day_volume_ratio_vs_prev20>=3,3.0,22642,2502,11.05,2001,797,10.27,5.65
threshold_ge,previous_day_volume_ratio,prev_day_volume_ratio_vs_prev20>=5,5.0,8710,1055,12.11,1819,520,4.33,5.65
bin,start_day_volume_ratio,start_day_volume_ratio_vs_prev20 in <0.5x,<0.5x,111249,5271,4.74,2110,974,,
bin,start_day_volume_ratio,start_day_volume_ratio_vs_prev20 in 0.5-0.8x,0.5-0.8x,108847,4211,3.87,2125,1054,,
bin,start_day_volume_ratio,start_day_volume_ratio_vs_prev20 in 0.8-1.0x,0.8-1.0x,53971,2384,4.42,2110,929,,
bin,start_day_volume_ratio,start_day_volume_ratio_vs_prev20 in 1.0-1.2x,1.0-1.2x,38705,1980,5.12,2095,845,,
bin,start_day_volume_ratio,start_day_volume_ratio_vs_prev20 in 1.2-1.5x,1.2-1.5x,37380,2098,5.61,2083,858,,
bin,start_day_volume_ratio,start_day_volume_ratio_vs_prev20 in 1.5-2.0x,1.5-2.0x,33055,2409,7.29,2074,886,,
bin,start_day_volume_ratio,start_day_volume_ratio_vs_prev20 in 2.0-3.0x,2.0-3.0x,25556,2507,9.81,2034,916,,
bin,start_day_volume_ratio,start_day_volume_ratio_vs_prev20 in 3.0-5.0x,3.0-5.0x,13910,1934,13.9,1981,818,,
bin,start_day_volume_ratio,start_day_volume_ratio_vs_prev20 in >=5.0x,>=5.0x,8706,1560,17.92,1820,715,,
bin,previous_day_volume_ratio,prev_day_volume_ratio_vs_prev20 in <0.5x,<0.5x,111157,5993,5.39,2110,1028,,
bin,previous_day_volume_ratio,prev_day_volume_ratio_vs_prev20 in 0.5-0.8x,0.5-0.8x,108852,4806,4.42,2126,1102,,
bin,previous_day_volume_ratio,prev_day_volume_ratio_vs_prev20 in 0.8-1.0x,0.8-1.0x,53991,2594,4.8,2112,953,,
bin,previous_day_volume_ratio,prev_day_volume_ratio_vs_prev20 in 1.0-1.2x,1.0-1.2x,38719,2038,5.26,2099,871,,
bin,previous_day_volume_ratio,prev_day_volume_ratio_vs_prev20 in 1.2-1.5x,1.2-1.5x,37392,2097,5.61,2084,860,,
bin,previous_day_volume_ratio,prev_day_volume_ratio_vs_prev20 in 1.5-2.0x,1.5-2.0x,33068,2263,6.84,2075,869,,
bin,previous_day_volume_ratio,prev_day_volume_ratio_vs_prev20 in 2.0-3.0x,2.0-3.0x,25558,2061,8.06,2037,803,,
bin,previous_day_volume_ratio,prev_day_volume_ratio_vs_prev20 in 3.0-5.0x,3.0-5.0x,13932,1447,10.39,1984,676,,
bin,previous_day_volume_ratio,prev_day_volume_ratio_vs_prev20 in >=5.0x,>=5.0x,8710,1055,12.11,1819,520,,
