rule_name,rule_family,source_type,target_window,entry_basis,target_return_pct,selected_stock_days,hit_stock_days,hit_rate_pct,coverage_of_all_hits_pct,selected_unique_stocks,hit_unique_stocks,median_next_open_to_high_return_pct,avg_next_open_to_high_return_pct,avg_signal_close_to_next_open_gap_pct,tdcc_available_rate_pct,top_market_regime_counts,top_theme_status_counts,sample_status
mainstream_overheated__vol2__market_bull__bb_ok,theme_market_technical,latest_theme_plus_strict_market,D+1,D+1_open,10.0,406,9,2.22,0.75,140,9,2.22,3.06,1.04,47.54,strong_bull=398; mild_bull=8,mainstream_overheated=406,provisional_latest_theme_label
mainstream_overheated__vol3__market_bull,theme_market_volume,latest_theme_plus_strict_market,D+1,D+1_open,10.0,631,12,1.9,0.99,170,12,2.04,2.96,0.77,10.14,strong_bull=508; mild_bull=123,mainstream_overheated=631,provisional_latest_theme_label
mainstream_overheated__vol2__market_bull__macd,theme_market_technical,latest_theme_plus_strict_market,D+1,D+1_open,10.0,1817,32,1.76,2.65,276,26,1.92,2.8,0.85,24.77,strong_bull=1707; mild_bull=110,mainstream_overheated=1817,provisional_latest_theme_label
mainstream_overheated__vol2__market_bull,theme_market_volume,latest_theme_plus_strict_market,D+1,D+1_open,10.0,2984,49,1.64,4.06,317,39,1.84,2.75,0.77,16.66,strong_bull=2516; mild_bull=468,mainstream_overheated=2984,provisional_latest_theme_label
mainstream_overheated__vol2__market_bull__rsi50_75,theme_market_technical,latest_theme_plus_strict_market,D+1,D+1_open,10.0,1719,28,1.63,2.32,291,23,1.86,2.72,0.67,18.96,strong_bull=1583; mild_bull=136,mainstream_overheated=1719,provisional_latest_theme_label
all_stock__vol2__tdcc_high_streak2,tdcc_volume,strict_tdcc,D+1,D+1_open,10.0,317,5,1.58,0.41,92,4,1.03,2.15,0.75,100.0,strong_bull=236; range_or_unclear=52; mild_bull=26; weak_or_correction=3,unlabeled=232; mainstream_overheated=61; mainstream_supported=21; non_mainstream=3,ok_initial_sample
all_stock__vol2__tdcc_all_up,tdcc_volume,strict_tdcc,D+1,D+1_open,10.0,648,10,1.54,0.83,187,9,1.36,2.43,0.86,100.0,strong_bull=503; range_or_unclear=102; mild_bull=38; weak_or_correction=5,unlabeled=437; mainstream_overheated=141; mainstream_supported=63; non_mainstream=7,ok_initial_sample
all_stock__vol2__tdcc_high_up,tdcc_volume,strict_tdcc,D+1,D+1_open,10.0,813,12,1.48,0.99,229,11,1.36,2.41,0.79,100.0,strong_bull=629; range_or_unclear=128; mild_bull=51; weak_or_correction=5,unlabeled=556; mainstream_overheated=173; mainstream_supported=77; non_mainstream=7,ok_initial_sample
all_stock__vol2__market_bull,market_volume,strict_market,D+1,D+1_open,10.0,14368,201,1.4,16.65,1708,159,1.22,2.22,0.64,17.0,strong_bull=12170; mild_bull=2198,unlabeled=10738; mainstream_overheated=2984; mainstream_supported=634; non_mainstream=12,ok_initial_sample
all_stock__vol2__market_strong_bull,market_volume,strict_market,D+1,D+1_open,10.0,12170,160,1.31,13.26,1663,134,1.17,2.19,0.72,19.06,strong_bull=12170,unlabeled=9111; mainstream_overheated=2516; mainstream_supported=534; non_mainstream=9,ok_initial_sample
mainstream_overheated__vol2__market_bull__kd_good,theme_market_technical,latest_theme_plus_strict_market,D+1,D+1_open,10.0,1296,17,1.31,1.41,273,16,1.73,2.64,0.82,22.22,strong_bull=1192; mild_bull=104,mainstream_overheated=1296,provisional_latest_theme_label
mainstream_supported__vol2__market_bull,theme_market_volume,latest_theme_plus_strict_market,D+1,D+1_open,10.0,634,5,0.79,0.41,98,5,1.27,2.05,0.52,21.45,strong_bull=534; mild_bull=100,mainstream_supported=634,provisional_latest_theme_label
mainstream_overheated__vol2__market_bull__tdcc_all_up,theme_market_tdcc_volume,latest_theme_plus_strict_market_tdcc,D+1,D+1_open,10.0,127,1,0.79,0.08,48,1,2.42,2.98,1.33,100.0,strong_bull=120; mild_bull=7,mainstream_overheated=127,provisional_latest_theme_label
mainstream_overheated__vol2__tdcc_all_up,theme_tdcc_volume,latest_theme_plus_strict_tdcc,D+1,D+1_open,10.0,141,1,0.71,0.08,48,1,2.44,3.01,1.32,100.0,strong_bull=120; range_or_unclear=13; mild_bull=7; weak_or_correction=1,mainstream_overheated=141,provisional_latest_theme_label
mainstream_overheated__vol2__market_bull__tdcc_high_up,theme_market_tdcc_volume,latest_theme_plus_strict_market_tdcc,D+1,D+1_open,10.0,153,1,0.65,0.08,58,1,1.98,2.81,1.27,100.0,strong_bull=144; mild_bull=9,mainstream_overheated=153,provisional_latest_theme_label
mainstream_overheated__vol2__tdcc_high_up,theme_tdcc_volume,latest_theme_plus_strict_tdcc,D+1,D+1_open,10.0,173,1,0.58,0.08,58,1,1.95,2.79,1.23,100.0,strong_bull=144; range_or_unclear=19; mild_bull=9; weak_or_correction=1,mainstream_overheated=173,provisional_latest_theme_label
mainstream_overheated__vol2__tdcc_streak1,theme_tdcc_volume,latest_theme_plus_strict_tdcc,D+1,D+1_open,10.0,173,1,0.58,0.08,58,1,1.95,2.79,1.23,100.0,strong_bull=144; range_or_unclear=19; mild_bull=9; weak_or_correction=1,mainstream_overheated=173,provisional_latest_theme_label
mainstream_overheated__vol2__tdcc_high_sum_pos,theme_tdcc_volume,latest_theme_plus_strict_tdcc,D+1,D+1_open,10.0,186,1,0.54,0.08,63,1,1.89,2.76,1.17,100.0,strong_bull=156; range_or_unclear=20; mild_bull=9; weak_or_correction=1,mainstream_overheated=186,provisional_latest_theme_label
mainstream_overheated__vol2__ret2w20_50__tdcc_high_up,theme_tdcc_momentum,latest_theme_plus_strict_tdcc,D+1,D+1_open,10.0,60,0,0.0,0.0,28,0,2.05,2.94,1.47,100.0,strong_bull=55; mild_bull=3; range_or_unclear=2,mainstream_overheated=60,insufficient_sample
mainstream_overheated__vol2__ret1w10_30_ret2w20_50__tdcc_high_up,theme_tdcc_momentum,latest_theme_plus_strict_tdcc,D+1,D+1_open,10.0,39,0,0.0,0.0,23,0,2.17,2.96,1.2,100.0,strong_bull=36; mild_bull=2; range_or_unclear=1,mainstream_overheated=39,insufficient_sample
non_mainstream__vol2__tdcc_high_up,non_mainstream_tdcc,latest_theme_plus_strict_tdcc,D+1,D+1_open,10.0,7,0,0.0,0.0,2,0,0.41,0.93,-0.56,100.0,strong_bull=5; mild_bull=1; range_or_unclear=1,non_mainstream=7,insufficient_sample
mainstream_overheated__vol2__tdcc_all_up,theme_tdcc_volume,latest_theme_plus_strict_tdcc,D+10,D+1_open,10.0,141,74,52.48,0.14,48,28,10.34,13.41,1.32,100.0,strong_bull=120; range_or_unclear=13; mild_bull=7; weak_or_correction=1,mainstream_overheated=141,provisional_latest_theme_label
mainstream_overheated__vol2__market_bull__tdcc_all_up,theme_market_tdcc_volume,latest_theme_plus_strict_market_tdcc,D+10,D+1_open,10.0,127,65,51.18,0.12,48,27,10.2,12.75,1.33,100.0,strong_bull=120; mild_bull=7,mainstream_overheated=127,provisional_latest_theme_label
mainstream_overheated__vol2__tdcc_high_up,theme_tdcc_volume,latest_theme_plus_strict_tdcc,D+10,D+1_open,10.0,173,85,49.13,0.16,58,32,9.66,13.63,1.23,100.0,strong_bull=144; range_or_unclear=19; mild_bull=9; weak_or_correction=1,mainstream_overheated=173,provisional_latest_theme_label
mainstream_overheated__vol2__tdcc_streak1,theme_tdcc_volume,latest_theme_plus_strict_tdcc,D+10,D+1_open,10.0,173,85,49.13,0.16,58,32,9.66,13.63,1.23,100.0,strong_bull=144; range_or_unclear=19; mild_bull=9; weak_or_correction=1,mainstream_overheated=173,provisional_latest_theme_label
mainstream_overheated__vol2__ret1w10_30_ret2w20_50__tdcc_high_up,theme_tdcc_momentum,latest_theme_plus_strict_tdcc,D+10,D+1_open,10.0,39,19,48.72,0.04,23,12,9.76,14.01,1.2,100.0,strong_bull=36; mild_bull=2; range_or_unclear=1,mainstream_overheated=39,insufficient_sample
mainstream_overheated__vol2__market_bull__tdcc_high_up,theme_market_tdcc_volume,latest_theme_plus_strict_market_tdcc,D+10,D+1_open,10.0,153,74,48.37,0.14,58,30,9.41,13.28,1.27,100.0,strong_bull=144; mild_bull=9,mainstream_overheated=153,provisional_latest_theme_label
mainstream_overheated__vol2__tdcc_high_sum_pos,theme_tdcc_volume,latest_theme_plus_strict_tdcc,D+10,D+1_open,10.0,186,89,47.85,0.17,63,34,9.35,13.26,1.17,100.0,strong_bull=156; range_or_unclear=20; mild_bull=9; weak_or_correction=1,mainstream_overheated=186,provisional_latest_theme_label
mainstream_overheated__vol2__market_bull__bb_ok,theme_market_technical,latest_theme_plus_strict_market,D+10,D+1_open,10.0,406,193,47.54,0.36,140,86,9.27,13.23,1.04,47.54,strong_bull=398; mild_bull=8,mainstream_overheated=406,provisional_latest_theme_label
mainstream_overheated__vol2__ret2w20_50__tdcc_high_up,theme_tdcc_momentum,latest_theme_plus_strict_tdcc,D+10,D+1_open,10.0,60,28,46.67,0.05,28,15,9.07,13.97,1.47,100.0,strong_bull=55; mild_bull=3; range_or_unclear=2,mainstream_overheated=60,insufficient_sample
mainstream_overheated__vol3__market_bull,theme_market_volume,latest_theme_plus_strict_market,D+10,D+1_open,10.0,631,277,43.9,0.52,170,106,8.55,12.96,0.77,10.14,strong_bull=508; mild_bull=123,mainstream_overheated=631,provisional_latest_theme_label
mainstream_overheated__vol2__market_bull__rsi50_75,theme_market_technical,latest_theme_plus_strict_market,D+10,D+1_open,10.0,1719,754,43.86,1.43,291,204,8.41,12.91,0.67,18.96,strong_bull=1583; mild_bull=136,mainstream_overheated=1719,provisional_latest_theme_label
mainstream_overheated__vol2__market_bull__kd_good,theme_market_technical,latest_theme_plus_strict_market,D+10,D+1_open,10.0,1296,560,43.21,1.06,273,178,8.13,12.19,0.82,22.22,strong_bull=1192; mild_bull=104,mainstream_overheated=1296,provisional_latest_theme_label
mainstream_overheated__vol2__market_bull,theme_market_volume,latest_theme_plus_strict_market,D+10,D+1_open,10.0,2984,1285,43.06,2.43,317,245,8.2,12.47,0.77,16.66,strong_bull=2516; mild_bull=468,mainstream_overheated=2984,provisional_latest_theme_label
mainstream_overheated__vol2__market_bull__macd,theme_market_technical,latest_theme_plus_strict_market,D+10,D+1_open,10.0,1817,743,40.89,1.4,276,192,7.73,12.05,0.85,24.77,strong_bull=1707; mild_bull=110,mainstream_overheated=1817,provisional_latest_theme_label
all_stock__vol2__tdcc_all_up,tdcc_volume,strict_tdcc,D+10,D+1_open,10.0,648,253,39.04,0.48,187,93,6.43,12.34,0.86,100.0,strong_bull=503; range_or_unclear=102; mild_bull=38; weak_or_correction=5,unlabeled=437; mainstream_overheated=141; mainstream_supported=63; non_mainstream=7,ok_initial_sample
all_stock__vol2__tdcc_high_up,tdcc_volume,strict_tdcc,D+10,D+1_open,10.0,813,300,36.9,0.57,229,110,5.94,11.64,0.79,100.0,strong_bull=629; range_or_unclear=128; mild_bull=51; weak_or_correction=5,unlabeled=556; mainstream_overheated=173; mainstream_supported=77; non_mainstream=7,ok_initial_sample
all_stock__vol2__market_bull,market_volume,strict_market,D+10,D+1_open,10.0,14368,4716,32.82,8.92,1708,975,5.47,10.19,0.64,17.0,strong_bull=12170; mild_bull=2198,unlabeled=10738; mainstream_overheated=2984; mainstream_supported=634; non_mainstream=12,ok_initial_sample
all_stock__vol2__market_strong_bull,market_volume,strict_market,D+10,D+1_open,10.0,12170,3971,32.63,7.51,1663,904,5.43,10.09,0.72,19.06,strong_bull=12170,unlabeled=9111; mainstream_overheated=2516; mainstream_supported=534; non_mainstream=9,ok_initial_sample
