entry_basis,target_window,target_return_pct,filter_metric,filter_rule,threshold,selected_stock_days,hit_stock_days,hit_rate_pct,median_next_open_to_high_return_pct,avg_signal_close_to_next_open_gap_pct,median_signal_close_to_next_open_gap_pct,selected_unique_stocks,hit_unique_stocks,coverage_of_all_hits_pct,base_hit_rate_pct
D+1_open,D+5,10.0,start_day_volume_ratio,start_day_volume_ratio_vs_prev20>=0.5,0.5,165411,22777,13.77,2.5,0.4,0.13,1967,1573,75.16,13.8
D+1_open,D+5,10.0,start_day_volume_ratio,start_day_volume_ratio_vs_prev20>=0.8,0.8,111237,16185,14.55,2.54,0.45,0.14,1967,1539,53.41,13.8
D+1_open,D+5,10.0,start_day_volume_ratio,start_day_volume_ratio_vs_prev20>=1,1.0,83643,12806,15.31,2.61,0.48,0.16,1966,1493,42.26,13.8
D+1_open,D+5,10.0,start_day_volume_ratio,start_day_volume_ratio_vs_prev20>=1.2,1.2,63394,10247,16.16,2.69,0.52,0.17,1965,1444,33.81,13.8
D+1_open,D+5,10.0,start_day_volume_ratio,start_day_volume_ratio_vs_prev20>=1.5,1.5,43739,7671,17.54,2.86,0.58,0.19,1964,1339,25.31,13.8
D+1_open,D+5,10.0,start_day_volume_ratio,start_day_volume_ratio_vs_prev20>=2,2.0,26162,5010,19.15,3.12,0.67,0.24,1963,1195,16.53,13.8
D+1_open,D+5,10.0,start_day_volume_ratio,start_day_volume_ratio_vs_prev20>=3,3.0,12258,2627,21.43,3.48,0.8,0.3,1896,926,8.67,13.8
D+1_open,D+5,10.0,start_day_volume_ratio,start_day_volume_ratio_vs_prev20>=5,5.0,4706,1106,23.5,3.94,0.84,0.3,1485,589,3.65,13.8
D+1_open,D+5,10.0,start_5d_avg_volume_ratio,start_5d_avg_volume_ratio_vs_prev20>=0.5,0.5,194560,26225,13.48,2.5,0.36,0.11,1967,1585,86.53,13.8
D+1_open,D+5,10.0,start_5d_avg_volume_ratio,start_5d_avg_volume_ratio_vs_prev20>=0.8,0.8,138559,19472,14.05,2.51,0.39,0.11,1966,1541,64.25,13.8
D+1_open,D+5,10.0,start_5d_avg_volume_ratio,start_5d_avg_volume_ratio_vs_prev20>=1,1.0,98456,14790,15.02,2.62,0.42,0.12,1965,1464,48.8,13.8
D+1_open,D+5,10.0,start_5d_avg_volume_ratio,start_5d_avg_volume_ratio_vs_prev20>=1.2,1.2,66767,10984,16.45,2.81,0.47,0.14,1963,1353,36.24,13.8
D+1_open,D+5,10.0,start_5d_avg_volume_ratio,start_5d_avg_volume_ratio_vs_prev20>=1.5,1.5,37435,7099,18.96,3.22,0.56,0.2,1952,1165,23.42,13.8
D+1_open,D+5,10.0,start_5d_avg_volume_ratio,start_5d_avg_volume_ratio_vs_prev20>=2,2.0,16339,3557,21.77,3.75,0.66,0.23,1721,858,11.74,13.8
D+1_open,D+5,10.0,start_5d_avg_volume_ratio,start_5d_avg_volume_ratio_vs_prev20>=3,3.0,3998,971,24.29,4.36,0.7,0.2,1000,399,3.2,13.8
D+1_open,D+5,10.0,start_5d_avg_volume_ratio,start_5d_avg_volume_ratio_vs_prev20>=5,5.0,406,93,22.91,4.05,0.72,0.11,286,77,0.31,13.8
D+1_open,D+5,10.0,prev_5d_avg_volume_ratio,prev_5d_avg_volume_ratio_vs_prev20>=0.5,0.5,197156,26507,13.44,2.5,0.36,0.11,1968,1585,87.46,13.8
D+1_open,D+5,10.0,prev_5d_avg_volume_ratio,prev_5d_avg_volume_ratio_vs_prev20>=0.8,0.8,141332,19635,13.89,2.52,0.36,0.1,1966,1543,64.79,13.8
D+1_open,D+5,10.0,prev_5d_avg_volume_ratio,prev_5d_avg_volume_ratio_vs_prev20>=1,1.0,98452,14622,14.85,2.62,0.38,0.11,1963,1455,48.25,13.8
D+1_open,D+5,10.0,prev_5d_avg_volume_ratio,prev_5d_avg_volume_ratio_vs_prev20>=1.2,1.2,64577,10584,16.39,2.82,0.42,0.13,1963,1326,34.92,13.8
D+1_open,D+5,10.0,prev_5d_avg_volume_ratio,prev_5d_avg_volume_ratio_vs_prev20>=1.5,1.5,33632,6363,18.92,3.26,0.49,0.17,1938,1070,21.0,13.8
D+1_open,D+5,10.0,prev_5d_avg_volume_ratio,prev_5d_avg_volume_ratio_vs_prev20>=2,2.0,12771,2737,21.43,3.79,0.58,0.21,1566,722,9.03,13.8
D+1_open,D+5,10.0,prev_5d_avg_volume_ratio,prev_5d_avg_volume_ratio_vs_prev20>=3,3.0,1506,339,22.51,4.17,0.58,0.16,427,155,1.12,13.8
D+1_open,D+5,10.0,prev_5d_avg_volume_ratio,prev_5d_avg_volume_ratio_vs_prev20>=5,5.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,13.8
D+1_open,D+10,10.0,start_day_volume_ratio,start_day_volume_ratio_vs_prev20>=0.5,0.5,165411,39037,23.6,3.84,0.4,0.13,1967,1664,74.58,23.84
D+1_open,D+10,10.0,start_day_volume_ratio,start_day_volume_ratio_vs_prev20>=0.8,0.8,111237,27046,24.31,3.89,0.45,0.14,1967,1639,51.67,23.84
D+1_open,D+10,10.0,start_day_volume_ratio,start_day_volume_ratio_vs_prev20>=1,1.0,83643,20924,25.02,4.0,0.48,0.16,1966,1607,39.97,23.84
D+1_open,D+10,10.0,start_day_volume_ratio,start_day_volume_ratio_vs_prev20>=1.2,1.2,63394,16425,25.91,4.11,0.52,0.17,1965,1573,31.38,23.84
D+1_open,D+10,10.0,start_day_volume_ratio,start_day_volume_ratio_vs_prev20>=1.5,1.5,43739,12010,27.46,4.35,0.58,0.19,1964,1503,22.94,23.84
D+1_open,D+10,10.0,start_day_volume_ratio,start_day_volume_ratio_vs_prev20>=2,2.0,26162,7673,29.33,4.68,0.67,0.24,1963,1378,14.66,23.84
D+1_open,D+10,10.0,start_day_volume_ratio,start_day_volume_ratio_vs_prev20>=3,3.0,12258,3901,31.82,5.13,0.8,0.3,1896,1092,7.45,23.84
D+1_open,D+10,10.0,start_day_volume_ratio,start_day_volume_ratio_vs_prev20>=5,5.0,4706,1578,33.53,5.68,0.84,0.3,1485,724,3.01,23.84
D+1_open,D+10,10.0,start_5d_avg_volume_ratio,start_5d_avg_volume_ratio_vs_prev20>=0.5,0.5,194560,45608,23.44,3.84,0.36,0.11,1967,1676,87.13,23.84
D+1_open,D+10,10.0,start_5d_avg_volume_ratio,start_5d_avg_volume_ratio_vs_prev20>=0.8,0.8,138559,33157,23.93,3.86,0.39,0.11,1966,1633,63.34,23.84
D+1_open,D+10,10.0,start_5d_avg_volume_ratio,start_5d_avg_volume_ratio_vs_prev20>=1,1.0,98456,24691,25.08,4.04,0.42,0.12,1965,1579,47.17,23.84
D+1_open,D+10,10.0,start_5d_avg_volume_ratio,start_5d_avg_volume_ratio_vs_prev20>=1.2,1.2,66767,17885,26.79,4.31,0.47,0.14,1963,1487,34.17,23.84
D+1_open,D+10,10.0,start_5d_avg_volume_ratio,start_5d_avg_volume_ratio_vs_prev20>=1.5,1.5,37435,11177,29.86,4.91,0.56,0.2,1952,1312,21.35,23.84
D+1_open,D+10,10.0,start_5d_avg_volume_ratio,start_5d_avg_volume_ratio_vs_prev20>=2,2.0,16339,5450,33.36,5.66,0.66,0.23,1721,1006,10.41,23.84
D+1_open,D+10,10.0,start_5d_avg_volume_ratio,start_5d_avg_volume_ratio_vs_prev20>=3,3.0,3998,1422,35.57,6.22,0.7,0.2,1000,506,2.72,23.84
D+1_open,D+10,10.0,start_5d_avg_volume_ratio,start_5d_avg_volume_ratio_vs_prev20>=5,5.0,406,132,32.51,5.64,0.72,0.11,286,106,0.25,23.84
D+1_open,D+10,10.0,prev_5d_avg_volume_ratio,prev_5d_avg_volume_ratio_vs_prev20>=0.5,0.5,197156,46285,23.48,3.85,0.36,0.11,1968,1676,88.42,23.84
