label_type,target_window,entry_basis,target_return_pct,theme_status_group,filter_metric,filter_rule,threshold,selected_stock_days,hit_stock_days,hit_rate_pct,group_base_stock_days,group_base_hit_days,group_base_hit_rate_pct,selected_unique_stocks,hit_unique_stocks,median_next_open_to_high_return_pct,avg_next_open_to_high_return_pct,avg_signal_close_to_next_open_gap_pct,top_final_status_counts,top_volume_attack_status_counts,sample_status
provisional_latest_stock_label,D+1,D+1_open,10.0,unlabeled,start_day_volume_ratio,start_day_volume_ratio>=1,1.0,217418,5137,2.36,390739,5639,1.44,1732,410,0.78,2.04,1.63,unlabeled=217418,unlabeled=217418,provisional_latest_label_only
provisional_latest_stock_label,D+1,D+1_open,10.0,unlabeled,start_5d_avg_volume_ratio,start_5d_avg_volume_ratio>=1,1.0,235035,5167,2.2,390739,5639,1.44,1731,417,0.77,1.97,1.52,unlabeled=235035,unlabeled=235035,provisional_latest_label_only
provisional_latest_stock_label,D+1,D+1_open,10.0,unlabeled,prev_5d_avg_volume_ratio,prev_5d_avg_volume_ratio>=1,1.0,236193,5135,2.17,390739,5639,1.44,1731,400,0.76,1.95,1.5,unlabeled=236193,unlabeled=236193,provisional_latest_label_only
provisional_latest_stock_label,D+1,D+1_open,10.0,unlabeled,start_5d_avg_volume_ratio,start_5d_avg_volume_ratio>=3,3.0,4771,81,1.7,390739,5639,1.44,991,72,1.35,2.38,0.57,unlabeled=4771,unlabeled=4771,provisional_latest_label_only
provisional_latest_stock_label,D+1,D+1_open,10.0,mainstream_overheated,start_5d_avg_volume_ratio,start_5d_avg_volume_ratio>=3,3.0,1500,23,1.53,87746,415,0.47,256,22,1.83,2.75,0.7,mainstream_overheated=1500,unlabeled=1500,provisional_latest_label_only
provisional_latest_stock_label,D+1,D+1_open,10.0,mainstream_overheated,prev_5d_avg_volume_ratio,prev_5d_avg_volume_ratio>=3,3.0,482,7,1.45,87746,415,0.47,130,7,1.73,2.54,0.58,mainstream_overheated=482,unlabeled=482,provisional_latest_label_only
provisional_latest_stock_label,D+1,D+1_open,10.0,mainstream_overheated,start_day_volume_ratio,start_day_volume_ratio>=3,3.0,4475,64,1.43,87746,415,0.47,347,54,1.75,2.65,0.88,mainstream_overheated=4475,unlabeled=4475,provisional_latest_label_only
provisional_latest_stock_label,D+1,D+1_open,10.0,unlabeled,start_day_volume_ratio,start_day_volume_ratio>=3,3.0,14161,190,1.34,390739,5639,1.44,1475,161,1.08,2.08,0.61,unlabeled=14161,unlabeled=14161,provisional_latest_label_only
provisional_latest_stock_label,D+1,D+1_open,10.0,mainstream_overheated,start_5d_avg_volume_ratio,start_5d_avg_volume_ratio>=2,2.0,6332,79,1.25,87746,415,0.47,338,58,1.6,2.5,0.73,mainstream_overheated=6332,unlabeled=6332,provisional_latest_label_only
provisional_latest_stock_label,D+1,D+1_open,10.0,mainstream_overheated,start_day_volume_ratio,start_day_volume_ratio>=2,2.0,9328,115,1.23,87746,415,0.47,352,83,1.58,2.49,0.81,mainstream_overheated=9328,unlabeled=9328,provisional_latest_label_only
